ID	NUMBER	CATEGORY_ID	CATEGORY	CHINESE	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zheng-2007-46	46	5	natural phenomena 天象類	煙	smoke	778	SMOKE (EXHAUST)
Zheng-2007-47	47	5	natural phenomena 天象類	火	fire	221	FIRE
Zheng-2007-48	48	6	geology 地理類	石	stone	857	STONE
Zheng-2007-49	49	6	geology 地理類	沙	sand	671	SAND
Zheng-2007-50	50	6	geology 地理類	地	earth	1228	EARTH (SOIL)
Zheng-2007-51	51	7	color 顏色類	紅	red	156	RED
Zheng-2007-52	52	7	color 顏色類	綠	green	1425	GREEN
Zheng-2007-53	53	7	color 顏色類	黃	yellow	1424	YELLOW
Zheng-2007-54	54	7	color 顏色類	白	white	1335	WHITE
Zheng-2007-55	55	7	color 顏色類	黑	black	163	BLACK
Zheng-2007-56	56	8	motion 動作類	喝	to drink	1401	DRINK
Zheng-2007-57	57	8	motion 動作類	吃	to eat	1336	EAT
Zheng-2007-58	58	8	motion 動作類	咬	to bite	1403	BITE
Zheng-2007-59	59	8	motion 動作類	看	to see	1409	SEE
Zheng-2007-60	60	8	motion 動作類	聽	to hear	1408	HEAR
Zheng-2007-61	61	8	motion 動作類	懂	to understand	1536	UNDERSTAND
Zheng-2007-62	62	8	motion 動作類	睡	to sleep	1585	SLEEP
Zheng-2007-63	63	8	motion 動作類	死	to die	1494	DIE
Zheng-2007-64	64	8	motion 動作類	殺	to kill	1417	KILL
Zheng-2007-65	65	8	motion 動作類	游	to swim	1439	SWIM
Zheng-2007-66	66	8	motion 動作類	飛	to fly	1441	FLY (MOVE THROUGH AIR)
Zheng-2007-67	67	8	motion 動作類	走	to go (walk)	695	GO
Zheng-2007-68	68	8	motion 動作類	來	to come	1446	COME
Zheng-2007-69	69	8	motion 動作類	躺	to lie (on bed)	1411	LIE (REST)
Zheng-2007-70	70	8	motion 動作類	坐	to sit	1416	SIT
Zheng-2007-71	71	8	motion 動作類	站	to stand	1442	STAND
Zheng-2007-72	72	8	motion 動作類	給	to give	1447	GIVE
Zheng-2007-73	73	8	motion 動作類	說	to say	1458	SAY
Zheng-2007-74	74	9	form and shape 形狀度類	多	many	1198	MANY
Zheng-2007-75	75	9	form and shape 形狀度類	大	big	1202	BIG
Zheng-2007-76	76	9	form and shape 形狀度類	長	long	1203	LONG
Zheng-2007-77	77	9	form and shape 形狀度類	小	small	1246	SMALL
Zheng-2007-78	78	9	form and shape 形狀度類	熱	hot	1286	HOT
Zheng-2007-79	79	9	form and shape 形狀度類	冷	cold	1287	COLD
Zheng-2007-80	80	9	form and shape 形狀度類	滿	full	1429	FULL
Zheng-2007-81	81	9	form and shape 形狀度類	新	new	1231	NEW
Zheng-2007-82	82	9	form and shape 形狀度類	好	good	1035	GOOD
Zheng-2007-83	83	9	form and shape 形狀度類	圓	round	1395	ROUND
Zheng-2007-84	84	9	form and shape 形狀度類	干	dry	1398	DRY
Zheng-2007-85	85	10	number 數量類	一	one	1493	ONE
Zheng-2007-86	86	10	number 數量類	二	two	1498	TWO
