ID	NUMBER	CATEGORY_ID	CATEGORY	CHINESE	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zheng-2007-1	1	1	human 人類	女	woman	962	WOMAN
Zheng-2007-2	2	1	human 人類	男	man	1554	MAN
Zheng-2007-3	3	1	human 人類	人	person	683	PERSON
Zheng-2007-4	4	2	animal 動物類	魚	fish	227	FISH
Zheng-2007-5	5	2	animal 動物類	鳥	bird	937	BIRD
Zheng-2007-6	6	2	animal 動物類	狗	dog	2009	DOG
Zheng-2007-7	7	2	animal 動物類	虱	louse	1392	LOUSE
Zheng-2007-8	8	3	plant 植物類	樹	tree	906	TREE
Zheng-2007-9	9	3	plant 植物類	果	fruit	1507	FRUIT
Zheng-2007-10	10	3	plant 植物類	葉	leaf	628	LEAF
Zheng-2007-11	11	3	plant 植物類	根	root	670	ROOT
Zheng-2007-12	12	3	plant 植物類	皮	bark (tree-skin)	1204	BARK
Zheng-2007-13	13	4	body 身體類	膚	skin	763	SKIN
Zheng-2007-14	14	4	body 身體類	肉	meat	634	MEAT
Zheng-2007-15	15	4	body 身體類	血	blood	946	BLOOD
Zheng-2007-16	16	4	body 身體類	骨	bone	1394	BONE
Zheng-2007-17	17	4	body 身體類	油	oil (fat)	2551	ORGANIC FAT OR OIL
Zheng-2007-18	18	4	body 身體類	蛋	egg	744	EGG
Zheng-2007-19	19	4	body 身體類	角	horn	1393	HORN (ANATOMY)
Zheng-2007-20	20	4	body 身體類	尾	tail	1220	TAIL
Zheng-2007-21	21	4	body 身體類	羽	feather	1201	FEATHER
Zheng-2007-22	22	4	body 身體類	髮	hair	1040	HAIR
Zheng-2007-23	23	4	body 身體類	頭	head	1256	HEAD
Zheng-2007-24	24	4	body 身體類	耳	ear	1247	EAR
Zheng-2007-25	25	4	body 身體類	眼	eye	1248	EYE
Zheng-2007-26	26	4	body 身體類	鼻	nose	1221	NOSE
Zheng-2007-27	27	4	body 身體類	口	mouth	674	MOUTH
Zheng-2007-28	28	4	body 身體類	牙	tooth	1380	TOOTH
Zheng-2007-29	29	4	body 身體類	舌	tongue	1205	TONGUE
Zheng-2007-30	30	4	body 身體類	爪	claw	72	CLAW
Zheng-2007-31	31	4	body 身體類	膝	knee	1371	KNEE
Zheng-2007-32	32	4	body 身體類	頸	neck	1333	NECK
Zheng-2007-33	33	4	body 身體類	手	hand	1277	HAND
Zheng-2007-34	34	4	body 身體類	腹	belly	1251	BELLY
Zheng-2007-35	35	4	body 身體類	腳	neck	1333	NECK
Zheng-2007-36	36	4	body 身體類	胸	breast (chest)	1402	BREAST
Zheng-2007-37	37	4	body 身體類	心	heart	1223	HEART
Zheng-2007-38	38	4	body 身體類	肝	liver	1224	LIVER
Zheng-2007-39	39	5	natural phenomena 天象類	日	sun	1343	SUN
Zheng-2007-40	40	5	natural phenomena 天象類	月	moon	1313	MOON
Zheng-2007-41	41	5	natural phenomena 天象類	星	star	1430	STAR
Zheng-2007-42	42	5	natural phenomena 天象類	水	water	948	WATER
Zheng-2007-43	43	5	natural phenomena 天象類	雨	rain	658	RAIN (PRECIPITATION)
Zheng-2007-44	44	5	natural phenomena 天象類	夜	night	1233	NIGHT
Zheng-2007-45	45	5	natural phenomena 天象類	雲	cloud	1489	CLOUD
