NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	above	1741	ABOVE
2	adam's apple	802	ADAM'S APPLE
3	aflame	1428	BURNING
4	afraid	1419	FEAR (BE AFRAID)
5	after	1685	AFTER
6	age	1789	AGE
7	agree	3643	AGREE
8	alive	1422	BE ALIVE
9	all	98	ALL
10	alone	1964	ALONE
11	already	2576	ALREADY
12	always	1676	ALWAYS
13	ancestors	1669	ANCESTORS
14	and	1577	AND
15	angry	1826	ANGRY
16	animal	619	ANIMAL
17	ankle	803	ANKLE
18	annoyed	2223	BE ANGRY
19	answer	1275	ANSWER
20	ant	587	ANT
21	ape, orangutan	3298	APE OR MONKEY
22	armpit	1886	ARMPIT
23	arrive	1387	ARRIVE
24	ash	646	ASH
25	ask	1309	ASK (INQUIRE)
26	aunt	1272	AUNT
27	baby	1289	BABY
28	baby carrier	3926	BABY CARRIER
29	back	1291	BACK
30	bad	1292	BAD
31	bait	2013	BAIT
32	bamboo	1927	BAMBOO
33	banana	868	BANANA
34	banyan	346	BANYAN
35	bark	1204	BARK
36	barking deer	3152	MUNTJACS
37	bathe	138	BATHE
38	bear	1820	BEAR
39	because	1157	BECAUSE
40	become	1990	BECOME
41	bee	665	BEE
42	before	1882	BEFORE
43	begin	3447	BEGIN OR START
44	behind	1686	BEHIND
45	bent	297	CROOKED
46	betel chew	3161	CHEW BETEL
47	betel nut	217	BETELNUT
48	between	689	BETWEEN
49	big	1202	BIG
50	binturong
51	bird	937	BIRD
52	bite	1403	BITE
53	bitter	887	BITTER
54	black	163	BLACK
55	blader	1746	BLADDER
56	blind	1653	BLIND
57	blink	1655	BLINK
58	blood	946	BLOOD
59	blow, as wind	175	BLOW (OF WIND)
60	blow nose	2679	BLOW (WITH NOSE)
61	blowpipe
62	blow, with mouth	176	BLOW (WITH MOUTH)
63	boar	1348	BOAR (MALE PIG)
64	body	1480	BODY
65	body hair	189	HAIR (BODY)
66	bone	1394	BONE
67	bored	905	BORING
68	bowl	1530	BOWL
69	brain	1583	BRAIN
70	branch	1531	BRANCH
71	brave	3	BRAVE
72	breast	1402	BREAST
73	breast feed	2472	SUCKLE (BREASTFEED, NURSE)
74	breathe	1407	BREATHE
75	bridge	1011	BRIDGE
76	broom	245	BROOM
77	burn	141	BURN (SOMETHING)
78	burp	2789	BURP
79	burry	1719	BURY
80	but	3843	BUT
81	butterfly	1791	BUTTERFLY
82	buy	1869	BUY
83	calf	1989	CALF
84	call	1084	CALL
85	can; able	972	BE ABLE
86	canine
87	canoe	1970	CANOE
88	capsize
89	carry as a backpack
90	carry as a handle
91	carry on the shoulder	413	CARRY ON SHOULDER
92	carry under one arm	415	CARRY UNDER ARM
93	cat	1208	CAT
94	cataract
95	catch as a ball
96	centepede	1974	CENTIPEDE
97	chair	1476	CHAIR
98	cheek	1730	CHEEK
99	chest	1592	CHEST
100	chew	321	CHEW
101	chicken	1318	CHICKEN
102	child	2099	CHILD
103	chin	1510	CHIN
104	choke	129	CHOKE
105	choose	1750	CHOOSE
106	chop as meat	155	CHOP
107	cicada	2353	CICADA
108	clean	2235	CLEAN (SOMETHING)
109	climb	1102	CLIMB
110	cloud	1489	CLOUD
111	cockroach	1575	COCKROACH
112	coconut	970	COCONUT
113	coffin	2011	COFFIN
114	cold	1287	COLD
115	collapse
116	come	1446	COME
117	cook	1100	COOK (SOMETHING)
118	cooked rice	1191	COOKED RICE
119	corpse	767	CORPSE
120	coucal
121	cough	3913	COUGH (ACT OF COUGHING)
122	count	1420	COUNT
123	cousin	1643	COUSIN
124	crab	2348	CRAB
125	crack	3080	SPLIT OPEN
126	crocodile	1857	CROCODILE
127	cry	1839	CRY
128	dance	1879	DANCE
129	dark	706	DARK
130	dart	2587	DARTS
131	daughter in law	1057	DAUGHTER-IN-LAW
132	day	1225	DAY (NOT NIGHT)
133	deaf	996	DEAF
134	death	910	DEATH
135	deep	1593	DEEP
136	deer	1936	DEER
137	derris root
138	diarrhea	1177	DIARRHEA
139	die	1494	DIE
140	different	2504	DIFFERENT
141	difficult	584	DIFFICULT
142	dig	1418	DIG
143	dirty	1230	DIRTY
144	divide, pull or push apart	1359	SEPARATE
145	divorce/separate	3672	DIVORCE (SEPARATE)
146	dizzy	2712	GET DIZZY
147	dog	2009	DOG
148	dom. Pig
149	door	1567	DOOR
150	downriver
151	dragon	2038	DRAGON
152	dragonfly	2352	DRAGONFLY
153	dream	2455	DREAMING OR DREAM
154	drink	1401	DRINK
155	drop	750	DROP
156	drown	1904	DROWN
157	drum	908	DRUM
158	drunk	1463	DRUNK
159	dry	1398	DRY
160	dull	379	BLUNT
161	durian
162	dust	2	DUST
163	eagle	1905	EAGLE
164	ear	1247	EAR
165	earthworm	2350	EARTHWORM
166	easy	686	EASY
167	eat	1336	EAT
168	edge	863	EDGE
169	egg	744	EGG
170	egret	758	HERON
171	eight	1705	EIGHT
172	elbow	981	ELBOW
173	empty	1624	EMPTY
174	enemy	1358	ENEMY
175	enough	1881	ENOUGH
176	enter	749	ENTER
177	evening	1629	EVENING
178	every	98	ALL
179	every day
180	excrement	675	FAECES (EXCREMENT)
181	eye	1248	EYE
182	eye brow	1173	EYEBROW
183	eyelash	1540	EYELASH
184	face	1560	FACE
185	fall	1280	FALL
186	.false
187	far	1406	FAR
188	fast	1631	FAST
189	fat	1279	FAT (OBESE)
190	father	1217	FATHER
191	father in law	1055	FATHER-IN-LAW
192	fathom	81	FATHOM
193	fat (n)	323	FAT (ORGANIC SUBSTANCE)
194	feeling	2573	FEELING (EMOTION)
195	fell	355	CUT DOWN
196	fern	3802	FERN
197	fever	1534	FEVER
198	few	1242	FEW
199	field hut
200	fight	1423	FIGHT
201	fill	2006	FILL
202	fin	213	FIN
203	find	719	FIND
204	finger	1303	FINGER
205	finger nail	1258	FINGERNAIL
206	finish	1766	FINISH
207	fire 	221	FIRE
208	fireplace	185	FIREPLACE
209	firewood	10	FIREWOOD
210	firewood storage
211	fish	227	FISH
212	five	493	FIVE
213	flat	1633	FLAT
214	flesh	2615	FLESH OR MEAT
215	float	1574	FLOAT
216	flood	613	HIGH TIDE
217	floor	1632	FLOOR
218	flower	239	FLOWER
219	fly	1441	FLY (MOVE THROUGH AIR)
220	flying lemur
221	fontanelle
222	food	256	FOOD
