ID	NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
Gerardi-2021-414-1	1	ABOVE	EM CIMA (DE)	SPATIAL_RELATIONS	1741	ABOVE	
Gerardi-2021-414-2	2	AFTER	DEPOIS (DE)	SPATIAL_RELATIONS	1685	AFTER	
Gerardi-2021-414-3	3	AGOUTI	CUTIA	ANIMALS	313	AGOUTI	42029
Gerardi-2021-414-4	4	ALL	TODOS / TUDO	QUANTITY	98	ALL	
Gerardi-2021-414-5	5	ALONE	SÓ / SOZINHO	QUANTITY	1964	ALONE	
Gerardi-2021-414-6	6	ANACONDA	SUCURI	ANIMALS	896	ANACONDA (WATER BOA)	794661
Gerardi-2021-414-7	7	ANATTO	URUCU	AGRICULTURE_AND_VEGETATION	349	ACHIOTE	584439
Gerardi-2021-414-8	8	ANT	FORMIGA	ANIMALS	587	ANT	
Gerardi-2021-414-9	9	ANTEATER	TAMANDUÁ	ANIMALS	181	ANTEATER	1661
Gerardi-2021-414-10	10	MOUNTAIN SOURSOP	ARATICUM / JACA DE POBRE	FOOD_AND_DRINK			1054865
Gerardi-2021-414-11	11	ARM	BRAÇO	BODY	1673	ARM	
Gerardi-2021-414-12	12	ARMADILLO	TATU	ANIMALS	1885	ARMADILLO	
Gerardi-2021-414-13	13	ARRIVE	CHEGAR	MOTION	1387	ARRIVE	
Gerardi-2021-414-14	14	ARROW	FLECHA	WARFARE_AND_HUNTING	977	ARROW	
Gerardi-2021-414-15	15	ASHES	CINZA (S)	PHYSICAL_WORLD	646	ASH	
Gerardi-2021-414-16	16	AVENGE	VINGAR (-SE)	EMOTIONS_AND_VALUES	495	REVENGE	
Gerardi-2021-414-17	17	AXE	MACHADO	WARFARE_AND_HUNTING	677	AXE	
Gerardi-2021-414-18	18	AÇAÍ PALM	AÇAÍ	AGRICULTURE_AND_VEGETATION	2437	ACAI PALM	1100375
Gerardi-2021-414-19	19	BACK	COSTAS	BODY	1291	BACK	
Gerardi-2021-414-20	20	BABAÇU	BABAÇU	AGRICULTURE_AND_VEGETATION			1131651
Gerardi-2021-414-21	21	BAD / EVIL	MAU / MAL / RUIM	EMOTIONS_AND_VALUES	3764	BAD OR EVIL	
Gerardi-2021-414-22	22	BAMBOO	TAQUARA / BAMBU	AGRICULTURE_AND_VEGETATION	1927	BAMBOO	
Gerardi-2021-414-23	23	BANANA	BANANA	FOOD_AND_DRINK	868	BANANA	44527
Gerardi-2021-414-24	24	BASKET	CESTO / CESTA	BASIC_ACTIONS_AND_TECHNOLOGY	1539	BASKET	
Gerardi-2021-414-25	25	BAT	MORCEGO	ANIMALS	1793	BAT	7631
Gerardi-2021-414-26	26	BATHE	BANHAR-SE	BODY	138	BATHE	
Gerardi-2021-414-27	27	BEADS	MIÇANGAS / CONTAS	CLOTHING_AND_GROOMING	1860	BEAD	
