ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	URL	OMEGAWIKI
Dunn-2012-207-1	85e709f0-ac32-4599-b3bc-9efc76dedd10	I	1	I	http://ielex.mpi.nl/meaning//I	5450
Dunn-2012-207-2	77481f8f-347f-489d-8afd-3e257120a0f6	ALL	2	all	http://ielex.mpi.nl/meaning/all/	1173416
Dunn-2012-207-3	7bbbbe0e-63b3-46a6-920c-33ad5a98291c	AND	3	and	http://ielex.mpi.nl/meaning/and/	6464
Dunn-2012-207-4	e47d5bef-ad59-43ef-a6a3-418133a0e3ad	ANIMAL	4	animal	http://ielex.mpi.nl/meaning/animal/	194
Dunn-2012-207-5	1e7a7abf-2ae4-41fa-8ead-d8daf5d4c253	ASH	5	ashes	http://ielex.mpi.nl/meaning/ashes/	264
Dunn-2012-207-6	2f5b1284-e05a-47c4-ac21-f7b9bc0922c1	AT	6	at	http://ielex.mpi.nl/meaning/at/	6078
Dunn-2012-207-7	8f757781-e96f-475b-a760-af7029ad3aae	BACK	7	back	http://ielex.mpi.nl/meaning/back/	5648
Dunn-2012-207-8	8281b129-7ee9-4931-bc8f-3e28ac2bcb3e	BAD	8	bad	http://ielex.mpi.nl/meaning/bad/	5650
Dunn-2012-207-9	cfa1694b-2377-44bf-836e-48b6429a6d39	BARK	9	bark	http://ielex.mpi.nl/meaning/bark/	5439
Dunn-2012-207-10	b1b9baf7-337d-40f3-a2b5-f6eeeb438801	BECAUSE	10	because	http://ielex.mpi.nl/meaning/because/	514093
Dunn-2012-207-11	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	11	belly	http://ielex.mpi.nl/meaning/belly/	5516
Dunn-2012-207-12	366935cc-961d-4bac-a50b-578041591387	BIG	12	big	http://ielex.mpi.nl/meaning/big/	5437
Dunn-2012-207-13	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	13	bird	http://ielex.mpi.nl/meaning/bird/	400
Dunn-2012-207-14	697220cd-8ed0-4ee6-8968-d2c00242a858	BITE	14	bite	http://ielex.mpi.nl/meaning/bite/	5993
Dunn-2012-207-15	17b3cf38-43a2-4b7d-8c03-32ce0da15608	BLACK	15	black	http://ielex.mpi.nl/meaning/black/	1341728
Dunn-2012-207-16	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	16	blood	http://ielex.mpi.nl/meaning/blood/	411
Dunn-2012-207-17	4a402c5e-fb81-4da5-919c-e97ff7d8b180	BLOW	17	blow	http://ielex.mpi.nl/meaning/blow/	1375415
Dunn-2012-207-18	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	18	bone	http://ielex.mpi.nl/meaning/bone/	5983
Dunn-2012-207-19	d57d9f65-33f1-4b7c-b5ec-3569fcae4f3b	BREAST	19	breast	http://ielex.mpi.nl/meaning/breast/	5992
Dunn-2012-207-20	c56b408f-dc19-4f96-a356-5f817cac02ee	BREATHE	20	breathe	http://ielex.mpi.nl/meaning/breathe/	5998
Dunn-2012-207-21	89a9eddc-5c5d-4ddb-bea4-323c5cc90ca6	BURN	21	burn	http://ielex.mpi.nl/meaning/burn/	6039
	bde47163-41c3-48d1-9c96-2d6253cf135f	BURN SOMETHING	21	burn	http://ielex.mpi.nl/meaning/burn/	1299599
Dunn-2012-207-22	55dd9cf2-157d-4087-bf06-63111982be7e	CHILD DESCENDANT	22	child	http://ielex.mpi.nl/meaning/child/	7413
	e3b58fb8-b930-43ac-958e-5ac16e97a06c	CHILD YOUNG HUMAN	22	child	http://ielex.mpi.nl/meaning/child/	568
Dunn-2012-207-23	6ef11c1f-6b95-4d40-84d9-f80cfd4433d0	CLOUD	23	cloud	http://ielex.mpi.nl/meaning/cloud/	623
Dunn-2012-207-24	14c5e161-d291-460a-b038-af147c6b82ec	COLD OF TEMPERATURE	24	cold	http://ielex.mpi.nl/meaning/cold/	5639
Dunn-2012-207-25	1764034a-a958-48a1-9f99-4e2b6ff20de8	COME	25	come	http://ielex.mpi.nl/meaning/come/	6056
Dunn-2012-207-26	463bed11-66a6-4405-91c4-48356a3f93b8	COUNT	26	count	http://ielex.mpi.nl/meaning/count/	6026
Dunn-2012-207-27	082d7d1d-f2f1-4fff-8167-b201a140e94d	CUT	27	cut	http://ielex.mpi.nl/meaning/cut/	6043
Dunn-2012-207-28	4a388ad7-7c78-4b53-b5c3-d21d7ee0f808	DAY OF LIGHT	28	day	http://ielex.mpi.nl/meaning/day/	5477
Dunn-2012-207-29	321c29bb-8a73-43c9-a52c-4487cf6fee81	DIE	29	die	http://ielex.mpi.nl/meaning/die/	6245
Dunn-2012-207-30	682a5954-08da-40d6-a9e7-0c5189f52a94	DIG	30	dig	http://ielex.mpi.nl/meaning/dig/	6024
Dunn-2012-207-31	0fe4b388-ced1-47dd-b0f9-5f49fa120a4f	DIRTY	31	dirty	http://ielex.mpi.nl/meaning/dirty/	5483
Dunn-2012-207-32	b2f874bc-ab83-4c15-9726-a511aab9e38f	DOG	32	dog	http://ielex.mpi.nl/meaning/dog/	966
Dunn-2012-207-33	c13f419a-836c-4d16-a590-0a04393ccb31	DRINK ACTION	33	drink	http://ielex.mpi.nl/meaning/drink/	5991
Dunn-2012-207-34	0eb95172-31e6-4b34-97da-77c582866431	DRY	34	dry	http://ielex.mpi.nl/meaning/dry/	5989
Dunn-2012-207-35	4ec88006-54b6-41a6-8921-a45aa9909592	BLUNT	35	dull	http://ielex.mpi.nl/meaning/dull/	1511061
Dunn-2012-207-36	35d43413-8a16-4b92-b027-4a33df05eb97	DUST	36	dust	http://ielex.mpi.nl/meaning/dust/	1009
Dunn-2012-207-37	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	37	ear	http://ielex.mpi.nl/meaning/ear/	5510
Dunn-2012-207-38	cb33c1ad-a7b9-4a7d-a7f9-b19a6e696fce	EARTH, SOIL	38	earth	http://ielex.mpi.nl/meaning/earth/	5481
Dunn-2012-207-39	e497c28d-54bb-4600-9708-2a512dda77a3	EAT	39	eat	http://ielex.mpi.nl/meaning/eat/	5827
Dunn-2012-207-40	f3ecbe1a-b17f-4e0d-bac8-e8fcd284598a	EGG	40	egg	http://ielex.mpi.nl/meaning/egg/	340828
Dunn-2012-207-41	95519ce3-89be-4eab-9d70-e4a66a14679a	EYE	41	eye	http://ielex.mpi.nl/meaning/eye/	5511
Dunn-2012-207-42	cf327b30-80a9-4959-955d-cf719c21a48a	FALL	42	fall	http://ielex.mpi.nl/meaning/fall/	5622
Dunn-2012-207-43	9b06d7c3-00b9-420c-9afe-8b195cca6bbb	FAR	43	far	http://ielex.mpi.nl/meaning/far/	5997
Dunn-2012-207-44	cb1348b3-2488-4e9d-ab9f-37793d1f91fc	FAT, SUBSTANCE	44	fat	http://ielex.mpi.nl/meaning/fat/	5624
Dunn-2012-207-45	312756e3-89a8-4d3b-a348-f8340f212b0f	FATHER	45	father	http://ielex.mpi.nl/meaning/father/	5464
Dunn-2012-207-46	c6db1f33-ab28-4bec-8d73-99c4ef9db90f	FEAR, BE AFRAID	46	fear	http://ielex.mpi.nl/meaning/fear/	6025
Dunn-2012-207-47	e68d0707-000c-40af-ab57-e0b3a02b23a3	FEATHER	47	feather	http://ielex.mpi.nl/meaning/feather/	5436
Dunn-2012-207-48	468cb6fa-48ee-4c63-8e42-b33849bc4077	FEW	48	few	http://ielex.mpi.nl/meaning/few/	5500
Dunn-2012-207-49	dd706b5b-840e-49b4-ba8d-840f666fec16	FIGHT	49	fight	http://ielex.mpi.nl/meaning/fight/	6030
Dunn-2012-207-50	d8627136-db5d-48de-a680-e9a719ff3653	NAIL, KERATIN	50	fingernail	http://ielex.mpi.nl/meaning/fingernail/	828575
Dunn-2012-207-51	411a173c-5b15-430d-bc25-7eed20d9ffe9	FIRE	51	fire	http://ielex.mpi.nl/meaning/fire/	1446
Dunn-2012-207-52	28bff12a-4f3c-47a0-b6fe-018423e741e5	FISH	52	fish	http://ielex.mpi.nl/meaning/fish/	1460
Dunn-2012-207-53	df352358-2ff1-4117-834f-bcb5eca37c5a	FIVE	53	five	http://ielex.mpi.nl/meaning/five/	156104
Dunn-2012-207-54	8b755ae4-6205-40ff-a6fb-2eb134b4609b	FLOAT	54	float	http://ielex.mpi.nl/meaning/float/	6457
Dunn-2012-207-55	6c910bd1-5034-4978-8a3e-4d90dbfd4e3a	FLOW	55	flow	http://ielex.mpi.nl/meaning/flow/	961244
Dunn-2012-207-56	83d4d769-7b7a-4747-89b7-4e3903ac9bc9	FLOWER	56	flower	http://ielex.mpi.nl/meaning/flower/	1487
Dunn-2012-207-57	43dfe6ea-2404-4c0e-9402-731449781e6b	FLY, MOVE THROUGH AIR	57	fly	http://ielex.mpi.nl/meaning/fly/	6052
Dunn-2012-207-58	4b693f73-ef53-4a24-a700-21b8fa88f056	FOG	58	fog	http://ielex.mpi.nl/meaning/fog/	1502
Dunn-2012-207-59	06cd62a9-8918-44a8-969c-0fe5dfecafef	FOOT	59	foot	http://ielex.mpi.nl/meaning/foot/	5672
Dunn-2012-207-60	683a1b4e-7c1c-4535-890d-295215c7d211	FOUR	60	four	http://ielex.mpi.nl/meaning/four/	6253
Dunn-2012-207-61	51b50132-a8d9-492e-be2e-1fc0d1bba5e8	FREEZE	61	freeze	http://ielex.mpi.nl/meaning/freeze/	6042
Dunn-2012-207-62	ca121000-d6bf-4087-8ef4-b73ef374700c	FRUIT	62	fruit	http://ielex.mpi.nl/meaning/fruit/	6280
Dunn-2012-207-63	fb86f911-75d0-4b28-b787-64a896f52003	FULL	63	full	http://ielex.mpi.nl/meaning/full/	6040
Dunn-2012-207-64	66207644-d1c8-40d4-8213-43b5fa302dff	GIVE	64	give	http://ielex.mpi.nl/meaning/give/	6059
Dunn-2012-207-65	dc23b880-fa9e-4de3-80f0-26e820eac36c	GOOD	65	good	http://ielex.mpi.nl/meaning/good/	443659
Dunn-2012-207-66	b7e91ed8-f639-4cbf-b761-ea45075e90f7	GRASS	66	grass	http://ielex.mpi.nl/meaning/grass/	1675
Dunn-2012-207-67	4ed1a34f-fbdf-477a-bc41-e7a760756516	GREEN	67	green	http://ielex.mpi.nl/meaning/green/	6032
Dunn-2012-207-68	c691df16-e3b5-4b5a-9be2-4ac8cee42f04	GUTS	68	guts	http://ielex.mpi.nl/meaning/guts/	5824
Dunn-2012-207-69	680c0e51-ffd9-4f1e-8922-79573f551a0d	HAIR	69	hair	http://ielex.mpi.nl/meaning/hair/	446278
Dunn-2012-207-70	2dd51808-bdfd-4f54-b3fd-8379b3728b62	HAND	70	hand	http://ielex.mpi.nl/meaning/hand/	5616
Dunn-2012-207-71	7ab512a6-014f-4d90-9d92-fd4f3de9d0c9	HE	71	he	http://ielex.mpi.nl/meaning/he/	5454
Dunn-2012-207-72	335a32cf-241b-4aec-89a3-addb2c4f3d15	HEAD	72	head	http://ielex.mpi.nl/meaning/head/	5527
Dunn-2012-207-73	f7396782-89ba-4a5b-b90d-a7da3be51c96	HEAR	73	hear	http://ielex.mpi.nl/meaning/hear/	5999
Dunn-2012-207-74	81d67aed-f7a8-465a-b815-33c82c179698	HEART	74	heart	http://ielex.mpi.nl/meaning/heart/	5475
Dunn-2012-207-75	3e90f871-f3f7-4ad0-8c98-7099457bbb50	HEAVY	75	heavy	http://ielex.mpi.nl/meaning/heavy/	5451
Dunn-2012-207-76	e9c2546f-3a1b-4ed4-a202-dae41537fb49	HERE	76	here	http://ielex.mpi.nl/meaning/here/	1287831
Dunn-2012-207-77	43777040-93d5-46b6-9acb-663905e39d79	HIT	77	hit	http://ielex.mpi.nl/meaning/hit/	6044
Dunn-2012-207-78	88fb8863-e479-4da4-b4ef-d87bb75a8fbd	HOLD	78	hold	http://ielex.mpi.nl/meaning/hold/	6060
Dunn-2012-207-79	43f35ebb-efc7-4cb8-9aa9-46df741b28c2	HORN, KERATINIZED SKIN	79	horn	http://ielex.mpi.nl/meaning/horn/	5981
Dunn-2012-207-80	fce2804d-1d94-4512-b195-85db25e589db	HOW	80	how	http://ielex.mpi.nl/meaning/how/	5494
Dunn-2012-207-81	a13874a1-e2ad-4836-a30a-3446f51debc7	HUNT	81	hunt	http://ielex.mpi.nl/meaning/hunt/	6046
Dunn-2012-207-82	89d402d6-bf71-4f5d-bb91-3cae481c5464	HUSBAND	82	husband	http://ielex.mpi.nl/meaning/husband/	5432
Dunn-2012-207-83	0c93e974-2e08-489a-b599-9c9b45296e31	ICE	83	ice	http://ielex.mpi.nl/meaning/ice/	1837
Dunn-2012-207-84	4e1f72ab-194b-4201-b4b9-dbee10847b44	IF	84	if	http://ielex.mpi.nl/meaning/if/	6076
Dunn-2012-207-85	4cf12d7e-ee34-4ce0-9e44-64ffe863fadc	IN	85	in	http://ielex.mpi.nl/meaning/in/	6077
Dunn-2012-207-86	5e920dfa-8e49-4f16-bc84-9093cfeb2b8c	KILL	86	kill	http://ielex.mpi.nl/meaning/kill/	6023
Dunn-2012-207-87	3902ffeb-e290-4791-a373-7d1c320121f1	KNEE	87	knee	http://ielex.mpi.nl/meaning/knee/	5918
Dunn-2012-207-88	51b21290-3101-4807-a7b5-962982fe3747	KNOW	88	know	http://ielex.mpi.nl/meaning/know/	6004
Dunn-2012-207-89	c0a543be-2b17-4ac4-ac39-c55d6a81f8c0	LAKE	89	lake	http://ielex.mpi.nl/meaning/lake/	2061
Dunn-2012-207-90	d0b28173-67da-4c76-af96-df5da05ca9b2	LAUGH	90	laugh	http://ielex.mpi.nl/meaning/laugh/	5876
Dunn-2012-207-91	e762f6b4-988c-40bf-81e3-f116cf2ee61c	LEAF	91	leaf	http://ielex.mpi.nl/meaning/leaf/	2124
Dunn-2012-207-92	7d4d1ef2-b4e0-4efd-9bb3-c28fcc77ad79	LEFT	92	left	http://ielex.mpi.nl/meaning/left/	1499731
Dunn-2012-207-93	4287fc48-ffc7-47eb-b109-c271e11cb601	LEG	93	leg	http://ielex.mpi.nl/meaning/leg/	5665
Dunn-2012-207-94	51f6516c-c433-4541-9204-d72b54348865	LIE, REST	94	lie	http://ielex.mpi.nl/meaning/lie/	6005
Dunn-2012-207-95	a0af4f82-1149-4445-a2bd-75f8d92a7968	BE ALIVE	95	live	http://ielex.mpi.nl/meaning/live/	6028
Dunn-2012-207-96	4c757d6a-cabe-4007-b67d-796b5b669d54	LIVER	96	liver	http://ielex.mpi.nl/meaning/liver/	5476
Dunn-2012-207-97	8f5d5298-0b47-4877-a522-bdd368d1a3f6	LONG	97	long	http://ielex.mpi.nl/meaning/long/	5438
Dunn-2012-207-98	1172db7f-7426-42e0-abe6-566f6651c232	LOUSE	98	louse	http://ielex.mpi.nl/meaning/louse/	5980
Dunn-2012-207-99	b05994fd-36af-44e5-9193-c515ae1bc5d2	MAN	99	man	http://ielex.mpi.nl/meaning/man/	6397
Dunn-2012-207-100	4e366c47-04e6-40c1-9113-0646108437a6	MANY	100	many	http://ielex.mpi.nl/meaning/many/	5423
Dunn-2012-207-101	1bab3615-7fa1-4a5c-9f4d-6ece5c9a7a88	MEAT	101	meat	http://ielex.mpi.nl/meaning/meat/	2300
Dunn-2012-207-102	5810595a-7c94-4521-8105-fe411e558cc1	MOON	102	moon	http://ielex.mpi.nl/meaning/moon/	5729
Dunn-2012-207-103	20777ac9-eb41-4985-aa65-d274ac412c38	MOTHER	103	mother	http://ielex.mpi.nl/meaning/mother/	5463
Dunn-2012-207-104	15ed59ba-83aa-40e9-bc5a-2b3eb7869e0e	MOUNTAIN	104	mountain	http://ielex.mpi.nl/meaning/mountain/	2421
Dunn-2012-207-105	c780cfa8-2b82-4235-b292-b58476612151	MOUTH	105	mouth	http://ielex.mpi.nl/meaning/mouth/	332000
Dunn-2012-207-106	c3cd9831-cd53-42a7-b588-c09381f05247	NAME	106	name	http://ielex.mpi.nl/meaning/name/	5995
Dunn-2012-207-107	4eb283e6-c3ea-4498-9c39-4ae2bc9d3812	NARROW	107	narrow	http://ielex.mpi.nl/meaning/narrow/	5566
Dunn-2012-207-108	7f0174c0-7410-4ea9-8d14-361c5f9b5363	NEAR	108	near	http://ielex.mpi.nl/meaning/near/	869106
Dunn-2012-207-109	634d1187-3a1f-422a-b471-7bd362440466	NECK	109	neck	http://ielex.mpi.nl/meaning/neck/	5823
Dunn-2012-207-110	c653e833-bfe2-40dc-881e-9996a83ce9f3	NEW	110	new	http://ielex.mpi.nl/meaning/new/	5484
Dunn-2012-207-111	1f380ab5-cb55-4949-be87-abfc3ca51b7a	NIGHT	111	night	http://ielex.mpi.nl/meaning/night/	5486
Dunn-2012-207-112	23cad4b2-107d-4e9d-87e1-713d85f21963	NOSE	112	nose	http://ielex.mpi.nl/meaning/nose/	5471
Dunn-2012-207-113	c7642cb8-377d-4db9-877e-32fef84534d7	NOT	113	not	http://ielex.mpi.nl/meaning/not/	5495
Dunn-2012-207-114	df3eb2a4-3b46-4ffe-8bfa-5e27ec8e00f4	OLD	114	old	http://ielex.mpi.nl/meaning/old/	5482
Dunn-2012-207-115	9ea1fb52-6f31-4514-9ecf-c8af02dc1eb7	ONE	115	one	http://ielex.mpi.nl/meaning/one/	6244
Dunn-2012-207-116	48ce6e77-d814-4036-973f-4116833606aa	OTHER	116	other	http://ielex.mpi.nl/meaning/other/	1406403
Dunn-2012-207-117	f32ebd1c-cf25-438e-85bb-8c0b1110508e	PERSON	117	person	http://ielex.mpi.nl/meaning/person/	333730
Dunn-2012-207-118	9fb4f12e-6794-4763-9b1d-0f8f16429e5d	PLAY	118	play	http://ielex.mpi.nl/meaning/play/	6010
Dunn-2012-207-119	2f337654-56c6-460c-97d4-5fa230393b65	PULL	119	pull	http://ielex.mpi.nl/meaning/pull/	6071
Dunn-2012-207-120	8d5d9688-1db5-49db-bddd-214dfdc1ef0a	PUSH	120	push	http://ielex.mpi.nl/meaning/push/	6068
Dunn-2012-207-121	8fd80d81-e7a4-4f66-8928-7fe20056c5b1	RAIN, PRECIPATION	121	rain	http://ielex.mpi.nl/meaning/rain/	3100
	04f21460-af1a-465d-99dd-c9494fd8f5e5	RAINING	121	rain	http://ielex.mpi.nl/meaning/rain/	5523
Dunn-2012-207-122	8d5aef04-d63a-4f35-95ac-21e82b2abf19	RED	122	red	http://ielex.mpi.nl/meaning/red/	1333710
Dunn-2012-207-123	e5aa4350-cd81-45cc-9914-251d6e3f02d9	CORRECT, RIGHT	123	right	http://ielex.mpi.nl/meaning/right/	7026
Dunn-2012-207-124	452b12ff-13e5-4048-b33d-ca0b06cd79ac	RIGHT	124	rightside	http://ielex.mpi.nl/meaning/rightside/	436024
Dunn-2012-207-125	a6cb03e9-20e0-48b9-b9dc-69d79ca09d80	RIVER	125	river	http://ielex.mpi.nl/meaning/river/	3253
Dunn-2012-207-126	1fb61d64-621a-4a77-86dc-4b6cb6bae7cb	ROAD	126	road	http://ielex.mpi.nl/meaning/road/	3258
Dunn-2012-207-127	bede7711-8bc5-4142-ab29-b97434997e96	ROOT	127	root	http://ielex.mpi.nl/meaning/root/	3269
Dunn-2012-207-128	a84a7d49-3340-4dc2-a6e7-49c73a4a33f4	ROPE	128	rope	http://ielex.mpi.nl/meaning/rope/	5465
Dunn-2012-207-129	52e3367a-506a-4d27-91da-b4480ba02e1a	ROTTEN	129	rotten	http://ielex.mpi.nl/meaning/rotten/	7031
Dunn-2012-207-130	82297c96-cf69-4b4b-8413-dab530c3cdc1	ROUND	130	round	http://ielex.mpi.nl/meaning/round/	5984
Dunn-2012-207-131	e5d1eb6d-fba2-4ca9-ab13-430e4b018afb	RUB	131	rub	http://ielex.mpi.nl/meaning/rub/	6062
Dunn-2012-207-132	3c67af51-40af-40a0-b14f-830b68f8bf28	SALT	132	salt	http://ielex.mpi.nl/meaning/salt/	5599
Dunn-2012-207-133	f35d9447-d39d-4c0f-b2af-bdf3afa31e71	SAND	133	sand	http://ielex.mpi.nl/meaning/sand/	3305
Dunn-2012-207-134	85efc208-f0ba-4b39-9d21-62d82b05f7d7	SAY	134	say	http://ielex.mpi.nl/meaning/say/	6075
Dunn-2012-207-135	163ac2df-bf61-4d9a-a0e5-8d7b8c7e8729	SCRATCH	135	scratch	http://ielex.mpi.nl/meaning/scratch/	6047
Dunn-2012-207-136	fd017811-630b-498a-b832-f2497e744081	SEA	136	sea	http://ielex.mpi.nl/meaning/sea/	6154
Dunn-2012-207-137	01b206d7-ce05-49a6-a42d-42f8d391f9b5	SEE	137	see	http://ielex.mpi.nl/meaning/see/	6003
Dunn-2012-207-138	32125c3f-70f1-43ed-9663-99b913c1ae4b	SEED	138	seed	http://ielex.mpi.nl/meaning/seed/	3361
Dunn-2012-207-139	d072812c-c8b2-4198-a941-ac113126eba4	SEW	139	sew	http://ielex.mpi.nl/meaning/sew/	6073
Dunn-2012-207-140	24b1cbed-4853-4aaa-84b8-f1723c9da86f	SHARP	140	sharp	http://ielex.mpi.nl/meaning/sharp/	5987
Dunn-2012-207-141	ca5e9242-a97b-4935-b8e9-9e8aaea9d811	SHORT	141	short	http://ielex.mpi.nl/meaning/short/	6746
Dunn-2012-207-142	1e5ccd3d-2fba-4bd1-82df-7c2e6edebcc9	SING	142	sing	http://ielex.mpi.nl/meaning/sing/	5540
Dunn-2012-207-143	ff02753d-0221-4724-a887-6dec93cfa257	SIT	143	sit	http://ielex.mpi.nl/meaning/sit/	6022
Dunn-2012-207-144	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	144	skin	http://ielex.mpi.nl/meaning/skin/	3430
Dunn-2012-207-145	a2785c13-39c4-4c2d-9e5b-ff332bb367ba	SKY	145	sky	http://ielex.mpi.nl/meaning/sky/	7039
Dunn-2012-207-146	1ba0ca4c-3ff5-425b-98b5-c79797234e78	SLEEP	146	sleep	http://ielex.mpi.nl/meaning/sleep/	6519
Dunn-2012-207-147	757b999e-883b-4de8-b6a0-742d2475196b	SMALL	147	small	http://ielex.mpi.nl/meaning/small/	5509
Dunn-2012-207-148	03466044-6955-4b19-924d-5af74191bb6c	SMELL, PERCEIVE	148	smell	http://ielex.mpi.nl/meaning/smell/	6520
Dunn-2012-207-149	33f80507-7244-420e-afee-a7c779457861	SMOKE, EXHAUST	149	smoke	http://ielex.mpi.nl/meaning/smoke/	3451
Dunn-2012-207-150	c1020d83-9502-4bc9-9919-ae7e94a3ffe0	SMOOTH	150	smooth	http://ielex.mpi.nl/meaning/smooth/	5487
Dunn-2012-207-151	086ce495-aca0-4d4f-9e4b-db25b0c6cbd3	SNAKE	151	snake	http://ielex.mpi.nl/meaning/snake/	3388
Dunn-2012-207-152	7dfb0f38-ca0c-4b67-9919-db6c0095d7b5	SNOW	152	snow	http://ielex.mpi.nl/meaning/snow/	3455
Dunn-2012-207-153	05a16899-6471-416c-9c95-7b0084d3d9c7	SOME	153	some	http://ielex.mpi.nl/meaning/some/	5499
