ID	NUMBER	SWADESH_ID	ENGLISH_1	RUSSIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mennecier-2016-183-1	1	44	animal	животное	animal	619	ANIMAL
Mennecier-2016-183-2	2	168	ashes	пепел	ashes	646	ASH
Mennecier-2016-183-3	3	Added word	autumn	осень	autumn	1276	AUTUMN
Mennecier-2016-183-4	4	88	back	спина	back	1291	BACK
Mennecier-2016-183-5	5	186	bad	плохой	bad	1292	BAD
Mennecier-2016-183-6	6	58	bark	кора	bark	1204	BARK
Mennecier-2016-183-7	7	85	belly	живот	belly	1251	BELLY
Mennecier-2016-183-8	8	27	big	большой	big	1202	BIG
Mennecier-2016-183-9	9	46	bird	птица	bird	937	BIRD
Mennecier-2016-183-10	10	176	black	чёрный	black	163	BLACK
Mennecier-2016-183-11	11	64	blood	кровь	blood	946	BLOOD
Mennecier-2016-183-12	12	65	bone	кость	bone	1394	BONE
Mennecier-2016-183-13	13	89	breast	грудь	breast	1402	BREAST
Mennecier-2016-183-14	14	Added word	butterfly	бабочка	butterfly	1791	BUTTERFLY
Mennecier-2016-183-15	15	39	child	ребёнок	child	2099	CHILD
Mennecier-2016-183-16	16	160	cloud	облако	cloud	1489	CLOUD
Mennecier-2016-183-17	17	181	cold	холодный	cold	1287	COLD
Mennecier-2016-183-18	18	196	correct	правильный	correct	1725	CORRECT (RIGHT)
Mennecier-2016-183-19	19	178	day	день	day	1225	DAY (NOT NIGHT)
Mennecier-2016-183-20	20	188	dirty	грязный	dirty	1230	DIRTY
Mennecier-2016-183-21	21	47	dog	собака	dog	2009	DOG
Mennecier-2016-183-22	22	195	dry	сухой	dry	1398	DRY
Mennecier-2016-183-23	23	192	dull, blunt	тупой	dull	379	BLUNT
Mennecier-2016-183-24	24	158	dust	пыль	dust	2	DUST
Mennecier-2016-183-25	25	73	ear	ухо	ear	1247	EAR
Mennecier-2016-183-26	26	159	earth	земля	earth	1228	EARTH (SOIL)
Mennecier-2016-183-27	27	67	egg	яйцо	egg	744	EGG
Mennecier-2016-183-28	28	74	eye	глаз	eye	1248	EYE
Mennecier-2016-183-29	29	198	far	далеко	far	1406	FAR
Mennecier-2016-183-30	30	66	fat	жир	fat	323	FAT (ORGANIC SUBSTANCE)
Mennecier-2016-183-31	31	43	father	отец	father	1217	FATHER
Mennecier-2016-183-32	32	70	feather	перо	feather	1201	FEATHER
Mennecier-2016-183-33	33	167	fire	огонь	fire	221	FIRE
Mennecier-2016-183-34	34	45	fish	рыба	fish	227	FISH
Mennecier-2016-183-35	35	26	five	пять	five	493	FIVE
Mennecier-2016-183-36	36	59	flower	цветок	flower	239	FLOWER
Mennecier-2016-183-37	37	161	fog	туман	fog	249	FOG
Mennecier-2016-183-38	38	52	forest	лес	forest	420	FOREST
Mennecier-2016-183-39	39	25	four	четыре	four	1500	FOUR
Mennecier-2016-183-40	40	54	fruit	фрукт	fruit	1507	FRUIT
Mennecier-2016-183-41	41	182	full	полный	full	1429	FULL
Mennecier-2016-183-42	42	185	good	хороший	good	1035	GOOD
Mennecier-2016-183-43	43	60	grass	трава	grass	606	GRASS
Mennecier-2016-183-44	44	173	green	зелёный	green	1425	GREEN
Mennecier-2016-183-45	45	71	hair	волосы	hair	2648	HAIR (HEAD)
Mennecier-2016-183-46	46	83	hand	рука, ладонь	hand	1277	HAND
Mennecier-2016-183-47	47	3	he	он	he	1211	HE
Mennecier-2016-183-48	48	72	head	голова	head	1256	HEAD
