ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-64	64	Coat	603	COAT	παιηό 	5	2.1	47.24	2.38	3.01	0.97
Dimitropoulou-2009-260-65	65	Comb	1475	COMB	ρηέλα 	5	0.2	78.42	2.22	2.12	0.77
Dimitropoulou-2009-260-66	66	Corn	506	MAIZE	θαιακπόθη 	9	2.4	98.46	2.52	2.54	0.79
Dimitropoulou-2009-260-67	67	Couch	3099	SOFA	θαλαπέο 	7	0.5	100.0	2.19	1.97	0.75
Dimitropoulou-2009-260-68	68	Cow	1007	COW	αγειάδα 	7	1.5	96.34	2.73	2.04	0.74
Dimitropoulou-2009-260-69	69	Crown	1943	CROWN (OF HEAD)	ζηέκκα 	6	3.2	55.05	2.88	2.63	0.95
Dimitropoulou-2009-260-70	70	Cup	476	CUP	θιηηδάλη 	8	1.4	69.82	2.1	2.33	0.77
Dimitropoulou-2009-260-71	71	Deer	1936	DEER	ειάθη 	5	0.8	82.93	2.86	2.38	0.8
Dimitropoulou-2009-260-72	72	Desk	1775	TABLE	γξαθείν 	7	93.6	92.38	2.53	2.33	0.69
Dimitropoulou-2009-260-73	73	Dog	2009	DOG	ζθύινο 	6	3.7	96.35	2.29	1.49	0.57
Dimitropoulou-2009-260-74	74	Doll	1659	DOLL	θνύθια 	6	2.3	91.44	2.69	1.48	0.62
Dimitropoulou-2009-260-75	75	Donkey	1862	DONKEY	γάηδαξνο 	8	0.7	63.83	2.55	2.02	0.71
Dimitropoulou-2009-260-76	76	Door	1567	DOOR	πόξηα 	5	66.0	98.17	2.04	1.59	0.64
Dimitropoulou-2009-260-77	77	Doorknob	4030	DOORKNOB	πόκνιν 	6	0.6	92.38	2.52	2.76	0.89
Dimitropoulou-2009-260-78	78	Dress	474	DRESS	θόξεκα 	6	5.1	94.82	2.1	2.37	0.85
Dimitropoulou-2009-260-79	79	Dresser	4055	DRESSER	ζπξηαξηέξα 	10	0.0	53.42	2.46	3.15	1.02
Dimitropoulou-2009-260-80	80	Drum	908	DRUM	ηύκπαλν 	7	1.4	91.38	2.58	2.62	0.9
Dimitropoulou-2009-260-81	81	Duck	1360	DUCK	πάπηα 	5	1.1	94.46	2.86	2.16	0.81
Dimitropoulou-2009-260-82	82	Eagle	1905	EAGLE	αεηόο 	5	2.1	65.75	3.25	2.7	0.82
Dimitropoulou-2009-260-83	83	Ear	1247	EAR	απηί 	4	8.6	100.0	2.32	1.42	0.57
Dimitropoulou-2009-260-84	84	Elephant	1290	ELEPHANT	ειέθαληαο 	9	0.5	99.39	2.61	2.13	0.77
Dimitropoulou-2009-260-85	85	Envelope	3088	ENVELOPE	θάθεινο 	7	11.4	83.59	1.78	2.64	0.74
Dimitropoulou-2009-260-86	86	Eye	1248	EYE	κάηη 	4	35.9	98.48	2.45	1.39	0.65
Dimitropoulou-2009-260-87	87	Fence	1690	FENCE	θξάρηεο 	7	0.1	93.52	2.02	2.7	0.78
Dimitropoulou-2009-260-88	88	Finger	1303	FINGER	δείθηεο 	7	40.7	83.59	2.27	2.46	0.95
Dimitropoulou-2009-260-89	89	Fish	227	FISH	ςάξη 	4	5.7	100.0	2.61	1.84	0.67
Dimitropoulou-2009-260-90	90	Flag	2623	FLAG	ζεκαία 	6	26.0	97.86	2.09	2.48	0.74
Dimitropoulou-2009-260-91	91	Flower	239	FLOWER	ινπινύδη 	8	2.6	96.32	2.53	1.72	0.75
Dimitropoulou-2009-260-92	92	Flute	777	FLUTE	θινγέξα 	7	0.6	53.27	3.18	3.37	0.97
Dimitropoulou-2009-260-93	93	Fly	1504	FLY (INSECT)	κύγα 	4	2.1	100.0	2.92	2.03	0.74
Dimitropoulou-2009-260-94	94	Foot	1301	FOOT	παηνύζα 	7	0.2	45.57	2.17	1.94	0.96
Dimitropoulou-2009-260-95	95	Football	1845	BALL	κπάια 	5	63.3	63.61	2.32	3.01	1.22
Dimitropoulou-2009-260-96	96	Football helmet			θξάλνο 	6	2.9	91.38	2.71	3.11	0.89
Dimitropoulou-2009-260-97	97	Fork	1302	FORK	πηξνύλη 	7	3.5	100.0	1.92	1.67	0.68
Dimitropoulou-2009-260-98	98	Fox	1312	FOX	αιεπνύ 	6	2.0	99.39	2.76	2.15	0.7
Dimitropoulou-2009-260-99	99	French horn	939	HORN (INSTRUMENT)	ηξνκπόλη 	8	0.3	32.49	3.53	3.86	1.0
Dimitropoulou-2009-260-100	100	Frog	503	FROG	βάηξαρνο 	8	0.6	96.95	2.57	2.16	0.72
