ID	NUMBER	GLOSS	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS
Jacques-2015-249-1	1	above	location, adjective or noun	0731	1741	ABOVE
Jacques-2015-249-2	2	all	characterisation, quantity	0962	98	ALL
Jacques-2015-249-3	3	the ant	animal	0365	587	ANT
Jacques-2015-249-4	4	the armpit	body	0092	1886	ARMPIT
Jacques-2015-249-5	5	bad	characterisation, character	1053	1292	BAD
Jacques-2015-249-6	6	the bamboo	plant, food	0389	1927	BAMBOO
Jacques-2015-249-7	7	the barley (tibetan or highland)	plant	0411	932	BARLEY
Jacques-2015-249-8	8	to be alive	process	1087	1422	BE ALIVE
Jacques-2015-249-9	9	the belly	body	0096	1251	BELLY
Jacques-2015-249-10	10	below, under	location, adjective or noun	0732	1485	BELOW OR UNDER
Jacques-2015-249-11	11	big	characterisation, quantity	0964	1202	BIG
Jacques-2015-249-12	12	the bird	animal	0326	937	BIRD
Jacques-2015-249-13	13	to bite	action	1753	1403	BITE
Jacques-2015-249-14	14	black	characterization, color	1005	163	BLACK
Jacques-2015-249-15	15	the blood	body	0129	946	BLOOD
Jacques-2015-249-16	16	to blow (of wind)	process	1738	175	BLOW (OF WIND)
Jacques-2015-249-17	17	the body hair (hair or fur)		0266	189	BODY HAIR
Jacques-2015-249-18	18	the bone	body	0133	1394	BONE
Jacques-2015-249-19	19	the branch	body, plant	0374	1513	THINK (BELIEVE)
Jacques-2015-249-20	20	the breast (female)	body	0094	1402	BREAST
Jacques-2015-249-21	21	to burn [intransitive]	process	1269	1428	BURNING
Jacques-2015-249-22	22	to buy	action	1516	1869	BUY
Jacques-2015-249-23	23	to chew	action	1424	321	CHEW
Jacques-2015-249-24	24	the child (young human)	kinship	0169	1304	CHILD (YOUNG HUMAN)
Jacques-2015-249-25	25	the cloud	nature	0007	1489	CLOUD
Jacques-2015-249-26	26	cold (of temperature)	characterization, weather	1063	1287	COLD (OF TEMPERATURE)
Jacques-2015-249-27	27	to come	action	1491	1446	COME
Jacques-2015-249-28	28	correct (right)	characterization, character	1045	1725	CORRECT (RIGHT)
Jacques-2015-249-29	29	to count	action	1640	1420	COUNT
Jacques-2015-249-30	30	to cry (weep)	action	1485	1839	CRY
Jacques-2015-249-31	31	dark	characterisation, state	1013	706	DARK
Jacques-2015-249-32	32	the daughter	kinship	0222	1357	DAUGHTER
Jacques-2015-249-33	33	the dew	nature	0015	1977	DEW
Jacques-2015-249-34	34	to die	process	1651	1494	DIE
Jacques-2015-249-35	35	to dig	action	1698	1418	DIG
Jacques-2015-249-36	36	dirty	characterisation, state	1086	1230	DIRTY
Jacques-2015-249-37	37	the dog	nature	0289	2009	DOG
Jacques-2015-249-38	38	the dream	mind	0699	2374	DREAM
Jacques-2015-249-39	39	to drink	action	1370	1401	DRINK
Jacques-2015-249-40	40	dry	characterisation, state	1028	1398	DRY
Jacques-2015-249-41	41	the dust	nature	0045	2	DUST
Jacques-2015-249-42	42	the ear	body	0081	1247	EAR
Jacques-2015-249-43	43	early	time	1018	672	EARLY
Jacques-2015-249-44	44	the earth (soil)	nature	0040	1228	EARTH (SOIL)
Jacques-2015-249-45	45	the earthworm	animal	0363	2350	EARTHWORM
Jacques-2015-249-46	46	to eat	action	1198	1336	EAT
Jacques-2015-249-47	47	the egg	animal, product	0450	744	EGG
Jacques-2015-249-48	48	eight	number	0804	1705	EIGHT
Jacques-2015-249-49	49	the eye	body	0079	1248	EYE
Jacques-2015-249-50	50	far	characterisation, location	0974	1406	FAR
Jacques-2015-249-51	51	the father	kinship	0218	1217	FATHER
Jacques-2015-249-52	52	the feather	animal, product	0299	1201	FEATHER
Jacques-2015-249-53	53	to fight	action	1234	1423	FIGHT
Jacques-2015-249-54	54	the fire	nature	0018	221	FIRE
Jacques-2015-249-55	55	firewood	object, utility	0534	10	FIREWOOD
Jacques-2015-249-56	56	the fish	animal	0351	227	FISH
Jacques-2015-249-57	57	five	number	0801	493	FIVE
Jacques-2015-249-58	58	the flea	animal	0355	232	FLEA
Jacques-2015-249-59	59	to float	process	1553	1574	FLOAT
Jacques-2015-249-60	60	to flow	process	1502	2003	FLOW
Jacques-2015-249-61	61	the flower	plant	0377	239	FLOWER
Jacques-2015-249-62	62	to fly (move through air)	action	1318	1441	FLY (MOVE THROUGH AIR)
Jacques-2015-249-63	63	the fog	nature	0016	249	FOG
Jacques-2015-249-64	64	the foot	body	0103	1301	FOOT
Jacques-2015-249-65	65	the forest	nature	0050	420	FOREST
Jacques-2015-249-66	66	forget	action	1704	1523	FORGET
Jacques-2015-249-67	67	four	number	0800	1500	FOUR
Jacques-2015-249-68	68	the fox	animal	0325	1312	FOX
Jacques-2015-249-69	69	the frog	animal	0349	503	FROG
Jacques-2015-249-70	70	the front (front side)	location	0712	2194	FRONT (PART)
Jacques-2015-249-71	71	the frost	nature	0014	2034	FROST
Jacques-2015-249-72	72	the fruit	nature, food	0378	1507	FRUIT
Jacques-2015-249-73	73	full	characterisation, state	0984	1429	FULL
Jacques-2015-249-74	74	to give	action	1345	1447	GIVE
Jacques-2015-249-75	75	the goat	animal	0276	1502	GOAT
Jacques-2015-249-76	76	good	characterisation, character	1052	1035	GOOD
