ID	NUMBER	RUSSIAN	ENGLISH	SEMANTIC_CLASS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Paperno-2019-99-1	1	molodoj	young	age	1207	YOUNG
Paperno-2019-99-2	2	staršij	elder	age		
Paperno-2019-99-3	3	novyj	new	age	1231	NEW
Paperno-2019-99-4	4	staryj	old	age	1229	OLD
Paperno-2019-99-5	5	belyj	white	color	1335	WHITE
Paperno-2019-99-6	6	sinij	blue	color	837	BLUE
Paperno-2019-99-7	7	želtyj	yellow	color	1424	YELLOW
Paperno-2019-99-8	8	černyj	black	color	163	BLACK
Paperno-2019-99-9	9	seryj	grey	color	153	GREY
Paperno-2019-99-10	10	zelenyj	green	color	1425	GREEN
Paperno-2019-99-11	11	krasnyj	red	color	156	RED
Paperno-2019-99-12	12	temnyj	dark	color	706	DARK
Paperno-2019-99-13	13	ravnyj	equal	comparison	1570	EQUAL
Paperno-2019-99-14	14	raznyj	different	comparison	2504	DIFFERENT
Paperno-2019-99-15	15	poxožij	similar	comparison	1558	SIMILAR
Paperno-2019-99-16	16	podobnyj	analogous	comparison		
Paperno-2019-99-17	17	levyj	left	direction	244	LEFT
Paperno-2019-99-18	18	pravyj	right	direction	1019	RIGHT
Paperno-2019-99-19	19	čužoj	foreign	emotional evaluation	109	FOREIGN
Paperno-2019-99-20	20	krasivyj	beautiful	emotional evaluation	1427	BEAUTIFUL
Paperno-2019-99-21	21	prekrasnyj	wonderful	emotional evaluation		
Paperno-2019-99-22	22	dobryj 	kind	emotional evaluation	3299	KIND
Paperno-2019-99-23	23	milyj	nice	emotional evaluation	3299	KIND
Paperno-2019-99-24	24	rodnoj	native	emotional evaluation		
Paperno-2019-99-25	25	dorogoj	dear	emotional evaluation	2470	DEAR
Paperno-2019-99-26	26	nastojaščij	real	emotional evaluation		
Paperno-2019-99-27	27	sčastlivyj	happy	emotional evaluation	1495	HAPPY
Paperno-2019-99-28	28	xorošij	good	emotional evaluation	1035	GOOD
Paperno-2019-99-29	29	nužnyj	necessary	emotional evaluation	1030	NECESSARY
Paperno-2019-99-30	30	strašnyj	horrible	emotional evaluation		
Paperno-2019-99-31	31	jasnyj	clear	emotional evaluation	989	CLEAR
Paperno-2019-99-32	32	ploxoj	bad	emotional evaluation	1292	BAD
Paperno-2019-99-33	33	blizkij	close	location properties	3735	NEAR (IN SPACE)
Paperno-2019-99-34	34	dalekij	faraway	location properties	1406	FAR
Paperno-2019-99-35	35	tixij	quiet	location properties	1314	QUIET
Paperno-2019-99-36	36	poslednij	last	order	1529	LAST (FINAL)
Paperno-2019-99-37	37	sledujuščij	next	order	1354	NEXT
Paperno-2019-99-38	38	spokojnyj	calm	personality		
Paperno-2019-99-39	39	uverennyj	confident	personality		
Paperno-2019-99-40	40	veselyj	funny	personality	1976	MERRY
Paperno-2019-99-41	41	bol'šoj	big	size	1202	BIG
Paperno-2019-99-42	42	krupnyj	large	size	1202	BIG
Paperno-2019-99-43	43	nebol'šoj	small	size	1246	SMALL
Paperno-2019-99-44	44	ogromnyj	huge	size		
Paperno-2019-99-45	45	malen'kij	little	size	1246	SMALL
Paperno-2019-99-46	46	glubokij	deep	depth	1593	DEEP
Paperno-2019-99-47	47	melkij	shallow	depth	193	SHALLOW
Paperno-2019-99-48	48	nizkij	low	height	2191	LOW (HEIGHT)
Paperno-2019-99-49	49	vysokij	high	height	1265	HIGH
Paperno-2019-99-50	50	dlinnyj	long	length	1203	LONG
Paperno-2019-99-51	51	korotkij	short	length	1645	SHORT
Paperno-2019-99-52	52	širokij	wide	width	1243	WIDE
Paperno-2019-99-53	53	tolstyj	thick	width	1244	THICK
Paperno-2019-99-54	54	tonkij	thin	width	2308	THIN
Paperno-2019-99-55	55	čelovečeskij	human	social value	683	PERSON
Paperno-2019-99-56	56	strannyj	strange	social value	600	STRANGE
Paperno-2019-99-57	57	detskij	childish	social value		
Paperno-2019-99-58	58	osobyj	special	social value		
Paperno-2019-99-59	59	svobodnyj	free	social value	2316	FREE
Paperno-2019-99-60	60	glavnyj	main	social value	1078	MAIN
Paperno-2019-99-61	61	važnyj	important	social value	1285	IMPORTANT
Paperno-2019-99-62	62	interesnyj	interesting	social value		
Paperno-2019-99-63	63	prostoj	simple	social value		
Paperno-2019-99-64	64	velikij	great	social value		
Paperno-2019-99-65	65	izvestnyj	well-known	social value		
Paperno-2019-99-66	66	russkij	Russian	social value		
Paperno-2019-99-67	67	voennyj	military	social value		
Paperno-2019-99-68	68	ser’eznyj	serious	social value		
Paperno-2019-99-69	69	živoj	living	social value	1422	BE ALIVE
Paperno-2019-99-70	70	lučšij	best	social value		
Paperno-2019-99-71	71	sobstvennyj	own	social value		
Paperno-2019-99-72	72	ženskij	feminine	social value		
Paperno-2019-99-73	73	obščij	common	social value		
Paperno-2019-99-74	74	sovetskij	Soviet	social value		
Paperno-2019-99-75	75	bystryj	quick	speed	1631	FAST
Paperno-2019-99-76	76	skoryj	fast	speed		
Paperno-2019-99-77	77	gorjačij	hot	temperature	1286	HOT
Paperno-2019-99-78	78	holodnyj	cold	temperature	1287	COLD
Paperno-2019-99-79	79	teplyj	warm	temperature	1232	WARM
Paperno-2019-99-80	80	byvšij	former	time	3004	FORMER
Paperno-2019-99-81	81	pozdnij	late	time	477	LATE
Paperno-2019-99-82	82	nočnoj	happening at night	time		
Paperno-2019-99-83	83	rannij	early	time	672	EARLY
Paperno-2019-99-84	84	dolgij	long	time	418	FOR A LONG TIME
Paperno-2019-99-85	85	legkij	light	weight	1052	LIGHT (WEIGHT)
Paperno-2019-99-86	86	tjaželyj	heavy	weight	1210	HEAVY
Paperno-2019-99-87	87	čistyj	clean	other	704	CLEAN
Paperno-2019-99-88	88	polnyj	full	other	1429	FULL
Paperno-2019-99-89	89	celyj	whole	other	2277	WHOLE
Paperno-2019-99-90	90	golyj	naked	other	590	NAKED
Paperno-2019-99-91	91	pustoj	empty	other	1624	EMPTY
Paperno-2019-99-92	92	železnyj	iron	other		
Paperno-2019-99-93	93	gotovyj	ready	other	790	READY
Paperno-2019-99-94	94	znakomyj	familiar	other	3005	FAMILIAR
Paperno-2019-99-95	95	mokryj	wet	other	1726	WET
Paperno-2019-99-96	96	edinstvennyj	only	other	1580	ONLY
Paperno-2019-99-97	97	zolotoj	golden	other		
Paperno-2019-99-98	98	sil’nyj	strong	other	785	STRONG
Paperno-2019-99-99	99	obyčnyj	usual	other		
