ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	PAGE	URL
Capell-1956-558-1	1419	FEAR (BE AFRAID)	1	afraid	1	1
Capell-1956-558-2	98	ALL	2	all	1	1
Capell-1956-558-3	1826	ANGRY	3	angry	1	1
Capell-1956-558-4	1275	ANSWER	4	answer	1	1
Capell-1956-558-5	587	ANT	5	ant	2	2
Capell-1956-558-6	1873	ANTHILL	6	anthill	2	2
Capell-1956-558-7	431	UPPER ARM	7	arm – upper	2	2
Capell-1956-558-8	446	LOWER ARM	8	arm – lower	2	2
Capell-1956-558-9	3149	ARMLET	9	armlet	3	3
Capell-1956-558-10			10	armlet (opossum hair)	3	3
Capell-1956-558-11			11	armlet (cane)	3	3
Capell-1956-558-12	3805	SHY OR ASHAMED	12	ashamed	3	3
Capell-1956-558-13	646	ASH	13	ashes	4	4
Capell-1956-558-14	1309	ASK (INQUIRE)	14	ask	4	4
Capell-1956-558-15	803	ANKLE	15	ankle	4	4
Capell-1956-558-16	27	AIR	16	air	4	4
Capell-1956-558-17	1512	RISE (ONESELF)	17	arise	5	5
Capell-1956-558-18	1807	AFTERNOON	18	afternoon	5	5
Capell-1956-558-19			19	also	5	5
Capell-1956-558-20	1289	BABY	20	baby	5	5
Capell-1956-558-21			21	bachelor	6	6
Capell-1956-558-22	1291	BACK	22	back	6	6
Capell-1956-558-23	805	SPINE	23	backbone	6	6
Capell-1956-558-24	1292	BAD	24	bad	6	6
Capell-1956-558-25	3764	BAD OR EVIL	25	bad (wicked)	7	7
Capell-1956-558-26			26	bale out	7	7
Capell-1956-558-27	1125	BALD	27	bald	7	7
Capell-1956-558-28	1927	BAMBOO	28	bamboo	7	7
Capell-1956-558-29	3012	BANDICOOT	29	bandicoot	8	8
Capell-1956-558-30	3463	RIVERBANK	30	bank (river)	8	8
Capell-1956-558-31	1204	BARK	31	bark (of tree)	8	8
Capell-1956-558-32	1206	BARKING	32	bark (v.)	8	8
Capell-1956-558-33			33	barramundi	9	9
Capell-1956-558-34	2135	TRADE OR BARTER	34	barter	9	9
Capell-1956-558-35	1539	BASKET	35	basket	9	9
Capell-1956-558-36	1793	BAT	36	bat	9	9
Capell-1956-558-37	138	BATHE	37	bathe	10	10
Capell-1956-558-38	3460	BEACH	38	beach	10	10
Capell-1956-558-39	73	BEAK	39	beak	10	10
Capell-1956-558-40	678	BEARD	40	beard	10	10
Capell-1956-558-41	1931	BEESWAX	41	beeswax	11	11
Capell-1956-558-42	1202	BIG	42	big	11	11
Capell-1956-558-43			43	billabong	11	11
Capell-1956-558-44	937	BIRD	44	bird	11	11
Capell-1956-558-45	1403	BITE	45	bite	12	12
Capell-1956-558-46	887	BITTER	46	bitter	12	12
Capell-1956-558-47	163	BLACK	47	black	12	12
Capell-1956-558-48			48	blackfellow	12	12
Capell-1956-558-49	1653	BLIND	49	blind	13	13
Capell-1956-558-50	1655	BLINK	50	blink	13	13
Capell-1956-558-51	946	BLOOD	51	blood	13	13
Capell-1956-558-52	175	BLOW (OF WIND)	52	blow (of wind)	13	13
Capell-1956-558-53	176	BLOW (WITH MOUTH)	53	blow (with mouth)	14	14
Capell-1956-558-54	379	BLUNT	54	blunt	14	14
Capell-1956-558-55	1480	BODY	55	body	14	14
Capell-1956-558-56	1145	SWAMP	56	bog	14	14
Capell-1956-558-57	1394	BONE	57	bone	15	15
Capell-1956-558-58	135	BOOMERANG	58	boomerang	15	15
Capell-1956-558-59	1090	BE BORN	59	be born	15	15
Capell-1956-558-60	1321	BOTTLE	60	bottle	15	15
Capell-1956-558-61	1366	BOY	61	boy	16	16
Capell-1956-558-62	3020	BREAK (BREAKING)	62	break	16	16
Capell-1956-558-63	1407	BREATHE	63	breathe	16	16
Capell-1956-558-64	3982	BREEZE	64	breeze	16	16
Capell-1956-558-65	692	BRING	65	bring	17	17
Capell-1956-558-66	588	BROKEN	66	broken	17	17
Capell-1956-558-67	1760	YOUNGER BROTHER	67	brother (younger)	17	17
Capell-1956-558-68	1759	OLDER BROTHER	68	brother (elder)	17	17
Capell-1956-558-69	934	BUFFALO	69	buffalo	18	18
Capell-1956-558-70			70	bullroarer	18	18
Capell-1956-558-71	2102	BURN	71	burn	18	18
Capell-1956-558-72			72	burrawang (cycas) fruit	18	18
Capell-1956-558-73	2949	LAIR	73	burrow	19	19
Capell-1956-558-74	2811	BUSHFIRE	74	bush-fire	19	19
Capell-1956-558-75	1791	BUTTERFLY	75	butterfly	19	19
Capell-1956-558-76	94	GRADUALLY	76	by and by	19	19
Capell-1956-558-77	663	BAY	77	bay	20	20
Capell-1956-558-78	1531	BRANCH	78	branch	20	20
Capell-1956-558-79	1084	CALL	79	call	20	20
Capell-1956-558-80	1105	CAMP	80	camp	20	20
Capell-1956-558-81	1051	CAN	81	can	21	21
Capell-1956-558-82	1970	CANOE	82	canoe	21	21
Capell-1956-558-83	1662	CAPE	83	cape	21	21
Capell-1956-558-84			84	capsize	21	21
Capell-1956-558-85	700	CARRY	85	carry	22	22
Capell-1956-558-86	702	CATCH	86	catch	22	22
Capell-1956-558-87	2247	CATERPILLAR	87	caterpillar	22	22
Capell-1956-558-88	3777	CATFISH	88	catfish	22	22
Capell-1956-558-89	1155	CAVE	89	cave	23	23
Capell-1956-558-90	1974	CENTIPEDE	90	centipede	23	23
Capell-1956-558-91	1188	CHARCOAL	91	charcoal	23	23
Capell-1956-558-92	1730	CHEEK	92	cheek	23	23
Capell-1956-558-93	1592	CHEST	93	chest	24	24
Capell-1956-558-94	1510	CHIN	94	chin	24	24
Capell-1956-558-95			95	chiton	24	24
Capell-1956-558-96	497	SCAR	96	cicatrix	24	24
Capell-1956-558-97	393	CIRCUMCISION	97	circumcision	25	25
Capell-1956-558-98	1399	CLAY	98	clay	25	25
Capell-1956-558-99	704	CLEAN	99	clean	25	25
Capell-1956-558-100	1310	CLEVER	100	clever	25	25
Capell-1956-558-101	1102	CLIMB	101	climb	26	26
