ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2007-207-1	1	big	adjective	1202	BIG
Bowern-2007-207-2	2	long	adjective	1203	LONG
Bowern-2007-207-3	3	wide	adjective	1243	WIDE
Bowern-2007-207-4	4	thick	adjective	1244	THICK
Bowern-2007-207-5	5	heavy	adjective	1210	HEAVY
Bowern-2007-207-6	6	small	adjective	1246	SMALL
Bowern-2007-207-7	7	short	adjective	1645	SHORT
Bowern-2007-207-8	8	narrow	adjective	1267	NARROW
Bowern-2007-207-9	9	thin	adjective	2308	THIN
Bowern-2007-207-10	10	warm	adjective	1232	WARM
Bowern-2007-207-11	11	cold	adjective	1287	COLD
Bowern-2007-207-12	12	full	adjective	1429	FULL
Bowern-2007-207-13	13	new	adjective	1231	NEW
Bowern-2007-207-14	14	old	adjective	1229	OLD
Bowern-2007-207-15	15	good	adjective	1035	GOOD
Bowern-2007-207-16	16	bad	adjective	1292	BAD
Bowern-2007-207-17	17	rotten	adjective	1728	ROTTEN
Bowern-2007-207-18	18	dirty	adjective	1230	DIRTY
Bowern-2007-207-19	19	straight	adjective	1404	STRAIGHT
Bowern-2007-207-20	20	round	adjective	1395	ROUND
Bowern-2007-207-21	21	sharp	adjective	1396	SHARP
Bowern-2007-207-22	22	dull	adjective	379	BLUNT
Bowern-2007-207-23	23	smooth	adjective	1234	SMOOTH
Bowern-2007-207-24	24	wet	adjective	1726	WET
Bowern-2007-207-25	25	dry	adjective	1398	DRY
Bowern-2007-207-26	26	correct	adjective	1725	CORRECT (RIGHT)
Bowern-2007-207-27	27	near	adjective	1942	NEAR
Bowern-2007-207-28	28	far	adjective	1406	FAR
Bowern-2007-207-29	29	right	adjective	1019	RIGHT
Bowern-2007-207-30	30	left	adjective	244	LEFT
Bowern-2007-207-31	31	animal	animal	619	ANIMAL
Bowern-2007-207-32	32	fish	animal	227	FISH
Bowern-2007-207-33	33	bird	animal	937	BIRD
Bowern-2007-207-34	34	dog	animal	2009	DOG
Bowern-2007-207-35	35	louse	animal	1392	LOUSE
Bowern-2007-207-36	36	snake	animal	730	SNAKE
Bowern-2007-207-37	37	worm	animal	1219	WORM
Bowern-2007-207-38	38	skin	animal product	763	SKIN
Bowern-2007-207-39	39	meat	animal product	634	MEAT
Bowern-2007-207-40	40	blood	animal product	946	BLOOD
Bowern-2007-207-41	41	bone	animal product	1394	BONE
Bowern-2007-207-42	42	fat (n.)	animal product	323	FAT (ORGANIC SUBSTANCE)
Bowern-2007-207-43	43	egg	animal product	744	EGG
Bowern-2007-207-44	44	horn	animal product	1393	HORN (ANATOMY)
Bowern-2007-207-45	45	tail	animal product	1220	TAIL
Bowern-2007-207-46	46	feather	animal product	1201	FEATHER
Bowern-2007-207-47	47	hair	body part	1040	HAIR
Bowern-2007-207-48	48	head	body part	1256	HEAD
Bowern-2007-207-49	49	ear	body part	1247	EAR
Bowern-2007-207-50	50	eye	body part	1248	EYE
Bowern-2007-207-51	51	nose	body part	1221	NOSE
Bowern-2007-207-52	52	mouth	body part	674	MOUTH
Bowern-2007-207-53	53	tooth	body part	1380	TOOTH
Bowern-2007-207-54	54	tongue	body part	1205	TONGUE
Bowern-2007-207-55	55	fingernail	body part	1258	FINGERNAIL
Bowern-2007-207-56	56	foot	body part	1301	FOOT
Bowern-2007-207-57	57	leg	body part	1297	LEG
Bowern-2007-207-58	58	knee	body part	1371	KNEE
Bowern-2007-207-59	59	hand	body part	1277	HAND
Bowern-2007-207-60	60	wing	body part	1257	WING
Bowern-2007-207-61	61	belly	body part	1251	BELLY
Bowern-2007-207-62	62	guts	body part	1334	GUTS
Bowern-2007-207-63	63	neck	body part	1333	NECK
Bowern-2007-207-64	64	back	body part	1291	BACK
Bowern-2007-207-65	65	breast	body part	1402	BREAST
Bowern-2007-207-66	66	heart	body part	1223	HEART
Bowern-2007-207-67	67	liver	body part	1224	LIVER
Bowern-2007-207-68	68	drink	body verb	1401	DRINK
Bowern-2007-207-69	69	eat	body verb	1336	EAT
Bowern-2007-207-70	70	bite	body verb	1403	BITE
Bowern-2007-207-71	71	suck	body verb	1421	SUCK
Bowern-2007-207-72	72	spit	body verb	1440	SPIT
Bowern-2007-207-73	73	vomit	body verb	1278	VOMIT
Bowern-2007-207-74	74	blow	body verb	175	BLOW (OF WIND)
Bowern-2007-207-75	75	breathe	body verb	1407	BREATHE
Bowern-2007-207-76	76	laugh	body verb	1355	LAUGH
Bowern-2007-207-77	77	live	body verb	1422	BE ALIVE
Bowern-2007-207-78	78	die	body verb	1494	DIE
Bowern-2007-207-79	79	red	colour	156	RED
Bowern-2007-207-80	80	green	colour	1425	GREEN
Bowern-2007-207-81	81	yellow	colour	1424	YELLOW
Bowern-2007-207-82	82	white	colour	1335	WHITE
Bowern-2007-207-83	83	black	colour	163	BLACK
Bowern-2007-207-84	84	with	conj	1340	WITH
Bowern-2007-207-85	85	and	conj	1577	AND
Bowern-2007-207-86	86	if	conj	1459	IF
Bowern-2007-207-87	87	because	conj	1157	BECAUSE
Bowern-2007-207-88	88	tree	environment	906	TREE
Bowern-2007-207-89	89	forest	environment	420	FOREST
Bowern-2007-207-90	90	stick	environment	1295	STICK
Bowern-2007-207-91	91	fruit	environment	1507	FRUIT
Bowern-2007-207-92	92	seed	environment	714	SEED
Bowern-2007-207-93	93	leaf	environment	628	LEAF
Bowern-2007-207-94	94	root	environment	670	ROOT
Bowern-2007-207-95	95	bark	environment	1204	BARK
Bowern-2007-207-96	96	flower	environment	239	FLOWER
Bowern-2007-207-97	97	grass	environment	606	GRASS
Bowern-2007-207-98	98	freeze	environment	1431	FREEZE
Bowern-2007-207-99	99	sun	environment	1343	SUN
Bowern-2007-207-100	100	moon	environment	1313	MOON
Bowern-2007-207-101	101	star	environment	1430	STAR
Bowern-2007-207-102	102	water	environment	948	WATER
Bowern-2007-207-103	103	rain	environment	2108	RAINING OR RAIN
Bowern-2007-207-104	104	river	environment	666	RIVER
Bowern-2007-207-105	105	lake	environment	624	LAKE
Bowern-2007-207-106	106	sea	environment	1474	SEA
Bowern-2007-207-107	107	salt	environment	1274	SALT
Bowern-2007-207-108	108	stone	environment	857	STONE
Bowern-2007-207-109	109	sand	environment	671	SAND
Bowern-2007-207-110	110	dust	environment	2	DUST
Bowern-2007-207-111	111	earth	environment	1228	EARTH (SOIL)
Bowern-2007-207-112	112	cloud	environment	1489	CLOUD
Bowern-2007-207-113	113	fog	environment	249	FOG
Bowern-2007-207-114	114	sky	environment	1732	SKY
Bowern-2007-207-115	115	wind	environment	960	WIND
Bowern-2007-207-116	116	snow	environment	784	SNOW
Bowern-2007-207-117	117	ice	environment	617	ICE
Bowern-2007-207-118	118	smoke	environment	778	SMOKE (EXHAUST)
Bowern-2007-207-119	119	fire	environment	221	FIRE
Bowern-2007-207-120	120	ashes	environment	646	ASH
Bowern-2007-207-121	121	burn	environment	2102	BURN
Bowern-2007-207-122	122	road	environment	667	ROAD
Bowern-2007-207-123	123	mountain	environment	639	MOUNTAIN
Bowern-2007-207-124	124	woman	human	962	WOMAN
Bowern-2007-207-125	125	man (adult male)	human	1554	MAN
Bowern-2007-207-126	126	man (human being)	human	683	PERSON
Bowern-2007-207-127	127	child	human	2099	CHILD
Bowern-2007-207-128	128	wife	human	1199	WIFE
Bowern-2007-207-129	129	husband	human	1200	HUSBAND
Bowern-2007-207-130	130	mother	human	1216	MOTHER
Bowern-2007-207-131	131	father	human	1217	FATHER
Bowern-2007-207-132	132	name	human	1405	NAME
Bowern-2007-207-133	133	sing	human verb	1261	SING
Bowern-2007-207-134	134	play	human verb	1413	PLAY
Bowern-2007-207-135	135	swell	human verb	1573	SWELL
Bowern-2007-207-136	136	kill	impact	1417	KILL
Bowern-2007-207-137	137	fight	impact	1423	FIGHT
Bowern-2007-207-138	138	hunt	impact	1435	HUNT
Bowern-2007-207-139	139	hit	impact	353	STRIKE
Bowern-2007-207-140	140	cut	impact	1432	CUT
Bowern-2007-207-141	141	split	impact	1437	SPLIT
Bowern-2007-207-142	142	stab	impact	1434	STAB
Bowern-2007-207-143	143	scratch	impact	1436	SCRATCH
Bowern-2007-207-144	144	dig	impact	1418	DIG
Bowern-2007-207-145	145	at	location	1461	AT
Bowern-2007-207-146	146	in	location	1460	IN
Bowern-2007-207-147	147	sew	misc verb	1457	SEW
Bowern-2007-207-148	148	count	misc verb	1420	COUNT
Bowern-2007-207-149	149	swim	motion	1439	SWIM
Bowern-2007-207-150	150	fly (v.)	motion	1441	FLY (MOVE THROUGH AIR)
Bowern-2007-207-151	151	walk	motion	1443	WALK
Bowern-2007-207-152	152	come	motion	1446	COME
Bowern-2007-207-153	153	lie	motion	1411	LIE (REST)
Bowern-2007-207-154	154	sit	motion	1416	SIT
Bowern-2007-207-155	155	stand	motion	1442	STAND
Bowern-2007-207-156	156	turn	motion	1588	TURN
Bowern-2007-207-157	157	fall	motion	1280	FALL
Bowern-2007-207-158	158	float	motion	1574	FLOAT
Bowern-2007-207-159	159	flow	motion	2003	FLOW
Bowern-2007-207-160	160	see	perception verb	1409	SEE
Bowern-2007-207-161	161	hear	perception verb	1408	HEAR
Bowern-2007-207-162	162	know	perception verb	1410	KNOW (SOMETHING)
Bowern-2007-207-163	163	think	perception verb	2271	THINK
Bowern-2007-207-164	164	smell	perception verb	2124	SMELL
Bowern-2007-207-165	165	fear	perception verb	1419	FEAR (BE AFRAID)
Bowern-2007-207-166	166	sleep	perception verb	1585	SLEEP
Bowern-2007-207-167	167	say	perception verb	1458	SAY
Bowern-2007-207-168	168	I	pro	1209	I
Bowern-2007-207-169	169	you (singular)	pro	1215	THOU
Bowern-2007-207-170	170	he	pro	1211	HE
Bowern-2007-207-171	171	we	pro	1212	WE
Bowern-2007-207-172	172	you (plural)	pro	1213	YOU
Bowern-2007-207-173	173	they	pro	817	THEY
Bowern-2007-207-174	174	this	pro	1214	THIS
Bowern-2007-207-175	175	that	pro	78	THAT
Bowern-2007-207-176	176	here	pro	136	HERE
Bowern-2007-207-177	177	there	pro	1937	THERE
Bowern-2007-207-178	178	who	pro	1235	WHO
Bowern-2007-207-179	179	what	pro	1236	WHAT
Bowern-2007-207-180	180	where	pro	1237	WHERE
Bowern-2007-207-181	181	when	pro	1238	WHEN
Bowern-2007-207-182	182	how	pro	1239	HOW
Bowern-2007-207-183	183	not	quant	1240	NOT
Bowern-2007-207-184	184	all	quant	98	ALL
Bowern-2007-207-185	185	many	quant	1198	MANY
Bowern-2007-207-186	186	some	quant	1241	SOME
Bowern-2007-207-187	187	few	quant	1242	FEW
Bowern-2007-207-188	188	other	quant	197	OTHER
Bowern-2007-207-189	189	one	quant	1493	ONE
Bowern-2007-207-190	190	two	quant	1498	TWO
Bowern-2007-207-191	191	three	quant	492	THREE
Bowern-2007-207-192	192	four	quant	1500	FOUR
Bowern-2007-207-193	193	five	quant	493	FIVE
Bowern-2007-207-194	194	night	time	1233	NIGHT
Bowern-2007-207-195	195	day	time	1225	DAY (NOT NIGHT)
Bowern-2007-207-196	196	year	time	1226	YEAR
Bowern-2007-207-197	197	rope	tool	1218	ROPE
Bowern-2007-207-198	198	give	transfer	1447	GIVE
Bowern-2007-207-199	199	hold	transfer	1448	HOLD
Bowern-2007-207-200	200	squeeze	transfer	1414	SQUEEZE
Bowern-2007-207-201	201	rub	transfer	1449	RUB
Bowern-2007-207-202	202	wash	transfer	1453	WASH
Bowern-2007-207-203	203	wipe	transfer	1454	WIPE
Bowern-2007-207-204	204	pull	transfer	1455	PULL
Bowern-2007-207-205	205	push	transfer	1452	PUSH
Bowern-2007-207-206	206	throw	transfer	1456	THROW
Bowern-2007-207-207	207	tie	transfer	1917	TIE
