ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lama-2012-301-1	000	自称	Autonym	3433	AUTONYM (OF PEOPLE)
Lama-2012-301-2	001	天	Sky	1732	SKY
Lama-2012-301-3	002	地	Earth	2159	GROUND
Lama-2012-301-4	003	太阳	Sun	1343	SUN
Lama-2012-301-5	004	月亮	Moon	1313	MOON
Lama-2012-301-6	005	星星	Star	1430	STAR
Lama-2012-301-7	006	空气	Air	27	AIR
Lama-2012-301-8	007	(打)雷	Thundering	2378	THUNDER (VERB)
Lama-2012-301-9	008	闪电	Lightening	1654	LIGHTNING
Lama-2012-301-10	009	地震	Earthquake	6	EARTHQUAKE
Lama-2012-301-11	010	云	Cloud	1489	CLOUD
Lama-2012-301-12	011	风	Wind	960	WIND
Lama-2012-301-13	012	雨	Rain	658	RAIN (PRECIPITATION)
Lama-2012-301-14	013	雪	Snow	784	SNOW
Lama-2012-301-15	014	水	Water	948	WATER
Lama-2012-301-16	015	山	Mountain	639	MOUNTAIN
Lama-2012-301-17	016	悬崖	Cliff	992	CLIFF
Lama-2012-301-18	017	火	Fire	221	FIRE
Lama-2012-301-19	018	烟子	(fire) Smoke	778	SMOKE (EXHAUST)
Lama-2012-301-20	019	金	Gold	1369	GOLD
Lama-2012-301-21	020	银	Silver	759	SILVER
Lama-2012-301-22	021	铜	Copper	1825	COPPER
Lama-2012-301-23	022	铁	Iron	621	IRON
Lama-2012-301-24	023	石头	Stone	857	STONE
Lama-2012-301-25	024	年	Year	1226	YEAR
Lama-2012-301-26	025	月	Month	1370	MONTH
Lama-2012-301-27	026	日	Day	1225	DAY (NOT NIGHT)
Lama-2012-301-28	027	人	Human being	683	PERSON
Lama-2012-301-29	028	大人	Adult	3635	ADULT
Lama-2012-301-30	029	话	Speech	1115	SPEECH
Lama-2012-301-31	030	生命	Life	210	LIFE
Lama-2012-301-32	031	力量	Physical strength	202	STRENGTH
Lama-2012-301-33	032	梦	Dream	2374	DREAM
Lama-2012-301-34	033	灵魂	Spirit, Soul	811	SOUL
Lama-2012-301-35	034	神仙	A celestial being	1944	GOD
Lama-2012-301-36	035	鬼	Ghost	1175	GHOST
Lama-2012-301-37	036	尸体	Corpse	767	CORPSE
Lama-2012-301-38	037	药	Medicine	1372	MEDICINE
Lama-2012-301-39	038	身体	Body	1480	BODY
Lama-2012-301-40	039	头	Head	1256	HEAD
Lama-2012-301-41	040	头发	Hair	2648	HAIR (HEAD)
Lama-2012-301-42	041	眼睛	Eye	1248	EYE
Lama-2012-301-43	042	鼻子	Nose	1221	NOSE
Lama-2012-301-44	043	耳朵	Ear	1247	EAR
Lama-2012-301-45	044	嘴巴	Mouth	674	MOUTH
Lama-2012-301-46	045	牙齿	Tooth	1380	TOOTH
Lama-2012-301-47	046	舌头	Tongue	1205	TONGUE
Lama-2012-301-48	047	手	Hand	1277	HAND
Lama-2012-301-49	048	肚子	Belly	1251	BELLY
Lama-2012-301-50	049	腰	Waist	1681	WAIST
Lama-2012-301-51	050	脚	Foot	1301	FOOT
Lama-2012-301-52	051	骨头	Bone	1394	BONE
Lama-2012-301-53	052	皮肤	Skin	763	SKIN
Lama-2012-301-54	053	血	Blood	946	BLOOD
Lama-2012-301-55	054	胃	Stomach	819	STOMACH
Lama-2012-301-56	055	心	Heart	1223	HEART
Lama-2012-301-57	056	肝	Liver	1224	LIVER
Lama-2012-301-58	057	肺	Lung	688	LUNG
Lama-2012-301-59	058	胆	Gall bladder	3372	GALL BLADDER
Lama-2012-301-60	059	肠	Intestine	1991	INTESTINES
Lama-2012-301-61	060	尾巴	Tail	1220	TAIL
Lama-2012-301-62	061	痣	Mole		
Lama-2012-301-63	062	筋	Sinew	1137	TENDON
Lama-2012-301-64	063	汗	Sweat	125	SWEAT (SUBSTANCE)
Lama-2012-301-65	064	脓	Pus	1808	PUS
Lama-2012-301-66	065	屎	Excrement	675	FAECES (EXCREMENT)
Lama-2012-301-67	066	尿	Urine	1142	URINE
Lama-2012-301-68	067	父亲	Father	1217	FATHER
Lama-2012-301-69	068	母亲	Mother	1216	MOTHER
Lama-2012-301-70	069	舅舅	Mother’s brothers	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
Lama-2012-301-71	070	儿子	Son	1620	SON
Lama-2012-301-72	071	女儿	Daughter	1357	DAUGHTER
Lama-2012-301-73	072	侄子	Brother’s son		
Lama-2012-301-74	073	钱	Money	1559	MONEY
Lama-2012-301-75	074	种子	Seed	714	SEED
Lama-2012-301-76	075	米饭	Food; cooked rice	1191	COOKED RICE
Lama-2012-301-77	076	稻子	Paddy rice	3390	WILD RICE
Lama-2012-301-78	077	荞麦	Buckwheat	2040	BUCKWHEAT
Lama-2012-301-79	078	大麦	Barley	932	BARLEY
