ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-67	67	CRAWL	ПОЛЗТИ	SNAKE	96	CRAWL
Starostin-2017-401-68	68	CROW	ВОРОНА		913	CROW
Starostin-2017-401-69	69	CRY (weep)	ПЛАКАТЬ	TEAR2	1839	CRY
Starostin-2017-401-70	70	CURSE	ПРОКЛИНАТЬ		8	CURSE
Starostin-2017-401-71	71	CUT (vb.)	РЕЗАТЬ	BREAK; KNIFE	1432	CUT
Starostin-2017-401-72	72	DANCE	ТАНЦЕВАТЬ		1879	DANCE
Starostin-2017-401-73	73	DARK	ТЕМНЫЙ	BLACK; NIGHT	706	DARK
Starostin-2017-401-74	74	DAUGHTER	ДОЧЬ		1357	DAUGHTER
Starostin-2017-401-75	75	DAY	ДЕНЬ	SUN	1225	DAY (NOT NIGHT)
Starostin-2017-401-76	76	DEEP	ГЛУБОКИЙ		1593	DEEP
Starostin-2017-401-77	77	DESCEND	СПУСКАТЬСЯ		2014	GO DOWN (DESCEND)
Starostin-2017-401-78	78	DEW	РОСА	WATER; WET	1977	DEW
Starostin-2017-401-79	79	DIE	УМИРАТЬ	END; KILL	1494	DIE
Starostin-2017-401-80	80	DIG	КОПАТЬ		1418	DIG
Starostin-2017-401-81	81	DIRTY (adj.)	ГРЯЗНЫЙ	BLACK	1230	DIRTY
Starostin-2017-401-82	82	DISAPPEAR	ИСЧЕЗАТЬ	END	485	DISAPPEAR
Starostin-2017-401-83	83	DO	ДЕЛАТЬ	BE; PUT; WORK	813	DO
Starostin-2017-401-84	84	DOG	СОБАКА	PUPPY; WOLF	2009	DOG
Starostin-2017-401-85	85	DREAM (n.)	СОН	SLEEP	2374	DREAM
Starostin-2017-401-86	86	DRINK	ПИТЬ	SUCK; SWALLOW	1401	DRINK
Starostin-2017-401-87	87	DRUNK (be)	ПЬЯНЕТЬ		1463	DRUNK
Starostin-2017-401-88	88	DRY (adj.)	СУХОЙ	EMPTY	1398	DRY
Starostin-2017-401-89	89	DUST	ПЫЛЬ	ASHES; EARTH1; SAND; SMOKE	2	DUST
Starostin-2017-401-90	90	EAR	УХО	HEAR; LISTEN	1247	EAR
Starostin-2017-401-91	91	EARTH1 (soil)	ЗЕМЛЯ1 (почва)	ASHES; DUST; EARTH2; SAND	1228	EARTH (SOIL)
Starostin-2017-401-92	92	EARTH2 (land)	ЗЕМЛЯ2 (суша)	EARTH1	3603	EARTH OR LAND
Starostin-2017-401-93	93	EAT	ЕСТЬ (кушать)	BITE; MEAT	1336	EAT
Starostin-2017-401-94	94	EDGE	КРАЙ	NEAR	863	EDGE
Starostin-2017-401-95	95	EGG	ЯЙЦО	ROUND	744	EGG
Starostin-2017-401-96	96	ELBOW	ЛОКОТЬ	KNEE	981	ELBOW
Starostin-2017-401-97	97	EMPTY	ПУСТОЙ	DRY	1624	EMPTY
Starostin-2017-401-98	98	END (vb.)	ЗАКАНЧИВАТЬСЯ	DIE; DISAPPEAR	1928	CEASE
Starostin-2017-401-99	99	ENEMY	ВРАГ	WAR	1358	ENEMY
Starostin-2017-401-100	100	ENTER	ВХОДИТЬ	COME	749	ENTER
Starostin-2017-401-101	101	EVENING	ВЕЧЕР	NIGHT	1629	EVENING
Starostin-2017-401-102	102	EXIT	ВЫХОДИТЬ	GO	1107	GO OUT
Starostin-2017-401-103	103	EXTINGUISH	ГАСИТЬ	KILL	127	EXTINGUISH
Starostin-2017-401-104	104	EYE	ГЛАЗ	FACE; SEE	1248	EYE
Starostin-2017-401-105	105	FACE	ЛИЦО	EYE; MOUTH; NOSE	1560	FACE
Starostin-2017-401-106	106	FALL	ПАДАТЬ	LIE	1280	FALL
Starostin-2017-401-107	107	FAR (adj.)	ДАЛЕКИЙ	LONG	1406	FAR
Starostin-2017-401-108	108	FATHER	ОТЕЦ	MAN	1217	FATHER
Starostin-2017-401-109	109	FAT1	ЖИР	FAT2; OIL	323	FAT (ORGANIC SUBSTANCE)
Starostin-2017-401-110	110	FAT2	ТОЛСТЫЙ	FAT1	1279	FAT (OBESE)
Starostin-2017-401-111	111	FEATHER	ПЕРО	BIRD; FLY1; HAIR2; WING	1201	FEATHER
Starostin-2017-401-112	112	FEEL (vb.)	ЧУВСТВОВАТЬ	HEAR	1079	FEEL
Starostin-2017-401-113	113	FEMALE	САМКА	WOMAN	2105	FEMALE PERSON
