ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	GROUP	SEMANTIC FIELD	VISUAL SALIENCE	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-784-1	1	802	ADAM'S APPLE	ADAM'S APPLE	body	human body part	visual		
Tjuka-2022-784-2	2	678	BEARD	BEARD	body	human body part	visual		
Tjuka-2022-784-3	3	1402	BREAST	BREAST	body	human body part	visual	BREAST OR MILK	2129
Tjuka-2022-784-4	4	834	BUTTOCKS	BUTTOCKS	body	human body part	visual		
Tjuka-2022-784-5	5	498	CALF OF LEG	CALF OF LEG	body	human body part	visual		
Tjuka-2022-784-6	6	18	EARLOBE	EARLOBE	body	human body part	visual		
Tjuka-2022-784-7	7	1173	EYEBROW	EYEBROW	body	human body part	visual		
Tjuka-2022-784-8	8	1258	FINGERNAIL	FINGERNAIL	body	human body part	visual	FINGERNAIL OR TOENAIL // CLAW OR NAIL	1896 // 2128
Tjuka-2022-784-9	9	1301	FOOT	FOOT	body	human body part	visual	FOOT OR LEG	2098
Tjuka-2022-784-10	10	1040	HAIR	HAIR	body	human body part	visual	HAIR OR FOREHEAD // FEATHER OR FUR OR HAIR // HAIR OR FUR	2107 // 2381 // 2678
Tjuka-2022-784-11	11	189	HAIR (BODY)	HAIR (BODY)	body	human body part	visual		
Tjuka-2022-784-12	12	2648	HAIR (HEAD)	HAIR (HEAD)	body	human body part	visual		
Tjuka-2022-784-13	13	980	HEEL	HEEL	body	human body part	visual		
Tjuka-2022-784-14	14	3736	INSTEP	INSTEP	body	human body part	visual		
Tjuka-2022-784-15	15	1371	KNEE	KNEE	body	human body part	visual		
Tjuka-2022-784-16	16	3263	LAP	LAP	body	human body part	visual		
Tjuka-2022-784-17	17	2182	LEFT HAND	LEFT HAND	body	human body part	visual	HAND	1277
Tjuka-2022-784-18	18	2774	LITTLE FINGER	LITTLE FINGER	body	human body part	visual		
Tjuka-2022-784-19	19	3387	MIDDLE FINGER	MIDDLE FINGER	body	human body part	visual		
Tjuka-2022-784-20	20	1165	MOUSTACHE	MOUSTACHE	body	human body part	visual		
Tjuka-2022-784-21	21	1183	PALM OF HAND	PALM OF HAND	body	human body part	visual		
Tjuka-2022-784-22	22	36	PUBIC HAIR	PUBIC HAIR	body	human body part	visual		
Tjuka-2022-784-23	23	2183	RIGHT HAND	RIGHT HAND	body	human body part	visual	HAND	1277
Tjuka-2022-784-24	24	2613	SKIN (HUMAN)	SKIN (HUMAN)	body	human body part	visual	BARK OR SKIN	2127
Tjuka-2022-784-25	25	2662	TOENAIL	TOENAIL	body	human body part	visual	FINGERNAIL OR TOENAIL	1896
Tjuka-2022-784-26	26	2667	TORSO	TORSO	body	human body part	visual		
Tjuka-2022-784-27	27	1837	VULVA	VULVA	body	human body part	non-visual		
Tjuka-2022-784-28	28	1681	WAIST	WAIST	body	human body part	visual		
Tjuka-2022-784-29	29	803	ANKLE	ANKLE	body	human body part	visual		
Tjuka-2022-784-30	30	1935	ANUS	ANUS	body	human body part	non-visual		
Tjuka-2022-784-31	31	1673	ARM	ARM	body	human body part	visual	ARM OR HAND	2121
Tjuka-2022-784-32	32	1886	ARMPIT	ARMPIT	body	human body part	visual		
Tjuka-2022-784-33	33	1925	ARTERY	ARTERY	body	human body part	non-visual		
Tjuka-2022-784-34	34	1291	BACK	BACK	body	human body part	non-visual		
Tjuka-2022-784-35	35	523	BACK OF HEAD	BACK OF HEAD	body	human body part	non-visual		
Tjuka-2022-784-36	36	1251	BELLY	BELLY	body	human body part	visual	BELLY OR STOMACH	2114
Tjuka-2022-784-37	37	1746	BLADDER	BLADDER	body	human body part	non-visual		
Tjuka-2022-784-38	38	525	BLOOD VESSEL	BLOOD VESSEL	body	human body part	non-visual		
Tjuka-2022-784-39	39	1480	BODY	BODY	body	human body part	visual		
Tjuka-2022-784-40	40	1394	BONE	BONE	body	human body part	non-visual		
Tjuka-2022-784-41	41	1583	BRAIN	BRAIN	body	human body part	non-visual		
Tjuka-2022-784-42	42	2810	BREASTBONE	BREASTBONE	body	human body part	non-visual		
Tjuka-2022-784-43	43	1730	CHEEK	CHEEK	body	human body part	visual		
Tjuka-2022-784-44	44	1592	CHEST	CHEST	body	human body part	visual		
Tjuka-2022-784-45	45	1510	CHIN	CHIN	body	human body part	visual		
Tjuka-2022-784-46	46	3257	CLITORIS	CLITORIS	body	human body part	non-visual		
Tjuka-2022-784-47	47	1994	COLLARBONE	COLLARBONE	body	human body part	visual		
Tjuka-2022-784-48	48	1247	EAR	EAR	body	human body part	visual	EAR OR HEAR	2126
Tjuka-2022-784-49	49	981	ELBOW	ELBOW	body	human body part	visual		
Tjuka-2022-784-50	50	1248	EYE	EYE	body	human body part	visual		
Tjuka-2022-784-51	51	3807	EYEBALL	EYEBALL	body	human body part	visual		
Tjuka-2022-784-52	52	1540	EYELASH	EYELASH	body	human body part	visual		
Tjuka-2022-784-53	53	17	EYELID	EYELID	body	human body part	visual		
Tjuka-2022-784-54	54	1560	FACE	FACE	body	human body part	visual		
Tjuka-2022-784-55	55	1303	FINGER	FINGER	body	human body part	visual	FINGER OR TOE	2120
Tjuka-2022-784-56	56	2773	FINGERTIP	FINGERTIP	body	human body part	visual		
Tjuka-2022-784-57	57	2259	FLESH	FLESH	body	human body part	non-visual	FLESH OR MEAT	2615
Tjuka-2022-784-58	58	577	FOREFINGER	FOREFINGER	body	human body part	visual		
Tjuka-2022-784-59	59	123	FOREHEAD	FOREHEAD	body	human body part	visual	HAIR OR FOREHEAD	2107
Tjuka-2022-784-60	60	442	FRONT TOOTH (INCISOR)	FRONT TOOTH (INCISOR)	body	human body part	visual		
Tjuka-2022-784-61	61	3372	GALL BLADDER	GALL BLADDER	body	human body part	non-visual		
Tjuka-2022-784-62	62	139	GUMS	GUMS	body	human body part	non-visual		
Tjuka-2022-784-63	63	1334	GUTS	GUTS	body	human body part	non-visual	GUTS OR HEART	2436
Tjuka-2022-784-64	64	1277	HAND	HAND	body	human body part	visual	ARM OR HAND	2121
Tjuka-2022-784-65	65	1256	HEAD	HEAD	body	human body part	visual		
Tjuka-2022-784-66	66	1223	HEART	HEART	body	human body part	non-visual	GUTS OR HEART	2436
Tjuka-2022-784-67	67	1745	HIP	HIP	body	human body part	visual		
Tjuka-2022-784-68	68	2820	HIP BONE	HIP BONE	body	human body part	non-visual		
Tjuka-2022-784-69	69	534	HUMP	HUMP	body	human body part	visual		
Tjuka-2022-784-70	70	1991	INTESTINES	INTESTINES	body	human body part	non-visual		
Tjuka-2022-784-71	71	798	JAW	JAW	body	human body part	visual		
Tjuka-2022-784-72	72	999	JOINT	JOINT	body	human body part	non-visual		
Tjuka-2022-784-73	73	489	KIDNEY	KIDNEY	body	human body part	non-visual		
Tjuka-2022-784-74	74	2824	KNUCKLE	KNUCKLE	body	human body part	visual		
Tjuka-2022-784-75	75	3714	LARYNX	LARYNX	body	human body part	non-visual		
Tjuka-2022-784-76	76	1297	LEG	LEG	body	human body part	visual	FOOT OR LEG	2098
Tjuka-2022-784-77	77	478	LIP	LIP	body	human body part	visual		
Tjuka-2022-784-78	78	1224	LIVER	LIVER	body	human body part	non-visual		
Tjuka-2022-784-79	79	187	LOIN	LOIN	body	human body part	non-visual		
Tjuka-2022-784-80	80	444	LONG HAIR	LONG HAIR	body	human body part	visual	HAIR (HEAD)	2648
Tjuka-2022-784-81	81	446	LOWER ARM	LOWER ARM	body	human body part	visual		
Tjuka-2022-784-82	82	3613	LOWER BACK	LOWER BACK	body	human body part	non-visual		
Tjuka-2022-784-83	83	447	LOWER LEG	LOWER LEG	body	human body part	visual		
Tjuka-2022-784-84	84	688	LUNG	LUNG	body	human body part	non-visual		
Tjuka-2022-784-85	85	1049	MOLAR TOOTH	MOLAR TOOTH	body	human body part	non-visual		
Tjuka-2022-784-86	86	674	MOUTH	MOUTH	body	human body part	non-visual		
Tjuka-2022-784-87	87	1004	MUSCLE	MUSCLE	body	human body part	non-visual		
Tjuka-2022-784-88	88	1347	NAPE (OF NECK)	NAPE (OF NECK)	body	human body part	visual		
Tjuka-2022-784-89	89	1838	NAVEL	NAVEL	body	human body part	visual		
Tjuka-2022-784-90	90	1333	NECK	NECK	body	human body part	visual		
Tjuka-2022-784-91	91	2626	NERVE	NERVE	body	human body part	non-visual		
Tjuka-2022-784-92	92	796	NIPPLE	NIPPLE	body	human body part	visual		
Tjuka-2022-784-93	93	1221	NOSE	NOSE	body	human body part	visual		
Tjuka-2022-784-94	94	1178	NOSTRIL	NOSTRIL	body	human body part	visual		
Tjuka-2022-784-95	95	2674	ORAL CAVITY	ORAL CAVITY	body	human body part	non-visual		
Tjuka-2022-784-96	96	3716	OVARY	OVARY	body	human body part	non-visual		
Tjuka-2022-784-97	97	540	PALATE	PALATE	body	human body part	non-visual		
Tjuka-2022-784-98	98	3252	PANCREAS	PANCREAS	body	human body part	non-visual		
Tjuka-2022-784-99	99	1222	PENIS	PENIS	body	human body part	visual		
Tjuka-2022-784-100	100	3713	PHARYNX	PHARYNX	body	human body part	non-visual		
Tjuka-2022-784-101	101	3388	PLACENTA	PLACENTA	body	human body part	non-visual		
Tjuka-2022-784-102	102	1658	PUPIL	PUPIL	body	human body part	visual		
Tjuka-2022-784-103	103	801	RIB	RIB	body	human body part	non-visual		
Tjuka-2022-784-104	104	2834	SCROTUM	SCROTUM	body	human body part	visual		
Tjuka-2022-784-105	105	186	SHIN	SHIN	body	human body part	visual		
Tjuka-2022-784-106	106	1482	SHOULDER	SHOULDER	body	human body part	visual		
Tjuka-2022-784-107	107	172	SHOULDERBLADE	SHOULDERBLADE	body	human body part	visual		
Tjuka-2022-784-108	108	3344	SIDE (BODY)	SIDE (BODY)	body	human body part	visual		
Tjuka-2022-784-109	109	2668	SKELETON	SKELETON	body	human body part	non-visual		
Tjuka-2022-784-110	110	763	SKIN	SKIN	body	human body part	visual		
Tjuka-2022-784-111	111	1605	SKULL	SKULL	body	human body part	non-visual		
Tjuka-2022-784-112	112	2666	SOLE (FOOT)	SOLE (FOOT)	body	human body part	non-visual		
Tjuka-2022-784-113	113	805	SPINE	SPINE	body	human body part	non-visual		
Tjuka-2022-784-114	114	1744	SPLEEN	SPLEEN	body	human body part	non-visual		
Tjuka-2022-784-115	115	819	STOMACH	STOMACH	body	human body part	non-visual	BELLY OR STOMACH	2114
Tjuka-2022-784-116	116	1604	TEMPLES	TEMPLES	body	human body part	visual		
Tjuka-2022-784-117	117	1137	TENDON	TENDON	body	human body part	non-visual		
Tjuka-2022-784-118	118	797	TESTICLES	TESTICLES	body	human body part	visual		
Tjuka-2022-784-119	119	1346	THROAT	THROAT	body	human body part	non-visual		
