ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	HAUSA	ENGLISH
Kraft-1981-434-34	305	GRANDPARENTS	34	kā̀kā	grandparent
Kraft-1981-434-35	1256	HEAD	35	kâi	head
Kraft-1981-434-36	1040	HAIR	36	gāshī̀	hair
Kraft-1981-434-37	1583	BRAIN	37	ƙwaƙwalwā	brains
Kraft-1981-434-38	1560	FACE	38	fuskā̀	face
Kraft-1981-434-39	1221	NOSE	39	hancī̀	nose
Kraft-1981-434-40	1247	EAR	40	kûnnē	ear
Kraft-1981-434-41	1248	EYE	41	idṑ	eye
Kraft-1981-434-42	1730	CHEEK	42	kumā̀tū	cheeks
Kraft-1981-434-43	1510	CHIN	43	haɓā̀	chin
Kraft-1981-434-44	678	BEARD	44	gēmù	beard
Kraft-1981-434-45	674	MOUTH	45	bā̀kī	mouth
Kraft-1981-434-46	478	LIP	46	lēɓḕ	lip
Kraft-1981-434-47	1205	TONGUE	47	harshḕ	tongue
Kraft-1981-434-48	1380	TOOTH	48	haƙōrī	tooth
Kraft-1981-434-49	1333	NECK	49	wuyā̀	neck
Kraft-1981-434-50	1592	CHEST	50	ƙìrjī	chest
Kraft-1981-434-51	1402	BREAST	51	mā̀mā	woman's breast
Kraft-1981-434-52	1482	SHOULDER	52	kā̀fadā̀	shoulder
Kraft-1981-434-53	1673	ARM	53	hannū	arm
Kraft-1981-434-54	1303	FINGER	54	yātsā̀	finger
Kraft-1981-434-55	1297	LEG	55	ƙafā̀	leg
Kraft-1981-434-56	471	UPPER LEG (THIGH)	56	cinyā̀	thigh
Kraft-1981-434-57	1371	KNEE	57	gwīwā̀	knee
Kraft-1981-434-58	1480	BODY	58	jìkī	body
Kraft-1981-434-59	763	SKIN	59	fātā̀	skin
Kraft-1981-434-60	2259	FLESH	60	nāmā̀	flesh
Kraft-1981-434-61	834	BUTTOCKS	61	gìndī	buttocks
Kraft-1981-434-62	1935	ANUS	62	tsulìyā	anus
Kraft-1981-434-63	1222	PENIS	63	bùrā	penis
Kraft-1981-434-64	1836	VAGINA	64	dūrī̀	vagina
Kraft-1981-434-65	797	TESTICLES	65	gwaiwā	testicles
Kraft-1981-434-66	819	STOMACH	66	cikī̀	stomach
Kraft-1981-434-67	1838	NAVEL	67	cībìyā	navel
Kraft-1981-434-68	1991	INTESTINES	68	hanjī	intestines
Kraft-1981-434-69	1223	HEART	69	zūcìyā	heart
Kraft-1981-434-70	1224	LIVER	70	hantā̀	liver
Kraft-1981-434-71	489	KIDNEY	71	ƙōdā̀	kidney
Kraft-1981-434-72	801	RIB	72	haƙàrƙarī	ribs
Kraft-1981-434-73	688	LUNG	73	hū̀hū	lungs
Kraft-1981-434-74	946	BLOOD	74	jinī	blood
Kraft-1981-434-75	1394	BONE	75	ƙàshī	bone
Kraft-1981-434-76	1924	VEIN	76	jījìyā	vein
Kraft-1981-434-77	1142	URINE	77	fitsarī	urine
Kraft-1981-434-78	675	FAECES (EXCREMENT)	78	kāshī	faeces
Kraft-1981-434-79	2458	PERSPIRE OR SWEAT	79	gùmī	sweat
Kraft-1981-434-80	1503	SALIVA	80	miyau, yau	saliva
Kraft-1981-434-81	1363	VOICE	81	muryā̀	voice
Kraft-1981-434-82	1405	NAME	82	sūnā	name
Kraft-1981-434-83	683	PERSON	83	mùtûm	person
Kraft-1981-434-84	1554	MAN	84	mijī̀	man
Kraft-1981-434-85	962	WOMAN	85	màcè	woman
Kraft-1981-434-86	1366	BOY	86	yārṑ	boy
Kraft-1981-434-87	1646	GIRL	87	yārinyā̀	girl
Kraft-1981-434-88	1289	BABY	88	jinjìrī	baby
Kraft-1981-434-89	406	OLD MAN	89	tsōhō	old man
Kraft-1981-434-90	907	OLD WOMAN	90	tsōhuwā	old woman
Kraft-1981-434-91	1508	KING	91	sarkī	king
Kraft-1981-434-92	812	SLAVE	92	bāwā̀	slave
Kraft-1981-434-93	1944	GOD	93	Allā̀	God
Kraft-1981-434-94	394	SHAMAN (FOLK HEALER)	94	bōkā	native doctor
Kraft-1981-434-95	1372	MEDICINE	95	māgànī	medicine
Kraft-1981-434-96	1782	GUEST	96	bā̀ƙō	guest
Kraft-1981-434-97	1325	FRIEND	97	àbōkī	friend
Kraft-1981-434-98	111	DRUMMING	98	kiɗī̀	drumming
Kraft-1981-434-99	1435	HUNT	99	fàrautā̀	hunting
Kraft-1981-434-100	133	WEAVE	100	sāƙā̀	weaving
Kraft-1981-434-101	1001	BLACKSMITH	101	maƙḕrī	blacksmith
Kraft-1981-434-102	288	FORGE	102	ƙīrā̀	smithing
Kraft-1981-434-103	713	STEAL	103	sātā̀	stealing
Kraft-1981-434-104	948	WATER	104	ruwā	water
Kraft-1981-434-105	1489	CLOUD	105	girgijḕ	cloud
Kraft-1981-434-106	666	RIVER	106	kṑgī	river
Kraft-1981-434-107	624	LAKE	107	tafkī̀	lake
Kraft-1981-434-108	1977	DEW	108	rāɓā	dew
Kraft-1981-434-109	778	SMOKE (EXHAUST)	109	hayāƙī	smoke
Kraft-1981-434-110	249	FOG	110	hazō	fog
Kraft-1981-434-111	451	HARMATTAN	111	hùntūrū̀	harmattan
Kraft-1981-434-112	960	WIND	112	iskā̀	wind
Kraft-1981-434-113	858	STORM	113	hadarī̀	storm
Kraft-1981-434-114	1150	THUNDER	114	tsāwā	thunder
Kraft-1981-434-115	1654	LIGHTNING	115	wàlƙiyā	lightning
Kraft-1981-434-116	1732	SKY	116	samā̀	sky
Kraft-1981-434-117	1343	SUN	117	rānā	sun
Kraft-1981-434-118	1313	MOON	118	watā̀	moon
Kraft-1981-434-119	1430	STAR	119	tàurarṑ	star
Kraft-1981-434-120	1233	NIGHT	120	darē	night
Kraft-1981-434-121	1339	MORNING	121	sāfē	morning
Kraft-1981-434-122	1629	EVENING	122	màràicē	evening
Kraft-1981-434-123	1226	YEAR	123	shḕkarā̀	year
Kraft-1981-434-124	453	RAINY SEASON	124	dā̀munā	rainy season
Kraft-1981-434-125	452	DRY SEASON	125	rānī	dry season
Kraft-1981-434-126	221	FIRE	126	wutā	fire
Kraft-1981-434-127	1188	CHARCOAL	127	gawàyī	charcoal
Kraft-1981-434-128	646	ASH	128	tṑkā	ashes
Kraft-1981-434-129	906	TREE	129	itā̀cē	tree
Kraft-1981-434-130	1803	WOOD	130	itā̀cē	wood
Kraft-1981-434-131	628	LEAF	131	ganyē	leaf
Kraft-1981-434-132	1204	BARK	132	ɓāwō	bark
Kraft-1981-434-133	714	SEED	133	irī̀	seed
Kraft-1981-434-134	997	BAOBAB TREE	134	kūkā̀	baobab tree
Kraft-1981-434-135	455	MAHOGANY TREE	135	maɗā̀cī	mahogany tree
Kraft-1981-434-136	35	TAMARIND	136	tsāmiyā	tamarind
Kraft-1981-434-137	454	SHEA NUT TREE	137	kaɗanyā̀	shea nut tree
Kraft-1981-434-138	124	THORN	138	ƙayā̀	thorn
Kraft-1981-434-139	606	GRASS	139	cìyāwā̀	grass
Kraft-1981-434-140	639	MOUNTAIN	140	dutsḕ	mountain
Kraft-1981-434-141	857	STONE	141	dutsḕ	stone
Kraft-1981-434-142	2159	GROUND	142	ƙasā	ground
Kraft-1981-434-143	671	SAND	143	yā̀shī	sand
Kraft-1981-434-144	2	DUST	144	ƙùrā	dust
Kraft-1981-434-145	640	MUD	145	tàɓō	mud
Kraft-1981-434-146	420	FOREST	146	kurmī̀	forest
Kraft-1981-434-147	1683	BUSH	147	dājī̀	the bush
Kraft-1981-434-148	1391	TOWN	148	gàrī	town
Kraft-1981-434-149	483	COMPOUND	149	gidā	compound
Kraft-1981-434-150	1678	HUT	150	ɗākī̀	hut
Kraft-1981-434-151	1567	DOOR	151	ƙōfā̀	doorway
Kraft-1981-434-152	667	ROAD	152	hanyā̀	road
Kraft-1981-434-153	201	FARM	153	gōnā	farm
Kraft-1981-434-154	284	HOE	154	fartanyā̀	hoe
Kraft-1981-434-155	677	AXE	155	gā̀tarī	axe
Kraft-1981-434-156	341	SICKLE	156	làujē	sickle
Kraft-1981-434-157	621	IRON	157	ƙarfḕ	iron
Kraft-1981-434-158	958	WILD ANIMAL	158	nāmàn dājī̀	wild animal
Kraft-1981-434-159	1386	LION	159	zākī̀	lion
Kraft-1981-434-160	1799	HYENA	160	kūrā	hyena
Kraft-1981-434-161	1290	ELEPHANT	161	giwā	elephant
Kraft-1981-434-162	1139	LEOPARD	162	dā̀misā̀	leopard
Kraft-1981-434-163	1350	MONKEY	163	birī̀	monkey
Kraft-1981-434-164	1197	BABOON	164	gwaggṑ	baboon
Kraft-1981-434-165	5	GAZELLE	165	bàrēwā	gazelle
Kraft-1981-434-166	1872	DUIKER	166	gā̀dā	duiker
Kraft-1981-434-167	1136	RABBIT	167	zōmō	rabbit
Kraft-1981-434-168	456	GUINEA FOWL	168	zā̀bō	guinea fowl
Kraft-1981-434-169	1490	RAT	169	ɓērā	rat
Kraft-1981-434-170	2241	WILD CAT	170	mùzūrū	wild cat
Kraft-1981-434-171	632	LIZARD	171	ƙadangarḕ	lizard
Kraft-1981-434-172	730	SNAKE	172	macī̀jī	snake
Kraft-1981-434-173	1563	PYTHON	173	mēsā̀	python
Kraft-1981-434-174	112	TURTLE	174	kùnkurū	turtle
Kraft-1981-434-175	503	FROG	175	kwā̀ɗō	frog
Kraft-1981-434-176	1628	SQUIRREL	176	kùrēgē	squirrel
Kraft-1981-434-177	1793	BAT	177	jēmāgḕ	bat
Kraft-1981-434-178	1538	SCORPION	178	kùnāmā̀	scorpion
Kraft-1981-434-179	1555	CHAMELEON	179	hàwainìyā	chameleon
Kraft-1981-434-180	1219	WORM	180	tsūtsā̀	worm
Kraft-1981-434-181	1504	FLY (INSECT)	181	ƙudā	fly
Kraft-1981-434-182	1509	MOSQUITO	182	saurō	mosquito
Kraft-1981-434-183	843	SPIDER	183	gizṑ	spider
Kraft-1981-434-184	1392	LOUSE	184	kwârkwatā̀	louse
Kraft-1981-434-185	883	TERMITE	185	gàrā	termite
Kraft-1981-434-186	1873	ANTHILL	186	sūrì	anthill
Kraft-1981-434-187	810	LOCUST	187	fā̀rā	locust
Kraft-1981-434-188	1007	COW	188	sānìyā	cow
Kraft-1981-434-189	1008	BULL	189	sā̂	bull
Kraft-1981-434-190	1502	GOAT	190	àkwiyā̀	goat
Kraft-1981-434-191	2475	MALE GOAT	191	bùnsurū	he-goat
Kraft-1981-434-192	1331	SHEEP	192	tunkìyā	sheep
Kraft-1981-434-193	1344	RAM	193	rā̀gō	ram
Kraft-1981-434-194	615	HORSE	194	dōkī̀	horse
Kraft-1981-434-195	1862	DONKEY	195	jā̀kī	donkey
Kraft-1981-434-196	1514	HEN	196	kā̀zā	hen
Kraft-1981-434-197	1511	ROOSTER	197	zàkarā̀	rooster
Kraft-1981-434-198	2009	DOG	198	kàrē	dog
Kraft-1981-434-199	1208	CAT	199	kyânwā	cat
Kraft-1981-434-200	937	BIRD	200	tsuntsū	bird
Kraft-1981-434-201	1853	DOVE	201	kurciyā	dove
Kraft-1981-434-202	307	HAWK	202	shirwā̀	kite
Kraft-1981-434-203	1185	VULTURE	203	ùngùlū	vulture
Kraft-1981-434-204	1257	WING	204	fiffikḕ	wing
Kraft-1981-434-205	744	EGG	205	ƙwai	egg
Kraft-1981-434-206	1393	HORN (ANATOMY)	206	kàhō	horn
Kraft-1981-434-207	1220	TAIL	207	wutsiyā̀	tail
Kraft-1981-434-208	256	FOOD	208	àbinci	food
Kraft-1981-434-209	400	MUSH	209	tuwō	mush
Kraft-1981-434-210	132	SAUCE	210	miyā̀	sauce
Kraft-1981-434-211	1167	GRUEL	211	kùnū	gruel
Kraft-1981-434-212	634	MEAT	212	nāmā̀	meat
Kraft-1981-434-213	227	FISH	213	kīfī	fish
Kraft-1981-434-214	1594	FLOUR	214	gā̀rī	flour
Kraft-1981-434-215	635	MILK	215	madarā	milk
Kraft-1981-434-216	1274	SALT	216	gishirī	salt
Kraft-1981-434-217	1385	PEPPER	217	bàrkṑnō	pepper
Kraft-1981-434-218	832	BEAN	218	wākē	beans
Kraft-1981-434-219	1737	OKRA	219	kubḕwā	okra
Kraft-1981-434-220	347	SORGHUM	220	dāwā̀	guinea corn
Kraft-1981-434-221	931	MILLET	221	màiwā	millet
Kraft-1981-434-222	595	GROUNDNUTS	222	gyàɗā	groundnuts
Kraft-1981-434-223	1484	OIL (ORGANIC SUBSTANCE)	223	mâi	oil
Kraft-1981-434-224	925	CASSAVA	224	rōgṑ	cassava
Kraft-1981-434-225	410	YAM	225	dōyā̀	yam
Kraft-1981-434-226	159	SWEET POTATO	226	dànkalī̀	sweet potato
Kraft-1981-434-227	507	MELON	227	kàbēwā̀	melon
Kraft-1981-434-228	942	HONEY	228	zumā̀	honey
Kraft-1981-434-229	1295	STICK	229	sàndā	stick
Kraft-1981-434-230	945	SPEAR	230	māshī̀	spear
Kraft-1981-434-231	1535	SWORD	231	takṑbī	sword
Kraft-1981-434-232	195	MAT	232	tā̀barmā	mat (tabarma)
Kraft-1981-434-233			233	zānā	mat (zana)
Kraft-1981-434-234	994	BOW	234	bàkā	bow
Kraft-1981-434-235	977	ARROW	235	kibiyā̀	arrow
Kraft-1981-434-236	995	QUIVER (FOR ARROWS)	236	kwàrī	quiver
Kraft-1981-434-237	1352	KNIFE	237	wuƙā	knife
Kraft-1981-434-238	1218	ROPE	238	igiyā̀	rope
Kraft-1981-434-239	411	GOURD	239	ƙwaryā	calabash
Kraft-1981-434-240	3653	COOKING POT	240	tukunyā	cooking pot
Kraft-1981-434-241	2053	SMALL BOWL	241	kaskō	small pot
Kraft-1981-434-242	3766	WATER POT	242	ràndā	large water pot
Kraft-1981-434-243			243	tū̀lū	small water pot
Kraft-1981-434-244	738	THING	244	àbù	thing
Kraft-1981-434-245	1679	LOAD	245	kāyā	load
Kraft-1981-434-246	1307	LANGUAGE	246	yā̀rē	language
Kraft-1981-434-247	984	WORK (LABOUR)	247	aikī̀	work
Kraft-1981-434-248	935	WAR	248	yāƙī̀	war
Kraft-1981-434-249	1585	SLEEP	249	barcī	sleep
Kraft-1981-434-250	1920	DREAM (SOMETHING)	250	mafarkī	dream
Kraft-1981-434-251	210	LIFE	251	râi	life
Kraft-1981-434-252	910	DEATH	252	mutuwā̀	death
Kraft-1981-434-253	1986	DISEASE	253	cīwṑ	sickness
Kraft-1981-434-254	879	COUGH	254	tā̀rī	cough
Kraft-1981-434-255	1534	FEVER	255	zàzzàɓī	fever
Kraft-1981-434-256	1189	ULCER	256	gyàmbō, mīkī̀	ulcer
Kraft-1981-434-257	1809	PIMPLE	257	ƙurjī	pimple
Kraft-1981-434-258	1140	FATIGUE	258	gàjiyā̀	fatigue
Kraft-1981-434-259	1864	HUNGER	259	yunwā̀	hunger
Kraft-1981-434-260	848	THIRST	260	ƙishirwā	thirst
Kraft-1981-434-261	1388	SHADE	261	inuwā̀	shadow
Kraft-1981-434-262	1638	TRUTH	262	gàskiyā	truth
Kraft-1981-434-263	601	LIE (MISLEAD)	263	ƙaryā	lie
Kraft-1981-434-264	723	PLACE (POSITION)	264	wurī	place
Kraft-1981-434-265	892	TIME	265	lōkàcī	time
Kraft-1981-434-266	1667	HOLE	266	rāmī̀	hole
Kraft-1981-434-267	1844	BOAT	267	jirgī	boat
Kraft-1981-434-268	633	MARKET	268	kā̀suwā	market
Kraft-1981-434-269	1559	MONEY	269	kuɗī	money
Kraft-1981-434-270	461	BOUBOU	270	rī̀gā	man's robe
Kraft-1981-434-271	462	WRAPPER	271	zanḕ	woman's bodycloth
Kraft-1981-434-272	1335	WHITE	272	farī	white
Kraft-1981-434-273	163	BLACK	273	baƙī	black
Kraft-1981-434-274	156	RED	274	jā	red
Kraft-1981-434-275	1425	GREEN	275	kōrḕ	green
Kraft-1981-434-276	1424	YELLOW	276	rā̀wayā̀	yellow
Kraft-1981-434-277	837	BLUE	277	shūɗī̀	blue
Kraft-1981-434-278	630	LIGHT (RADIATION)	278	haskē	light
Kraft-1981-434-279	11	DARKNESS	279	duhū̀	darkness
Kraft-1981-434-280	1210	HEAVY	280	nauyī	heaviness
Kraft-1981-434-281	1202	BIG	281	bàbbā	large
Kraft-1981-434-282	1246	SMALL	282	ƙàramī	small
Kraft-1981-434-283	1198	MANY	283	dà yawā̀	many
Kraft-1981-434-284	98	ALL	284	dukà	all
Kraft-1981-434-285	1884	HARD	285	taurī	hardness
Kraft-1981-434-286	1856	SOFT	286	laushī	softness
Kraft-1981-434-287	1725	CORRECT (RIGHT)	287	daidai	correct
Kraft-1981-434-288	717	SWEET	288	zāƙī	sweetness
Kraft-1981-434-289	887	BITTER	289	ɗācī	bitterness
Kraft-1981-434-290	1906	SOUR	290	tsāmī	sourness
Kraft-1981-434-291	1203	LONG	291	dōgō	long
Kraft-1981-434-292	1645	SHORT	292	gàjērē	short
Kraft-1981-434-293	1035	GOOD	293	dà kyâu	good
Kraft-1981-434-294	45	EVIL	294	mūgū̀	evil
Kraft-1981-434-295	1231	NEW	295	sābō	new
Kraft-1981-434-296	1229	OLD	296	tsōhō	old
Kraft-1981-434-297	1243	WIDE	297	fādī	wideness
Kraft-1981-434-298	25	DIRT	298	dauɗā̀	dirt
Kraft-1981-434-299	704	CLEAN	299	tsabtā̀	cleanness
Kraft-1981-434-300	1279	FAT (OBESE)	300	ƙibā̀	fatness
Kraft-1981-434-301	2308	THIN	301	sī̀rīrī̀	thin
Kraft-1981-434-302	1426	EXPENSIVE	302	tsàdā	expensiveness
Kraft-1981-434-303	1887	CHEAP	303	àràhā	inexpensiveness
Kraft-1981-434-304	1942	NEAR	304	kusa	near
Kraft-1981-434-305	1406	FAR	305	nīsa	far
Kraft-1981-434-306	612	HEAT	306	zāfī	hotness
Kraft-1981-434-307	1287	COLD	307	sanyī	coldness
Kraft-1981-434-308	202	STRENGTH	308	ƙarfī	strength
Kraft-1981-434-309	457	BLIND PERSON	309	màkāfṑ	blind man
Kraft-1981-434-310	458	DEAF PERSON	310	kurmā	deaf man
Kraft-1981-434-311	1283	TODAY	311	yâu	today
Kraft-1981-434-312	1174	YESTERDAY	312	jiyà	yesterday
Kraft-1981-434-313	1329	TOMORROW	313	gṑbe	tomorrow
Kraft-1981-434-314	1237	WHERE	314	ìnā	where?
Kraft-1981-434-315	1238	WHEN	315	yàushè	when?
Kraft-1981-434-316	1236	WHAT	316	mḕ	what?
Kraft-1981-434-317	1235	WHO	317	wā̀	who?
Kraft-1981-434-318	1239	HOW	318	yā̀yā̀	how?
Kraft-1981-434-319	822	HOW MANY	319	nawà	how many?
Kraft-1981-434-320	136	HERE	320	nân	here
Kraft-1981-434-321	1937	THERE	321	cân	there
Kraft-1981-434-322	1214	THIS	322	wannàn	this
Kraft-1981-434-323	78	THAT	323	wancàn	that
Kraft-1981-434-324	1606	INSIDE	324	cikī	inside
Kraft-1981-434-325	762	OUTSIDE	325	wàje	outside
Kraft-1981-434-326	57	ATOP	326	à kâi	atop
Kraft-1981-434-327	1485	BELOW OR UNDER	327	ƙàrƙashī	under
Kraft-1981-434-328	689	BETWEEN	328	tsàkānī	between
Kraft-1981-434-329	1019	RIGHT	329	dāma	right
Kraft-1981-434-330	244	LEFT	330	hagu	left
Kraft-1981-434-331	1598	NORTH	331	arḕwa	north
Kraft-1981-434-332	1595	SOUTH	332	kudù	south
Kraft-1981-434-333	1877	EAST	333	gabàs	east
Kraft-1981-434-334	1817	WEST	334	yâmma	west
Kraft-1981-434-335	2152	THERE IS OR THERE ARE	335	àkwai àbinci	there is
Kraft-1981-434-336	2329	LACK (NOT HAVE)	336	bābù àbinci	there is not
Kraft-1981-434-337	1336	EAT	337	yā ci	eat
Kraft-1981-434-338	1401	DRINK	338	yā shā	drink
Kraft-1981-434-339	897	SWALLOW	339	yā haɗìyē	swallow
Kraft-1981-434-340	813	DO	340	yā yi	do
Kraft-1981-434-341	695	GO	341	yā tàfi	go
Kraft-1981-434-342	1446	COME	342	yā zō	come
Kraft-1981-434-343	581	COME BACK	343	yā kōmà	return
Kraft-1981-434-344	749	ENTER	344	yā shìga	go in
Kraft-1981-434-345	1107	GO OUT	345	yā fìta	go out
Kraft-1981-434-346	1519	RUN	346	yā gudù	run
Kraft-1981-434-347	705	GO UP (ASCEND)	347	yā hau	mount
Kraft-1981-434-348	1409	SEE	348	yā ganī	see
Kraft-1981-434-349	1408	HEAR	349	yā ji	hear
Kraft-1981-434-350	2124	SMELL	350	yā ji (wārī)	smell
Kraft-1981-434-351	1892	TOUCH	351	yā taɓā̀	touch
Kraft-1981-434-352	21	TASTE (SOMETHING)	352	yā ɗanɗànā	taste
Kraft-1981-434-353	1433	HIT	353	yā bugā̀	hit
Kraft-1981-434-354	1449	RUB	354	yā gōgḕ	rub
Kraft-1981-434-355	1417	KILL	355	yā kashḕ	kill
Kraft-1981-434-356	1455	PULL	356	yā jā	pull
Kraft-1981-434-357	1452	PUSH	357	yā tūrḕ	push
Kraft-1981-434-358	501	LIFT	358	yā ɗaukā̀	lift
Kraft-1981-434-359	998	PUT	359	yā ajìyē	put down
Kraft-1981-434-360	215	LIE DOWN	360	yā kwântā	lie down
Kraft-1981-434-361	168	REST	361	yā hūtā̀	rest
Kraft-1981-434-362	1757	TIRED	362	yā gàji	be tired
Kraft-1981-434-363	1156	OPEN	363	yā būɗḕ	open
Kraft-1981-434-364	1046	SHUT	364	yā rufḕ	close
Kraft-1981-434-365	1719	BURY	365	yā binnḕ	bury
Kraft-1981-434-366	7	GATHER	366	yā tārā̀	gather
Kraft-1981-434-367	1542	ACCOMPANY	367	yā rakà shi	accompany
Kraft-1981-434-368	2102	BURN	368	yā ƙōnḕ	burn
Kraft-1981-434-369	1100	COOK (SOMETHING)	369	yā dafā̀	cook
Kraft-1981-434-370	1962	ROAST (SOMETHING)	370	yā gasā̀	roast
Kraft-1981-434-371	991	FRY	371	yā sōyā̀	fry
Kraft-1981-434-372	2493	BOIL	372	yā tàfasā̀	boil
Kraft-1981-434-373	1623	SPEAK	373	yā fàɗā	speak
Kraft-1981-434-374	1309	ASK (INQUIRE)	374	yā tàmbayā̀	ask
Kraft-1981-434-375	1275	ANSWER	375	yā amsā̀	answer
Kraft-1981-434-376	49	REFUSE	376	yā ƙi	refuse
Kraft-1981-434-377	430	TWIST	377	yā murɗḕ	twist
Kraft-1981-434-378	3151	CUT (WITH AXE)	378	yā sā̀rā	chop
Kraft-1981-434-379	1432	CUT	379	yā yankā̀	cut
Kraft-1981-434-380	1735	TEAR (SHRED)	380	yā yāgḕ	tear
Kraft-1981-434-381	1840	BUILD	381	yā ginā̀	build
Kraft-1981-434-382	814	DRESS UP	382	yā sā̂ (tufāfī̀)	dress
Kraft-1981-434-383	1755	UNDRESS	383	yā tūɓḕ (tufāfī̀)	undress
Kraft-1981-434-384	1568	ARRANGE	384	yā shiryā̀	arrange
Kraft-1981-434-385	2486	HIDE	385	yā ɓōyḕ	hide
Kraft-1981-434-386	713	STEAL	386	yā sā̀tā	steal
Kraft-1981-434-387	1897	HELP	387	yā tàimàkē shì	help
Kraft-1981-434-388	1280	FALL	388	yā fāɗī̀	fall
Kraft-1981-434-389	1410	KNOW (SOMETHING)	389	yā sanī̀	know
Kraft-1981-434-390	707	REMEMBER	390	yā tunā̀	remember
Kraft-1981-434-391	1523	FORGET	391	yā mântā	forget
Kraft-1981-434-392	1418	DIG	392	yā haƙā̀	dig
Kraft-1981-434-393	504	LEARN	393	yā kṑyā	learn
Kraft-1981-434-394	1119	DIVIDE	394	yā rabā̀	divide
Kraft-1981-434-395	398	PIERCE	395	yā hūdā̀	pierce
Kraft-1981-434-396	1414	SQUEEZE	396	yā matsà (lḕmū)	squeeze
Kraft-1981-434-397	1448	HOLD	397	yā riƙḕ	hold
Kraft-1981-434-398	30	DISPEL	398	yā kṑrā	drive away
Kraft-1981-434-399	855	SEIZE	399	yā kāmā̀	seize
Kraft-1981-434-400	1447	GIVE	400	yā bā shì	give
Kraft-1981-434-401	1403	BITE	401	yā cī̀zā	bite
Kraft-1981-434-402	1172	SHOOT	402	yā hàrbā	shoot
Kraft-1981-434-403	1869	BUY	403	yā sàyi wuƙā	buy
Kraft-1981-434-404	1571	SELL	404	yā sayar dà shī	sell
Kraft-1981-434-405	1084	CALL	405	yā kirā	call
Kraft-1981-434-406	1416	SIT	406	yā zaunā̀	sit
Kraft-1981-434-407	570	STAND UP	407	yā tāshì	stand up
Kraft-1981-434-408	1195	GIVE BIRTH	408	tā haifù	give birth
Kraft-1981-434-409	1590	WAIT (FOR)	409	yā jirā	wait for
Kraft-1981-434-410	1494	DIE	410	yā mutù	die
Kraft-1981-434-411	1085	FOLLOW	411	yā bī shì	follow
Kraft-1981-434-412	1456	THROW	412	yā jēfā̀	throw
Kraft-1981-434-413	288	FORGE	413	yā ƙērā̀	forge
Kraft-1981-434-414	1041	INCREASE	414	yā ƙārā̀	increase
Kraft-1981-434-415	1766	FINISH	415	yā gāmā̀	finish
Kraft-1981-434-416	1806	BEGIN	416	yā sōmā̀	begin
Kraft-1981-434-417	2006	FILL	417	yā cikà shi	fill
Kraft-1981-434-418	1039	SHOW	418	yā nūnā̀	show
Kraft-1981-434-419	1786	DRY UP	419	yā būshḕ	dry up
Kraft-1981-434-420	1457	SEW	420	yā ɗinkā̀	sew
Kraft-1981-434-421	402	SURPASS	421	yā fī shì	surpass
Kraft-1981-434-422	1917	TIE	422	yā ɗaurḕ	tie
Kraft-1981-434-423	352	UNTIE	423	yā kwancḕ	untie
