ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	HAUSA	ENGLISH
Kraft-1981-434-1	1493	ONE	1	ɗaya	one
Kraft-1981-434-2	1498	TWO	2	biyu	two
Kraft-1981-434-3	492	THREE	3	ukù	three
Kraft-1981-434-4	1500	FOUR	4	huɗu	four
Kraft-1981-434-5	493	FIVE	5	bìyar	five
Kraft-1981-434-6	1703	SIX	6	shidà	six
Kraft-1981-434-7	1704	SEVEN	7	bakwài	seven
Kraft-1981-434-8	1705	EIGHT	8	takwàs	eight
Kraft-1981-434-9	1483	NINE	9	tarà	nine
Kraft-1981-434-10	1515	TEN	10	gōmà	ten
Kraft-1981-434-11	1706	ELEVEN	11	gōmà shā̂ ɗaya	eleven
Kraft-1981-434-12	1707	TWELVE	12	gōmà shā̂ biyu	twelve
Kraft-1981-434-13	1708	THIRTEEN	13	gōmà shā̂ ukù	thirteen
Kraft-1981-434-14	1713	EIGHTEEN	14	gōmà shā̂ takwàs	eighteen
Kraft-1981-434-15	1714	NINETEEN	15	gōmà shā̂ tarà	nineteen
Kraft-1981-434-16	1710	TWENTY	16	àshìrin	twenty
Kraft-1981-434-17	1734	TWENTY ONE	17	àshìrin dà ɗaya	twenty one
Kraft-1981-434-18	1736	TWENTY FOUR	18	àshìrin dà huɗu	twenty four
Kraft-1981-434-19	1738	TWENTY FIVE	19	àshìrin dà bìyar	twenty five
Kraft-1981-434-20	1715	THIRTY	20	tàlā̀tin	thirty
Kraft-1981-434-21	1716	FORTY	21	àrbà'in	forty
Kraft-1981-434-22	1717	FIFTY	22	hàmsin	fifty
Kraft-1981-434-23	1718	SIXTY	23	sìttin	sixty
Kraft-1981-434-24	1721	SEVENTY	24	sàbà'in	seventy
Kraft-1981-434-25	1722	EIGHTY	25	tàmā̀nin	eighty
Kraft-1981-434-26	1724	NINETY	26	tàsà'in	ninety
Kraft-1981-434-27	1634	HUNDRED	27	ɗàri	one hundred
Kraft-1981-434-28	1217	FATHER	28	ùbā	father
Kraft-1981-434-29	1216	MOTHER	29	uwā	mother
Kraft-1981-434-30	1620	SON	30	ɗā	son
Kraft-1981-434-31	1357	DAUGHTER	31	'yā	daughter
Kraft-1981-434-32	1262	BROTHER	32	ɗan'uwā	brother
Kraft-1981-434-33	1263	SISTER	33	'yar'uwā	sister
