ID	NUMBER	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Nimuendaju-1958-289-1	1	Kopf	1256	HEAD	cabeça
Nimuendaju-1958-289-2	2	Gesicht	1560	FACE	rosto
Nimuendaju-1958-289-3	3	Auge	1248	EYE	olho
Nimuendaju-1958-289-4	4	Brauen	1173	EYEBROW	sobrancelha
Nimuendaju-1958-289-5	5	Wimpern	1540	EYELASH	pestana
Nimuendaju-1958-289-6	6	Nase	1221	NOSE	nariz
Nimuendaju-1958-289-7	7	Ohr	1247	EAR	orelha
Nimuendaju-1958-289-8	8	Loch im Ohrläppchen			fura do lóbulo da orelha
Nimuendaju-1958-289-9	9	Mund	674	MOUTH	boca
Nimuendaju-1958-289-10	10	Unterlippe			lábio inferior
Nimuendaju-1958-289-11	11	Loch in der Unterlippe			buraco no lábio inferior
Nimuendaju-1958-289-12	12	Zahn	1380	TOOTH	dente
Nimuendaju-1958-289-13	13	Zunge	1205	TONGUE	lí­ngua
Nimuendaju-1958-289-14	14	Schnurrbart	1165	MOUSTACHE	bigode
Nimuendaju-1958-289-15	15	Haar	2648	HAIR (HEAD)	cabelo
Nimuendaju-1958-289-16	16	schlichtes Haar			cabelo liso
Nimuendaju-1958-289-17	17	Wollhaar			cabelo crespo
Nimuendaju-1958-289-18	18	Hals	1333	NECK	pescoço
Nimuendaju-1958-289-19	19	Brust	1592	CHEST	peito
Nimuendaju-1958-289-20	20	Brustwarze	796	NIPPLE	mamilo
Nimuendaju-1958-289-21	21	Bauch	1251	BELLY	barriga
Nimuendaju-1958-289-22	22	Nabel	1838	NAVEL	umbigo
Nimuendaju-1958-289-23	23	Rücken	1291	BACK	costas
Nimuendaju-1958-289-24	24	Arsch	834	BUTTOCKS	ânus
Nimuendaju-1958-289-25	25	männliche Geschlechtsteile	1222	PENIS	órgão sexual masculino
Nimuendaju-1958-289-26	26	weibliche Geschlechtsteile	1837	VULVA	órgão sexual feminino
Nimuendaju-1958-289-27	27	Schulter	1482	SHOULDER	ombro
Nimuendaju-1958-289-28	28	Arm	1673	ARM	braço
Nimuendaju-1958-289-29	29	Hand	1277	HAND	mão
Nimuendaju-1958-289-30	30	Finger	1303	FINGER	dedo
Nimuendaju-1958-289-31	31	Fingernagel	1258	FINGERNAIL	unha
Nimuendaju-1958-289-32	32	Oberschenkel	471	UPPER LEG (THIGH)	coxa
Nimuendaju-1958-289-33	33	Knie	1371	KNEE	joelho
Nimuendaju-1958-289-34	34	Unterschenkel	447	LOWER LEG	perna inferior (canela)
Nimuendaju-1958-289-35	35	Fuß	1301	FOOT	pé
Nimuendaju-1958-289-36	36	Zehe	1389	TOE	dedo do pé
Nimuendaju-1958-289-37	37	Zehennagel	2662	TOENAIL	unha do dedo do pé
Nimuendaju-1958-289-38	38	Haut	763	SKIN	pele
Nimuendaju-1958-289-39	39	Knochen	1394	BONE	ossos
Nimuendaju-1958-289-40	40	Fleisch	2259	FLESH	carne
Nimuendaju-1958-289-41	41	Blut	946	BLOOD	sangue
Nimuendaju-1958-289-42	42	Herz	1223	HEART	coração
Nimuendaju-1958-289-43	43	Hunger	1864	HUNGER	fome
Nimuendaju-1958-289-44	44	Himmel	1732	SKY	céu
Nimuendaju-1958-289-45	45	Tag	1225	DAY (NOT NIGHT)	dia
Nimuendaju-1958-289-46	46	Nacht	1233	NIGHT	noite
Nimuendaju-1958-289-47	47	Sonne	1343	SUN	sol
Nimuendaju-1958-289-48	48	Mond	1313	MOON	lua
Nimuendaju-1958-289-49	49	Stern	1430	STAR	estrela
Nimuendaju-1958-289-50	50	Orion			Orion, constelação de
Nimuendaju-1958-289-51	51	Siebengestirn			Plêiades
Nimuendaju-1958-289-52	52	Sirius			Cão-Maior (Sirius)
Nimuendaju-1958-289-53	53	Milchstraße	2289	MILKY WAY	Via Láctea
Nimuendaju-1958-289-54	54	Zwillinge			Gêmeos
Nimuendaju-1958-289-55	55	Wassaer	948	WATER	água
Nimuendaju-1958-289-56	56	Wolke	1489	CLOUD	nuvem
Nimuendaju-1958-289-57	57	Regen	658	RAIN (PRECIPITATION)	chuva
Nimuendaju-1958-289-58	58	Regenbogen	1733	RAINBOW	arco-í­ris
Nimuendaju-1958-289-59	59	Blitz	1654	LIGHTNING	relâmpago
Nimuendaju-1958-289-60	60	Donner	1150	THUNDER	trovão
Nimuendaju-1958-289-61	61	Fluß	666	RIVER	rio
Nimuendaju-1958-289-62	62	kleiner Bach	947	STREAM	riacho pequeno
Nimuendaju-1958-289-63	63	See	624	LAKE	lago
Nimuendaju-1958-289-64	64	Meer	1474	SEA	mar
Nimuendaju-1958-289-65	65	Erde	1228	EARTH (SOIL)	terra
Nimuendaju-1958-289-66	66	Stein	857	STONE	pedra
Nimuendaju-1958-289-67	67	Sand	671	SAND	areia
Nimuendaju-1958-289-68	68	Berg	639	MOUNTAIN	montanha
Nimuendaju-1958-289-69	69	Feuer	221	FIRE	fogo
Nimuendaju-1958-289-70	70	Brennholz	10	FIREWOOD	lenha
