ID	NUMBER	ENGLISH	CATEGORY_ID	CATEGORY	REFLEX_MEANINGS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Matisoff-2009-47-1	1	BLOOD	1	Body Parts	blood	946	BLOOD
Matisoff-2009-47-2	2	BONE	1	Body Parts	bone	1394	BONE
Matisoff-2009-47-3	3	EAR	1	Body Parts	ear	1247	EAR
Matisoff-2009-47-4	4	EYE	1	Body Parts	eye	1248	EYE
Matisoff-2009-47-5	5	HAIR (body)	1	Body Parts	hair (body)/fur/feather	189	HAIR (BODY)
Matisoff-2009-47-6	6	HAND	1	Body Parts	hand	1277	HAND
Matisoff-2009-47-7	7	NOSE	1	Body Parts	nose	1221	NOSE
Matisoff-2009-47-8	8	TAIL	1	Body Parts	tail	1220	TAIL
Matisoff-2009-47-9	9	TONGUE	1	Body Parts	tongue	1205	TONGUE
Matisoff-2009-47-10	10	TOOTH	1	Body Parts	tooth	1380	TOOTH
Matisoff-2009-47-11	11	ANIMAL	2	Animals	animal/meat/flesh	619	ANIMAL
Matisoff-2009-47-12	12	DOG	2	Animals	dog	2009	DOG
Matisoff-2009-47-13	13	FISH	2	Animals	fish	227	FISH
Matisoff-2009-47-14	14	PIG	2	Animals	pig	1337	PIG
Matisoff-2009-47-15	15	SNAKE	2	Animals	snake	730	SNAKE
Matisoff-2009-47-16	16	THREE	3	Numerals	three	492	THREE
Matisoff-2009-47-17	17	FOUR	3	Numerals	four	1500	FOUR
Matisoff-2009-47-18	18	FIVE	3	Numerals	five	493	FIVE
Matisoff-2009-47-19	19	SIX	3	Numerals	six	1703	SIX
Matisoff-2009-47-20	20	EIGHT	3	Numerals	eight	1705	EIGHT
Matisoff-2009-47-21	21	HUNDRED	3	Numerals	hundred	1634	HUNDRED
Matisoff-2009-47-22	22	DAY (of 24 hours)	4	Natural Objects and Units of Time	day (24 hours)/spend the night	1260	DAY (24 HOURS)
Matisoff-2009-47-23	23	FIRE	4	Natural Objects and Units of Time	fire	221	FIRE
Matisoff-2009-47-24	24	MOON/MONTH	4	Natural Objects and Units of Time	moon/month	2463	MOON OR MONTH
Matisoff-2009-47-25	25	SMOKE	4	Natural Objects and Units of Time	smoke	778	SMOKE (EXHAUST)
Matisoff-2009-47-26	26	SUN/DAYTIME	4	Natural Objects and Units of Time	sun/daytime	2140	DAY OR SUN
Matisoff-2009-47-27	27	CHILD/SON	5	People and habitation	child/son	2391	BOY OR SON
Matisoff-2009-47-28	28	GRANDFATHER/ELDER BROTHER	5	People and habitation	grandfather/elder brother	2644	GRANDFATHER OR OLDER BROTHER
Matisoff-2009-47-29	29	HOUSE	5	People and habitation	house	1252	HOUSE
Matisoff-2009-47-30	30	HUSBAND/MALE	5	People and habitation	husband/male	2646	HUSBAND OR MALE PERSON
Matisoff-2009-47-31	31	MAN/PERSON	5	People and habitation	human/person	2645	MAN OR PERSON
Matisoff-2009-47-32	32	NAME	5	People and habitation	name	1405	NAME
Matisoff-2009-47-33	33	MEDICINE	6	Plants and Ingestibles	medicine/paint/juice	1372	MEDICINE
Matisoff-2009-47-34	34	POISON	6	Plants and Ingestibles	poison	655	POISON
Matisoff-2009-47-35	35	*I	7	Pronouns	1st person	1209	I
Matisoff-2009-47-36	36	*THOU	7	Pronouns	2nd person	1215	THOU
Matisoff-2009-47-37	37	BITTER	8	Verbs	bitter	887	BITTER
Matisoff-2009-47-38	38	DIE	8	Verbs	die	1494	DIE
Matisoff-2009-47-39	39	DREAM	8	Verbs	dream	2374	DREAM
Matisoff-2009-47-40	40	EAT	8	Verbs	eat	1336	EAT
Matisoff-2009-47-41	41	ILL	8	Verbs	ill	1847	SICK
Matisoff-2009-47-42	42	KILL	8	Verbs	kill	1417	KILL
Matisoff-2009-47-43	43	LICK	8	Verbs	lick/tongue	319	LICK
Matisoff-2009-47-44	44	STEAL	8	Verbs	steal	713	STEAL
Matisoff-2009-47-45	45	COPULA	9	Abstract	copula	1579	BE
Matisoff-2009-47-46	46	NEGATIVE	9	Abstract	negative	1240	NOT
Matisoff-2009-47-47	47	NEGATIVE IMPERATIVE	9	Abstract	negative imperative	1269	NO
