ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tryon-1983-200-1	1	*one	1493	ONE
Tryon-1983-200-2	2	*two	1498	TWO
Tryon-1983-200-3	3	**three	492	THREE
Tryon-1983-200-4	4	**four	1500	FOUR
Tryon-1983-200-5	5	**five	493	FIVE
Tryon-1983-200-6	6	**ten	1515	TEN
Tryon-1983-200-7	7	*hand/arm	2121	ARM OR HAND
Tryon-1983-200-8	8	**back	1291	BACK
Tryon-1983-200-9	9	**belly	1251	BELLY
Tryon-1983-200-10	10	*blood	946	BLOOD
Tryon-1983-200-11	11	*bone	1394	BONE
Tryon-1983-200-12	12	*breast	1402	BREAST
Tryon-1983-200-13	13	*ear	1247	EAR
Tryon-1983-200-14	14	*egg	744	EGG
Tryon-1983-200-15	15	*eye	1248	EYE
Tryon-1983-200-16	16	*fat/grease	323	GREASE
Tryon-1983-200-17	17	*hair (body)	1040	HAIR
Tryon-1983-200-18	18	*head	1256	HEAD
Tryon-1983-200-19	19	*heart	1223	HEART
Tryon-1983-200-20	20	*knee	1371	KNEE
Tryon-1983-200-21	21	*leg	1297	LEG
Tryon-1983-200-22	22	*liver	1224	LIVER
Tryon-1983-200-23	23	*meat/flesh	634	MEAT
Tryon-1983-200-24	24	*mouth	674	MOUTH
Tryon-1983-200-25	25	navel	1838	NAVEL
Tryon-1983-200-26	26	*neck	1333	NECK
Tryon-1983-200-27	27	*nose	1221	NOSE
Tryon-1983-200-28	28	*skin	763	SKIN
Tryon-1983-200-29	29	*tail	1220	TAIL
Tryon-1983-200-30	30	*tongue	1205	TONGUE
Tryon-1983-200-31	31	*tooth	1380	TOOTH
Tryon-1983-200-32	32	**wing	1257	WING
Tryon-1983-200-33	33	*louse	1392	LOUSE
Tryon-1983-200-34	34	louse egg	267	NIT
Tryon-1983-200-35	35	fly (n)	1504	FLY (INSECT)
Tryon-1983-200-36	36	mosquito	1509	MOSQUITO
Tryon-1983-200-37	37	butterfly	1791	BUTTERFLY
Tryon-1983-200-38	38	spider	843	SPIDER
Tryon-1983-200-39	39	*fish	227	FISH
Tryon-1983-200-40	40	shark	1110	SHARK
Tryon-1983-200-41	41	crocodile	1857	CROCODILE
Tryon-1983-200-42	42	turtle	112	TURTLE
Tryon-1983-200-43	43	**snake	730	SNAKE
Tryon-1983-200-44	44	*bird	937	BIRD
Tryon-1983-200-45	45	chicken	1318	CHICKEN
Tryon-1983-200-46	46	rat	1490	RAT
Tryon-1983-200-47	47	flying fox	235	FLYING FOX
Tryon-1983-200-48	48	whale	957	WHALE
Tryon-1983-200-49	49	porpoise	114	PORPOISE
Tryon-1983-200-50	50	possum	470	POSSUM
Tryon-1983-200-51	51	*dog	2009	DOG
Tryon-1983-200-52	52	pig	1337	PIG
Tryon-1983-200-53	53	**flower	239	FLOWER
Tryon-1983-200-54	54	**fruit	1507	FRUIT
Tryon-1983-200-55	55	*leaf	628	LEAF
Tryon-1983-200-56	56	*root	670	ROOT
Tryon-1983-200-57	57	*seed	714	SEED
Tryon-1983-200-58	58	*tree	906	TREE
Tryon-1983-200-59	59	**grass	606	GRASS
Tryon-1983-200-60	60	banana	868	BANANA
Tryon-1983-200-61	61	betel nut	2369	BETEL NUT
Tryon-1983-200-62	62	breadfruit	2371	BREADFRUIT
Tryon-1983-200-63	63	coconut	970	COCONUT
Tryon-1983-200-64	64	cut nut	2370	CUT NUT
Tryon-1983-200-65	65	sago palm	2372	SAGO PALM
Tryon-1983-200-66	66	sugar cane	146	SUGAR CANE
Tryon-1983-200-67	67	taro	351	TARO
Tryon-1983-200-68	68	yam	410	YAM
Tryon-1983-200-69	69	*man	1554	MAN
Tryon-1983-200-70	70	*woman	962	WOMAN
Tryon-1983-200-71	71	**father	1217	FATHER
Tryon-1983-200-72	72	**child	1304	CHILD (YOUNG HUMAN)
Tryon-1983-200-73	73	*name	1405	NAME
Tryon-1983-200-74	74	canoe	1970	CANOE
Tryon-1983-200-75	75	fishhook	1074	FISHHOOK
Tryon-1983-200-76	76	house	1252	HOUSE
Tryon-1983-200-77	77	paddle	234	PADDLE
Tryon-1983-200-78	78	**rope	1218	ROPE
Tryon-1983-200-79	79	**spear	945	SPEAR
Tryon-1983-200-80	80	*earth	1228	EARTH (SOIL)
Tryon-1983-200-81	81	earthquake	6	EARTHQUAKE
Tryon-1983-200-82	82	island	622	ISLAND
Tryon-1983-200-83	83	*mountain	639	MOUNTAIN
Tryon-1983-200-84	84	*road	667	ROAD
Tryon-1983-200-85	85	*sand	671	SAND
Tryon-1983-200-86	86	**sea	1474	SEA
Tryon-1983-200-87	87	*stone	857	STONE
Tryon-1983-200-88	88	**bush/forest	420	FOREST
