ID	NUMBER_SOURCE	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huber-1992-373-1	1	1	lengua	tongue	1205	TONGUE
Huber-1992-373-2	2	2	boca	mouth	674	MOUTH
Huber-1992-373-3	3	3	labio	lip	478	LIP
Huber-1992-373-4	4	4	diente	tooth	1380	TOOTH
Huber-1992-373-5	5	5	nariz	nose	1221	NOSE
Huber-1992-373-6	6	6	ojo	eye	1248	EYE
Huber-1992-373-7	7	7	oreja	ear	1247	EAR
Huber-1992-373-8	8	8	cabeza	head	1256	HEAD
Huber-1992-373-9	9	9	frente	forehead	123	FOREHEAD
Huber-1992-373-10	10	10	cabello	hair	2648	HAIR (HEAD)
Huber-1992-373-11	11	11	menton	chin	1510	CHIN
Huber-1992-373-12	12	12	barba	beard	678	BEARD
Huber-1992-373-13	13	13	cuello	neck	1333	NECK
Huber-1992-373-14	14	14	pecho	chest	1592	CHEST
Huber-1992-373-15	15	15	teta, seno, pechos	woman's breast	1402	BREAST
Huber-1992-373-16	16	16	vientre, abdomen	abdomen	1251	BELLY
Huber-1992-373-17	17	17	espalda	back	1291	BACK
Huber-1992-373-18	18	18	hombro	shoulder	1482	SHOULDER
Huber-1992-373-19	19	19	brazo	arm	1673	ARM
Huber-1992-373-20	20	20	brazo superior	upper arm	431	UPPER ARM
Huber-1992-373-21	21	21	codo	elbow	981	ELBOW
Huber-1992-373-22	22	22	mano	hand	1277	HAND
Huber-1992-373-23	23	23	dedo de la mano	finger	1303	FINGER
Huber-1992-373-24	24	24	uña	fingernail	1258	FINGERNAIL
Huber-1992-373-25	25	25	pierna	leg	1297	LEG
Huber-1992-373-26	26	26	muslo	thigh	800	THIGH
Huber-1992-373-27	27	27	rodilla	knee	1371	KNEE
Huber-1992-373-28	28	28	espinilla	shin	186	SHIN
Huber-1992-373-29	29	29	pie	foot	1301	FOOT
Huber-1992-373-30	30	30	dedo del pie	toe	1389	TOE
Huber-1992-373-31	31	31	piel	skin	763	SKIN
Huber-1992-373-32	32	32	hueso	bone	1394	BONE
Huber-1992-373-33	33	33	sangre	blood	946	BLOOD
Huber-1992-373-34	34	34	corazón	heart	1223	HEART
Huber-1992-373-35	35	35	pulmones	lungs	688	LUNG
Huber-1992-373-36	36	36	pene	penis	1222	PENIS
Huber-1992-373-37	37	37	vulva	vulva	1837	VULVA
Huber-1992-373-38	38	38	hombre	man	1554	MAN
Huber-1992-373-39	39	39	varón	male	1553	MALE
Huber-1992-373-40	40	40	mujer	woman	962	WOMAN
Huber-1992-373-41	41	41	gente	people	789	PEOPLE
Huber-1992-373-42	42	42	marido, esposo	husband	1200	HUSBAND
Huber-1992-373-43	43	43	marida, esposa	wife	1199	WIFE
Huber-1992-373-44	44	44	padrc	father	1217	FATHER
Huber-1992-373-45	45	45	madre	mother	1216	MOTHER
