ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	GLOSS_IN_SOURCE	GLOSS	CHINESE	NOTE
Zhang-2019-122-99	492	THREE	99	three	three	三	三	
Zhang-2019-122-100	670	ROOT	100	plant root	plant root	參	參	
Zhang-2019-122-101	1382	NEEDLE (FOR SEWING)	101	needle	needle	針	針	
Zhang-2019-122-102			102	be cloudy, dark	be cloudy, dark	陰	陰	Gyalrong cognates: dark side of the mountain
Zhang-2019-122-103	1820	BEAR	103	bear	bear	熊	熊	
Zhang-2019-122-104			104	owl	owl	梟	梟	Gyalrong cognates: chicken
Zhang-2019-122-105	1100	COOK (SOMETHING)	105	to fry, roast	to fry, roast	熬	熬	
Zhang-2019-122-106			106	command	command	号	号	Gyalrong cognates: to shout
Zhang-2019-122-107	1820	BEAR	107	brown-and-white bear	brown-and-white bear	羆	羆	Gyalrong cognates: Asiatic brown bear
Zhang-2019-122-108	675	FAECES (EXCREMENT)	108	excrement	excrement	屎	屎	
Zhang-2019-122-109	3289	UNCOOKED RICE	109	millet or rice grains	millet or rice grains	米	米	"Japhug: cooked rice; Tibetan: millet"
Zhang-2019-122-110	977	ARROW	110	arrow	arrow	矢	矢	
Zhang-2019-122-111	1494	DIE	111	to die	to die	死	死	
Zhang-2019-122-112			112	deceased mother	deceased mother	妣	妣	TB cognates: grandmother
Zhang-2019-122-113	1447	GIVE	113	to give	to give	畀	畀	Tibetan: to confer
Zhang-2019-122-114	1498	TWO	114	two	two	二	二	
Zhang-2019-122-115	1173	EYEBROW	115	eyebrow	eyebrow	眉	眉	Gyalrong cognates: hair
Zhang-2019-122-116	1220	TAIL	116	tail	tail	尾	尾	
Zhang-2019-122-117	1942	NEAR	117	near	near	邇	邇	Japhug: friend
Zhang-2019-122-118	221	FIRE	118	fire	fire	火	火	
Zhang-2019-122-119			119	snake brood	snake brood	虺	虺	
Zhang-2019-122-120			120	pulse, beans	pulse, beans	菽	菽	Wanderwort, Gyalrong cognates: broad bean
Zhang-2019-122-121	615	HORSE	121	horse	horse	馬	馬	Wanderwort
Zhang-2019-122-122	2345	LEPORID (RABBIT OR HARE)	122	rabbit, hare	rabbit, hare	兔	兔	Wanderwort
