ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Heggarty-2005-30a-1	1493	ONE	1	one
Heggarty-2005-30a-2	1498	TWO	2	two
Heggarty-2005-30a-3	492	THREE	3	three
Heggarty-2005-30a-4	1500	FOUR	4	four
Heggarty-2005-30a-5	493	FIVE	5	five
Heggarty-2005-30a-6	1209	I	6	I
Heggarty-2005-30a-7	1215	THOU	7	thou (you sg.)
Heggarty-2005-30a-8	1240	NOT	8	not
Heggarty-2005-30a-9	1247	EAR	9	ear
Heggarty-2005-30a-10	1205	TONGUE	10	tongue
Heggarty-2005-30a-11	1380	TOOTH	11	tooth
Heggarty-2005-30a-12	1301	FOOT	12	foot
Heggarty-2005-30a-13	1896	NAIL, KERATIN	13	fingernail (claw)
Heggarty-2005-30a-14	1223	HEART	14	heart
Heggarty-2005-30a-15	1405	NAME	15	name
Heggarty-2005-30a-16	1225	DAY OF LIGHT	16	day
Heggarty-2005-30a-17	1233	NIGHT	17	night
Heggarty-2005-30a-18	1343	SUN	18	sun
Heggarty-2005-30a-19	1430	STAR	19	star
Heggarty-2005-30a-20	1388	SHADE	20	shadow
Heggarty-2005-30a-21	960	WIND	21	wind
Heggarty-2005-30a-22	1274	SALT	22	salt
Heggarty-2005-30a-23	1425	GREEN	23	green
Heggarty-2005-30a-24	1231	NEW	24	new
Heggarty-2005-30a-25	1446	COME	25	come
Heggarty-2005-30a-26	1336	EAT	26	eat
Heggarty-2005-30a-27	1585	SLEEP	27	sleep
Heggarty-2005-30a-28	1422	BE ALIVE	28	live (be alive)
Heggarty-2005-30a-29	1447	GIVE	29	give
Heggarty-2005-30a-30	1457	SEW	30	sew
