ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RATE
Pagel-2018-200-57	57	four	1500	FOUR	1.49124E-05
Pagel-2018-200-58	58	freeze	1431	FREEZE	0.000174126
Pagel-2018-200-59	59	fruit	1507	FRUIT	0.000264135
Pagel-2018-200-60	60	give	1447	GIVE	7.36106E-05
Pagel-2018-200-61	61	good	1035	GOOD	0.000260401
Pagel-2018-200-62	62	grass	606	GRASS	0.000169647
Pagel-2018-200-63	63	green	1425	GREEN	0.000175505
Pagel-2018-200-64	64	guts	1334	GUTS	0.000352344
Pagel-2018-200-65	65	hair	1040	HAIR	0.000223414
Pagel-2018-200-66	66	hand	1277	HAND	5.99757E-05
Pagel-2018-200-67	67	he	1211	HE	0.000196944
Pagel-2018-200-68	68	head	1256	HEAD	0.000126058
Pagel-2018-200-69	69	hear	1408	HEAR	0.000202906
Pagel-2018-200-70	70	heart	1223	HEART	0.000132626
Pagel-2018-200-71	71	heavy	1210	HEAVY	0.000188394
Pagel-2018-200-72	72	here	136	HERE	0.000285826
Pagel-2018-200-73	73	hit	1433	HIT	0.000281492
Pagel-2018-200-74	74	hold	1448	HOLD	0.000225
Pagel-2018-200-75	75	how	1239	HOW	9.09425E-05
Pagel-2018-200-76	76	hunt	1435	HUNT	0.000243819
Pagel-2018-200-77	77	husband	1200	HUSBAND	0.000271125
Pagel-2018-200-78	78	I	1209	I	2.42122E-05
Pagel-2018-200-79	79	ice	617	ICE	0.000165464
Pagel-2018-200-80	80	if	1459	IF	0.000328516
Pagel-2018-200-81	81	in	1460	IN	0.000132633
Pagel-2018-200-82	82	kill	1417	KILL	0.000231844
Pagel-2018-200-83	83	know	1410	KNOW (SOMETHING)	0.000154281
Pagel-2018-200-84	84	lake	624	LAKE	0.000233513
Pagel-2018-200-85	85	laugh	1355	LAUGH	0.00012791
Pagel-2018-200-86	86	leaf	628	LEAF	0.000226195
Pagel-2018-200-87	87	left	244	LEFT	0.000291936
