ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUANG_1992_1820	LEXIBANK_GLOSS
Lai-2023-291-1	41	the dust	2	DUST	45	the dust
Lai-2023-291-2	55	firewood	10	FIREWOOD	534	firewood
Lai-2023-291-3	145	noon	12	MIDDAY	750	noon // the noon
Lai-2023-291-4	149	the otter	15	OTTER	317	the otter
Lai-2023-291-5	208	that	78	THAT	947	that
Lai-2023-291-6	2	all	98	ALL	962	all
Lai-2023-291-7	265	here	136	HERE		here
Lai-2023-291-8	372	to burn [transitive]	141	BURN (SOMETHING)		to burn [transitive]
Lai-2023-291-9	92	the hoof	152	HOOF	264	the hoof
Lai-2023-291-10	158	red	156	RED	1007	red
Lai-2023-291-11	14	black	163	BLACK	1005	black
Lai-2023-291-12	16	to blow (of wind)	175	BLOW (OF WIND)	1738	to blow (of wind)
Lai-2023-291-13	17	the body hair (hair or fur)	189	HAIR (BODY)	266	the body hair (hair or fur) // the hair
Lai-2023-291-14	278	other	197	OTHER		other
Lai-2023-291-15	116	to lie down	215	LIE DOWN	1661	to lie down
Lai-2023-291-16	54	the fire	221	FIRE	18	the fire
Lai-2023-291-17	56	the fish	227	FISH	351	the fish
Lai-2023-291-18	58	the flea	232	FLEA	355	the flea
Lai-2023-291-19	61	the flower	239	FLOWER	377	the flower
Lai-2023-291-20	114	left	244	LEFT	710	left
Lai-2023-291-21	63	the fog	249	FOG	16	the fog
Lai-2023-291-22	144	the nit	267	NIT	357	the nit
Lai-2023-291-23	105	to knead	274	KNEAD	1594	to knead
Lai-2023-291-24	115	to lick	319	LICK	1674	to lick
Lai-2023-291-25	23	to chew	321	CHEW	1424	to chew
Lai-2023-291-26	182	the sickle	341	SICKLE	624	the sickle
Lai-2023-291-27	65	the forest	420	FOREST	50	the forest
Lai-2023-291-28	110	late	477	LATE	1019	late
Lai-2023-291-29	118	the lip (the lips)	478	LIP	85	the lip (the lips)
Lai-2023-291-30	385	to grow	479	GROW		to grow
Lai-2023-291-31	181	shy	487	SHY	1365	shy
Lai-2023-291-32	216	three	492	THREE	799	three
Lai-2023-291-33	57	five	493	FIVE	801	five
Lai-2023-291-34	69	the frog	503	FROG	349	the frog
Lai-2023-291-35	113	to learn	504	LEARN	1742	to learn
Lai-2023-291-36	241	the wolf	522	WOLF	324	the wolf
Lai-2023-291-37	3	the ant	587	ANT	365	the ant
Lai-2023-291-38	387	to hide (conceal)	602	HIDE (CONCEAL)		to hide (conceal)
Lai-2023-291-39	77	the grass	606	GRASS	436	the grass
Lai-2023-291-40	79	the hail	609	HAIL	13	the hail
Lai-2023-291-41	95	the horse	615	HORSE	268	the horse
Lai-2023-291-42	102	the ice	617	ICE	17	the ice
Lai-2023-291-43	109	the lake	624	LAKE	31	the lake
Lai-2023-291-44	112	the leaf	628	LEAF	376	the leaf
Lai-2023-291-45	126	the meat	634	MEAT	443	the meat
Lai-2023-291-46	132	the mountain	639	MOUNTAIN	23	the mountain
Lai-2023-291-47	135	the mud	640	MUD	46	the mud
Lai-2023-291-48	295	the ashes	646	ASH		the ashes
Lai-2023-291-49	156	the rain	658	RAIN (PRECIPITATION)	10	the rain
Lai-2023-291-50	162	the river	666	RIVER	30	the river
Lai-2023-291-51	163	the road	667	ROAD	38	the road
Lai-2023-291-52	164	the root	670	ROOT	375	the root
Lai-2023-291-53	170	the sand	671	SAND	44	the sand
Lai-2023-291-54	43	early	672	EARLY	1018	early
Lai-2023-291-55	134	the mouth	674	MOUTH	84	the mouth
Lai-2023-291-56	250	the shit	676	SHIT (DEFECATE)	151	the shit
Lai-2023-291-57	343	the person	683	PERSON		the person
Lai-2023-291-58	122	the lung	688	LUNG	143	the lung
Lai-2023-291-59	31	dark	706	DARK	1013	dark
Lai-2023-291-60	201	to steal	713	STEAL	1686	to steal
Lai-2023-291-61	174	the seed	714	SEED	405	the seed
Lai-2023-291-62	192	the snake	730	SNAKE	347	the snake
Lai-2023-291-63	47	the egg	744	EGG	450	the egg
Lai-2023-291-64	1597	to sow (broadcast, scatter seeds)	748	SOW SEEDS	244	to sow (broadcast, scatter seeds)
Lai-2023-291-65	150	outside	762	OUTSIDE	714	outside
Lai-2023-291-66	185	the skin	763	SKIN	120	the skin
Lai-2023-291-67	346	the roof	769	ROOF		the roof
Lai-2023-291-68	190	the smoke	778	SMOKE (EXHAUST)	19	the smoke
Lai-2023-291-69	193	the snow	784	SNOW	12	the snow
Lai-2023-291-70	211	the thigh	471	UPPER LEG (THIGH)	100	the thigh
Lai-2023-291-71	197	the spider	843	SPIDER	361	the spider
Lai-2023-291-72	219	the tiger	846	TIGER	304	the tiger
Lai-2023-291-73	203	the stone (a piece of)	857	STONE	43	the stone (a piece of)
Lai-2023-291-74	224	the tree	906	TREE	372	the tree
Lai-2023-291-75	7	the barley (tibetan or highland)	932	BARLEY	411	the barley (tibetan or highland)
Lai-2023-291-76	12	the bird	937	BIRD	326	the bird
Lai-2023-291-77	15	the blood	946	BLOOD	129	the blood
Lai-2023-291-78	229	the water	948	WATER	47	the water
Lai-2023-291-79	238	the wind	960	WIND	9	the wind
Lai-2023-291-80	242	the woman	962	WOMAN	174	the woman
Lai-2023-291-81	161	right	1019	RIGHT	711	right
Lai-2023-291-82	425	to yawn	1028	YAWN		to yawn
Lai-2023-291-83	76	good	1035	GOOD	1052	good
Lai-2023-291-84	80	the hair (of the head)	1040	HAIR	75	the hair (of the head)
Lai-2023-291-85	117	light (of weight)	1052	LIGHT (WEIGHT)	1015	light (of weight)
Lai-2023-291-86	233	the wheat	1077	WHEAT	410	the wheat
Lai-2023-291-87	359	the work	1086	WORK (ACTIVITY)		the work
Lai-2023-291-88	169	salty	1091	SALTY	1076	salty
Lai-2023-291-89	127	middle	1093	MIDDLE	708	middle
Lai-2023-291-90	159	to reside (live)	363	DWELL (LIVE, RESIDE)	1452	to reside (live)
Lai-2023-291-91	376	to cook	1100	COOK (SOMETHING)		to cook
Lai-2023-291-92	375	to climb	1102	CLIMB		to climb
Lai-2023-291-93	279	painful	1129	PAINFUL		painful
Lai-2023-291-94	218	the thunder	1150	THUNDER	8	the thunder
Lai-2023-291-95	397	to open	1156	OPEN		to open
Lai-2023-291-96	178	to shoot (an arrow)	1172	SHOOT	1611	to shoot (an arrow)
Lai-2023-291-97	247	yesterday	1174	YESTERDAY	739	yesterday
Lai-2023-291-98	124	many	1198	MANY	987	many
Lai-2023-291-99	237	the wife	1199	WIFE	248	the wife
Lai-2023-291-100	324	the husband	1200	HUSBAND		the husband
Lai-2023-291-101	52	the feather	1201	FEATHER	299	the feather
Lai-2023-291-102	11	big	1202	BIG	964	big
Lai-2023-291-103	120	long	1203	LONG	972	long
Lai-2023-291-104	298	the bark	1204	BARK		the bark
Lai-2023-291-105	222	the tongue	1205	TONGUE	139	the tongue
Lai-2023-291-106	249	young	1207	YOUNG	1059	young
Lai-2023-291-107	443	I [first person singular]	1209	I		I [first person singular]
Lai-2023-291-108	87	heavy	1210	HEAVY	1014	heavy
Lai-2023-291-109	446	thou [second person singular]	1215	THOU		thou [second person singular]
Lai-2023-291-110	165	the rope	1218	ROPE	619	the rope
Lai-2023-291-111	360	the worm	1219	WORM		the worm
Lai-2023-291-112	206	the tail	1220	TAIL	267	the tail
