ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	GBIF_ID	GBIF_NAME	KINGDOM	CLASS	GENUS
Brid-2022-324-211	211	Himantopus melanurus				5229127	Himantopus melanurus Vieillot, 1817	Animalia		Himantopus
Brid-2022-324-212	212	Peltophorum dubium				2952798	Peltophorum dubium Taub.	Plantae	Magnoliopsida	Peltophorum
Brid-2022-324-213	213	Hyptis lappacea				7309321	Hyptis lappacea Benth.	Plantae	Magnoliopsida	Hyptis
Brid-2022-324-214	214	Aloysia polystachya				5667405	Aloysia polystachya (Griseb.) Moldenke	Plantae		Aloysia
Brid-2022-324-215	215	Atelocynus microtis				2434454	Atelocynus microtis (Sclater, 1883)	Animalia	Mammalia	Atelocynus
Brid-2022-324-216	216	Bidens pilosa				5391845	Bidens pilosa L.	Plantae	Magnoliopsida	Bidens
Brid-2022-324-217	217	Bidens subalternans				5391882	Bidens subalternans DC.	Plantae		Bidens
Brid-2022-324-218	218	Boerhavia diffusa				3086282	Boerhavia diffusa L.	Plantae	Magnoliopsida	Boerhavia
Brid-2022-324-219	219	Boerhavia coccinea				3086287	Boerhavia coccinea Mill.	Plantae	Magnoliopsida	Boerhavia
Brid-2022-324-220	220	Busarellus nigricollis				2480692	Busarellus nigricollis (Latham, 1790)	Animalia	Aves	Busarellus
Brid-2022-324-221	221	Busarellus nigricollis leucocephalus				5844491	Busarellus nigricollis leucocephalus (Vieillot, 1816)	Animalia	Aves	Busarellus
Brid-2022-324-222	222	Clematis montevidensis				7278116	Clematis montevidensis Spreng.	Plantae		Clematis
Brid-2022-324-223	223	Crotalaria incana				2942375	Crotalaria incana L.	Plantae	Magnoliopsida	Crotalaria
Brid-2022-324-224	224	Molothrus bonariensis				2484396	Molothrus bonariensis (Gmelin, 1789)	Animalia		Molothrus
Brid-2022-324-225	225	Ricinus communis				5380041	Ricinus communis L.	Plantae	Magnoliopsida	Ricinus
Brid-2022-324-226	226	Phoradendron liga				4068886	Phoradendron liga Eichler	Plantae	Magnoliopsida	Phoradendron
Brid-2022-324-227	227	Rostrhamus sociabilis				2480415	Rostrhamus sociabilis (Vieillot, 1817)	Animalia	Aves	Rostrhamus
Brid-2022-324-228	228	Vallesia glabra				5414418	Vallesia glabra Link	Plantae	Magnoliopsida	Vallesia
Brid-2022-324-229	229	Thalia geniculata				5303044	Thalia geniculata L.	Plantae	Liliopsida	Thalia
Brid-2022-324-230	230	Phyllostylon rhamnoides				4160095	Phyllostylon rhamnoides (J.Poiss.) Taub.	Plantae	Magnoliopsida	Phyllostylon
Brid-2022-324-231	231	Battarrea stevenii				2535676	Battarrea phalloides (Dicks.) Pers.	Fungi		Battarrea
Brid-2022-324-232	232	Calycophyllum multiflorum				2904021	Calycophyllum multiflorum Griseb.	Plantae	Magnoliopsida	Calycophyllum
Brid-2022-324-233	233	Heimia salicifolia				5420914	Heimia salicifolia Link	Plantae	Magnoliopsida	Heimia
Brid-2022-324-234	234	Senna chloroclada				2957726	Senna chloroclada (Harms) H.S.Irwin & Barneby	Plantae	Magnoliopsida	Senna
Brid-2022-324-235	235	Senna morongii				2957888	Senna morongii (Britton) H.S.Irwin & Barneby	Plantae	Magnoliopsida	Senna
Brid-2022-324-236	236	Senna obtusifolia				2957408	Senna obtusifolia (L.) H.S.Irwin & Barneby	Plantae	Magnoliopsida	Senna
Brid-2022-324-237	237	Senna occidentalis				2957966	Senna occidentalis (L.) Link	Plantae	Magnoliopsida	Senna
Brid-2022-324-238	238	Senna pendula				2957187	Senna pendula (Willd.) H.S.Irwin & Barneby	Plantae	Magnoliopsida	Senna
Brid-2022-324-239	239	Senna pendula var. eriocarpa				2957204	Senna pendula var. eriocarpa (Griseb.) H.S.Irwin & Barneby	Plantae		Senna
Brid-2022-324-240	240	Senna sp.				2957478	Senna splendida (Vogel) H.S.Irwin & Barneby	Plantae		Senna
Brid-2022-324-241	241	Bauhinia argentinensis				2953119	Bauhinia argentinensis Burkart	Plantae	Magnoliopsida	Bauhinia
Brid-2022-324-242	242	ass, donkey	1862	DONKEY	asno, burro					
Brid-2022-324-243	243	black	163	BLACK	negro					
Brid-2022-324-244	244	white	1335	WHITE	blanco					
Brid-2022-324-245	245	snail	1543	SNAIL	caracol					
Brid-2022-324-246	246	foot	1301	FOOT	pie					
Brid-2022-324-247	247	Tapirus terrestris				2440898	Tapirus terrestris (Linnaeus, 1758)	Animalia	Mammalia	Tapirus
Brid-2022-324-248	248	flower	239	FLOWER	flor					
Brid-2022-324-249	249	penis	1222	PENIS	pene					
Brid-2022-324-250	250	Chauna torquata				5959222	Chauna torquata (Oken, 1816)	Animalia	Aves	Chauna
Brid-2022-324-251	251	tongue	1205	TONGUE	lengua					
Brid-2022-324-252	252	cow	1007	COW	vaca					
Brid-2022-324-253	253	bear	1820	BEAR	oso					
Brid-2022-324-254	254	chest	1592	CHEST	pecho					
Brid-2022-324-255	255	ox	1169	OX	buey					
Brid-2022-324-256	256	bull	1008	BULL	toro					
Brid-2022-324-257	257	wasp	1517	WASP	avispa					
Brid-2022-324-258	258	poison	655	POISON	veneno					
Brid-2022-324-259	259	eyelash	1540	EYELASH	pestaña					
Brid-2022-324-260	260	crocodile, alligator	1857	CROCODILE	cocodrilo, caimán					
Brid-2022-324-261	261	heart	1223	HEART	corazón					
Brid-2022-324-262	262	under	1485	BELOW OR UNDER	debajo					
Brid-2022-324-263	263	every, all	98	ALL	cada uno, todo					
Brid-2022-324-264	264	know	1410	KNOW (SOMETHING)	saber					
Brid-2022-324-265	265	goose	1187	GOOSE	ganso					
Brid-2022-324-266	266	cold	1287	COLD	frío					
