ID	NUMBER	ENGLISH	DATABASE_ID	SEMANTIC_CATEGORY	LIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2021-342b-1	1	abalone	1	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-2	2	açai palm	181	flora-fauna	Flora Fauna Vocabulary	2437	ACAI PALM
Bowern-2021-342b-3	3	achiote, anatto	124	flora-fauna	Flora Fauna Vocabulary	349	ACHIOTE
Bowern-2021-342b-4	4	agile wallaby, river wallaby	241	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-5	5	agouti (black agouti, black-rumped agouti)	127	flora-fauna	Flora Fauna Vocabulary	313	AGOUTI
Bowern-2021-342b-6	6	alligator, black caiman	128	flora-fauna	Flora Fauna Vocabulary	1581	ALLIGATOR
Bowern-2021-342b-7	7	amazon dolphin	129	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-8	8	amazon tree-grape	238	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-9	9	anaconda	131	flora-fauna	Flora Fauna Vocabulary	896	ANACONDA (WATER BOA)
Bowern-2021-342b-10	10	angleworm	132	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-11	11	ant (generic)	2	flora-fauna	Flora Fauna Vocabulary	587	ANT
Bowern-2021-342b-12	12	anteater	133	flora-fauna	Flora Fauna Vocabulary	181	ANTEATER
Bowern-2021-342b-13	13	antelope	3	flora-fauna	Flora Fauna Vocabulary	3674	ANTELOPE
Bowern-2021-342b-14	14	armadillo	134	flora-fauna	Flora Fauna Vocabulary	1885	ARMADILLO
Bowern-2021-342b-15	15	arrow cane, wildcane	135	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-16	16	Australian pelican	242	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-17	17	Australian snubfin dolphin	243	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-18	18	avocado	136	flora-fauna	Flora Fauna Vocabulary	3725	AVOCADO
Bowern-2021-342b-19	19	badger	4	flora-fauna	Flora Fauna Vocabulary	3717	BADGER
Bowern-2021-342b-20	20	bald eagle	5	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-21	21	baler shell	244	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-22	22	banana, plantain	137	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-23	23	band-tail pigeon	6	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-24	24	bandicoot	245	flora-fauna	Flora Fauna Vocabulary	3012	BANDICOOT
Bowern-2021-342b-25	25	barn owl	246	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-26	26	barramundi	247	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-27	27	bat	7	flora-fauna	Flora Fauna Vocabulary	1793	BAT
Bowern-2021-342b-28	28	beans	138	flora-fauna	Flora Fauna Vocabulary	832	BEAN
Bowern-2021-342b-29	29	beaver	8	flora-fauna	Flora Fauna Vocabulary	1194	BEAVER
Bowern-2021-342b-30	30	beetle	9	flora-fauna	Flora Fauna Vocabulary	2242	BEETLE
Bowern-2021-342b-31	31	big round tule	10	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-32	32	big skunk	11	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-33	33	big wolf (gray wolf)	12	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-34	34	bighorn sheep	13	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-35	35	bindii, caltrop	248	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-36	36	bird	14	flora-fauna	Flora Fauna Vocabulary	937	BIRD
Bowern-2021-342b-37	37	bitterwood	140	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-38	38	black ant	15	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-39	39	black bear	16	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-40	40	black palm	141	flora-fauna	Flora Fauna Vocabulary	3030	LONTAR PALM
Bowern-2021-342b-41	41	black-breasted buzzard	249	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-42	42	black-faced cuckoo-shrike	250	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-43	43	black-headed python	251	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-44	44	black-soil yam	252	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-45	45	black-tail Jackrabbit	17	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-46	46	blackberry	18	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-47	47	bloodwood	253	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-48	48	blowfly maggots	254	flora-fauna	Flora Fauna Vocabulary		
Bowern-2021-342b-49	49	blowfly/housefly	45	flora-fauna	Flora Fauna Vocabulary	1504	FLY (INSECT)
Bowern-2021-342b-50	50	blue grouse	19	flora-fauna	Flora Fauna Vocabulary		
