ID	NUMBER	FINNISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FINNISH_VALENCE_MEAN	FINNISH_AROUSAL_MEAN	FINNISH_VALENCE_MEAN_FEMALE	FINNISH_VALENCE_MEAN_MALE	FINNISH_AROUSAL_MEAN_FEMALE	FINNISH_AROUSAL_MEAN_MALE	FINNISH_VALENCE_MEAN_GROUP_01	FINNISH_VALENCE_MEAN_GROUP_02	FINNISH_VALENCE_MEAN_GROUP_03	FINNISH_VALENCE_MEAN_GROUP_04	FINNISH_AROUSAL_MEAN_GROUP_01	FINNISH_AROUSAL_MEAN_GROUP_02	FINNISH_AROUSAL_MEAN_GROUP_03	FINNISH_AROUSAL_MEAN_GROUP_04
Soederholm-2013-420-1	1	Ahdinko	Distress			1.54	5.19	1.49	1.72	5.29	4.84	1.91	2.58	2.21	2.13	3.55	4.45	4.83	4
Soederholm-2013-420-2	2	Abortti	Abortion	3866	ABORTION	2.38	4.52	2.33	2.58	4.63	4	1.91	1.69	1.4	1.3	5.09	5.43	4.98	5.4
Soederholm-2013-420-3	3	Ahdistus	Anxiety	1000	ANXIETY	1.56	5.34	1.55	1.65	5.47	4.77	1.36	1.57	1.6	1.5	4.73	5.47	5.33	5
Soederholm-2013-420-4	4	Ahkeruus	Diligence			4.88	3.88	4.88	4.91	3.84	4.03	5	4.69	4.95	5.43	3.93	4.11	3.77	3.29
Soederholm-2013-420-5	5	Ahneus	Greed			1.89	5.02	1.85	2.02	5.03	4.97	2.21	1.92	1.72	1.58	5.1	5.03	4.92	4.96
Soederholm-2013-420-6	6	Aikuisuus	Adulthood			4.41	3.59	4.52	4.06	3.59	3.6	4.44	4.02	4.67	5	3.96	3.83	3.4	2.9
Soederholm-2013-420-7	7	Aitous	Authenticity			5.83	2.98	5.97	5.44	2.88	3.25	5.92	5.75	5.97	6.13	2.9	2.9	3.38	2.96
Soederholm-2013-420-8	8	Ajatus	Thought	2975	THOUGHT	5.3	3.67	5.46	4.84	3.72	3.52	5.04	5.29	5.34	5.48	3.7	3.62	3.72	3.55
Soederholm-2013-420-9	9	Ampiainen	Bee	665	BEE	2.88	4.92	2.83	3.03	4.99	4.69	2.36	3.07	2.68	3.7	4.55	4.91	5	4.8
Soederholm-2013-420-10	10	Apeus	Dejection			2.24	3.63	2.2	2.39	3.74	3.13	2.27	2.14	2.37	2.13	2.91	3.55	3.83	3.88
Soederholm-2013-420-11	11	Armeija	Army	1561	ARMY	3.43	4.38	3.36	3.74	4.35	4.52	3.27	3.35	3.46	4.13	4	4.48	4.3	4.5
Soederholm-2013-420-12	12	Arvokkuus	Dignity			4.83	3.35	4.84	4.83	3.31	3.46	4.38	4.88	4.95	4.75	3.77	3.3	3.25	3.5
Soederholm-2013-420-13	13	Asiointi	Running errands			3.73	3.95	3.71	3.82	3.89	4.13	2.82	3.57	4.01	3.6	3.09	4.14	3.91	3.8
Soederholm-2013-420-14	14	Askel	Step	1158	STEP	4.79	3.55	4.8	4.74	3.54	3.61	4.09	4.72	4.94	5.25	2.82	3.65	3.51	3.86
Soederholm-2013-420-15	15	Astia	Dish	481	DISH	4.08	3.37	4.1	4.01	3.39	3.3	4.03	4.13	3.9	4.04	3.33	3.38	3.25	3.5
Soederholm-2013-420-16	16	Asukas	Inhabitant	4048	INHABITANT	4.07	3.51	4.07	4.08	3.56	3.37	4.11	4.05	4.16	4.04	3.42	3.54	3.34	3.75
Soederholm-2013-420-17	17	Aurinko	Sun	1343	SUN	5.99	3.24	6.15	5.57	3.33	3.01	6.13	5.94	6.08	6.04	3.18	3.09	3.83	3.54
Soederholm-2013-420-18	18	Autuus	Bliss			5.28	2.45	5.32	5.19	2.45	2.45	5.03	5.34	5.05	5.71	2.56	2.26	3.05	2.74
Soederholm-2013-420-19	19	Avaruus	Space			4.91	3.97	4.95	4.8	4.06	3.7	4.63	4.88	5.04	4.76	3.7	4.06	3.95	4
Soederholm-2013-420-20	20	Ehostus	Make-up			4.2	3.41	4.35	3.76	3.38	3.52	4.52	3.95	4.32	4.48	3.67	3.55	3.27	3.14
Soederholm-2013-420-21	21	Elämä	Life	210	LIFE	5.76	4.13	5.81	5.62	4.26	3.78	5.59	5.75	5.88	5.83	4.36	4.02	4.45	4.08
Soederholm-2013-420-22	22	Enkeli	Angel	4057	ANGEL	5.61	2.67	5.69	5.26	2.55	3.23	5.45	5.52	5.7	6	2.09	2.51	2.87	3.5
Soederholm-2013-420-23	23	Etelä	South	1595	SOUTH	5.05	3.65	5.18	4.71	3.71	3.5	5.15	5.01	5.03	5.33	3.72	3.56	3.82	4.08
Soederholm-2013-420-24	24	Etevyys	Competence			4.84	3.63	4.9	4.67	3.74	3.32	4.78	4.68	4.97	5.1	3.74	3.84	3.48	3.24
Soederholm-2013-420-25	25	Haarniska	Armor	1061	ARMOUR	3.47	3.96	3.35	3.77	3.97	3.92	3.41	3.57	3.11	3.42	3.87	4.02	3.74	4.04
Soederholm-2013-420-26	26	Haaska	Carcass	1770	CARCASS	2.27	4.18	2.23	2.45	4.27	3.74	2	2.38	2.25	1.63	3.91	4.05	4.43	3.88
Soederholm-2013-420-27	27	Haava	Wound	1109	WOUND	2.42	4.35	2.36	2.6	4.35	4.34	2.49	2.55	2.07	1.92	4.23	4.34	4.39	4.57
Soederholm-2013-420-28	28	Haaveilu	Daydreaming			5.82	3.21	5.94	5.5	3.26	3.1	5.79	5.87	5.7	5.63	3.23	3.07	3.61	3.71
Soederholm-2013-420-29	29	Halaus	Hug			6.13	3.43	6.2	5.93	3.39	3.57	6.44	5.99	6.21	6.1	3.59	3.09	3.71	3.48
Soederholm-2013-420-30	30	Halvaus	Paralysis			1.52	4.71	1.5	1.6	4.77	4.43	2	1.49	1.52	1.14	4.18	4.41	5.25	4.14
Soederholm-2013-420-31	31	Hankaluus	Difficulty			2.28	4.66	2.29	2.23	4.72	4.35	2	2.28	2.36	2	3.64	4.75	4.76	4.13
Soederholm-2013-420-32	32	Happamuus	Sourness			2.95	3.81	2.95	2.97	3.78	3.92	2.64	2.99	2.89	3.6	3.55	3.9	3.77	3.8
Soederholm-2013-420-33	33	Hauta	Tomb	1773	GRAVE	2.41	3.81	2.37	2.56	3.93	3.38	2	2.63	2.2	3.1	3.45	3.54	4.18	3
Soederholm-2013-420-34	34	Hellyys	Affection			6.43	2.84	6.5	6.21	2.77	3.1	5.82	6.37	6.6	6.2	2.82	2.4	3.21	3
Soederholm-2013-420-35	35	Herjaus	Insult			1.84	5.19	1.75	2.08	5.27	4.96	1.92	1.91	1.7	1.38	5.45	5.16	5	5.58
Soederholm-2013-420-36	36	Hermo	Nerve	2626	NERVE	3.46	4.26	3.38	3.84	4.31	4	3.55	3.38	3.46	4.25	4.18	4.28	4.28	4
Soederholm-2013-420-37	37	Hetki	Moment			5.07	3.22	5.15	4.82	3.25	3.13	5.04	5.11	5.13	4.62	3	3.04	3.45	3.29
Soederholm-2013-420-38	38	Hiekka	Sand	671	SAND	4.85	2.89	4.95	4.57	2.83	3.06	4.77	4.86	4.97	4.58	2.82	2.76	3.28	3.42
Soederholm-2013-420-39	39	Hienous	Fineness			4.79	3.57	4.72	5.13	3.61	3.42	5.27	4.97	4.45	5.13	3.82	3.51	3.64	3.38
Soederholm-2013-420-40	40	Hihitys	Giggle			4.5	4.29	4.58	4.13	4.38	3.9	4.91	4.77	4.27	2.71	3.91	4.42	4.22	4
