ID	NUMBER	SUBLIST	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
SIL-1980-281-1	1	=	sky	1732	SKY
SIL-1980-281-2	2	*	cloud	1489	CLOUD
SIL-1980-281-3	3	*	sun	1343	SUN
SIL-1980-281-4	4	*	moon	1313	MOON
SIL-1980-281-5	5	*	star	1430	STAR
SIL-1980-281-6	6	=	wind	960	WIND
SIL-1980-281-7	7	*	rain	658	RAIN (PRECIPITATION)
SIL-1980-281-8	8		rainbow	1733	RAINBOW
SIL-1980-281-9	9	=	mist	2	DUST
SIL-1980-281-10	10	*	night	1233	NIGHT
SIL-1980-281-11	11	=	day	1225	DAY (NOT NIGHT)
SIL-1980-281-12	12	=	year	1226	YEAR
SIL-1980-281-13	13	=	hail	609	HAIL
SIL-1980-281-14	14	=	snow	784	SNOW
SIL-1980-281-15	15	=	freeze	1431	FREEZE
SIL-1980-281-16	16	*	water	948	WATER
SIL-1980-281-17	17	=	river	666	RIVER
SIL-1980-281-18	18	=	lake	624	LAKE
SIL-1980-281-19	19	=	sea	1474	SEA
SIL-1980-281-20	20	*	earth, soil	1228	EARTH (SOIL)
SIL-1980-281-21	21	*	stone	857	STONE
SIL-1980-281-22	22	*	sand	671	SAND
SIL-1980-281-23	23		mud	640	MUD
SIL-1980-281-24	24	=	dust	2	DUST
SIL-1980-281-25	25		gold	1369	GOLD
SIL-1980-281-26	26		silver	759	SILVER
SIL-1980-281-27	27	*	mountain	639	MOUNTAIN
SIL-1980-281-28	28	*	tree	906	TREE
SIL-1980-281-29	29	=	forest	420	FOREST
SIL-1980-281-30	30	*	leaf	628	LEAF
SIL-1980-281-31	31	*	bark	1204	BARK
SIL-1980-281-32	32	=	flower	239	FLOWER
SIL-1980-281-33	33	*	root	670	ROOT
SIL-1980-281-34	34	=	fruit	1507	FRUIT
SIL-1980-281-35	35	*	seed	714	SEED
SIL-1980-281-36	36	=	grass	606	GRASS
SIL-1980-281-37	37	=	stick	1295	STICK
SIL-1980-281-38	38		banana	868	BANANA
