ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	NUMBER	ENGLISH	Rate	RANK	Synonyms_average	SynonymsEnglish	SynonymsDanish	SynonymsDutch	SynonymsGerman	SynonymsSwedish	Frequency	Imageability	BrysbaertEtAl_concreteness	MutualInformation	Arousal	Senses	AgeOfAcquisition	WordClass
Vejdemo-2016-167-1	ANIMAL	619	1	animal	3.4	101	0.469354827	0.241806402	1.014178482	0.325650558	0.453580902	0.311557789	97		4.61	6.4405	4.3	1	2.89	Noun
Vejdemo-2016-167-2	ASH	646	2	ashes	2.65	70	0.275600166	0.214939024	0.12677231	0.054275093	0.151193634	0.830820771	9		4.92	2.463889			7.06362	Noun
Vejdemo-2016-167-3	BACK	1291	3	back	4.29	131	0.543014562	0.429878049	1.140950792	0.325650558	0.403183024	0.415410385	148	5	4.33	5.2035	2.59	9	5.305215	Noun
Vejdemo-2016-167-4	BAD	1292	4	bad	6.87	158	2.460135628	0.403010671	1.711426188	6.024535316	1.461538462	2.700167504	218	2.4	1.68	5848	4.86	14	2.79	Adjective
Vejdemo-2016-167-5	BARK	1204	5	bark_of_a_tree	3.79	119	0.275929132	0.161204268	0.063386155	0.434200743	0.201591512	0.519262982	8	5	4.52	2366	3.4	1		Noun
Vejdemo-2016-167-6	BELLY	1251	6	belly	4.39	133	0.618613538	0.403010671	0.253544621	0.542750929	0.907161804	0.986599665	32		4.8	1.9295	3.75	5	4.05	Noun
Vejdemo-2016-167-7	BIG	1202	7	big	3.41	103	2.079123691	2.06878811	4.500417014	1.356877323	0.75596817	1.713567839	1119	4.5	3.66	5388	4.33	13	2.89	Adjective
Vejdemo-2016-167-8	BIRD	937	8	bird	2.15	45	0.237426512	0.161204268	0.443703086	0.325650558	0.100795756	0.155778894	63	6.4	5	7.5535	3.83	5	3.52	Noun
Vejdemo-2016-167-9	BLACK	163	9	black	1.91	39							203	6.4	3.76	7.2595	3.58	5	3.56	Adjective
Vejdemo-2016-167-10	BLOOD	946	10	blood	2.19	47	0.499507569	0.806021341	0.063386155		0.453580902	0.675041876	132	6.4	4.86	8647	5.76	5	4.89	Noun
Vejdemo-2016-167-11	BONE	1394	11	bone	1.34	19	0.582561615		1.077564637	0.325650558	0.25198939	0.675041876	46	6.4	4.9	7.55	4.75	3	5.53	Noun
Vejdemo-2016-167-12	CHILD (YOUNG HUMAN)	1304	12	child_young	6.31	155	1.438809674	0.725419207	2.408673895	1.953903346	0.75596817	1.350083752	626	6.4	4.78	5838	5.33	4	5.15	Noun
Vejdemo-2016-167-13	CLOUD	1489	13	cloud	3.25	96	0.470017079	0.752286585	0.190158465	0.271375465	0.201591512	0.934673367	31	6.7	4.54	7.0915	2.81	6	3.63	Noun
Vejdemo-2016-167-14	COLD (OF WEATHER)	2483	14	cold_weather	3.58	110	1.772613693	1.450838415	3.105921601	0.976951673	1.51193634	1.817420436	96	4.2	3.85	6.7685		13	3.95	Adjective
Vejdemo-2016-167-15	DAY (NOT NIGHT)	1225	15	day_not_night	1.04	14	0.515137657	0.671684451	0.253544621	0.271375465	0.75596817	0.623115578	1127	4.8	3.92	5.7485	3.62	9	3.5	Noun
Vejdemo-2016-167-16	DIRTY	1230	16	dirty	9.27	167	2.034645399	2.552400915	2.028356964	1.899628253	1.51193634	2.180904523	41		4.23	5955	5.05	12	4.55	Adjective
Vejdemo-2016-167-17	DOG	2009	17	dog	1.79	36	0.654819988	0.671684451	0.824020017	0.651301115	0.50397878	0.623115578	120	6.9	4.85	7437	5.43	7	2.8	Noun
Vejdemo-2016-167-18	DRY	1398	18	dry_substance	1.83	37	1.726130571	1.719512195	1.711426188	0.976951673	2.872679045	1.350083752	51	3.8	3.77	6616	3.8		4.11	Adjective
Vejdemo-2016-167-19	BLUNT	379	19	dull_knife	6.79	157	1.516003844	2.364329268	2.155129274	0.705576208	1.108753316	1.246231156	13	3	2.37	3741	1.67		8.05	Adjective
Vejdemo-2016-167-20	DUST	2	20	dust	3.63	113	0.604138559	0.349275915	0.063386155	1.682527881	0.302387268	0.623115578	40	5.2	4.4	6.8305	3.45	3	5.06	Noun
Vejdemo-2016-167-21	EAR	1247	21	ear	0.88	10	0.498912209	0.376143293	0.380316931	0.814126394	0.352785146	0.57118928	107	6.8	5	6.6265	3.5	5	3.63	Noun
Vejdemo-2016-167-22	EARTH (SOIL)	1228	22	earth_soil	3.52	106	1.057286773	0.456745427	1.394495413	1.139776952	1.360742706	0.934673367	242	6.5	4.8	6587	5.04	7		Noun
Vejdemo-2016-167-23	EGG	744	23	egg	1.57	24	0.365837937		0.380316931	0.217100372	0.554376658	0.311557789	34		4.97	9.3345	3.28	3	3.89	Noun
Vejdemo-2016-167-24	EYE	1248	24	eye	0.93	11	0.786641693	1.074695122	0.697247706	0.92267658	0.25198939	0.986599665	520	6.7	4.9	7947	3.95	5	3.75	Noun
Vejdemo-2016-167-25	FAR	1406	25	far	3.14	94	0.633751458	0.295541159	1.077564637	0.379925651	1.25994695	0.155778894	215	3.5	2.71	5215		4	4.878935	Adjective
Vejdemo-2016-167-26	FAT (ORGANIC SUBSTANCE)	323	26	fat_substance	4.89	145	0.859296657	1.128429878	0.697247706	0.488475836	1.411140584	0.57118928	20	5.8	4.52	7.4385	3.89		5.15	Noun
Vejdemo-2016-167-27	FATHER	1217	27	father	2.3	51	0.869828673	1.047827744	0.380316931	0.868401487	0.806366048	1.246231156	356		4.52	5.9675	3.68	8	4.11	Noun
Vejdemo-2016-167-28	FEATHER	1201	28	feather_large	2.35	53	0.289543316	0.080602134	0.12677231	0.217100372	0.50397878	0.519262982	23		4.9	4169	3.29		4.67	Noun
