NUMBER	ID_IN_SOURCE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
	122	crack tr.	3080	SPLIT OPEN
	123	cry	1839	CRY
	124	curassow sp. wild turkey		
	125	cut meat		
	126	cut tree	355	CUT DOWN
	127	cut underbrush		
	128	dance V.	1879	DANCE
	129	dangerous wild		
	130	dark time	1233	NIGHT
	131	dawn	729	DAWN
	132	day light time	1225	DAY (NOT NIGHT)
	133	dead	1625	DEAD
	134	deceive	3230	DECEIVE
	135	deep	1593	DEEP
	136	deer sp.	1936	DEER
	137	die	1494	DIE
	138	dig	1418	DIG
	139	dirty	1230	DIRTY
	140	dizzy	2712	GET DIZZY
	141	do as aux.		
	142	dog	2009	DOG
	143	down hill		
	144	down stream		
	145	drag	2030	DRAG
	146	dream V.	1920	DREAM (SOMETHING)
	147	drink	731	BEVERAGE
	148	drop tr.	2866	DROP (SOMETHING)
	149	drown	1904	DROWN
	150	drunk	1463	DRUNK
	151	dry	1398	DRY
	152	dull not sharp	1397	DULL
	153	dust	2	DUST
	154	eagle royal		
	155	ear	1247	EAR
	156	earth	1228	EARTH (SOIL)
	157	eat tr.	1336	EAT
	158	eat intr.	1336	EAT
	159	edge	863	EDGE
	160	egg	744	EGG
	161	empty	1624	EMPTY
	162	end one end		
	163	end upper		
	164	end lower		
	167	enter	749	ENTER
	168	exchange trade	2509	EXCHANGE
	169	eye	1248	EYE
	170	face	1560	FACE
	171	fall	1280	FALL
	172	fan	360	FAN (ACTION)
	173	far	1406	FAR
	174	fast	1631	FAST
	175	fat	1279	FAT (OBESE)
	176	feast		
	177	feed	739	FEED
	178	few some		
	179	few	1242	FEW
	180	fight	3880	FIGHT (COMBAT)
	181	fill	2006	FILL
	182	find	719	FIND
	183	finger	1303	FINGER
	184	finish	743	END (OF TIME)
	185	fire	221	FIRE
	186	first in front		
	187	first	728	FIRST
	188	fish V. (jerk)	2638	FISHING
	189	fish  small, generic	227	FISH
	190	fish hook	1074	FISHHOOK
	191	flat	1633	FLAT
	192	flea	232	FLEA
	193	flesh meat	2615	FLESH OR MEAT
	194	float	1574	FLOAT
	195	flow	2003	FLOW
	196	flower	239	FLOWER
	197	fly V.	1441	FLY (MOVE THROUGH AIR)
	198	fly housefly	1441	FLY (INSECT)
	199	fog	249	FOG
	200	fold V.	1470	FOLD
	201	follow	1085	FOLLOW
	202	food	256	FOOD
	203	foot	1301	FOOT
	204	footprint	318	FOOTPRINT
	205	forbid	83	FORBID
	206	forehead	123	FOREHEAD
	207	forest woods	420	FOREST
	208	forget	1523	FORGET
	209	friend	1325	FRIEND
	210	front	2194	FRONT (PART)
	211	fruit	1507	FRUIT
	212	full	1429	FULL
	213	get	694	GET
	214	get fetch	3551	FETCH
	215	get well cured		
	216	gift priceless		
	217	girl	1646	GIRL
	218	give	1447	GIVE
	219	go	695	GO
	220	go away	1752	LEAVE
	221	go downstream		
	222	go downhill		
	223	go home	142	RETURN HOME
	224	go on water		
	225	go upstream		
	228	gnat sandfly	95	SANDFLY
	229	grate	3114	GRATE (SOMETHING)
	230	green not ripe	2300	GREEN OR UNRIPE
	231	grow	479	GROW
	232	gourd	411	GOURD
	233	handle	1254	HANDLE
	234	hair (head)	2648	HAIR (HEAD)
	235	hair (body)	189	HAIR (BODY)
	236	hammock cotton		
	237	hammock vine		
	238	hand	1277	HAND
	239	happy	1495	HAPPY
	240	hard	1884	HARD
	241	hate dislike		
	242	head	1256	HEAD
	243	heal cure	499	CURE
	244	hear	1408	HEAR
	245	heart	1223	HEART
	246	heavy	1210	HEAVY
	247	here	136	HERE
	248	hiccough	162	HICCOUGH
	249	hide	2486	HIDE
	250	high	1265	HIGH
	251	highwater		
	252	hit	1433	HIT
	253	hold secure		
	254	hole	1667	HOLE
	255	honey most common	942	HONEY
	256	horn	1393	HORN (ANATOMY)
	257	hot	1286	HOT
	258	house	1252	HOUSE
	259	house forest hut		
	260	how	1239	HOW
	261	hug	928	EMBRACE
	262	hummingbird	1589	HUMMINGBIRD
	263	hungry	1533	BE HUNGRY
	264	hungry for meat		
	265	hunt	1435	HUNT
	266	hurry rapidly	754	HURRY
	267	hurt pain	3864	HURT OR PAIN
	268	ignorant	2651	BE IGNORANT
	269	imitate	117	IMITATE
	270	insane	1899	MAD
	271	industrious		
	272	insert	3071	INSERT
	273	inside	1606	INSIDE
	274	intestines	1991	INTESTINES
	275	itch	148	ITCH
	276	jaguar sp.	1250	JAGUAR
	277	jump	1829	JUMP
	278	kill V. hit		
	279	Kill V.	1417	KILL
	280	knee	1371	KNEE
	281	knife tooth of agouti		
	282	knot	760	KNOT
	283	know	3626	KNOW
	284	lake lowland		
	285	language	1307	LANGUAGE
	286	language mouth		
	287	last	1529	LAST (FINAL)
	288	late	477	LATE
	289	laugh	1355	LAUGH
	290	lazy	1564	LAZY
	291	leaf	628	LEAF
	292	left hand	2182	LEFT HAND
	293	left over	987	REMAIN
	294	leg lower	447	LOWER LEG
	295	leg upper	471	UPPER LEG (THIGH)
	296	let go	1095	LET GO OR SET FREE
	297	lick	319	LICK
	298	lie V. untrue	601	LIE (MISLEAD)
	299	lie down on floor		
	300	lie down in hammock		
	301	lie with		
	302	lift	501	LIFT
	303	light	630	LIGHT (RADIATION)
	304	light not heavy	1052	LIGHT (WEIGHT)
	307	lip lower	3944	LOWER LIP
	308	live at inhabit	363	DWELL (LIVE, RESIDE)
	309	liver	1224	LIVER
	310	lonely		
	311	long	1203	LONG
	312	long for miss	3473	LONG (FOR SOMETHING)
	313	long time	418	FOR A LONG TIME
	314	look stare at	1819	LOOK
	315	look for search	1468	LOOK FOR
	318	lose forget	3072	MISPLACE
	319	lost	3667	LOST
	320	loud	377	LOUD
	321	louse	1392	LOUSE
	322	low	721	LOW
	323	macaw blue	3927	BLUE-AND-YELLOW MACAW
	324	macaw red	3938	RED-AND-GREEN MACAW
	325	make	734	MAKE
	326	man male	1554	MAN
	327	manioc plant	925	CASSAVA
	328	manioc bitter sp.		
	329	manioc sweet sp.		
	333	mash V. stir mix		
	334	milk woman's	3912	BREAST MILK
	335	mind thought		
	336	miss a shot	161	MISS (A TARGET)
	337	moldy		
	338	moon	1313	MOON
	339	monkey sp. spider	434	SPIDER MONKEY
	340	monkey sp. howler	433	HOWLER MONKEY
	341	morning	1339	MORNING
	344	mouth	674	MOUTH
	345	move	765	MOVE
	346	mud	640	MUD
	347	nail claw	2128	CLAW OR NAIL
	348	naked	590	NAKED
	349	name	1405	NAME
	350	narrow	1267	NARROW
	351	navel	1838	NAVEL
	352	near close nearby	1942	NEAR
	353	neck	1333	NECK
	354	new	1231	NEW
	355	next	1354	NEXT
	356	night	1233	NIGHT
	357	no	1269	NO
	358	nose	1221	NOSE
	359	now	1376	NOW
	360	obey	1635	OBEY
	361	old animate Important		
	362	old	1229	OLD
	363	one	1493	ONE
	364	only no reason		
	365	only just		
	366	open	1156	OPEN
	367	order V. give orders	1128	ORDER
	368	outside	762	OUTSIDE
	369	paddle V.	3668	PADDLE (MOVEMENT)
	370	pain	1783	PAIN
	371	paint from bixa seed		
	372	paint V. body		
	373	parrot sp.	882	PARROT
	374	path	2252	PATH
	375	pay	718	PAY
	378	peach palm	3919	PEACH PALM
	379	people they	817	THEY
	380	people Inhabitants		
	381	pepper red		
	382	person of own culture		
	383	person foreigner	791	STRANGER
	384	perspire hot	126	SWEAT (PERSPIRE)
	385	pile up	1576	PILE UP
	387	pierce	398	PIERCE
	388	pineapple	2440	PINEAPPLE
	389	plant V.	1486	PLANT (SOMETHING)
	390	plantation garden	212	FIELD
	391	play	1413	PLAY
	392	pluck V.	2148	PICK
	393	point V. direction	2669	POINT (WITH FINGER)
	394	poor in need	1674	POOR
	395	possessions	3860	POSSESSIONS
	396	pinch	378	PINCH
	396	pot clay	2055	CLAY POT
	397	potato sweet sp.	159	SWEET POTATO
	398	pound	3768	POUND (FOOD)
	399	pregnant	1123	PREGNANT
	400	pull	1455	PULL
	401	pull up or out	2325	PULL OUT
	402	pull down		
	403	pus	1808	PUS
	404	push	1452	PUSH
	405	put together	1743	JOIN
	406	put into		
	407	quick	1631	FAST
	408	quick with force		
	409	quiet still		
	410	rain	658	RAIN (PRECIPITATION)
	411	rat sp.	1490	RAT
	412	raw	1959	RAW
	413	ready	790	READY
	414	real	1657	TRUE
	415	red	156	RED
	416	refuse	49	REFUSE
	417	remain stay	987	REMAIN
	418	remember	707	REMEMBER
	419	repair	2243	REPAIR
	420	return	581	COME BACK
	421	revenge	495	REVENGE
	422	right side	1019	RIGHT
	425	river	666	RIVER
	426	roast V.	1962	ROAST (SOMETHING)
	427	roll V.	827	ROLL
	428	roofing leaves		
	429	root	670	ROOT
	432	rotten	1728	ROTTEN
	433	rotten flesh		
	434	round	1395	ROUND
	435	rub	1449	RUB
	436	rub one direction		
	437	run	1519	RUN
	438	runaway flee	2142	RUN AWAY
	439	sad	699	SAD
	440	saliva	1503	SALIVA
	441	same as of		
	442	sand	671	SAND
	443	say	1458	SAY
	444	scare V.	252	FRIGHTEN
	445	scratch	1436	SCRATCH
	446	scatter V. sow	2064	SCATTER (SEEDS)
	447	see look	1409	SEE
	448	seed	714	SEED
	449	send	1127	SEND
	450	sew	1457	SEW
	451	shadow	1388	SHADE
	452	shake	1909	SHAKE
	453	shaman witch doctor	394	SHAMAN (FOLK HEALER)
	454	sharp	1396	SHARP
	455	sharpen	251	SHARPEN (SOMETHING)
	456	shell calabash		
	457	shiver	52	SHIVER
	458	shoot arrow		
	459	short in height	2191	LOW (HEIGHT)
	460	shoulder	1482	SHOULDER
	461	shout	715	SHOUT
	462	sick ill	1847	SICK
	463	sing	1261	SING
	464	sink	915	SINK (BASIN)
	465	sit down squat	3163	SQUAT
	466	sit down on something	1649	SIT DOWN
	467	skin	763	SKIN
	468	sky	1732	SKY
	469	sleep	2972	SLEEP (STATE)
	470	sleepy	3620	SLEEPY
	471	slip V.	1324	SLIP
	472	sloth sp.	2446	SLOTH
	473	slow	701	SLOW
	474	small little	1246	SMALL
	475	smell V.	1586	SMELL (PERCEIVE)
	476	smell good	376	FRAGRANT
	477	smell bad	42	STINKING
	478	smell odor	3704	ODOR (SMELL)
	479	smoke	778	SMOKE (EXHAUST)
	480	smooth	1234	SMOOTH
	481	snake generic	730	SNAKE
	482	sneeze	1621	SNEEZE
	483	snore	1983	SNORE
	484	soft	1856	SOFT
	485	sound	1811	SOUND OR NOISE
	486	spank slap		
	487	speak	1623	SPEAK
	488	spear	945	SPEAR
	489	spill pour out	3130	SPILL (SOMETHING)
	490	spin	121	SPIN
	491	spirit of people		
	492	spirit of animals		
	493	spit	1440	SPIT
	494	split	1437	SPLIT
	495	squeeze	1414	SQUEEZE
	496	stand on perch		
	497	stand up four feet		
	498	stand up two feet		
	499	star	1430	STAR
	500	star pleiades only		
	501	steal V.	713	STEAL
	502	step on	575	TREAD
	503	still Adv. yet	2919	STILL (CONTINUING)
	504	sting	3798	STINGER
	505	stingy	1774	STINGY
	506	stone rock	2125	STONE OR ROCK
	507	stop cease	1928	CEASE
	508	straight	1404	STRAIGHT
	509	strong	785	STRONG
	510	suck inhale		
	511	sun	1343	SUN
	512	swallow	897	SWALLOW
	513	sweep	230	SWEEP
	514	sweet	717	SWEET
	515	swell	1573	SWELL
	516	swim	1439	SWIM
	517	swing hammock		
	518	tail	1220	TAIL
	519	take pick up	371	PICK UP
	520	tall	711	TALL
	521	tapir	312	TAPIR
	522	tasteless	1771	TASTELESS
	523	teach show how	709	TEACH
	524	tear V. rip	1735	TEAR (SHRED)
	525	tell news		
	526	there	1937	THERE
	527	there near hearer		
	528	thick	1244	THICK
	529	thin	2308	THIN
	530	thin animate		
	531	thing it		
	532	think	2271	THINK
	533	thirsty	847	THIRSTY
	534	thorn	124	THORN
	535	throw	1456	THROW
	536	throw away	3696	THROW AWAY
	537	thunder	1150	THUNDER
	538	thus	3413	IN THIS WAY
	539	tickle	3647	TICKLE (SOMEBODY)
	540	tie V.	1917	TIE
	541	tight	3053	TIGHT
	542	tire V.	1996	GET TIRED
	543	tobacco	974	TOBACCO
	544	today	1283	TODAY
	545	tongue	1205	TONGUE
	546	tooth	1380	TOOTH
	547	toucan sp.	308	TOUCAN
	548	touch V.	1892	TOUCH
	549	trave		
	550	treat V. cure	499	CURE
	551	tree stick wood	2141	TREE OR WOOD
	552	true	1657	TRUE
	553	true word real		
	554	turn	1588	TURN
	555	turn around	1444	TURN AROUND
	556	turn back		
	557	turn over	3537	TURN OVER
	558	twisted		
	559	two	1498	TWO
	560	umbilicus	1838	NAVEL
	561	under below	1485	BELOW OR UNDER
	562	understand	1536	UNDERSTAND
	563	untie	352	UNTIE
	564	unwilling		
	565	upright	1442	STAND
	566	upstream		
	567	urine	1142	URINE
	571	village	930	VILLAGE
	572	vine sp.	343	VINE
	573	visit	1377	VISIT
	574	vomit	1278	VOMIT
	575	wait (later)	1590	WAIT (FOR)
	576	wake up	1602	WAKE UP
	577	walk	1443	WALK
	578	want desire	2117	DESIRE
	579	want sex		
	580	warm	1232	WARM
	581	wash	1453	WASH
	582	water	948	WATER
	583	weak	1601	WEAK
	584	wet	1726	WET
	585	what	1236	WHAT
	586	when	1238	WHEN
	587	where	1237	WHERE
	588	which	727	WHICH
	589	white	1335	WHITE
	590	who	1235	WHO
	591	why	1270	WHY
	592	wide	1243	WIDE
	593	wind	960	WIND
	594	wing	1257	WING
	595	wipe	1454	WIPE
	596	with	1340	WITH
	597	woman female	962	WOMAN
	598	work	984	WORK (LABOUR)
	599	worm sp.	1219	WORM
	600	yellow	1424	YELLOW
	601	yawn	1028	YAWN
	604	young	1207	YOUNG
	605	young man teen	76	YOUNG MAN
	606	young woman	77	YOUNG WOMAN
	607	Fa bro	1985	PATERNAL UNCLE (FATHER'S BROTHER)
	608	Mo MoSi		
	609	Son	1620	SON
	610	Da.	1357	DAUGHTER
	611	Bro. Older	1759	OLDER BORTHER
	612	Si Older	1758	OLDER SISTER
	613	Sibling Younger (same sex)	3038	SAME-SEX YOUNGER SIBLING
	614	Sibling Younger (opposite sex)	3040	DIFFERENT-SEX YOUNGER SIBLING
	615	Da Son Si Son		
	616	Si Da Da Da		
	617	Mo Bro Mo Fa Wi Fa		
	618	Fa Si Fa Mo Wi Mo		
	620	Wi	1199	WIFE
	621	Si Hu Wi Bro		
	108-110	come	1446	COME
	13-14	all	98	ALL
	165-166	enemy	1358	ENEMY
	226-227	good	1035	GOOD
	24-25	ant sp.	587	ANT
	305-306	like V.	1117	LIKE
	316-317	loose	2506	LOOSE
	330-331-332	many	1198	MANY
	342-343	mountain (hiII)	2118	MOUNTAIN OR HILL
	376-377	peccary sp.	2390	PECCARY
	423-424	ripe	178	RIPE
	430-431	rope	1218	ROPE
	48-49	become	1990	BECOME
	56-57	bent	297	CROOKED
	568-569-570	very	1311	VERY
	602-603	yes	1268	YES
	8-9	again	204	AGAIN
	624	he, she	2642	HE OR SHE
		Hu	1200	HUSBAND
	622-639	I	1209	I
	626-654	we (dual exclusive)	2636	WE TWO (EXCLUSIVE)
	627-655	we (dual inclusive)	2637	WE TWO (INCLUSIVE)
	628-656	we (plural exclusive)	1130	WE (EXCLUSIVE)
	629-657	we (plural inclusive)	1131	WE (INCLUSIVE)
	630-660	you (dual)	2111	YOU TWO
	631-662	you (plural)	1213	YOU
	623	you (singular)	1215	THOU
	640	me	2301	ME
	625	it (inanimate)		
	632-633-634-664	they dual	2635	THEY TWO
	637-666	they (plural inanimate)		
	638	plural of Noun (inanimate)		
	635	they (plural nondistinctive)	817	THEY
	636	they (plural animate)		
	641	you	1213	YOU
	642	you (object)		
	643	I – you [+Agent][-Agent]		
	644	he, she, it (subj. intr. Obj. of tr.)		
	645	he, she, it for nouns	262	HE OR SHE OR IT
	646	he [+Agent]		
	647	it [inanimate]		
	648	it (root)		
	649	it (plant)		
	650	it (fruit)		
	651	it (seed)		
	652	it (skin)		
	653	it (liquid)		
	658	us dual		
	659	us plural	2310	US (OBLIQUE CASE OF WE)
	661	you dual obj.		
	663	you plural obj.		
	665	they dual [+Agent] (V. suf.)		
	667	they plural	817	THEY
	668	they plural [+Agent] (V. suf.)		
	669	this	1214	THIS
	670	these animate		
	671	these inanimate		
	672	that (near hearer)		
	673	that	78	THAT
	674	those	3985	THOSE (PLURAL OF THAT)
	675	that one mentioned		
	676	another (same kind)		
	677	another (different kind)		
	678-679	relative pronoun		
	680	the one		
	681-682	the one (nominalizer of verbs)		
	683	verb nominalizer principial -ing		
	684	inalienable pronoun		
	685	my-mine	2090	MY
	686	my (kinship term)		
	687	your-yours		
	688	your (kinship term)		
	689	his	2473	HIS (GENITIVE OF HE)
	690	his (kinship term)		
	691	our pers. Pro. Your + suffix their		
	692	ours pers. Pro yours + post- theirs position		
	693	Agent Instrument		
	694	Dative (to, at, for)		
	695	Dative		
	696	Locative (at)		
	697	Ablative (to, from) (animate)		
	698	Ablative (inanimate)		
	699	Genetive (of)		
	700-701	Temporal		
	702	unspecified		
	703	immediate past		
	704	recent past		
	705	remote past		
	706	incomplete		
	707-729	completive		
	708	incompl. For adjs.		
	709	here (present)		
	710	nearby (pres.)		
	711	far (pres.)		
	712	and then		
	713	if (contrary to fact)		
	714	if	1459	IF
	715	while (at the same time)	726	WHILE
	716	when (after)		
	717-718	when	1238	WHEN
	719	although		
	720	just now		
	721	just now (with incho.)		
	722	today	1283	TODAY
	723	today (with incho)		
	724	remote		
	725	remote (with incho.)		
	726	negative (far above tenses)		
	727	desired future		
	728	negative future		
	730	completive negative		
	731	incompletive		
	732	negative incompletive		
	733-734	inchoative		
	735	future		
	736	my (future)		
	737	may not		
	738	command (aspect)		
	739	negative command		
	740	negative suggestion		
	741	nearby here		
	742	further		
	743	far across otherside		
	744	up there (hillside)		
	745	up there		
	746	far up		
	747	short way down stream		
	748	down 		
	749	far down in		
	750	far (not present tense)		
