NUMBER	ID_IN_SOURCE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
	1	able to be	972	BE ABLE
	2	above on top	57	ATOP
	3	accept tr. take	3898	ACCEPT
	4	accompany	1542	ACCOMPANY
	5	across over river	2670	ACROSS
	6	afraid fear	1419	FEAR (BE AFRAID)
	7	afternoon	1807	AFTERNOON
	10	agouti	313	AGOUTI
	11	alert clever		
	12	alive	1422	BE ALIVE
	15	almost		
	16	alone	1964	ALONE
	17	alright already		
	18	also		
	19	always	1676	ALWAYS
	20	always habitually		
	21	and (nouns)	1577	AND
	22	angry	1826	ANGRY
	23	animal edible		
	26	argue	3302	QUARREL (VERB)
	27	arm branch		
	28	armadillo	1885	ARMADILLO
	29	arrive or go (home)		
	30	arrive	1387	ARRIVE
	31	arrow	977	ARROW
	32	as same as		
	33	ashes	646	ASH
	34	ask question	1309	ASK (INQUIRE)
	35	ask for beg	1828	ASK (REQUEST)
	36	assemble gather	7	GATHER
	37	avenge	495	REVENGE
	38	back	1291	BACK
	39	bad ugly		
	40	bake	183	BAKE
	41	bald	1125	BALD
	42	banana plantain	399	PLANTAIN
	43	bark of tree	1204	BARK
	44	basket most common	1539	BASKET
	45	bathe	138	BATHE
	46	be exist	1579	BE
	47	beard	678	BEARD
	50	bee	665	BEE
	51	begin	1806	BEGIN
	52	behind	1686	BEHIND
	53	belch	2245	BELCH
	54	belly	1251	BELLY
	55	bend V.	2004	BEND
	58	beside	1816	BESIDE
	59	betray	1902	BETRAY
	60	big animate		
	61	big	1202	BIG
	62	bird	937	BIRD
	63	bite	1403	BITE
	64	bitter	887	BITTER
	65	black	163	BLACK
	66	blind	1653	BLIND
	67	blood	946	BLOOD
	68	blow	175	BLOW (OF WIND)
	69	boil	2492	BOIL (SOMETHING)
	70	bone	1394	BONE
	71	borrow	1823	BORROW
	72	bow	994	BOW
	73	brave ready fight		
	74	break	680	BREAK (DESTROY OR GET DESTROYED)
	75	breast	1402	BREAST
	76	breathe	1407	BREATHE
	77	bring	692	BRING
	78	burn V.	2102	BURN
	79	cacao	2442	COCOA BEAN
	80	calabash	3918	CALABASH
	81	call	1084	CALL
	82	calm still	258	CALM
	83	capybara	314	CAPYBARA
	84	carry in hands	412	CARRY IN HAND
	85	carry on shoulders	413	CARRY ON SHOULDER
	86	cassava bread	407	MANIOC BREAD
	87	catch	702	CATCH
	88	cayman sp.	2438	CAIMAN
	89	cedar	3929	BRAZILIAN CEDAR
	90	certainly		
	91	chant (trade talk)		
	92	chest	1592	CHEST
	93	chew	321	CHEW
	94	child boy	1366	BOY
	95	choke	129	CHOKE
	96	choose	1750	CHOOSE
	97	chop	155	CHOP
	98	clay	1399	CLAY
	99	clean white		
	100	clear	989	CLEAR
	101	climb trees		
	102	climb by land		
	103	close V. an opening	1046	SHUT
	104	cloud	1489	CLOUD
	105	cold things		
	106	cold V. feel	3819	COLD (FEELING COLD)
	107	comb V.	2070	COMB (VERB)
	109	come here	3555	COME HERE
	111	come back	581	COME BACK
	112	come down descend	2014	GO DOWN (DESCEND)
	113	command	1998	COMMAND
	114	cook V. in pot	1100	COOK (SOMETHING)
	115	copulate	549	COPULATE
	116	cough	879	COUGH
	117	cotton	1850	COTTON
	118	cover up	1719	BURY
	119	covet desire		
	120	coward	1319	COWARD
	121	crab	2348	CRAB
