ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EMOTION_CATEGORY	ENGLISH_PERSONAL_USE_MEAN	ENGLISH_FAMILIARITY MEAN	ENGLISH_OFFENSIVENESS_MEAN	ENGLISH_TABOO_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_IMAGEABILITY_MEAN
Janschewitz-2008-460-231	231	alcoholic	3867	ALCOHOLIC (PERSON)	neg hi ar	05.01	6.16	2.27	3.45	2.64	3.78	4.78
Janschewitz-2008-460-232	232	anger	82	ANGER	neg hi ar	5.99	6.48	1.48	1.75	3.26	3.43	4.21
Janschewitz-2008-460-233	233	assassin	3871	MURDERER	neg hi ar	3.14	04.03	1.51	2.24	3.17	03.08	4.49
Janschewitz-2008-460-234	234	assault			neg hi ar	3.69	5.25	1.86	2.29	2.56	3.75	04.09
Janschewitz-2008-460-235	235	bankrupt			neg hi ar	3.16	4.69	1.18	1.92	2.87	2.99	2.71
Janschewitz-2008-460-236	236	bees	665	BEE	neg hi ar	3.9	4.56	01.04	01.04	4.48	2.22	8.21
Janschewitz-2008-460-237	237	betray	1902	BETRAY	neg hi ar	3.91	4.71	1.81	2.1	2.77	3.51	2.18
Janschewitz-2008-460-238	238	brutal	4104	BRUTAL	neg hi ar	4.51	4.94	1.45	1.9	2.97	3.21	03.04
Janschewitz-2008-460-239	239	chaos	4056	CHAOS	neg hi ar	04.09	4.99	1.3	1.62	03.08	3.43	4.36
Janschewitz-2008-460-240	240	cockroach	1575	COCKROACH	neg hi ar	3.3	4.18	1.26	1.56	3.61	03.08	8.12
Janschewitz-2008-460-241	241	crash			neg hi ar	4.71	5.88	1.16	1.38	3.25	3.62	6.53
Janschewitz-2008-460-242	242	debt	1914	DEBT	neg hi ar	4.58	5.88	1.3	1.81	3.21	2.47	2.68
Janschewitz-2008-460-243	243	divorce	1134	DIVORCE	neg hi ar	4.26	6.21	1.4	2.25	2.96	03.05	3.29
Janschewitz-2008-460-244	244	evil	45	EVIL	neg hi ar	4.93	5.58	1.71	2.37	2.41	3.17	3.33
Janschewitz-2008-460-245	245	fight	1423	FIGHT	neg hi ar	5.54	6.36	1.32	1.59	3.43	3.18	5.86
Janschewitz-2008-460-246	246	fire	221	FIRE	neg hi ar	4.86	5.75	01.06	1.18	4.19	3.52	8.31
Janschewitz-2008-460-247	247	flood	613	HIGH TIDE	neg hi ar	3.71	05.01	01.04	1.13	3.68	2.36	7.1
Janschewitz-2008-460-248	248	fraud	4081	FRAUD	neg hi ar	3.16	4.95	02.01	1.94	2.81	2.83	2.52
Janschewitz-2008-460-249	249	gossip	3640	GOSSIP	neg hi ar	05.04	6.22	1.49	1.95	3.54	2.96	2.7
Janschewitz-2008-460-250	250	guilty	1682	GUILTY	neg hi ar	05.04	06.01	1.44	1.79	2.91	2.91	2.51
Janschewitz-2008-460-251	251	gun	1566	GUN	neg hi ar	4.21	06.08	1.55	2.58	3.33	3.89	8.36
