ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EMOTION_CATEGORY	ENGLISH_PERSONAL_USE_MEAN	ENGLISH_FAMILIARITY MEAN	ENGLISH_OFFENSIVENESS_MEAN	ENGLISH_TABOO_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_IMAGEABILITY_MEAN
Janschewitz-2008-460-80	80	slut			taboo	4.68	6.33	4.3	6.28	2.33	5.26	4.18
Janschewitz-2008-460-81	81	snatch	855	SEIZE	taboo	03.05	3.88	1.72	2.62	04.01	03.01	3.83
Janschewitz-2008-460-82	82	sodomize			taboo	02.03	3.15	3	5.12	2.52	4.62	3.45
Janschewitz-2008-460-83	83	spic			taboo	1.42	2.21	3.42	4.6	3.17	04.01	2.54
Janschewitz-2008-460-84	84	stupid	1518	STUPID	taboo	6.6	7.13	2.69	2.92	3.1	3.1	2.44
Janschewitz-2008-460-85	85	suck	1421	SUCK	taboo	6.16	6.59	2.13	3.53	3.37	3.88	3.68
Janschewitz-2008-460-86	86	testicles	797	TESTICLES	taboo	3.22	4.38	1.74	04.01	4.46	3.88	6.7
Janschewitz-2008-460-87	87	tits			taboo	3.48	5.51	2.83	5.51	4.44	5.27	7
Janschewitz-2008-460-88	88	turd			taboo	2.32	3.4	2.27	3.96	3.4	03.04	5.51
Janschewitz-2008-460-89	89	twat			taboo	1.89	2.35	3.24	05.07	3.32	4.61	3.27
Janschewitz-2008-460-90	90	vagina	1836	VAGINA	taboo	3.89	4.87	1.87	4.82	4.79	5	7.32
Janschewitz-2008-460-91	91	vibrator			taboo	2.55	4	2.3	5.39	4.17	05.01	6.55
Janschewitz-2008-460-92	92	whore			taboo	4.53	06.04	4.45	6.53	2.13	5.18	4.33
Janschewitz-2008-460-93	93	angel	4057	ANGEL	pos lo ar	4.25	5.3	01.01	1.2	7.32	03.07	7.51
Janschewitz-2008-460-94	94	bath	138	BATHE	pos lo ar	4.86	5.61	01.03	01.01	5.74	2.14	7.74
Janschewitz-2008-460-95	95	beauty	4051	BEAUTY	pos lo ar	5.96	6.92	01.01	01.03	7.34	3.86	5.49
Janschewitz-2008-460-96	96	bird	937	BIRD	pos lo ar	5.22	5.73	01.09	01.03	5.42	1.84	8.31
Janschewitz-2008-460-97	97	breeze	3982	BREEZE	pos lo ar	4.58	5.13	01.03	01.09	5.46	1.97	04.01
