ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Reinhard-1970-337-116	116	leaf	628	LEAF
Reinhard-1970-337-117	117	net bag (see also amji)	293	NETBAG
Reinhard-1970-337-118	118	where	1237	WHERE
Reinhard-1970-337-119	119	neck	1333	NECK
Reinhard-1970-337-120	120	sit (imperative)	1416	SIT
Reinhard-1970-337-121	121	count (1st)	1420	COUNT
Reinhard-1970-337-122	122	many,much	1198	MANY
Reinhard-1970-337-123	123	salt	1274	SALT
Reinhard-1970-337-124	124	look (1st)	1819	LOOK
Reinhard-1970-337-125	125	small, young	1207	YOUNG
Reinhard-1970-337-126	126	far	1406	FAR
Reinhard-1970-337-127	127	spit, throw (1st)	1456	THROW
Reinhard-1970-337-128	128	dirty	1230	DIRTY
Reinhard-1970-337-129	129	tall	711	TALL
Reinhard-1970-337-130	130	now	1376	NOW
Reinhard-1970-337-131	131	today	1283	TODAY
Reinhard-1970-337-132	132	fever	1534	FEVER
Reinhard-1970-337-133	133	shim		
Reinhard-1970-337-134	134	sun	1343	SUN
Reinhard-1970-337-135	135	night	1233	NIGHT
Reinhard-1970-337-136	136	near here	1942	NEAR
Reinhard-1970-337-137	137	horn	1393	HORN (ANATOMY)
Reinhard-1970-337-138	138	a kind of  vine		
Reinhard-1970-337-139	139	near	1942	NEAR
Reinhard-1970-337-140	140	there	1937	THERE
Reinhard-1970-337-141	141	root/tuber	670	ROOT
Reinhard-1970-337-142	142	presently		
Reinhard-1970-337-143	143	fire	221	FIRE
Reinhard-1970-337-144	144	cry (1st)	1839	CRY
Reinhard-1970-337-145	145	ashes	646	ASH
Reinhard-1970-337-146	146	ill	1847	SICK
Reinhard-1970-337-147	147	new	1231	NEW
Reinhard-1970-337-148	148	year	1226	YEAR
Reinhard-1970-337-149	149	mustard		
Reinhard-1970-337-150	150	birth	2805	BIRTH (ACCOUCHEMENT)
Reinhard-1970-337-151	151	two	1498	TWO
Reinhard-1970-337-152	152	newly		
Reinhard-1970-337-153	153	a kind of tree		
Reinhard-1970-337-154	154	backwards	2911	BACKWARD
Reinhard-1970-337-155	155	air	27	AIR
Reinhard-1970-337-156	156	basket	1539	BASKET
Reinhard-1970-337-157	157	liver	1224	LIVER
Reinhard-1970-337-158	158	yellow	1424	YELLOW
Reinhard-1970-337-159	159	white	1335	WHITE
Reinhard-1970-337-160	160	cold	1287	COLD
Reinhard-1970-337-161	161	thunder	1150	THUNDER
Reinhard-1970-337-162	162	thin	2308	THIN
Reinhard-1970-337-163	163	kill (imperative form)	1417	KILL
Reinhard-1970-337-164	164	I cut	1432	CUT
Reinhard-1970-337-165	165	kodalo		
Reinhard-1970-337-166	166	worm	1219	WORM
Reinhard-1970-337-167	167	village	930	VILLAGE
Reinhard-1970-337-168	168	village	930	VILLAGE
Reinhard-1970-337-169	169	dance (1st)	1879	DANCE
Reinhard-1970-337-170	170	learn (1st)	504	LEARN
Reinhard-1970-337-171	171	lightening	1654	LIGHTNING
Reinhard-1970-337-172	172	fight (1st)	1423	FIGHT
Reinhard-1970-337-173	173	mother	1216	MOTHER
Reinhard-1970-337-174	174	mother's eldest sister 	1272	AUNT
Reinhard-1970-337-175	175	mother's younger sister	1272	AUNT
Reinhard-1970-337-176	176	boy	1366	BOY
Reinhard-1970-337-177	177	hear (1st)	1408	HEAR
Reinhard-1970-337-178	178	water buffalo	2516	WATER BUFFALO
Reinhard-1970-337-179	179	father's brother's wife		
Reinhard-1970-337-180	180	joke		
Reinhard-1970-337-181	181	older brother	1759	OLDER BROTHER
Reinhard-1970-337-182	182	want (1st)	1784	WANT
Reinhard-1970-337-183	183	deep	1593	DEEP
Reinhard-1970-337-184	184	older sister's husband		
Reinhard-1970-337-185	185	second son		
Reinhard-1970-337-186	186	often, many	1852	OFTEN
Reinhard-1970-337-187	187	lion	1386	LION
Reinhard-1970-337-188	188	man	1554	MAN
Reinhard-1970-337-189	189	youngest		
Reinhard-1970-337-190	190	oldest		
Reinhard-1970-337-191	191	king	1508	KING
Reinhard-1970-337-192	192	laugh (1st)	1355	LAUGH
Reinhard-1970-337-193	193	fish	227	FISH
Reinhard-1970-337-194	194	from	693	FROM
Reinhard-1970-337-195	195	who	1235	WHO
Reinhard-1970-337-196	196	why	1270	WHY
Reinhard-1970-337-197	197	what	1236	WHAT
Reinhard-1970-337-198	198	forget (1st)	1523	FORGET
Reinhard-1970-337-199	199	your	732	YOUR (SINGULAR)
Reinhard-1970-337-200	200	little	1246	SMALL
Reinhard-1970-337-201	201	cow	1007	COW
Reinhard-1970-337-202	202	wife	1199	WIFE
Reinhard-1970-337-203	203	cow	1007	COW
Reinhard-1970-337-204	204	woman	962	WOMAN
Reinhard-1970-337-205	205	you (plural)	1213	YOU
Reinhard-1970-337-206	206	eat (1st)	1336	EAT
Reinhard-1970-337-207	207	you (plural)	1213	YOU
Reinhard-1970-337-208	208	Father's sister	1272	AUNT
Reinhard-1970-337-209	209	collect (1st)	7	GATHER
Reinhard-1970-337-210	210	ancestor	1669	ANCESTORS
Reinhard-1970-337-211	211	grandmother	1496	GRANDMOTHER
Reinhard-1970-337-212	212	mother's father	2178	MATERNAL GRANDFATHER
Reinhard-1970-337-213	213	great grandfather		
Reinhard-1970-337-214	214	grandfather	1383	GRANDFATHER
Reinhard-1970-337-215	215	mother's mother	2177	MATERNAL GRANDMOTHER
Reinhard-1970-337-216	216	man	1554	MAN
