ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
Kitchen-2009-95-1	1	All	98	ALL	
Kitchen-2009-95-2	2	Ashes	646	ASH	
Kitchen-2009-95-3	3	Bark (tree)	1204	BARK	
Kitchen-2009-95-4	4	Belly	1251	BELLY	
Kitchen-2009-95-5	5	Big	1202	BIG	
Kitchen-2009-95-6	6	Bird	937	BIRD	
Kitchen-2009-95-7	7	Bite (v.)	1403	BITE	
Kitchen-2009-95-8	8	Black	163	BLACK	
Kitchen-2009-95-9	9	Blood	946	BLOOD	
Kitchen-2009-95-10	10	Bone	1394	BONE	
Kitchen-2009-95-11	11	Breast	1402	BREAST	
Kitchen-2009-95-12	12	Burn (tr. v.)	141	BURN (SOMETHING)	
Kitchen-2009-95-13	13	Cloud	1489	CLOUD	
Kitchen-2009-95-14	14	Cold (air)	1287	COLD	
Kitchen-2009-95-15	15	Come	1446	COME	
Kitchen-2009-95-16	16	Die	1494	DIE	
Kitchen-2009-95-17	17	Dog	2009	DOG	
Kitchen-2009-95-18	18	Drink (v.)	1401	DRINK	
Kitchen-2009-95-19	19	Dry (adj.)	1398	DRY	
Kitchen-2009-95-20	20	Ear	1247	EAR	
Kitchen-2009-95-21	21	Eat	1336	EAT	
Kitchen-2009-95-22	22	Egg	744	EGG	
Kitchen-2009-95-23	23	Eye	1248	EYE	
Kitchen-2009-95-24	24	Fat (n.)	323	FAT (ORGANIC SUBSTANCE)	
Kitchen-2009-95-25	25	Fire	221	FIRE	
Kitchen-2009-95-26	26	Fish (n.)	227	FISH	
Kitchen-2009-95-27	27	Fly (n.)	1504	FLY (INSECT)	
Kitchen-2009-95-28	28	Foot	1301	FOOT	
Kitchen-2009-95-29	29	Give	1447	GIVE	
Kitchen-2009-95-30	30	Go	695	GO	
Kitchen-2009-95-31	31	Good	1035	GOOD	
Kitchen-2009-95-32	32	Grass	606	GRASS	
Kitchen-2009-95-33	33	Hair (head)	2648	HAIR (HEAD)	
Kitchen-2009-95-34	34	Hand	1277	HAND	
Kitchen-2009-95-35	35	Head	1256	HEAD	
Kitchen-2009-95-36	36	Hear	1408	HEAR	
Kitchen-2009-95-37	37	Heart	1223	HEART	
Kitchen-2009-95-38	38	Horn	1393	HORN (ANATOMY)	
Kitchen-2009-95-39	39	I	1209	I	
Kitchen-2009-95-40	40	Kill	1417	KILL	
Kitchen-2009-95-41	41	Know	3626	KNOW	
Kitchen-2009-95-42	42	Knee	1371	KNEE	
Kitchen-2009-95-43	43	Leaf	628	LEAF	
Kitchen-2009-95-44	44	Liver	1224	LIVER	
Kitchen-2009-95-45	45	Long	1203	LONG	
Kitchen-2009-95-46	46	Louse	1392	LOUSE	
Kitchen-2009-95-47	47	Man	1554	MAN	
Kitchen-2009-95-48	48	Many	1198	MANY	
Kitchen-2009-95-49	49	Meat	634	MEAT	
Kitchen-2009-95-50	50	Moon	1313	MOON	
Kitchen-2009-95-51	51	Mountain	639	MOUNTAIN	
Kitchen-2009-95-52	52	Mouth	674	MOUTH	
Kitchen-2009-95-53	53	Name	1405	NAME	
Kitchen-2009-95-54	54	Neck	1333	NECK	
Kitchen-2009-95-55	55	New	1231	NEW	
Kitchen-2009-95-56	56	Night	1233	NIGHT	
Kitchen-2009-95-57	57	Nose	1221	NOSE	
Kitchen-2009-95-58	58	One	1493	ONE	
Kitchen-2009-95-59	59	Rain (n.)	658	RAIN (PRECIPITATION)	
Kitchen-2009-95-60	60	Red	156	RED	
Kitchen-2009-95-61	61	Road	667	ROAD	
Kitchen-2009-95-62	62	Root	670	ROOT	
Kitchen-2009-95-63	63	Sand	671	SAND	
Kitchen-2009-95-64	64	Say	1458	SAY	
Kitchen-2009-95-65	65	See	1409	SEE	
Kitchen-2009-95-66	66	Seed	714	SEED	
Kitchen-2009-95-67	67	Sit	1416	SIT	
Kitchen-2009-95-68	68	Skin (human)	2613	SKIN (HUMAN)	
Kitchen-2009-95-69	69	Sleep (v.)	1585	SLEEP	
Kitchen-2009-95-70	70	Small	1246	SMALL	
Kitchen-2009-95-71	71	Smoke (n.)	778	SMOKE (EXHAUST)	
Kitchen-2009-95-72	72	Snake	730	SNAKE	
Kitchen-2009-95-73	73	Stand	1442	STAND	
Kitchen-2009-95-74	74	Star	1430	STAR	
Kitchen-2009-95-75	75	Stone	857	STONE	
Kitchen-2009-95-76	76	Sun	1343	SUN	
Kitchen-2009-95-77	77	Swim	1439	SWIM	
Kitchen-2009-95-78	78	Tail	1220	TAIL	
Kitchen-2009-95-79	79	Thin	2308	THIN	
Kitchen-2009-95-80	80	This	1214	THIS	
Kitchen-2009-95-81	81	Three	492	THREE	
Kitchen-2009-95-82	82	Thou	1215	THOU	
Kitchen-2009-95-83	83	Tongue	1205	TONGUE	
Kitchen-2009-95-84	84	Tooth	1380	TOOTH	
Kitchen-2009-95-85	85	Tree	906	TREE	
Kitchen-2009-95-86	86	Two	1498	TWO	
Kitchen-2009-95-87	87	Warm	1232	WARM	
Kitchen-2009-95-88	88	Water	948	WATER	
Kitchen-2009-95-89	89	We	1212	WE	
Kitchen-2009-95-90	90	Wet	1726	WET	
Kitchen-2009-95-91	91	What?	1236	WHAT	
Kitchen-2009-95-92	92	White	1335	WHITE	
Kitchen-2009-95-93	93	Who?	1235	WHO	
Kitchen-2009-95-94	94	Woman	962	WOMAN	
Kitchen-2009-95-95	95	Ye	1213	YOU	
