ID	NUMBER	ENGLISH	HOMOPHONE_MEANING_NUMBER	DEFINITION	CONCEPTICON_GLOSS	CONCEPTICON_ID	SUBJECTIVE_FREQ	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-152	152	sheer	2	to swerve or cause to swerve from a course			29.87	0.7	81	22.61	1.35	3.51	6	8	1.98	3.34	3.97	4.32
Maciejewski-2016-100-153	153	soil	1	the uppermost layer of the earth's surface	EARTH (SOIL)	1228	67.67	0.48	61	45.57	1.66	2.72	10	5	1.36	5.66	5.81	5.16
Maciejewski-2016-100-154	154	soil	2	to make unclean; dirty			32.33	0.48	61	45.57	1.66	2.72	10	5	1.36	5.66	5.81	5.16
Maciejewski-2016-100-155	155	spill	1	to cause or allow (a liquid or small particles or objects) to flow or fall from a container, especially unintentionally	SPILL (SOMETHING)	3130	93.35	0.94	97	5.13	0.71	2.91	11	9	1.7	NA	NA	NA
Maciejewski-2016-100-156	156	spill	2	a thin piece of wood or twist of paper used to light a flame			6.65	0.94	97	5.13	0.71	2.91	11	9	1.7	NA	NA	NA
Maciejewski-2016-100-157	157	spray	1	water or another liquid flying or falling in fine droplets, as from the nozzle of a hose			85.87	0.85	96	10.25	1.01	2.28	10	9	1.53	5.59	5.14	5.21
Maciejewski-2016-100-158	158	spray	2	a single shoot or branch that has leaves, flowers, or berries			13.93	0.85	96	10.25	1.01	2.28	10	9	1.53	5.59	5.14	5.21
Maciejewski-2016-100-159	159	squash	1	to press, beat, or crush into a pulp or flat mass			71.19	0.56	66	6.03	0.78	2.19	10	4	1.38	4.83	NA	5.33
Maciejewski-2016-100-160	160	squash	2	a gourdlike fruit that is borne on a vinelike plant and is eaten as a vegetable	PUMPKIN	864	28.81	0.56	66	6.03	0.78	2.19	10	4	1.38	4.83	NA	5.33
Maciejewski-2016-100-161	161	stable	1	fixed, firm, or steady in position; not shaky or easily moved or overturned			55.94	0.32	60	36.9	1.57	2.89	7	7	1.93	5.37	5.62	5.19
Maciejewski-2016-100-162	162	stable	2	a building, often containing stalls, where domestic animals, especially horses or cows, are kept and fed	HORSE BARN	3403	44.06	0.32	60	36.9	1.57	2.89	7	7	1.93	5.37	5.62	5.19
Maciejewski-2016-100-163	163	stake	1	a sharpened or pointed post designed to be driven into the ground, as for a marker or support, or part of a fence			46.34	0.4	53	22.85	1.36	2.8	12	9	1.69	4.69	5.4	4.73
Maciejewski-2016-100-164	164	stake	2	one's economic or emotional share or interest in something			52.51	0.4	53	22.85	1.36	2.8	12	9	1.69	4.69	5.4	4.73
Maciejewski-2016-100-165	165	stall	1	a small enclosed division of a barn or stable designed for lodging a single animal	STABLE	851	41.15	0.48	45	7.84	0.89	3.21	18	14	1.68	4.41	NA	4.83
Maciejewski-2016-100-166	166	stall	2	to employ evasion or other delaying maneuvers			56.11	0.48	45	7.84	0.89	3.21	18	14	1.68	4.41	NA	4.83
Maciejewski-2016-100-167	167	stern	1	firm and uncompromising			76.8	0.69	70	8.58	0.93	2.97	3	7	1.74	3.29	3.49	4.54
Maciejewski-2016-100-168	168	stern	2	the rear or back part of anything, especially a nautical vessel			23.2	0.69	70	8.58	0.93	2.97	3	7	1.74	3.29	3.49	4.54
Maciejewski-2016-100-169	169	stick	1	a relatively long and thin piece of wood, especially a stem or branch from a tree or shrub	STICK	1295	65.63	0.59	58	38.16	1.58	3.3	23	26	1.89	4.44	6.04	5.32
Maciejewski-2016-100-170	170	stick	2	to pierce or poke with a pointed object; stab	STICKING	254	24.58	0.59	58	38.16	1.58	3.3	23	26	1.89	4.44	6.04	5.32
Maciejewski-2016-100-171	171	stir	1	to agitate or mix (a liquid) by making circular motions with a hand or object	STIR	696	94.48	0.94	95	12.61	1.1	2.17	12	11	1.4	4.75	NA	5.5
Maciejewski-2016-100-172	172	stir	2	prison			4.72	0.94	95	12.61	1.1	2.17	12	11	1.4	4.75	NA	5.5
Maciejewski-2016-100-173	173	strand	1	to beach, or leave behind on the shore			34.89	0.44	49	9.82	0.99	2.91	10	7	1.76	3.56	4.42	4.79
Maciejewski-2016-100-174	174	strand	2	a length of fibers, threads, filaments, wires, or hairs braided or twisted together to form yarn, rope, cable, or the like			65.01	0.44	49	9.82	0.99	2.91	10	7	1.76	3.56	4.42	4.79
Maciejewski-2016-100-175	175	strip	1	to remove the outer covering or clothing from			61.06	0.36	58	20.79	1.32	2.12	9	19	1.8	4.64	NA	5.05
Maciejewski-2016-100-176	176	strip	2	a long, narrow piece or area of mostly uniform width			38.94	0.36	58	20.79	1.32	2.12	9	19	1.8	4.64	NA	5.05
Maciejewski-2016-100-177	177	tap	1	to strike or cause to strike lightly, and often several times			38.29	0.34	60	20.99	1.32	2.17	16	20	1.66	5.41	5.38	5.67
Maciejewski-2016-100-178	178	tap	2	a device to control the flow of liquid or gas from a pipe or container, or a plug to prevent such a flow; spigot; faucet	FAUCET	1488	59.53	0.34	60	20.99	1.32	2.17	16	20	1.66	5.41	5.38	5.67
Maciejewski-2016-100-179	179	temple	1	a building or place where a deity or deities are worshiped	TEMPLE	911	65.37	0.52	64	22.92	1.36	2.97	5	4	1.44	5.47	5.65	4.5
Maciejewski-2016-100-180	180	temple	2	the flat area on either side of the head between the forehead and ear	TEMPLES	1604	34.63	0.52	64	22.92	1.36	2.97	5	4	1.44	5.47	5.65	4.5
Maciejewski-2016-100-181	181	tend	1	to have an inclination			48.42	0.4	57	60.59	1.78	3.18	4	3	2.01	NA	NA	4.77
Maciejewski-2016-100-182	182	tend	2	to look after			51.58	0.4	57	60.59	1.78	3.18	4	3	2.01	NA	NA	4.77
Maciejewski-2016-100-183	183	tense	1	pulled or stretched tightly; taut	TIGHT	3053	61.6	0.48	58	14.15	1.15	2.92	6	8	1.68	2.86	3.65	5.32
Maciejewski-2016-100-184	184	tense	2	in grammar, a category of verb inflections that indicate time and duration of an action or state, such as past tense, future tense, and present tense			38.3	0.48	58	14.15	1.15	2.92	6	8	1.68	2.86	3.65	5.32
Maciejewski-2016-100-185	185	toast	1	bread that has been sliced and browned in an oven, toaster, or the like			69.86	0.53	59	10.4	1.02	2.95	9	6	1.47	5.94	5.82	5.71
Maciejewski-2016-100-186	186	toast	2	a call on other people to drink in honor of someone or something, or a short verbal salute preceding this call			29.46	0.53	59	10.4	1.02	2.95	9	6	1.47	5.94	5.82	5.71
Maciejewski-2016-100-187	187	toll	1	to cause (a large bell) to ring or chime, especially with slow and measured strokes			24.12	0.63	20	8.81	0.94	3.36	7	5	1.92	3.02	4.24	4.13
Maciejewski-2016-100-188	188	toll	2	a charge or tax, usually for passage across a bridge or along a highway or other road			72.14	0.63	20	8.81	0.94	3.36	7	5	1.92	3.02	4.24	4.13
Maciejewski-2016-100-189	189	trace	1	a visible mark or evidence of a past event or of something having been present			89.57	0.91	94	24.15	1.38	3.17	12	14	2.01	2.39	3.71	4.8
Maciejewski-2016-100-190	190	trace	2	one of two ropes, chains, or straps used to harness a draft animal to a cart, carriage, or the like			10.43	0.91	94	24.15	1.38	3.17	12	14	2.01	2.39	3.71	4.8
Maciejewski-2016-100-191	191	utter	1	to give forth (a sound or words) vocally			54.3	0.44	51	7.38	0.87	2.49	2	6	1.74	3.7	3.65	4.8
Maciejewski-2016-100-192	192	utter	2	total or complete in degree or extent; absolute; unqualified			45.7	0.44	51	7.38	0.87	2.49	2	6	1.74	3.7	3.65	4.8
Maciejewski-2016-100-193	193	vault	1	an arched construction of stone, concrete, brick, or the like that forms a roof or ceiling, as in some churches			48.17	0.49	46	4.54	0.66	2.74	11	6	1.09	5.5	5.5	4.45
Maciejewski-2016-100-194	194	vault	2	to jump, leap, or spring, especially with the use of the hands or a pole as a support			39.44	0.49	46	4.54	0.66	2.74	11	6	1.09	5.5	5.5	4.45
Maciejewski-2016-100-195	195	verse	1	poetry, or a poem, especially in metrical form			78.48	0.72	80	13.56	1.13	2.77	5	5	1.16	4.89	5	4.83
Maciejewski-2016-100-196	196	verse	2	to make knowledgeable or skilled; train; school (usually followed by in)			21.52	0.72	80	13.56	1.13	2.77	5	5	1.16	4.89	5	4.83
Maciejewski-2016-100-197	197	wax	1	a solid yellowish substance that is pliable when melted and is secreted by bees for constructing their honeycombs; beeswax	BEESWAX	1931	86.39	0.81	80	6.7	0.83	3.08	8	4	1.63	5.47	5.69	4.94
Maciejewski-2016-100-198	198	wax	2	to increase gradually in quantity, strength, volume, or the like			12.59	0.81	80	6.7	0.83	3.08	8	4	1.63	5.47	5.69	4.94
Maciejewski-2016-100-199	199	yard	1	a unit of length equal to three feet or 0.9144 meter			46.64	0.44	42	32.91	1.52	2.63	6	9	1.66	5.68	5.53	5.22
Maciejewski-2016-100-200	200	yard	2	an open area next to or surrounding a house or other building	YARD	736	53.36	0.44	42	32.91	1.52	2.63	6	9	1.66	5.68	5.53	5.22
