ID	NUMBER	ENGLISH	HOMOPHONE_MEANING_NUMBER	DEFINITION	CONCEPTICON_GLOSS	CONCEPTICON_ID	SUBJECTIVE_FREQ	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-48	48	fly	2	any of a variety of small, winged insects, especially the common housefly	FLY (INSECT)	1504	42.67	0.21	57	39.88	1.6	1.75	15	20	1.62	5.82	5.25	5.37
Maciejewski-2016-100-49	49	forge	1	a furnace or hearth where metal is heated to be worked or shaped			43.36	0.52	67	4.92	0.69	2.99	9	9	1.91	2.86	NA	4.08
Maciejewski-2016-100-50	50	forge	2	to move ahead gradually but with determination			52.45	0.52	67	4.92	0.69	2.99	9	9	1.91	2.86	NA	4.08
Maciejewski-2016-100-51	51	fry	1	to cook in hot butter, oil, or other fat	FRY	991	90.23	0.87	88	12.3	1.09	1.95	10	6	1.28	NA	NA	4.87
Maciejewski-2016-100-52	52	fry	2	very young fish			9.76	0.87	88	12.3	1.09	1.95	10	6	1.28	NA	NA	4.87
Maciejewski-2016-100-53	53	gin	1	an alcoholic liquor made from grain distilled with juniper berries			92.23	0.91	72	5.73	0.76	1.71	4	6	1.47	5.55	6.39	5.21
Maciejewski-2016-100-54	54	gin	2	a machine designed to remove the seeds from raw cotton; cotton gin			7.47	0.91	72	5.73	0.76	1.71	4	6	1.47	5.55	6.39	5.21
Maciejewski-2016-100-55	55	hide	1	to put or hold out of sight; keep from view; conceal	HIDE	2486	75.98	0.66	73	26.39	1.42	2.93	6	6	1.83	4.3	4.51	5.15
Maciejewski-2016-100-56	56	hide	2	the skin of one of the larger animals such as a buffalo or cow	LEATHER OR HIDE	3326	23.92	0.66	73	26.39	1.42	2.93	6	6	1.83	4.3	4.51	5.15
Maciejewski-2016-100-57	57	hiding	1	the act or condition of concealing or being concealed	HIDE (CONCEAL)	602	74.38	0.65	97	14.58	1.16	2.95	3	1	1.78	NA	NA	NA
Maciejewski-2016-100-58	58	hiding	2	a thrashing, flogging, or severe beating			25.37	0.65	97	14.58	1.16	2.95	3	1	1.78	NA	NA	NA
Maciejewski-2016-100-59	59	host	1	a person who provides hospitality such as food, entertainment, or lodging for guests	HOST	1545	81.69	0.76	75	34.33	1.54	3.4	6	11	1.96	NA	NA	NA
Maciejewski-2016-100-60	60	host	2	a very large number of people or things			17.99	0.76	75	34.33	1.54	3.4	6	11	1.96	NA	NA	NA
Maciejewski-2016-100-61	61	jam	1	to force or pack tightly into a small space			38.01	0.39	47	9.82	0.99	1.66	13	11	1.6	5.69	5.63	5.29
Maciejewski-2016-100-62	62	jam	2	a sweet spread usually made by cooking crushed fruit and sugar			58.71	0.39	47	9.82	0.99	1.66	13	11	1.6	5.69	5.63	5.29
