ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Total
Chan-2019-102-1	1	1	1493	ONE	6608
Chan-2019-102-2	2	2	1498	TWO	6163
Chan-2019-102-3	3	3	492	THREE	6039
Chan-2019-102-4	4	4	1500	FOUR	5893
Chan-2019-102-5	5	5	493	FIVE	5783
Chan-2019-102-6	6	6	1703	SIX	5581
Chan-2019-102-7	7	7	1704	SEVEN	5535
Chan-2019-102-8	8	8	1705	EIGHT	5486
Chan-2019-102-9	9	9	1483	NINE	5474
Chan-2019-102-10	10	10	1515	TEN	5613
Chan-2019-102-11	11	11	1706	ELEVEN	4924
Chan-2019-102-12	12	12	1707	TWELVE	4780
Chan-2019-102-13	13	13	1708	THIRTEEN	4698
Chan-2019-102-14	14	14	2451	FOURTEEN	4660
Chan-2019-102-15	15	15	1709	FIFTEEN	4736
Chan-2019-102-16	16	16	2454	SIXTEEN	4634
Chan-2019-102-17	17	17	2453	SEVENTEEN	4620
Chan-2019-102-18	18	18	1713	EIGHTEEN	4603
Chan-2019-102-19	19	19	1714	NINETEEN	4634
Chan-2019-102-20	20	20	1710	TWENTY	5101
Chan-2019-102-21	21	21	1734	TWENTY ONE	4377
Chan-2019-102-22	22	22	3166	TWENTY TWO	4208
Chan-2019-102-23	23	23	3165	TWENTY THREE	4061
Chan-2019-102-24	24	24	1736	TWENTY FOUR	4095
Chan-2019-102-25	25	25	1738	TWENTY FIVE	4100
Chan-2019-102-26	26	26	3476	TWENTY SIX	4036
Chan-2019-102-27	27	27	3477	TWENTY SEVEN	4056
Chan-2019-102-28	28	28	3478	TWENTY EIGHT	4040
Chan-2019-102-29	29	29	3479	TWENTY NINE	4039
Chan-2019-102-30	30	30	1715	THIRTY	4522
Chan-2019-102-31	31	31	3480	THIRTY ONE	9
Chan-2019-102-32	32	32	3481	THIRTY TWO	8
Chan-2019-102-33	33	33	3482	THIRTY THREE	7
Chan-2019-102-34	34	34	3483	THIRTY FOUR	3
Chan-2019-102-35	35	35	3484	THIRTY FIVE	4
Chan-2019-102-36	36	36	3485	THIRTY SIX	9
Chan-2019-102-37	37	37	3486	THIRTY SEVEN	2
Chan-2019-102-38	38	38	3487	THIRTY EIGHT	1
Chan-2019-102-39	39	39	3488	THIRTY NINE	3
Chan-2019-102-40	40	40	1716	FORTY	4507
Chan-2019-102-41	41	43	3489	FORTY THREE	4
Chan-2019-102-42	42	44	3490	FORTY FOUR	1
Chan-2019-102-43	43	45	3491	FORTY FIVE	1
Chan-2019-102-44	44	48	3492	FORTY EIGHT	1
Chan-2019-102-45	45	50	1717	FIFTY	4373
Chan-2019-102-46	46	53	3493	FIFTY THREE	2
Chan-2019-102-47	47	55	3494	FIFTY FIVE	1
Chan-2019-102-48	48	60	1718	SIXTY	4373
Chan-2019-102-49	49	63	3495	SIXTY THREE	1
Chan-2019-102-50	50	70	1721	SEVENTY	4335
Chan-2019-102-51	51	72	3496	SEVENTY TWO	1
Chan-2019-102-52	52	73	3497	SEVENTY THREE	1
Chan-2019-102-53	53	80	1722	EIGHTY	4374
Chan-2019-102-54	54	83	3498	EIGHTY THREE	1
Chan-2019-102-55	55	90	1724	NINETY	4329
Chan-2019-102-56	56	91	3499	NINETY ONE	2
Chan-2019-102-57	57	96	3500	NINETY SIX	1
Chan-2019-102-58	58	99	3501	NINETY NINE	6
Chan-2019-102-59	59	100	1634	HUNDRED	5083
Chan-2019-102-60	60	101	3502	ONE HUNDRED AND ONE	1
Chan-2019-102-61	60	102	3770	ONE HUNDRED AND TWO	2
Chan-2019-102-62	61	110	3503	ONE HUNDRED AND TEN	3
Chan-2019-102-63	61	111	3771	ONE HUNDRED AND ELEVEN	1
Chan-2019-102-64	62	120	3504	ONE HUNDRED AND TWENTY	14
Chan-2019-102-65	63	123	3164	ONE HUNDRED AND TWENTY THREE	1
Chan-2019-102-66	64	133	3505	ONE HUNDRED AND THIRTY THREE	1
Chan-2019-102-67	65	140	3506	ONE HUNDRED AND FORTY	1
Chan-2019-102-68	66	144	3507	ONE HUNDRED AND FORTY FOUR	2
Chan-2019-102-69	67	150	3508	ONE HUNDRED AND FIFTY	1
Chan-2019-102-70	68	160	3509	ONE HUNDRED AND SIXTY	2
Chan-2019-102-71	69	180	3510	ONE HUNDRED AND EIGHTY	1
Chan-2019-102-72	70	200	2676	TWO HUNDRED	4185
Chan-2019-102-73	71	201	3511	TWO HUNDRED AND ONE	1
Chan-2019-102-74	71	210	3772	TWO HUNDRED AND TEN	1
Chan-2019-102-75	72	216	3512	TWO HUNDRED AND SIXTEEN	4
Chan-2019-102-76	73	300	3513	THREE HUNDRED	18
Chan-2019-102-77	74	399	3514	THREE HUNDRED AND NINETY NINE	1
Chan-2019-102-78	75	400	3515	FOUR HUNDRED	195
Chan-2019-102-79	76	500	3516	FIVE HUNDRED	15
Chan-2019-102-80	77	600	3517	SIX HUNDRED	4
