"ID"	"NUMBER"	"ENGLISH"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"	"GOTHIC"	"CASES_GOTHIC"	"OLD_NORSE"	"CASES_OLD_NORSE"	"FAROESE"	"CASES_FAROESE"	"ICELANDIC"	"CASES_ICELANDIC"	"OLD_SWEDISH"	"CASES_OLD_SWEDISH"	"SWEDISH"	"CASES_SWEDISH"	"NORWEGIAN"	"CASES_NORWEGIAN"	"OLD_HIGH_GERMAN"	"CASES_OLD_HIGH_GERMAN"	"MIDDLE_HIGH_GERMAN"	"CASES_MIDDLE_HIGH_GERMAN"	"GERMAN"	"CASES_GERMAN"	"OLD_SAXON"	"CASES_OLD_SAXON"	"MIDDLE_DUTCH"	"CASES_MIDDLE_DUTCH"	"DUTCH"	"CASES_DUTCH"	"OLD_ENGLISH"	"CASES_OLD_ENGLISH"	"MIDDLE_ENGLISH"	"CASES_MIDDLE_ENGLISH"	"MODERN_ENGLISH"	"CASES_MODERN_ENGLISH"	"ANCESTRAL"	"CASES_ANCESTRAL"
"Dunn-2017-12-1"	1	"HUNGER"	1533	"BE HUNGRY"	"huggrjan"	"A"	"hungra"	"A"	"hungra"	"N"	"hungra"	"A"	"hungra"	"DN"	"hungra"	"N"	"hungra"	"N"	"hungeran"	"A"	"hungern"	"A"	"hungern"	"AN"	"hungrian"	"A"	"hungeren"	"AD"	"hongeren"	"N"	"hyngran"	"DAN"	"hungeren"	"D"	"hunger"	"N"	"*hungr-"	"A"
"Dunn-2017-12-2"	2	"THIRST"	3474	"BE THIRSTY"	"þaursjan"	"A"	"þyrsta"	"A"	"tyrsta"	"N"	"þyrsta"	"A"	"þörsta"	"A"	"törsta"	"N"	"tørste"	"N"	"dursten"	"A"	"dürsten"	"A"	"dürsten"	"AN"	"thurstian"	"A"	"dorsten"	"AD"	"dorsten"	"N"	"þyrstan"	"ADN"	"thirsten"	"AD"	"thirst"	"N"	"*þurst-"	"A"
"Dunn-2017-12-3"	3	"LIKE"	1117	"LIKE"	"galeikan"	"DN"	"líka"	"D"	"líka"	"D"	"líka"	"D"	"lika"	"D"	"lika"	"N"	"like"	"N"	"galîhhên"	"D"	"lichen"	"DN"			"lîkôn"	"D"	"lijken"	"AD"	"lijken"	"N"	"lician"	"D"	"lician"	"AD"	"like"	"N"	"*līkō/ē-"	"D"
"Dunn-2017-12-4"	4	"LACK"	2329	"LACK (NOT HAVE)"			"bresta"	"AD"	"bresta"	"D"	"bresta"	"AD"	"brista"	"AD"					"brestan"	"DA"	"brestan"	"D"	"bresten"	"D"	"brestan"	"D"	"brestan"	"AD"	"barsten"	"N"							"*brestan"	"D"
"Dunn-2017-12-5"	5	"DREAM"	1920	"DREAM (SOMETHING)"			"dreyma"	"A"	"droyma"	"DN"	"dreyma"	"ADN"	"dröma"	"ADN"	"drömma"	"N"	"drømme"	"N"	"troumen"	"D"	"tröumen"	"DA"	"träumen"	"N"			"dromen"	"AD"	"dromen"	"N"			"dremen"	"AD"	"dream"	"N"	"*draum-"	"A"
"Dunn-2017-12-6"	6	"AVAIL"					"duga"	"D"			"duga"	"D"	"dugha"	"D"					"tugen"	"D"	"tugen"	"D"	"taugen"	"N"	"dugen"	"DN"	"doghen"	"AD"			"dugen"	"D"					"*dugan"	"D"
"Dunn-2017-12-7"	7	"LUST"			"luston"	"A"	"lysta"	"AD"	"lysta"	"AD"	"lysta"	"AD"	"lysta"	"AD"	"lusta"	"N"	"lyste"	"N"	"lustan"	"AD"	"lüsten"	"AN"	"lüsten"	"AND"	"lustian"	"A"	"lusten"	"ADN"	"lusten"	"N"	"lystan"	"A"	"lesten"	"AD"	"lust"	"N"	"*lustjan"	"A"
"Dunn-2017-12-8"	8	"LONG"	3473	"LONG (FOR SOMETHING)"			"langa"	"A"	"langa"	"D"	"langa"	"AD"	"langa"	"AD"					"langen"	"A"	"langen"	"A"			"langian"	"A"	"langen"	"AD"	"verlangen"	"N"	"langian"	"A"	"longen"	"AD"	"long"	"N"	"*lang-"	"A"
"Dunn-2017-12-9"	9	"WONDER"					"undra"	"A"	"undra"	"N"	"undra"	"A"	"undra"	"A"	"undra"	"N"	"undre"	"N"	"wuntarôn"	"N"	"wundern"	"A"	"wundern"	"AN"	"uundrôn"	"N"	"wonderen"	"AD"	"verwonderen"	"NAD"	"wundrian"	"N"	"wundren"	"N"	"wonder"	"N"	"*wunþarōn"	"A"
"Dunn-2017-12-10"	10	"THINK/SEEM"			"þugkjan"	"D"	"þykkja"	"D"	"tykja"	"D"	"þykja"	"D"	"þyckia"	"D"	"tycka"	"N"	"tykke"	"N"	"thunkian"	"DA"	"dunken"	"DAN"	"dünken"	"DAN"	"thunkian"	"D"	"dunken"	"AD"	"dunken"	"AD"	"þyncan"	"D"	"thincan"	"AD"			"*þunkjan"	"D"
"Dunn-2017-12-11"	11	"SUFFICE"	3475	"SUFFICE"	"ganôhjan"	"D"	"nægja"	"D"			"nægja"	"D"	"nöghia"	"DA"	"nöja"	"N"	"nøgje"	"N"	"ginuogian"	"DA"	"genüegen"	"DA"	"genügen"	"DA"			"ghenoeghen"	"DA"	"genoegen"	"AD"	"genogian"	"N"					"*ga-nah-"	"D"
"Dunn-2017-12-12"	12	"FAIL"					"þrjóta"	"A"	"tróta"	"DN"	"þrjóta"	"A"	"tryta"	"AD"	"tryta"	"N"	"tryte"	"N"	"-driozan"	"A"	"verdriezen"	"A"	"verdrießen"	"A"			"verdrieten"	"AD"	"verdrieten"	"AD"	"aþreotan"	"A"					"*þreutan"	"A"
