ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS	SEMANTICFIELD	LOANS	HAPAXES	MISSING	LOANPC	HAPPC
Bowern-2011-204-1	1	above	LOCATION	1741	ABOVE	above	LOCATION	2	13	5	0.017	0.11
Bowern-2011-204-2	2	again	GRAMMAR	204	AGAIN	again	GRAMMAR	0	4	12	0	0.036
Bowern-2011-204-3	3	*all	NUMBER	98	ALL	all	OTHER	0	9	6	0	0.077
Bowern-2011-204-4	4	$and	GRAMMAR	1577	AND	and	GRAMMAR	3	4	15	0.028	0.037
Bowern-2011-204-5	5	ankle	BODY	803	ANKLE	ankle	BODY	2	13	11	0.018	0.116
Bowern-2011-204-6	6	ant	FAUNA/FLORA	587	ANT	ant	FAUNA	3	0	18	0.029	0
Bowern-2011-204-7	7	armpit	BODY	1886	ARMPIT	armpit	BODY	2	10	11	0.018	0.089
Bowern-2011-204-8	8	*ash	ENVIRONMENT	646	ASH	ash	ENVIRONMENT	0	9	1	0	0.074
Bowern-2011-204-9	9	$at	LOCATION	1461	AT	at	LOCATION	0	6	18	0	0.057
Bowern-2011-204-10	10	*back	BODY	1291	BACK	back	BODY	0	12	1	0	0.098
Bowern-2011-204-11	11	$bad/evil	QUALITY	3764	BAD OR EVIL	bad/evil	QUALITY	2	12	2	0.017	0.099
Bowern-2011-204-12	12	*belly	BODY	1251	BELLY	belly	BODY	4	15	1	0.033	0.123
Bowern-2011-204-13	13	below	LOCATION	1485	BELOW OR UNDER	below	LOCATION	0	13	8	0	0.113
Bowern-2011-204-14	14	*big	QUALITY	1202	BIG	big	QUALITY	4	13	2	0.033	0.107
Bowern-2011-204-15	15	*bird	FAUNA/FLORA	937	BIRD	bird	FAUNA	2	8	3	0.017	0.067
Bowern-2011-204-16	16	*bite	BODY	1403	BITE	bite	BODY	0	3	1	0	0.025
Bowern-2011-204-17	17	*black	COLOUR	163	BLACK	black	COLOUR	1	8	1	0.008	0.066
Bowern-2011-204-18	18	*blood	BODY	946	BLOOD	blood	BODY	2	3	1	0.016	0.025
Bowern-2011-204-19	19	$blow	BODY	175	BLOW (OF WIND)	blow	BODY	0	10	0	0	0.081
Bowern-2011-204-20	20	blowfly/housefly	FAUNA/FLORA	1504	FLY (INSECT)	blowfly/housefly	FAUNA	2	12	5	0.017	0.102
Bowern-2011-204-21	21	boil/pimple	BODY	1809	PIMPLE	boil/pimple	BODY	1	9	16	0.009	0.084
