ID	NUMBER	ITALIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORD_LENGTH	POS	ACCURACY_LD_MEAN	LD_RT_MEAN	ACCURACY_NAMING_MEAN	NAMING_RT_MEAN	LD_RT_ZSCORE	NAMING_RT_ZSCORE	AUDITORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	OLFACTORY_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_MIN	PERCEPTUAL_STRENGTH_MEAN	VECTOR_MAGNITUDE
Vergallito-2020-1121-287	287	diploma	diploma			7	n	0.9666666667	593.6896552	1	545.5185185	-0.2594164523	0.01488868285	1.32	0	2.56	0.18	4.3	v	51.4354067	4.3	0	1.672	5.178648472
Vergallito-2020-1121-288	288	disastro	disaster			8	n	1	582.5	1	576.5357143	-0.2721530087	0.3257365851	3.16	1.05	1.63	1.11	3.96	v	26.67277727	3.96	1.05	2.182	5.53702989
Vergallito-2020-1121-289	289	discarica	dump			9	n	0.8333333333	689.04	1	651.9642857	0.4657061489	0.8495254091	1.81	0.12	1.82	4.16	4.65	v	36.06687898	4.65	0.12	2.512	6.747666263
Vergallito-2020-1121-290	290	disdegno	scorn			8	n	0.7333333333	798.5454545	1	646.72	0.8655706996	0.7119549874	2.65	0.41	0.48	0.48	3.15	v	38.21478382	3.15	0.41	1.434	4.192123567
Vergallito-2020-1121-291	291	disertore	deserter			9	n	0.7333333333	819.1363636	1	694.3103448	1.196630045	1.056317587	2.44	0.05	0.38	0.06	3.35	v	52.5477707	3.35	0.05	1.256	4.162523273
Vergallito-2020-1121-292	292	disgustato	disgusted			10	a	1	641.5333333	1	673.8518519	0.04175051723	0.6991188881	2.58	2.18	0.79	1.49	3.79	v	27.70083102	3.79	0.79	2.166	5.349495303
Vergallito-2020-1121-293	293	disincantato	blase			12	a	0.9333333333	794.5	1	735.75	1.02903694	1.293039977	2.23	0.2	0.3	0.27	2.46	v	41.39194139	2.46	0.2	1.092	3.350731263
Vergallito-2020-1121-294	294	disinvolto	nonchalant			10	a	0.9333333333	694.2142857	1	627.36	0.3453139922	0.6701720977	3.26	0.16	0.72	0.21	3.81	v	44.73039216	3.81	0.16	1.632	5.072652166
Vergallito-2020-1121-295	295	disordinato	messy			11	a	0.9666666667	688.5517241	1	618.4444444	0.3474653281	0.3569303341	1.32	0.4	2.18	0.39	4.7	v	47.94215795	4.7	0.39	1.798	5.375583689
Vergallito-2020-1121-296	296	disperato	despairing			9	a	1	621.4	1	610.1785714	-0.08828309038	0.5734049076	3.93	0.23	0.55	0.32	3.93	v	41.29464286	3.93	0.23	1.792	5.598892748
Vergallito-2020-1121-297	297	dispetto	mischief			8	n	0.9666666667	650.9310345	0.9642857143	614	0.12065511	0.3552773895	2.98	0.49	1.04	0.42	3.6	v	37.28018757	3.6	0.42	1.706	4.830993687
Vergallito-2020-1121-298	298	dispiaciuto	displeased			11	a	0.9666666667	670.3103448	1	604.2222222	0.2602146797	0.360725916	3.6	0.09	0.53	0.11	3.68	v	44.81897628	3.68	0.09	1.602	5.177209673
Vergallito-2020-1121-299	299	disprezzare	despise	2715	DESPISE	11	v	0.9333333333	698.4285714	1	692.7142857	0.4183830586	0.9759773793	3.18	0.95	1.05	0.82	3.3	v	26.66666667	3.3	0.82	1.86	4.866189474
Vergallito-2020-1121-300	300	disprezzo	contempt			9	n	1	584.9666667	1	595.3103448	-0.2984663925	0.2842987848	3.67	0.82	1.07	1.04	3.7	v	27.96116505	3.7	0.82	2.06	5.48249943
Vergallito-2020-1121-301	301	distaccato	detached			10	a	0.9666666667	595.8965517	1	639.7857143	-0.1729492269	0.6973209424	2.6	0.11	1.81	0.14	3.89	v	44.21052632	3.89	0.11	1.71	5.019950199
Vergallito-2020-1121-302	302	distante	aloof			8	a	1	645.3666667	1	582.88	0.1201107846	0.3440207381	2.79	0.21	1.41	0.67	4.54	v	45.01039501	4.54	0.21	1.924	5.556689662
Vergallito-2020-1121-303	303	distruggere	destroy	681	DESTROY	11	v	1	679.6	1	595.5185185	0.1835454319	0.5333848537	3.32	0.32	2.93	0.46	3.98	v	33.24250681	3.98	0.32	2.202	5.980108695
Vergallito-2020-1121-304	304	distruzione	destruction			11	n	0.9666666667	680.0344828	1	564.3846154	0.278660776	0.1260818526	3.74	0.07	2.05	0.67	4.37	v	39.44954128	4.37	0.07	2.18	6.143354133
Vergallito-2020-1121-305	305	disturbare	disturb	2883	DISTURB	10	v	0.9666666667	622.5862069	1	608.5555556	-0.09103423867	0.521539317	3.82	0.79	1.61	1.21	3.58	a	27.52043597	3.82	0.79	2.202	5.664724177
Vergallito-2020-1121-306	306	dito	finger	1303	FINGER	4	n	0.9	665.7777778	1	571.8695652	-0.02754563076	0.4831369657	0.6	0.35	4.75	0.65	4.82	v	40.0179051	4.82	0.35	2.234	6.833732509
Vergallito-2020-1121-307	307	divano	sofa	3099	SOFA	6	n	0.9333333333	579.8214286	1	495.8928571	-0.3725818998	-0.4409547908	0.47	0.02	4.65	0.89	4.81	v	44.18819188	4.81	0.02	2.168	6.765500721
Vergallito-2020-1121-308	308	divertimento	fun	4062	FUN	12	n	0.9666666667	644.7241379	1	565	0.08015230759	0.261761838	3.75	0.58	1.19	0.63	4.09	v	34.27734375	4.09	0.58	2.048	5.739337941
Vergallito-2020-1121-309	309	divorzio	divorce	3672	DIVORCE (SEPARATE)	8	n	1	575.0666667	1	538.6296296	-0.3627507154	0.02663472085	2.42	0.04	0.16	0.04	2.72	v	49.81412639	2.72	0.04	1.076	3.644667337
Vergallito-2020-1121-310	310	dollaro	dollar			7	n	1	616.8333333	1	541.9	0.02410598872	-0.1060280224	0.91	0.04	3.74	1.11	4.86	v	45.21575985	4.86	0.04	2.132	6.298333113
Vergallito-2020-1121-311	311	dolore	ache	1815	ACHE	6	n	1	517.1666667	1	499.3846154	-0.8112156703	-0.3276665439	2.84	0.41	3.39	0.38	3.25	h	29.30866602	3.39	0.38	2.054	5.516584088
Vergallito-2020-1121-312	312	dominante	controlling			9	a	0.8666666667	680.9230769	1	604.6551724	0.3207747122	0.3429555556	3.18	0.98	1.5	1.05	3.8	v	26.83158896	3.8	0.98	2.102	5.37264367
Vergallito-2020-1121-313	313	donna	woman	962	WOMAN	5	n	0.9333333333	544.4642857	1	478.8461538	-0.7123920425	-0.5483835465	4	0.77	3.54	2.33	4.81	v	26.14886731	4.81	0.77	3.09	7.595360426
Vergallito-2020-1121-314	314	dono	present			4	n	0.9333333333	606.8571429	1	503.3333333	-0.1757320912	-0.1789845879	1.51	0.79	3.18	0.86	4.16	v	32.0952381	4.16	0.79	2.1	5.573311403
Vergallito-2020-1121-315	315	dormire	sleep	1585	SLEEP	7	v	0.9666666667	572.7241379	1	521.0689655	-0.4127201763	-0.3145634457	2.39	0.11	1.4	0.28	3.65	v	45.21072797	3.65	0.11	1.566	4.591851478
Vergallito-2020-1121-316	316	dottore	doctor			7	n	1	545.2666667	1	511.8928571	-0.5878039119	-0.2939135516	3.33	0.16	2.16	1.07	4.6	v	39.22261484	4.6	0.16	2.264	6.171304562
Vergallito-2020-1121-317	317	drogato	addict			7	n	0.9333333333	574.7142857	1	544.25	-0.3384874491	0.05507488786	2.45	0.25	1.39	0.96	4.11	v	42.13973799	4.11	0.25	1.832	5.080433052
Vergallito-2020-1121-318	318	duro	hard	1884	HARD	4	a	1	579.7333333	1	524.7307692	-0.4105436364	-0.201486192	0.89	0.77	4.93	0.16	3.16	h	48.13319879	4.93	0.16	1.982	5.975039749
