ID	NUMBER	CHINESE	CHINESE_SIMPLIFIED	PINYIN	ENGLISH_MORPHEME	ENGLISH	PERCEPTUAL_MORPHEME	GUSTATORY_MEAN	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chen-2019-61-1	1	乾淨	乾净	gan1-jing4	dry-clean	clean	H_V	1.962962963	4.222222222	2.777777778	1.62962963	1.962962963	Visual	0.206488031	704	CLEAN
Chen-2019-61-2	2	冷峻	冷峻	leng3-jun4	cold-steep	frosty	H_V	0.185185185	3.62962963	2.444444444	0.37037037	1	Visual	0.451450394		
Chen-2019-61-3	3	冷淡	冷淡	leng3-dan4	cold-not salty/of mild taste	frigid	H_G	0.703703704	3.296296296	1.962962963	0.407407407	0.777777778	Visual	0.404139424		
Chen-2019-61-4	4	冷漠	冷漠	leng3-mo4	cold-desert	indifferent	H_V	0.074074074	3.777777778	2.592592593	0.296296296	0.518518519	Visual	0.510197053	4052	INDIFFERENT
Chen-2019-61-5	5	冷然	冷然	leng3-ran2	cold-appearance	frigid	H_V	0.518518519	3.259259259	2.481481481	0.666666667	1.222222222	Visual	0.336359508		
Chen-2019-61-6	6	冷酷	冷酷	leng3-ku4	cold-of intense taste of wine	grim	H_G	0.222222222	3.703703704	2.555555556	0.259259259	0.62962963	Visual	0.4723554		
Chen-2019-61-7	7	冷靜	冷静	leng3-jing4	cold-clear	calm	H_V	0.222222222	3.185185185	2.259259259	0.074074074	0.296296296	Visual	0.515328887	258	CALM
Chen-2019-61-8	8	凝重	凝重	ning2-zhong4	curdling-heavy	stony	V_H	0.481481481	3.296296296	2.518518519	0.888888889	0.555555556	Visual	0.363631666		
Chen-2019-61-9	9	厚重	厚重	hou4-zhong4	thick-heavy	massive	V_H	2.777777778	3.296296296	2.481481481	2.444444444	3.111111111	Visual	0.060367026		
Chen-2019-61-10	10	圓潤	圆润	yuan2-run4	round-moist	rounded	V_T	1.814814815	4.148148148	2.555555556	0.592592593	3.333333333	Visual	0.28571199		
Chen-2019-61-11	11	嬌柔	娇柔	jiao1-rou2	tender-soft	feminine	V_H	0.333333333	3.62962963	2.851851852	0.37037037	2.444444444	Visual	0.342304138		
Chen-2019-61-12	12	平淡	平淡	ping2-dan4	of level tone-not salty/of mild taste	insipid	A_G	3.777777778	3.222222222	3.037037037	2.555555556	0.444444444	Gustatory	0.255679857		
Chen-2019-61-13	13	平滑	平滑	ping2-hua2	of level tone-smooth	smooth	A_H	1.925925926	3.62962963	2.592592593	0.777777778	4.740740741	Haptic	0.289970778	1234	SMOOTH
Chen-2019-61-14	14	微弱	微弱	wei1-ruo4	slight-weak	weak	V_H	2.333333333	3.037037037	4.222222222	2.481481481	2.074074074	Auditory	0.151831388	1601	WEAK
Chen-2019-61-15	15	柔和	柔和	rou2-he2	soft-harmonious	soft	H_A	2.555555556	4.296296296	4.185185185	2.296296296	3.111111111	Visual	0.121620882	1856	SOFT
Chen-2019-61-16	16	柔細	柔细	rou2-xi4	soft-thin	fine	H_V	1.888888889	3.074074074	3.148148148	0.592592593	4.259259259	Haptic	0.282854961	2157	FINE OR THIN
Chen-2019-61-17	17	柔美	柔美	rou2-mei3	soft-tasty	graceful	H_G	1.074074074	4.407407407	3.962962963	0.518518519	1.666666667	Visual	0.334392029		
Chen-2019-61-18	18	柔順	柔顺	rou2-shun4	soft-along	soft and smooth	H_V	1.851851852	3.111111111	2.592592593	0.666666667	4.333333333	Haptic	0.292033072		
Chen-2019-61-19	19	沉重	沉重	chen2-zhong4	deep-heavy	heavy	V_H	1.037037037	3.444444444	3.592592593	0.925925926	1.851851852	Auditory	0.245731524	1210	HEAVY
Chen-2019-61-20	20	淒涼	凄凉	qi1-liang2	cloudy and rainy-cool	bleak	V_H	0.185185185	3.777777778	3.037037037	0.481481481	0.222222222	Visual	0.4663401		
Chen-2019-61-21	21	淡然	淡然	dan4-ran2	not salty/of mild taste-appearance	indifferent	G_V	1.444444444	1.962962963	2.111111111	1.185185185	0.62962963	Auditory	0.202017447		
Chen-2019-61-22	22	清冷	清冷	qing1-leng3	limpid-cold	chilly	V_H	1	3.444444444	2.333333333	1.111111111	2.222222222	Visual	0.241755851		
Chen-2019-61-23	23	清淡	清淡	qing1-dan4	not salty/of mild taste	insipid	V_G	4.814814815	1.62962963	1.444444444	3.185185185	0.333333333	Gustatory	0.392853699	1771	TASTELESS
Chen-2019-61-24	24	清甜	清甜	qing1-tian2	limpid-sweet	slightly sweet	V_G	4.555555556	1.222222222	1.851851852	2.703703704	0.296296296	Gustatory	0.400693095		
Chen-2019-61-25	25	清脆	清脆	qing1-cui4	limpid-crisp	crisp	V_H	1.703703704	1.296296296	4.37037037	0.333333333	1.259259259	Auditory	0.450408198		
Chen-2019-61-26	26	清鮮	清鲜	qing1-xian1	limpid-tasty	fresh	V_G	4.296296296	2.259259259	0.962962963	2.703703704	0.62962963	Gustatory	0.337880845	243	FRESH
Chen-2019-61-27	27	溫和	温和	wen1-he2	lukewarm-harmonious	gentle	H_A	3.518518519	3.444444444	3.481481481	2.518518519	3.074074074	Gustatory	0.062355269	1954	GENTLE
Chen-2019-61-28	28	溫馨	温馨	wen1-xin1	lukewarm-fragrant	cozy/ warm	H_O	0.777777778	4	2.592592593	0.518518519	1.185185185	Visual	0.383669241	1232	WARM
Chen-2019-61-29	29	濃厚	浓厚	nong2-hou4	of intense taste-thick	dense	G_V	3.962962963	2.888888889	1.259259259	3.777777778	1	Gustatory	0.229883274	2239	DENSE
Chen-2019-61-30	30	濃烈	浓烈	nong2-lie4	of intense taste-scorching	strong	G_H	4.481481481	2.592592593	1.555555556	4.407407407	0.555555556	Gustatory	0.288826213		
Chen-2019-61-31	31	濃郁	浓郁	nong2-yu4	of intense taste-dense	rich	G_V	4.148148148	2	0.888888889	4.555555556	0.555555556	Olfactory	0.329265582	712	RICH
Chen-2019-61-32	32	濃重	浓重	nong2-zhong4	of intense taste-heavy	strong	G_H	4.074074074	2.703703704	2	3.851851852	0.703703704	Gustatory	0.252775882	785	STRONG
Chen-2019-61-33	33	濕漉漉	湿漉漉	shi1-lu-lu	damp-dripping	damp	H_V	0.518518519	3.851851852	0.444444444	0.777777778	4.518518519	Haptic	0.402926418	2998	DAMP
Chen-2019-61-34	34	火辣	火辣	huo3-la4	fire-hot (in taste)	burning	H_G	4.222222222	3.925925926	1.296296296	2.62962963	1.888888889	Gustatory	0.209547571	1428	BURNING
Chen-2019-61-35	35	熱辣	热辣	re4-la4	hot-hot (in taste)	scorching	H_G	4.407407407	3.111111111	1.666666667	1.851851852	2.666666667	Gustatory	0.199998541		
Chen-2019-61-36	36	燦爛	灿烂	can4-lan4	bright-tender	glorious	V_H	0.185185185	3.814814815	1.407407407	0.037037037	0.185185185	Visual	0.671040712		
Chen-2019-61-37	37	甜潤	甜润	tian2-run4	sweet-moist	pleasantly sweet	G_H	4.222222222	1.703703704	2.259259259	2.185185185	0.666666667	Gustatory	0.322144732		
Chen-2019-61-38	38	痛苦	痛苦	tong4-ku3	painful-bitter	painful	H_G	0.62962963	4.074074074	3	0.444444444	1.296296296	Visual	0.384309656	1129	PAINFUL
Chen-2019-61-39	39	硬繃繃	硬绷绷	ying4-beng-beng	hard-binding	hard	H_V	0.925925926	3.074074074	2.296296296	0.259259259	4.592592593	Haptic	0.388700832	1884	HARD
Chen-2019-61-40	40	粗壯	粗壮	cu1-zhuang4	rough-big	brawny	H_V	0.148148148	3.982142857	0.925925926	0.222222222	3.444444444	Visual	0.439527905		
Chen-2019-61-41	41	粗大	粗大	cu1-da4	rough-big	thick	H_V	0.37037037	3.296296296	0.666666667	0.074074074	3.666666667	Haptic	0.444948618	2151	COARSE
Chen-2019-61-42	42	細滑	细滑	xi4-hua2	thin-smooth	fine	V_H	3.407407407	2.666666667	1.851851852	0.962962963	4.555555556	Haptic	0.267215643	2157	FINE OR THIN
Chen-2019-61-43	43	細膩	细腻	xi4-ni4	thin-greasy	fine and smooth	V_G	3.333333333	3.259259259	3.481481481	1.555555556	3.62962963	Haptic	0.135921439		
Chen-2019-61-44	44	羸弱	羸弱	lei2-ruo4	thin-weak	frail	V_H	0.259259259	3.259259259	2.444444444	0.259259259	1.111111111	Visual	0.409085331		
Chen-2019-61-45	45	苦楚	苦楚	ku3-chu3	bitter-painful	suffering	G_H	1.740740741	2.740740741	2.222222222	0.851851852	0.407407407	Visual	0.293019576		
Chen-2019-61-46	46	苦澀	苦涩	ku3-se4	bitter-rough	bitter	G_H	4.518518519	1.111111111	1.962962963	2	0.296296296	Gustatory	0.426961975	887	BITTER
Chen-2019-61-47	47	蒼勁	苍劲	cang1-jin4	green-strong	vigorous	V_H	0.444444444	3.666666667	2.222222222	0.148148148	1.185185185	Visual	0.458931212		
Chen-2019-61-48	48	蒼涼	苍凉	cang1-liang2	green-cool	bleak	V_H	0.222222222	3.851851852	3.111111111	0.407407407	0.62962963	Visual	0.441436073		
Chen-2019-61-49	49	虛弱	虚弱	xu1-ruo4	empty-weak	weak	V_H	0.333333333	3.814814815	3.148148148	0.333333333	1.555555556	Visual	0.379028132	1601	WEAK
Chen-2019-61-50	50	豐潤	丰润	feng1-run4	full-moist	plump	V_H	2.148148148	3.666666667	1.37037037	0.851851852	3.333333333	Visual	0.247554826		
Chen-2019-61-51	51	軟綿綿	软绵绵	ruan3-mian2-mian2	soft-cotton	soft	H_V	2.37037037	3.296296296	2.407407407	0.592592593	4.777777778	Haptic	0.31129245	1856	SOFT
Chen-2019-61-52	52	輕微	轻微	qing1-wei1	light-slight	slight	H_V	2.703703704	2.148148148	3.074074074	2.592592593	2.037037037	Auditory	0.082595212		
Chen-2019-61-53	53	輕盈	轻盈	qing1-ying2	light-full	lightsome	H_V	0.888888889	3.740740741	2.333333333	0.814814815	2.555555556	Visual	0.283151382		
Chen-2019-61-54	54	輕飄飄	轻飘飘	qing1-piao1-piao1	light-fluttering	buoyant	H_V	0.814814815	3.148148148	2.259259259	0.37037037	2.740740741	Visual	0.297615859		
Chen-2019-61-55	55	輕鬆	轻松	qing1-song1	light-shaggy	relaxing	H_V	0.777777778	3	2.666666667	0.518518519	1.222222222	Visual	0.303163717		
Chen-2019-61-56	56	酸澀	酸涩	suan1-se4	sour-rough	acerbic	G_H	4.777777778	1.481481481	1.185185185	2.407407407	0.259259259	Gustatory	0.446882027		
Chen-2019-61-57	57	醇厚	醇厚	chun2-hou4	of intense taste of wine-thick	mellow	G_V	4.111111111	1.777777778	2.333333333	2.62962963	0.62962963	Gustatory	0.303223165		
Chen-2019-61-58	58	醇淨	醇净	chun2-jing4	of intense taste of wine-clean	pure	G_V	3.37037037	2.074074074	2	2.555555556	0.481481481	Gustatory	0.275615745	1147	PURE
Chen-2019-61-59	59	青澀	青涩	qing1-se4	green-rough	astringent	V_H	3.481481481	3.222222222	1.703703704	1.037037037	0.444444444	Gustatory	0.307112999	3837	ASTRINGENT
Chen-2019-61-60	60	鬆軟	松软	song1-ruan3	shaggy-soft	floppy	V_H	2.703703704	3.444444444	1.444444444	0.666666667	4.296296296	Haptic	0.289083243		
Chen-2019-61-61	61	鮮潤	鲜润	xian1-run4	tasty-moist	fresh	G_H	3.62962963	2.333333333	0.925925926	1.740740741	1.333333333	Gustatory	0.271372741	243	FRESH
