ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Total
Chan-2019-128-1	1	1	1493	ONE	6608
Chan-2019-128-2	2	2	1498	TWO	6163
Chan-2019-128-3	3	3	492	THREE	6039
Chan-2019-128-4	4	4	1500	FOUR	5893
Chan-2019-128-5	5	5	493	FIVE	5783
Chan-2019-128-6	6	6	1703	SIX	5581
Chan-2019-128-7	7	7	1704	SEVEN	5535
Chan-2019-128-8	8	8	1705	EIGHT	5486
Chan-2019-128-9	9	9	1483	NINE	5474
Chan-2019-128-10	10	10	1515	TEN	5613
Chan-2019-128-11	11	11	1706	ELEVEN	4924
Chan-2019-128-12	12	12	1707	TWELVE	4780
Chan-2019-128-13	13	13	1708	THIRTEEN	4698
Chan-2019-128-14	14	14	2451	FOURTEEN	4660
Chan-2019-128-15	15	15	1709	FIFTEEN	4736
Chan-2019-128-16	16	16	2454	SIXTEEN	4634
Chan-2019-128-17	17	17	2453	SEVENTEEN	4620
Chan-2019-128-18	18	18	1713	EIGHTEEN	4603
Chan-2019-128-19	19	19	1714	NINETEEN	4634
Chan-2019-128-20	20	20	1710	TWENTY	5101
Chan-2019-128-21	21	21	1734	TWENTY ONE	4377
Chan-2019-128-22	22	22	3166	TWENTY TWO	4208
Chan-2019-128-23	23	23	3165	TWENTY THREE	4061
Chan-2019-128-24	24	24	1736	TWENTY FOUR	4095
Chan-2019-128-25	25	25	1738	TWENTY FIVE	4100
Chan-2019-128-26	26	26	3476	TWENTY SIX	4036
Chan-2019-128-27	27	27	3477	TWENTY SEVEN	4056
Chan-2019-128-28	28	28	3478	TWENTY EIGHT	4040
Chan-2019-128-29	29	29	3479	TWENTY NINE	4039
Chan-2019-128-30	30	30	1715	THIRTY	4522
Chan-2019-128-31	31	31	3480	THIRTY ONE	9
Chan-2019-128-32	32	32	3481	THIRTY TWO	8
Chan-2019-128-33	33	33	3482	THIRTY THREE	7
Chan-2019-128-34	34	34	3483	THIRTY FOUR	3
Chan-2019-128-35	35	35	3484	THIRTY FIVE	4
Chan-2019-128-36	36	36	3485	THIRTY SIX	9
Chan-2019-128-37	37	37	3486	THIRTY SEVEN	2
Chan-2019-128-38	38	38	3487	THIRTY EIGHT	1
Chan-2019-128-39	39	39	3488	THIRTY NINE	3
Chan-2019-128-40	40	40	1716	FORTY	4507
Chan-2019-128-41	41	43	3489	FORTY THREE	4
Chan-2019-128-42	42	44	3490	FORTY FOUR	1
Chan-2019-128-43	43	45	3491	FORTY FIVE	1
Chan-2019-128-44	44	46	3558	FORTY SIX	1
Chan-2019-128-45	45	48	3492	FORTY EIGHT	1
Chan-2019-128-46	46	49	3560	FORTY NINE	2
Chan-2019-128-47	47	50	1717	FIFTY	4373
Chan-2019-128-48	48	52	3562	FIFTY TWO	1
Chan-2019-128-49	49	53	3493	FIFTY THREE	2
Chan-2019-128-50	50	55	3494	FIFTY FIVE	1
Chan-2019-128-51	51	60	1718	SIXTY	4373
Chan-2019-128-52	52	62	3569	SIXTY TWO	1
Chan-2019-128-53	53	63	3495	SIXTY THREE	1
Chan-2019-128-54	54	65	3571	SIXTY FIVE	1
Chan-2019-128-55	55	66	3572	SIXTY SIX	1
Chan-2019-128-56	56	70	1721	SEVENTY	4335
Chan-2019-128-57	57	72	3496	SEVENTY TWO	1
Chan-2019-128-58	58	73	3497	SEVENTY THREE	1
Chan-2019-128-59	59	75	3578	SEVENTY FIVE	1
Chan-2019-128-60	60	77	3580	SEVENTY SEVEN	1
Chan-2019-128-61	61	79	3582	SEVENTY NINE	1
Chan-2019-128-62	62	80	1722	EIGHTY	4374
Chan-2019-128-63	63	83	3498	EIGHTY THREE	1
Chan-2019-128-64	64	87	3588	EIGHTY SEVEN	1
Chan-2019-128-65	65	88	3589	EIGHTY EIGHT	1
Chan-2019-128-66	66	89	3590	EIGHTY NINE	1
Chan-2019-128-67	67	90	1724	NINETY	4329
Chan-2019-128-68	68	91	3499	NINETY ONE	2
Chan-2019-128-69	69	96	3500	NINETY SIX	1
Chan-2019-128-70	70	98	3596	NINETY EIGHT	1
Chan-2019-128-71	71	99	3501	NINETY NINE	6
Chan-2019-128-72	72	100	1634	HUNDRED	5083
Chan-2019-128-73	73	101	3502	ONE HUNDRED AND ONE	1
Chan-2019-128-74	74	102	3770	ONE HUNDRED AND TWO	3
Chan-2019-128-75	75	103	3783	ONE HUNDRED AND THREE	3
Chan-2019-128-76	76	108	3784	ONE HUNDRED AND EIGHT	1
Chan-2019-128-77	77	110	3503	ONE HUNDRED AND TEN	3
Chan-2019-128-78	78	111	3771	ONE HUNDRED AND ELEVEN	1
Chan-2019-128-79	79	120	3504	ONE HUNDRED AND TWENTY	14
Chan-2019-128-80	80	123	3164	ONE HUNDRED AND TWENTY THREE	1
Chan-2019-128-81	81	133	3505	ONE HUNDRED AND THIRTY THREE	1
Chan-2019-128-82	82	140	3506	ONE HUNDRED AND FORTY	1
Chan-2019-128-83	83	144	3507	ONE HUNDRED AND FORTY FOUR	2
Chan-2019-128-84	84	150	3508	ONE HUNDRED AND FIFTY	1
Chan-2019-128-85	85	160	3509	ONE HUNDRED AND SIXTY	2
Chan-2019-128-86	86	180	3510	ONE HUNDRED AND EIGHTY	1
Chan-2019-128-87	87	200	2676	TWO HUNDRED	4185
Chan-2019-128-88	88	201	3511	TWO HUNDRED AND ONE	1
Chan-2019-128-89	89	202	3785	TWO HUNDRED AND TWO	1
Chan-2019-128-90	90	210	3772	TWO HUNDRED AND TEN	1
Chan-2019-128-91	91	216	3512	TWO HUNDRED AND SIXTEEN	4
Chan-2019-128-92	92	231	3786	TWO HUNDRED AND THIRTY ONE	1
Chan-2019-128-93	93	240	3787	TWO HUNDRED AND FORTY	1
Chan-2019-128-94	94	250	3788	TWO HUNDRED AND FIFTY	1
Chan-2019-128-95	95	300	3513	THREE HUNDRED	18
Chan-2019-128-96	96	304	3789	THREE HUNDRED AND FOUR	1
Chan-2019-128-97	97	399	3514	THREE HUNDRED AND NINETY NINE	1
Chan-2019-128-98	98	400	3515	FOUR HUNDRED	195
Chan-2019-128-99	99	500	3516	FIVE HUNDRED	15
Chan-2019-128-100	100	600	3517	SIX HUNDRED	4
Chan-2019-128-101	101	700	3518	SEVEN HUNDRED	12
Chan-2019-128-102	102	800	3519	EIGHT HUNDRED	52
Chan-2019-128-103	103	900	3520	NINE HUNDRED	6
Chan-2019-128-104	104	999	3521	NINE HUNDRED AND NINETY NINE	1
Chan-2019-128-105	105	1000	1843	THOUSAND	4304
Chan-2019-128-106	106	1001	3773	ONE THOUSAND AND ONE	3
Chan-2019-128-107	107	1002	3774	ONE THOUSAND AND TWO	1
Chan-2019-128-108	108	1027	3790	ONE THOUSAND AND TWENTY SEVEN	1
Chan-2019-128-109	109	1060	3775	ONE THOUSAND AND SIXTY	1
Chan-2019-128-110	110	1200	3791	ONE THOUSAND TWO HUNDRED	1
Chan-2019-128-111	111	1221	3522	ONE THOUSAND TWO HUNDRED AND TWENTY ONE	1
Chan-2019-128-112	112	1296	3523	ONE THOUSAND TWO HUNDRED AND NINETY SIX	3
Chan-2019-128-113	113	2000	3524	TWO THOUSAND	3651
Chan-2019-128-114	114	2002	3776	TWO THOUSAND AND TWO	1
Chan-2019-128-115	115	3000	3525	THREE THOUSAND	7
