ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
Bulakh-2013-870-37	ebbaa081-ddf9-4f40-9878-b360cbfb341e	BEECH	37	173	http://semshifts.iling-ran.ru/show-meaning.html?id=173	beech	5	880926
Bulakh-2013-870-38	aea1f1bd-3027-4c77-8b97-473bc05e1dbd	BEFORE	38	177	http://semshifts.iling-ran.ru/show-meaning.html?id=177	before	3	8159
Bulakh-2013-870-39	1e6aaa32-ca85-4749-af8d-0722ff894977	BEGINNING	39	178	http://semshifts.iling-ran.ru/show-meaning.html?id=178	beginning	6	6405
Bulakh-2013-870-40	5bae4b5f-f467-4a4b-816d-f8450bc7da3b	BEHIND	40	180	http://semshifts.iling-ran.ru/show-meaning.html?id=180	behind	8	6945
Bulakh-2013-870-41	3105c3dd-fd8d-4a5c-b038-e89a1e39ab01	BELLY	41	183	http://semshifts.iling-ran.ru/show-meaning.html?id=183	belly	16	5516
Bulakh-2013-870-42	6c483563-cb5f-41bd-a153-6adf826defb7	BERRY	42	188	http://semshifts.iling-ran.ru/show-meaning.html?id=188	berry	4	384870
Bulakh-2013-870-43	366935cc-961d-4bac-a50b-578041591387	BIG	43	191	http://semshifts.iling-ran.ru/show-meaning.html?id=191	big	22	5437
Bulakh-2013-870-44	14566fd9-f12f-4fdc-86fe-fa46efadb64f	BILE	44	192	http://semshifts.iling-ran.ru/show-meaning.html?id=192	bile, gall	6	723561
Bulakh-2013-870-45	3b72bf05-7ad3-427a-8225-fc157973f136	BIRCH	45	193	http://semshifts.iling-ran.ru/show-meaning.html?id=193	birch	3	7898
Bulakh-2013-870-46	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	46	195	http://semshifts.iling-ran.ru/show-meaning.html?id=195	bird	5	400
Bulakh-2013-870-47	7c27e3a2-5b87-40b2-8f4f-dd95bafa4a6e	BIRTHMARK	47	199	http://semshifts.iling-ran.ru/show-meaning.html?id=199	birthmark	3	708846
Bulakh-2013-870-48	7480e5bd-eec5-4b4d-9015-ee1b204db7e8	BITTER	48	201	http://semshifts.iling-ran.ru/show-meaning.html?id=201	bitter	14	375671
Bulakh-2013-870-49	17b3cf38-43a2-4b7d-8c03-32ce0da15608	BLACK	49	204	http://semshifts.iling-ran.ru/show-meaning.html?id=204	black	19	1341728
Bulakh-2013-870-50	NAN		50	205	http://semshifts.iling-ran.ru/show-meaning.html?id=205	black cloud	6	NAN
Bulakh-2013-870-51	7c169a8a-183d-42e0-a2b5-b8d91e771f90	BLADE	51	211	http://semshifts.iling-ran.ru/show-meaning.html?id=211	blade	6	370359
Bulakh-2013-870-52	6209a52a-5df1-404a-a553-78b18fc9df73	BLIND	52	213	http://semshifts.iling-ran.ru/show-meaning.html?id=213	blind	5	6807
Bulakh-2013-870-53	74c3ae87-eedb-4fb4-b783-7ec6084c0a8f	BLOOD	53	214	http://semshifts.iling-ran.ru/show-meaning.html?id=214	blood	6	411
Bulakh-2013-870-54	342ff68f-89d0-4283-a2c8-654ede8da379	BLOOD VESSEL	54	215	http://semshifts.iling-ran.ru/show-meaning.html?id=215	blood vessel	3	1580827
Bulakh-2013-870-55	8be081ad-c9ed-4e3d-8519-3526cf65ffb0	BLUE	55	216	http://semshifts.iling-ran.ru/show-meaning.html?id=216	blue	6	357132
Bulakh-2013-870-56	4ec88006-54b6-41a6-8921-a45aa9909592	BLUNT	56	217	http://semshifts.iling-ran.ru/show-meaning.html?id=217	blunt	5	1511061
Bulakh-2013-870-57	1b68b905-29cb-4502-aa0a-175e51a87682	BOARD	57	218	http://semshifts.iling-ran.ru/show-meaning.html?id=218	board, plank	3	5479
Bulakh-2013-870-58	2f00f1cd-ed1a-4e10-9814-701055082c54	BODY	58	219	http://semshifts.iling-ran.ru/show-meaning.html?id=219	body	4	6179
Bulakh-2013-870-59	NAN		59	220	http://semshifts.iling-ran.ru/show-meaning.html?id=220	body part	3	NAN
Bulakh-2013-870-60	9abfe272-db7c-4873-9275-76a75a9cdabf	INSOLENT	60	221	http://semshifts.iling-ran.ru/show-meaning.html?id=221	bold, insolent	9	1164655
Bulakh-2013-870-61	f1890d9d-8600-47a2-b9fd-1c48f9ce96df	BONE	61	222	http://semshifts.iling-ran.ru/show-meaning.html?id=222	bone	7	5983
Bulakh-2013-870-62	e16e99b0-101b-450b-beca-e4d9ddd44461	BORING	62	226	http://semshifts.iling-ran.ru/show-meaning.html?id=226	boring	3	385276
Bulakh-2013-870-63	17530a6c-d946-4255-bc67-b3a911ccd474	BOTTOM	63	228	http://semshifts.iling-ran.ru/show-meaning.html?id=228	bottom	4	334481
Bulakh-2013-870-64	1367e3fe-733a-475d-b82d-a4ffc900b6ac	BOW	64	230	http://semshifts.iling-ran.ru/show-meaning.html?id=230	bow (weapon)	5	427040
Bulakh-2013-870-65	1367e3fe-733a-475d-b82d-a4ffc900b6ac	BOW	65	233	http://semshifts.iling-ran.ru/show-meaning.html?id=233	bow-string	3	427040
	4f77721c-f6c8-4fdf-9d1a-42098b1516b3	STRING	65	233	http://semshifts.iling-ran.ru/show-meaning.html?id=233	bow-string	3	1510977
Bulakh-2013-870-66	f801090a-68f6-4b14-b029-fab857403dda	INTESTINES	66	232	http://semshifts.iling-ran.ru/show-meaning.html?id=232	bowels, intestine	7	950344
Bulakh-2013-870-67	a7f561b2-c0d2-448e-a05b-27759461f513	BOX	67	234	http://semshifts.iling-ran.ru/show-meaning.html?id=234	box, container	3	6133
Bulakh-2013-870-68	ccfe295e-0012-42f3-b7db-49973555bada	BOY	68	235	http://semshifts.iling-ran.ru/show-meaning.html?id=235	boy	4	5905
Bulakh-2013-870-69	4bbe1734-aed0-4426-a264-8e9bd42741a7	BRAIN	69	236	http://semshifts.iling-ran.ru/show-meaning.html?id=236	brain (cerebrum)	5	6504
Bulakh-2013-870-70	cacdb05f-cb9c-4f94-8e35-0ebb4fe03107	BRANCH, BIFURCATION	70	238	http://semshifts.iling-ran.ru/show-meaning.html?id=238	branch (of a river)	6	353982
