ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Wu-2020-150-1	1	one	1493	ONE	1
Wu-2020-150-2	2	water	948	WATER	2
Wu-2020-150-3	3	two	1498	TWO	3
Wu-2020-150-4	4	dog	2009	DOG	4
Wu-2020-150-5	5	fish	227	FISH	5
Wu-2020-150-6	6	tongue	1205	TONGUE	6
Wu-2020-150-7	7	eye	1248	EYE	7
Wu-2020-150-8	8	ear	1247	EAR	8
Wu-2020-150-9	9	fire	221	FIRE	9
Wu-2020-150-10	10	blood	946	BLOOD	10
Wu-2020-150-11	11	stone	857	STONE	11
Wu-2020-150-12	12	see	1409	SEE	12
Wu-2020-150-13	13	bone	1394	BONE	13
Wu-2020-150-14	14	skin	763	SKIN	14
Wu-2020-150-15	15	name	1405	NAME	15
Wu-2020-150-16	16	tooth	1380	TOOTH	16
Wu-2020-150-17	17	nose	1221	NOSE	17
Wu-2020-150-18	18	star	1430	STAR	18
Wu-2020-150-19	19	die	1494	DIE	19
Wu-2020-150-20	20	come	1446	COME	20
Wu-2020-150-21	21	head	1256	HEAD	21
Wu-2020-150-22	22	hear	1408	HEAR	22
Wu-2020-150-23	23	woman	962	WOMAN	23
Wu-2020-150-24	24	path	2252	PATH	24
Wu-2020-150-25	25	mouth	674	MOUTH	25
Wu-2020-150-26	26	breast	1402	BREAST	26
Wu-2020-150-27	27	night	1233	NIGHT	27
Wu-2020-150-28	28	eat	1336	EAT	28
Wu-2020-150-29	29	you	1215	THOU	29
Wu-2020-150-30	30	moon	1313	MOON	30
Wu-2020-150-31	31	smoke	778	SMOKE (EXHAUST)	31
Wu-2020-150-32	32	hair	1040	HAIR	32
Wu-2020-150-33	33	bird	937	BIRD	33
Wu-2020-150-34	34	black	163	BLACK	34
Wu-2020-150-35	35	fly	1441	FLY (MOVE THROUGH AIR)	35
Wu-2020-150-36	36	sleep	1585	SLEEP	36
Wu-2020-150-37	37	man	1554	MAN	37
Wu-2020-150-38	38	egg	744	EGG	38
Wu-2020-150-39	39	new	1231	NEW	39
Wu-2020-150-40	40	three	492	THREE	40
Wu-2020-150-41	41	white	1335	WHITE	41
Wu-2020-150-42	42	I	1209	I	42
Wu-2020-150-43	43	liver	1224	LIVER	43
Wu-2020-150-44	44	hand	1277	HAND	44
Wu-2020-150-45	45	rain	2108	RAINING OR RAIN	45
Wu-2020-150-46	46	hide	2486	HIDE	46
Wu-2020-150-47	47	tail	1220	TAIL	47
Wu-2020-150-48	48	we	1212	WE	48
Wu-2020-150-49	49	drink	1401	DRINK	49
Wu-2020-150-50	50	louse	1392	LOUSE	50
Wu-2020-150-51	51	snake	730	SNAKE	51
Wu-2020-150-52	52	good	1035	GOOD	52
Wu-2020-150-53	53	say	1458	SAY	53
Wu-2020-150-54	54	small	1246	SMALL	54
Wu-2020-150-55	55	fat	323	FAT (ORGANIC SUBSTANCE)	55
Wu-2020-150-56	56	sun	1343	SUN	56
Wu-2020-150-57	57	tree	906	TREE	57
Wu-2020-150-58	58	cloud	1489	CLOUD	58
Wu-2020-150-59	59	meat	634	MEAT	59
Wu-2020-150-60	60	rock	668	ROCK	60
Wu-2020-150-61	61	neck	1333	NECK	61
Wu-2020-150-62	62	sand	671	SAND	62
Wu-2020-150-63	63	wind	960	WIND	63
Wu-2020-150-64	64	cold	1287	COLD	64
Wu-2020-150-65	65	leaf	628	LEAF	65
Wu-2020-150-66	66	dry	1398	DRY	66
Wu-2020-150-67	67	earth	1228	EARTH (SOIL)	67
Wu-2020-150-68	68	four	1500	FOUR	68
Wu-2020-150-69	69	person	683	PERSON	69
Wu-2020-150-70	70	go	695	GO	70
Wu-2020-150-71	71	kill	1417	KILL	71
Wu-2020-150-72	72	bite	1403	BITE	72
Wu-2020-150-73	73	that	78	THAT	73
Wu-2020-150-74	74	red	156	RED	74
Wu-2020-150-75	75	burn	2102	BURN	75
Wu-2020-150-76	76	mother	1216	MOTHER	76
Wu-2020-150-77	77	road	667	ROAD	77
Wu-2020-150-78	78	big	1202	BIG	78
Wu-2020-150-79	79	sit	1416	SIT	79
Wu-2020-150-80	80	father	1217	FATHER	80
Wu-2020-150-81	81	long	1203	LONG	81
Wu-2020-150-82	82	five	493	FIVE	82
Wu-2020-150-83	83	mountain	639	MOUNTAIN	83
Wu-2020-150-84	84	male	1553	MALE	84
Wu-2020-150-85	85	what	1236	WHAT	85
Wu-2020-150-86	86	knee	1371	KNEE	86
Wu-2020-150-87	87	leg	1297	LEG	87
Wu-2020-150-88	88	root	670	ROOT	88
Wu-2020-150-89	89	soil	1228	EARTH (SOIL)	89
Wu-2020-150-90	90	large	1202	BIG	90
Wu-2020-150-91	91	grind	1033	GRIND	91
Wu-2020-150-92	92	ashes	646	ASH	92
Wu-2020-150-93	93	fall	1280	FALL	93
Wu-2020-150-94	94	who	1235	WHO	94
Wu-2020-150-95	95	right	1019	RIGHT	95
Wu-2020-150-96	96	foot	1301	FOOT	96
Wu-2020-150-97	97	house	1252	HOUSE	97
Wu-2020-150-98	98	all	98	ALL	98
Wu-2020-150-99	99	heavy	1210	HEAVY	99
Wu-2020-150-100	100	back	1291	BACK	100
Wu-2020-150-101	101	stand	1442	STAND	101
Wu-2020-150-102	102	bad	1292	BAD	102
Wu-2020-150-103	103	little	1246	SMALL	103
Wu-2020-150-104	104	child	2099	CHILD	104
Wu-2020-150-105	105	hot	1286	HOT	105
Wu-2020-150-106	106	know	3626	KNOW	106
Wu-2020-150-107	107	ten	1515	TEN	107
Wu-2020-150-108	108	give	1447	GIVE	108
Wu-2020-150-109	109	short	1645	SHORT	109
Wu-2020-150-110	110	walk	1443	WALK	110
Wu-2020-150-111	111	dead	1625	DEAD	111
Wu-2020-150-112	112	female	1551	FEMALE	112
Wu-2020-150-113	113	heart	1223	HEART	113
Wu-2020-150-114	114	salt	1274	SALT	114
Wu-2020-150-115	115	old	1229	OLD	115
Wu-2020-150-116	116	hill	614	HILL	116
Wu-2020-150-117	117	belly	1251	BELLY	117
Wu-2020-150-118	118	sky	1732	SKY	118
