ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	IMAGE_AGREEMENT	IMAGEABILITY	AoA_DUTCH	CONCEPT_FAMILIARITY	LETTERS_NUMBER	SYLLABLE_NUMBER	NAMING_RT	OBJECTIVE_VC	SUBJECTIVE_VC	WF_LOG
Shao-2016-327-38	38	Puppy	74	PUPPY	Puppy	5,29	6,42	2,83	3,17	5	2	1171	87	3,86	0,75
Shao-2016-327-39	39	Sauna			Sauna	5,68	4,94	5,97	2,9	5	2	1147	98	5,17	0,33
Shao-2016-327-40	40	Saxophone	4024	SAXOPHONE	Saxofoon	5,71	6,06	5,33	2,7	8	3	1231	93	3,74	-0,01
Shao-2016-327-41	41	Cable car			Kabelbaan	4,19	5,3	5,2	2,47	9	3	1415	35	5,23	-0,64
Shao-2016-327-42	42	Ski lift			Skilift	5,61	5,48	5,6	2,47	7	1	1146	80	4,8	-0,64
Shao-2016-327-43	43	Venomous snake			Gifslang	4,39	4,91	5,27	2,58	8	2	1001	110	3,94	1,33
Shao-2016-327-44	44	Viper	2654	VIPER	Adder	4,84	4,3	5,4	2,58	5	2	855	95	4,71	1,33
Shao-2016-327-45	45	Baguette			Stokbrood	5,06	6,58	3,7	3,73	9	2	1120	97	3,77	-0,34
Shao-2016-327-46	46	Fax			Fax	4,23	4,03	6,2	4,83	3	1	1248	47	4,09	2,2
Shao-2016-327-47	47	Tennis ball	3103	TENNIS BALL	Tennisbal	6,65	6,58	3,8	3,07	9	3	883	126	1,89	-0,41
Shao-2016-327-48	48	Fig	322	FIG	Vijg	4,71	4,03	5,47	2,37	4	1	1648	18	3,09	-0,64
Shao-2016-327-49	49	Herring			Haring	5,19	5,36	5,07	3,76	6	2	1202	82	3,34	1,7
Shao-2016-327-50	50	Trout	795	TROUT	Forel	4,65	4,33	5,63	3,76	5	2	1163	89	2,94	1,7
Shao-2016-327-51	51	Fireworks			Vuurwerk	5,9	6,45	3,93	2,9	8	2	913	107	3,97	0,86
Shao-2016-327-52	52	Walrus	4007	WALRUS	Walrus	5,39	5,42	4,7	2,27	6	2	1281	114	4,26	0,01
Shao-2016-327-53	53	Globe	2588	GLOBE	Wereldbol	4,9	6,7	4,37	3,41	9	3	1172	48	4,49	-0,57
Shao-2016-327-54	54	Hourglass			Zandloper	5,52	6,21	5	2,48	9	3	1063	65	3,17	0,07
Shao-2016-327-55	55	Crosswalk			Zebrapad	6,29	6,39	4,17	4	8	3	930	91	2,29	-0,68
Shao-2016-327-56	56	Soap bubble			Zeepbel	6,26	6	3,43	2,82	7	2	1587	62	3,8	-0,16
Shao-2016-327-57	57	Pin	64	PIN	Pin	3,45	3,91	5,1	2,83	3	1	1219	55	2,26	-0,74
Shao-2016-327-58	58	Raccoon	828	RACCOON	Wasbeer	6,1	5,39	4,47	2,1	7	2	1429	105	3,86	0,2
Shao-2016-327-59	59	Diver			Duiker	6,13	5,58	4,77	2,47	6	2	1152	77	4,77	0,45
Shao-2016-327-60	60	Panda	3951	PANDA	Panda	6,39	6,58	3,37	2,41	5	2	1072	112	4,43	-0,02
Shao-2016-327-61	61	Cake	2408	CAKE	Taart	4,16	6,55	2	3,63	5	1	996	15	4,31	1,5
Shao-2016-327-62	62	Salmon	944	SALMON	Zalm	5,13	5,64	4,83	3,2	4	1	1049	86	2,97	0,72
Shao-2016-327-63	63	Cinnamon			Kaneel	4,06	4,79	4,83	3,5	6	2	1341	30	2,63	0,16
Shao-2016-327-64	64	Woodpecker	2447	WOODPECKER	Specht	5,77	5,06	5,47	2,6	6	1	1094	111	4,37	-0,3
Shao-2016-327-65	65	Beaver	1194	BEAVER	Bever	5,42	5,7	4,37	2,28	5	2	1277	93	3,86	0,47
Shao-2016-327-66	66	Puzzle			Puzzel	4,77	6,03	2,63	3,31	6	2	961	104	5,23	0,72
Shao-2016-327-67	67	Robot	4006	ROBOT	Robot	5,03	5,97	4,1	2,83	5	2	1039	55	3,37	1,09
Shao-2016-327-68	68	Fan	1971	FAN (OBJECT)	Waaier	5,84	5,27	5,3	2,53	6	2	1176	95	2,09	0,01
Shao-2016-327-69	69	Wool	964	WOOL	Wol	5,45	5,24	3,57	3,13	3	1	1202	91	5,03	0,57
Shao-2016-327-70	70	Walnut	2042	WALNUT	Walnoot	6,16	6,24	4,43	3,37	7	2	1155	55	1,89	-0,15
Shao-2016-327-71	71	Inkpot			Inktpot	5,97	5,73	4,83	3,33	7	2	1226	43	2,77	0,71
Shao-2016-327-72	72	Waffle			Wafel	5	6,3	3,8	3,23	5	2	1238	90	5,23	0,13
Shao-2016-327-73	73	Diamond	3878	DIAMOND	Diamant	6,19	6,21	4,67	2,62	7	2	1056	69	3,8	1,05
Shao-2016-327-74	74	Witch	824	WITCH	Heks	3,55	6	3	2,38	4	1	1372	28	3,03	1,43
Shao-2016-327-75	75	Crab	2348	CRAB	Krab	6,1	6,09	4,13	2,57	4	1	1001	89	3,2	0,59
Shao-2016-327-76	76	Salad	4041	SALAD	Salade	5,52	5,64	4,6	4,23	6	2	1186	111	4,77	1
Shao-2016-327-77	77	Cutlery			Bestek	5,48	6,03	3,23	4,66	6	2	1237	34	2,49	0,31
Shao-2016-327-78	78	Gift	2982	GIFT	Cadeau	5,45	5,79	2,73	4	6	2	970	94	2,46	1,47
Shao-2016-327-79	79	Compass	2606	COMPASS	Kompas	5,52	6,09	4,83	2,63	6	2	1164	50	3,51	0,66
Shao-2016-327-80	80	Leopard	1139	LEOPARD	Luipaard	5,58	5,48	4,77	2,53	8	2	1710	53	3,83	0,3
Shao-2016-327-81	81	Pot	1462	POT	Pot	2,03	5,3	2,57	3,1	3	1	1116	96	3,34	0,97
Shao-2016-327-82	82	Flowerpot			Bloempot	3,81	6,21	3,8	3,1	8	2	1352	76	4,4	1,49
Shao-2016-327-83	83	Hinge			Scharnier	5,03	5	5,7	2,77	9	2	1411	86	2,91	-0,57
Shao-2016-327-84	84	Eagle	1905	EAGLE	Adelaar	5,48	5,61	4,83	2,2	7	3	1330	60	3,63	0,31
Shao-2016-327-85	85	Gorilla	3144	GORILLA	Gorilla	6,45	6,24	4,03	2,53	7	3	1040	46	4	0,71
Shao-2016-327-86	86	Button	757	BUTTON	Knop	3,61	4,88	2,73	3,7	4	1	1429	47	2,83	1,22
Shao-2016-327-87	87	Forklift			Heftruck	5,61	4,97	5,73	2,38	8	2	1203	58	3,31	-0,57
Shao-2016-327-88	88	Heart	1223	HEART	Hart	4,52	6,3	2,67	4,17	4	1	935	67	1,86	2,29
Shao-2016-327-89	89	Padlock	336	PADLOCK	Hangslot	5,1	6,12	5,27	4,13	8	2	980	51	2,14	1,72
Shao-2016-327-90	90	Beet			Biet	5	5,12	4,5	2,67	4	1	1618	28	1,71	-0,12
Shao-2016-327-91	91	Calf	1989	CALF	Kalf	5,26	6,12	3,13	3	4	1	1336	115	3,83	0,49
Shao-2016-327-92	92	Coriander	3241	CORIANDER	Koriander	3,84	3,64	7,4	3,24	9	4	1590	70	3,31	-0,11
Shao-2016-327-93	93	Funnel	2602	FUNNEL	Trechter	5,29	5,79	5,17	2,73	8	2	1401	34	1,31	-0,28
Shao-2016-327-94	94	Cactus	2595	CACTUS	Cactus	4,87	6,3	4,43	2,47	6	2	1048	126	3,91	0,26
Shao-2016-327-95	95	Crocodile	1857	CROCODILE	Krokodil	5,94	6,55	3,27	2,57	8	3	971	86	3,97	0,69
Shao-2016-327-96	96	Mole	1907	MOLE	Mol	5,81	5,79	3,27	2,76	3	1	1100	116	3,6	0,88
Shao-2016-327-97	97	Bag	2468	BAG	Tas	4,16	6,12	2,07	4,73	3	1	1033	57	2,71	1,77
Shao-2016-327-98	98	School bag			Schooltas	3,71	5,88	4	4,73	9	2	1172	99	4,03	1,77
Shao-2016-327-99	99	Wolf	522	WOLF	Wolf	5,84	6,06	3,53	2,7	4	1	1057	134	4,77	1,31
Shao-2016-327-100	100	Moped			Brommer	4,87	6	4,67	2,95	7	2	1180	80	4,14	1,63
Shao-2016-327-101	101	Moped (again)			Bromfiets	4,45	5,61	5,23	2,95	9	2	1143	114	4,66	1,63
Shao-2016-327-102	102	Bird	937	BIRD	Vogel	4,74	6,15	1,83	2,57	5	2	1193	98	2,97	-0,26
Shao-2016-327-103	103	Sleigh	16	SLED	Slee	6,52	6,18	2,33	2,69	4	1	1003	132	4,11	0,62
Shao-2016-327-104	104	Star	1430	STAR	Ster	3,84	6,42	2,43	3,62	4	1	965	73	2,26	1,64
Shao-2016-327-105	105	Bride	1266	BRIDE	Bruid	5,52	5,88	4,47	1,73	5	1	1199	78	4,46	1,22
Shao-2016-327-106	106	Webcam			Webcam	4,48	6,06	6,87	3,87	6	2	1105	23	2,77	1,78
Shao-2016-327-107	107	Gold bar			Goudstaaf	6,39	6,33	5,33	2,97	9	2	1094	110	2,83	1,79
Shao-2016-327-108	108	Wheat	1077	WHEAT	Tarwe	6,35	4,55	5,13	3,4	5	1	1098	66	3,8	0,64
Shao-2016-327-109	109	Hare	1190	HARE	Haas	5,94	6,12	3	2,63	4	1	1014	136	3,6	0,34
Shao-2016-327-110	110	Camel	1871	CAMEL	Kameel	5,94	6,39	4,17	2,48	6	2	1222	70	4,14	0,43
Shao-2016-327-111	111	Climbing frame			Klimrek	5,23	5,76	3,5	2,7	7	2	1306	106	4,83	-0,37
Shao-2016-327-112	112	Money	1559	MONEY	Geld	6	5,94	2,63	4,73	4	1	921	86	3,86	2,9
Shao-2016-327-113	113	Calendar	1967	CALENDAR	Kalender	4,42	5,61	4,33	3,97	8	3	1090	85	4,54	0,53
Shao-2016-327-114	114	Suitcase	4005	SUITCASE	Koffer	3,84	6,48	3,37	3,93	6	2	1078	52	2,54	1,53
Shao-2016-327-115	115	Palm	1181	PALM TREE	Palm	6	5,36	5,24	2,78	4	1	1079	93	3,23	-0,16
Shao-2016-327-116	116	Perfume			Parfum	4,97	5,39	4,5	4,07	6	2	1160	49	2,57	1,04
Shao-2016-327-117	117	Fisherman	1858	FISHERMAN	Visser	5,52	5,3	3,8	2,48	6	2	1198	41	5,31	0,63
Shao-2016-327-118	118	Seal	651	SEAL	Zeehond	6	6,24	3,87	2,57	7	2	1236	102	3,83	-0,24
Shao-2016-327-119	119	Apple tree			Appelboom	5,74	5,85	3,43	2,59	9	3	1126	117	5,14	-0,37
Shao-2016-327-120	120	Shark	1110	SHARK	Haai	5,26	6,52	3	2,6	4	1	851	28	2,6	0,97
Shao-2016-327-121	121	Chain	1627	CHAIN	Ketting	3,03	5,97	2,9	3,79	7	2	1032	84	3,49	1,28
Shao-2016-327-122	122	Clover			Klaver	6,29	4,94	4,17	2,31	6	2	1177	98	3,89	-0,69
Shao-2016-327-123	123	Lobster	2397	LOBSTER	Kreeft	5,87	6,27	4,37	2,55	6	1	1071	46	2,49	0,74
Shao-2016-327-124	124	Hippopotamus	3145	HIPPOPOTAMUS	Nijlpaard	6,19	6,33	4,57	2,69	9	2	1217	108	4,09	0,22
Shao-2016-327-125	125	Acorn	968	ACORN	Eikel	5,68	5,64	3,63	3	5	2	1184	109	4	1,83
Shao-2016-327-126	126	Grass	606	GRASS	Gras	4,94	6,48	2,03	3,97	4	1	991	38	3,11	1,27
Shao-2016-327-127	127	Rooster	1511	ROOSTER	Haan	6,39	6,45	2,4	2,79	4	1	993	119	3,46	0,63
Shao-2016-327-128	128	Pitchfork	337	PITCHFORK	Hooivork	6,39	6,24	5,27	2,83	8	2	1194	92	4,29	0,18
Shao-2016-327-129	129	Deer	1936	DEER	Hert	6,16	6,33	3,07	2,92	4	1	1108	84	4,6	0,79
Shao-2016-327-130	130	Roe	3826	ROE DEER	Ree	5,29	5,48	4,53	3,34	3	1	1391	142	3,89	0,79
Shao-2016-327-131	131	Cookie			Koek	3,35	6,27	1,87	4,03	4	1	1177	75	2,49	0,51
Shao-2016-327-132	132	Meatball			Gehaktbal	3,35	6,33	3,93	4,03	9	3	1698	92	2,37	0,51
Shao-2016-327-133	133	Cross	1367	CROSS	Kruis	5,71	5,7	3,07	2,93	5	1	1071	48	3,86	1,32
Shao-2016-327-134	134	Leek			Prei	6,32	6,27	3,83	3,37	4	1	1193	73	2,57	-0,57
Shao-2016-327-135	135	Radish	2365	RADISH	Radijs	5,94	5,58	5,4	2,66	6	2	1217	71	2,77	-0,39
Shao-2016-327-136	136	Rocket	4070	ROCKET	Raket	5,97	6,06	4,03	2,5	5	2	1091	57	4,71	1,17
Shao-2016-327-137	137	Kite	307	HAWK	Vlieger	5,87	6,12	3,37	2,66	7	2	877	43	2,86	0,58
Shao-2016-327-138	138	Cradle	2946	CRADLE	Wieg	3,74	5,88	3	2,57	4	1	1213	52	4,83	0,61
Shao-2016-327-139	139	Conductor	43	LEAD (GUIDE)	Dirigent	4,94	5,36	5,93	2,6	8	3	1236	70	4,57	-0,06
Shao-2016-327-140	140	Duck	1360	DUCK	Eend	5,84	6,45	2,03	3,59	4	1	1071	141	3,51	0,95
Shao-2016-327-141	141	Deck chair			Ligstoel	5,16	5,52	4,8	2,63	8	2	1295	118	3,77	-0,68
Shao-2016-327-142	142	Mosquito	1509	MOSQUITO	Mug	5,84	5,94	3,03	3,83	3	1	1093	31	2,14	0,35
Shao-2016-327-143	143	Peacock	3382	PEACOCK	Pauw	6,48	6,12	3,57	2,73	4	1	890	172	5,83	-0,02
Shao-2016-327-144	144	Pinboard			Prikbord	6,35	6,18	4,53	2,77	8	2	1336	93	1,91	-0,21
Shao-2016-327-145	145	Foot	1301	FOOT	Voet	5,42	6,61	1,63	4,45	4	1	1083	48	3,8	1,71
Shao-2016-327-146	146	Ring	1374	RING	Ring	5,39	6,58	2,53	3,93	4	1	921	36	1,71	1,72
Shao-2016-327-147	147	Broom	245	BROOM	Bezem	4,55	6,58	3,43	3,34	5	2	1235	109	3,46	0,58
Shao-2016-327-148	148	Ham			Ham	3,9	5,67	2,5	3,38	3	1	1233	53	3,6	1,02
Shao-2016-327-149	149	Crow	913	CROW	Kraai	6,23	5,64	3,47	2,8	5	1	1167	129	3,14	0,42
Shao-2016-327-150	150	Ear	1247	EAR	Oor	6,19	6,52	1,57	4,5	3	1	888	65	2,51	1,4
Shao-2016-327-151	151	Apricot	3730	APRICOT	Abrikoos	5,87	5,61	4,7	3,37	8	3	1412	9	2,4	0,36
Shao-2016-327-152	152	Skeleton	2668	SKELETON	Geraamte	5,03	4,88	6,17	3	8	2	830	50	3,54	0,45
Shao-2016-327-153	153	Bubble	3689	BUBBLE	Bubbel	3,13	5,73	2,97	4,86	6	2	1309	38	3,74	2,39
Shao-2016-327-154	154	Downspout			Regenpijp	4,26	5,55	4,93	4,86	9	3	1297	43	3,29	2,39
Shao-2016-327-155	155	Chocolate	3873	CHOCOLATE	Chocolade	5,87	6,06	3,3	4,17	9	3	940	73	2,29	1,14
Shao-2016-327-156	156	Shrimp	2349	SHRIMP	Garnaal	5,84	5,97	5,07	2,97	7	2	1033	50	2	0,26
Shao-2016-327-157	157	Port	610	PORT	Haven	6,06	5,21	4,67	2,7	5	2	1316	97	6,26	1,23
Shao-2016-327-158	158	Jellyfish	4017	JELLYFISH	Kwal	5,32	6	3,9	2,57	4	1	1004	36	4,54	0,25
Shao-2016-327-159	159	Reed	659	REED	Riet	4,94	4,76	4,7	2,21	4	1	1256	107	3,89	-0,06
Shao-2016-327-160	160	Dolphin	1479	DOLPHIN	Dolfijn	6,42	6,61	3,07	2,6	7	2	913	96	2,94	0,28
Shao-2016-327-161	161	Goat	1502	GOAT	Geit	5,55	6,42	2,63	3,07	4	1	1025	86	4,69	0,91
