ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	IMAGE_AGREEMENT	IMAGEABILITY	AoA_DUTCH	CONCEPT_FAMILIARITY	LETTERS_NUMBER	SYLLABLE_NUMBER	NAMING_RT	OBJECTIVE_VC	SUBJECTIVE_VC	WF_LOG
Shao-2016-327-210	210	Donkey	1862	DONKEY	Ezel	6,03	6,33	2,9	2,79	4	2	1024	134	4,71	1,06
Shao-2016-327-211	211	Hunter	1053	HUNTER	Jager	5,1	4,76	4,1	2,6	5	2	1234	51	3,91	1,74
Shao-2016-327-212	212	Helmet	1680	HELMET	Helm	5,29	6,21	3,63	2,86	4	1	886	58	2,37	1,04
Shao-2016-327-213	213	Tap	1488	FAUCET	Kraan	2,71	6,21	2,77	2,72	5	1	1165	22	3,43	-0,53
Shao-2016-327-214	214	Dwarf			Dwerg	4,26	5,45	3,5	2,37	5	1	1110	43	2,6	0,25
Shao-2016-327-215	215	Church	1349	CHURCH	Kerk	5,29	6,64	2,87	3,17	4	1	1134	53	4,83	1,9
Shao-2016-327-216	216	Cherry	2765	CHERRY	Kers	5,87	6,67	3,37	3,31	4	1	1085	84	3,31	0,21
Shao-2016-327-217	217	Basket	1539	BASKET	Mand	5,06	5,79	3	3	4	1	1031	115	2,54	0,63
Shao-2016-327-218	218	Mint			Munt	3,58	6,03	3,27	4,2	4	1	1252	23	1,8	1,04
Shao-2016-327-219	219	Hat	771	HAT	Muts	5,97	6,24	2,7	3,7	4	1	881	85	1,91	0,65
Shao-2016-327-220	220	Passport			Paspoort	4,52	6,15	5,67	3,37	8	2	1146	63	4,29	1,27
Shao-2016-327-221	221	Sock	1522	SOCK	Sok	4,42	6,42	1,93	4,47	3	1	1046	50	2,03	0,49
Shao-2016-327-222	222	Owl	735	OWL	Uil	5,97	6,24	3,43	2,55	3	1	1027	98	4,06	0,5
Shao-2016-327-223	223	Flag	2623	FLAG	Vlag	4,42	6,12	3,23	3,1	4	1	1073	91	3,29	1,25
Shao-2016-327-224	224	Soccer ball			Voetbal	4,97	6,73	2,77	3,41	7	2	925	89	3,63	1,11
Shao-2016-327-225	225	Cage	3283	CAGE	Kooi	5,71	6,21	4,13	2,5	4	1	1104	61	3,46	-0,32
Shao-2016-327-226	226	Lion	1386	LION	Leeuw	6,13	6,55	2,63	2,91	5	1	925	106	4,03	1,17
Shao-2016-327-227	227	Banana	868	BANANA	Banaan	6,39	6,85	2,17	3,93	6	2	711	36	1,23	0,73
Shao-2016-327-228	228	Strawberry	3138	STRAWBERRY	Aardbei	6,58	6,73	2,6	3,86	7	2	785	81	2,06	0,19
Shao-2016-327-229	229	Bear	1820	BEAR	Beer	6,03	6,27	2,1	2,66	4	1	1096	77	4,69	1,41
Shao-2016-327-230	230	Bread	1368	BREAD	Brood	5,94	6,55	2,03	4,6	5	1	944	60	1,49	1,53
Shao-2016-327-231	231	Grape	920	GRAPE	Druif	4,9	6,45	2,9	3,59	5	1	1139	118	4,03	0,13
Shao-2016-327-232	232	Easter egg			Paasei	3,94	6,36	3,07	2,8	6	2	1390	50	2,66	-0,68
Shao-2016-327-233	233	Water pump			Waterpomp	5,26	4,7	5,67	3,07	9	3	1549	53	5,63	0,82
Shao-2016-327-234	234	Pony			Pony	6,13	6,21	2,83	2,86	4	2	1309	136	4,37	0,69
Shao-2016-327-235	235	Doll	1659	DOLL	Pop	3,68	5,91	1,63	2,8	3	1	1158	104	4,23	1,38
Shao-2016-327-236	236	Sunglasses	3100	SUNGLASSES	Zonnebril	4,71	6,64	3,57	3,41	9	3	967	28	2,03	0,69
Shao-2016-327-237	237	Seagull	950	SEAGULL	Meeuw	6,35	6,24	3,73	2,93	5	1	1229	91	3,11	-0,19
Shao-2016-327-238	238	Stairs	34	STAIRS	Trap	4,97	6,3	2,23	4,67	4	1	903	110	3,51	1,72
Shao-2016-327-239	239	Glasses	1898	SPECTACLES	Bril	5,52	6,7	2,67	3,77	4	1	878	36	1,2	1,39
Shao-2016-327-240	240	Clown	4020	CLOWN	Clown	4,87	6,58	2,6	2,6	5	1	922	91	4,34	1,07
Shao-2016-327-241	241	Goldfish			Goudvis	6,19	6,64	3,2	3,17	7	2	1021	95	3,94	0,27
Shao-2016-327-242	242	Polar bear	3143	POLAR BEAR	Ijsbeer	6,35	6,36	3,67	2,43	7	2	1079	91	3,49	0
Shao-2016-327-243	243	Clock	1323	CLOCK	Klok	4,9	6,42	2,63	4,53	4	1	1058	75	3,46	1,38
Shao-2016-327-244	244	Peppermint			Pepermunt	5,65	5,76	4,43	3,47	9	3	1200	34	3,06	-0,12
Shao-2016-327-245	245	Window	1375	WINDOW	Raam	3,74	6,36	2,07	4,6	4	1	1181	75	4,09	1,85
Shao-2016-327-246	246	Belt	772	BELT	Riem	5,87	6,15	3,03	3,67	4	1	874	47	2,26	1,15
