ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Auderset-2023-209-1	1	mother	madre	1216	MOTHER
Auderset-2023-209-2	2	mother!, mom!	mamá!		
Auderset-2023-209-3	3	father	padre	1217	FATHER
Auderset-2023-209-4	4	father!, dad!	papá!		
Auderset-2023-209-5	5	son/daughter, child	hijo/hija	1620	SON
Auderset-2023-209-6	6	son	hijo	1620	SON
Auderset-2023-209-7	7	daughter	hija	1357	DAUGHTER
Auderset-2023-209-8	8	cross-sex sibling	hermana/hermano de otro genero		
Auderset-2023-209-9	9	brother of man	hermano de hombre	1262	BROTHER
Auderset-2023-209-10	10	sister of woman	hermana de mujer	562	SISTER (OF WOMAN)
Auderset-2023-209-11	11	aunt	tía	1272	AUNT
Auderset-2023-209-12	12	uncle	tío	1327	UNCLE
Auderset-2023-209-13	13	man	hombre	1554	MAN
Auderset-2023-209-14	14	woman	mujer	962	WOMAN
Auderset-2023-209-15	15	owner, boss	dueño	2930	BOSS
Auderset-2023-209-16	16	priest	sacerdote	852	PRIEST
Auderset-2023-209-17	17	blood	sangre	946	BLOOD
Auderset-2023-209-18	18	bone	hueso	1394	BONE
Auderset-2023-209-19	19	hair	pelo	1040	HAIR
Auderset-2023-209-20	20	face	cara	1560	FACE
Auderset-2023-209-21	21	tongue	lengua	1205	TONGUE
Auderset-2023-209-22	22	tooth	diente	1380	TOOTH
Auderset-2023-209-23	23	mouth	boca	674	MOUTH
Auderset-2023-209-24	24	ear	oreja	1247	EAR
Auderset-2023-209-25	25	nose	nariz	1221	NOSE
Auderset-2023-209-26	26	neck	cuello	1333	NECK
Auderset-2023-209-27	27	hand	mano	1277	HAND
Auderset-2023-209-28	28	fingernail	uña	1258	FINGERNAIL
Auderset-2023-209-29	29	back	espalda	1291	BACK
Auderset-2023-209-30	30	stomach, belly	panza, barriga	2114	BELLY OR STOMACH
Auderset-2023-209-31	31	intestine, guts	tripa, tripas	1251	BELLY
Auderset-2023-209-32	32	foot	pie	1301	FOOT
Auderset-2023-209-33	33	disease, illness, sickness	enfermedad	1986	DISEASE
Auderset-2023-209-34	34	medicine, remedy	medicina	1372	MEDICINE
Auderset-2023-209-35	35	swelling	hinchazón	1903	SWELLING
Auderset-2023-209-36	36	pimple	grano	605	GRAIN
Auderset-2023-209-37	37	pus	pus, materia	1808	PUS
Auderset-2023-209-38	38	urine	orina	1142	URINE
Auderset-2023-209-39	39	cloth, clothes	tela, ropa	1616	CLOTH
Auderset-2023-209-40	40	sandal, sandals	huarache		
Auderset-2023-209-41	41	pants	pantalón	809	TROUSERS
Auderset-2023-209-42	42	blouse, woven blouse	huipil		
Auderset-2023-209-43	43	village, town	pueblo	930	VILLAGE
Auderset-2023-209-44	44	house	casa	1252	HOUSE
Auderset-2023-209-45	45	path, road, trail	camino	2252	PATH
Auderset-2023-209-46	46	post	horcón	281	POST
Auderset-2023-209-47	47	mat, sleeping mat, straw mat	petate	195	MAT
Auderset-2023-209-48	48	bed	cama, lecho	1663	BED
Auderset-2023-209-49	49	stool, chair	banquito, banco, silla		
Auderset-2023-209-50	50	animal	animal	619	ANIMAL
Auderset-2023-209-51	51	bird	pájaro	937	BIRD
Auderset-2023-209-52	52	fish	pez, pescado	227	FISH
Auderset-2023-209-53	53	snake	culebra, serpiente	730	SNAKE
Auderset-2023-209-54	54	frog	rana	503	FROG
Auderset-2023-209-55	55	hawk	gavilán	1865	BUZZARD
Auderset-2023-209-56	56	scorpion	alacrán	1538	SCORPION
Auderset-2023-209-57	57	cockroach	cucaracha	1575	COCKROACH
Auderset-2023-209-58	58	grasshopper	chapulín	607	GRASSHOPPER
Auderset-2023-209-59	59	bee	abeja	665	BEE
Auderset-2023-209-60	60	mouse, rat	ratón, rata	2139	MUROID (MOUSE OR RAT)
Auderset-2023-209-61	61	deer	venado	1936	DEER
Auderset-2023-209-62	62	squirrel	ardilla	1628	SQUIRREL
Auderset-2023-209-63	63	skunk	zorrillo		
Auderset-2023-209-64	64	(o)possum	tlacuache	470	POSSUM
Auderset-2023-209-65	65	raccoon	mapache	828	RACCOON
Auderset-2023-209-66	66	rabbit	conejo	1136	RABBIT
Auderset-2023-209-67	67	vulture	zopilote	1185	VULTURE
Auderset-2023-209-68	68	dog	perro	2009	DOG
Auderset-2023-209-69	69	cat	gato	1208	CAT
Auderset-2023-209-70	70	rooster	gallo	1511	ROOSTER
Auderset-2023-209-71	71	hen, chicken	gallina, pollo		
Auderset-2023-209-72	72	pig	marrano, puerco, cerdo	1337	PIG
Auderset-2023-209-73	73	horse	caballo	615	HORSE
Auderset-2023-209-74	74	sheep	borrego, oveja	1331	SHEEP
Auderset-2023-209-75	75	ant	hormiga	587	ANT
Auderset-2023-209-76	76	horn (anatomy)	cuerno	1393	HORN (ANATOMY)
Auderset-2023-209-77	77	feather	pluma	1201	FEATHER
Auderset-2023-209-78	78	wing	ala	1257	WING
Auderset-2023-209-79	79	tail	cola	1220	TAIL
Auderset-2023-209-80	80	tree	árbol, palo	906	TREE
Auderset-2023-209-81	81	herb	hierba		
Auderset-2023-209-82	82	grass	zacate, pasto	606	GRASS
Auderset-2023-209-83	83	flower	flor	239	FLOWER
Auderset-2023-209-84	84	maguey, century plant	maguey		
Auderset-2023-209-85	85	root	raíz	670	ROOT
Auderset-2023-209-86	86	thorn	espina	124	THORN
Auderset-2023-209-87	87	grain of corn	maíz en grano		
Auderset-2023-209-88	88	cornfield	milpa	449	CORN FIELD
Auderset-2023-209-89	89	fresh ear of corn	elote		
Auderset-2023-209-90	90	nixtamal	nixtamal		
Auderset-2023-209-91	91	cornmeal, corn dough	masa	273	DOUGH
Auderset-2023-209-92	92	tortilla	tortilla		
Auderset-2023-209-93	93	cleared field, cornstalk	rastrojo		
Auderset-2023-209-94	94	furrow, planting row	surco	1794	FURROW
Auderset-2023-209-95	95	tassel, maize spike	espiga		
Auderset-2023-209-96	96	bean	frijol(es)	832	BEAN
Auderset-2023-209-97	97	green bean	ejote		
Auderset-2023-209-98	98	chili pepper	chile	919	CHILI PEPPER
Auderset-2023-209-99	99	salt	sal	1274	SALT
Auderset-2023-209-100	100	squash	calabaza	411	GOURD
Auderset-2023-209-101	101	chayote squash	chayote		
Auderset-2023-209-102	102	sugar cane	caña	146	SUGAR CANE
Auderset-2023-209-103	103	honey	miel	942	HONEY
Auderset-2023-209-104	104	fat, lard, grease	grasa, manteca	323	FAT (ORGANIC SUBSTANCE)
Auderset-2023-209-105	105	egg	blanquillo, huevo	744	EGG
Auderset-2023-209-106	106	tomato	tomate	986	TOMATO
Auderset-2023-209-107	107	edible tuber	camote	159	SWEET POTATO
Auderset-2023-209-108	108	avocado	aguacate	3725	AVOCADO
Auderset-2023-209-109	109	banana	plátano	399	PLANTAIN
Auderset-2023-209-110	110	prickly pear cactus	nopal		
Auderset-2023-209-111	111	mamey	mamey, zapote		
Auderset-2023-209-112	112	custard apple	chirimoya		
Auderset-2023-209-113	113	mushroom	hongo	641	MUSHROOM
Auderset-2023-209-114	114	meat	carne	2615	FLESH OR MEAT
Auderset-2023-209-115	115	griddle	comal		
Auderset-2023-209-116	116	pot, cooking pot	olla	3653	COOKING POT
Auderset-2023-209-117	117	oven	horno	1143	OVEN
Auderset-2023-209-118	118	fire	lumbre, fuego	221	FIRE
Auderset-2023-209-119	119	ash	ceniza	646	ASH
Auderset-2023-209-120	120	charcoal	carbón	1188	CHARCOAL
Auderset-2023-209-121	121	smoke	humo	778	SMOKE (EXHAUST)
Auderset-2023-209-122	122	garbage, trash	basura	909	GARBAGE
Auderset-2023-209-123	123	plate	plato	480	PLATE
Auderset-2023-209-124	124	gourd, gourd bowl	jícara		
Auderset-2023-209-125	125	basket	canasta, tenate	1539	BASKET
Auderset-2023-209-126	126	box, chest, trunk	caja, cajón	3150	BOX OR CHEST
Auderset-2023-209-127	127	thread	hilo	1161	THREAD
Auderset-2023-209-128	128	comb	peine	1475	COMB
Auderset-2023-209-129	129	rope	mecate, cuerda	1218	ROPE
Auderset-2023-209-130	130	hole	agujero, hoyo	1667	HOLE
Auderset-2023-209-131	131	net	red	388	FISHNET
Auderset-2023-209-132	132	soap	jabón	788	SOAP
Auderset-2023-209-133	133	ring	anillo	1374	RING
Auderset-2023-209-134	134	moon	luna	1313	MOON
Auderset-2023-209-135	135	cloud	nube	1489	CLOUD
Auderset-2023-209-136	136	lightning	rayo, relámpago	1654	LIGHTNING
Auderset-2023-209-137	137	water	agua	948	WATER
Auderset-2023-209-138	138	rain (precipitation)	lluvia	658	RAIN (PRECIPITATION)
Auderset-2023-209-139	139	river	río	666	RIVER
Auderset-2023-209-140	140	dew	rocío	1977	DEW
Auderset-2023-209-141	141	mountain, hill	cerro	2118	MOUNTAIN OR HILL
Auderset-2023-209-142	142	plain, flatland, lowland	llanura, llano	652	PLAIN
Auderset-2023-209-143	143	stone, rock	piedra	857	STONE
Auderset-2023-209-144	144	cotton	algodón	1850	COTTON
Auderset-2023-209-145	145	metal	fierro	2244	METAL
Auderset-2023-209-146	146	paper	papel	648	PAPER
Auderset-2023-209-147	147	lime (material)	cal	2540	LIME (MATERIAL)
Auderset-2023-209-148	148	beeswax, wax	cera	3942	WAX
Auderset-2023-209-149	149	mud	lodo	640	MUD
Auderset-2023-209-150	150	foam	espuma	1768	FOAM
Auderset-2023-209-151	151	dust	polvo	2	DUST
Auderset-2023-209-152	152	red	rojo	156	RED
Auderset-2023-209-153	153	green	verde	1425	GREEN
Auderset-2023-209-154	154	yellow	amarillo	1424	YELLOW
Auderset-2023-209-155	155	black	negro	163	BLACK
Auderset-2023-209-156	156	white	blanco	1335	WHITE
Auderset-2023-209-157	157	one	uno	1493	ONE
Auderset-2023-209-158	158	two	dos	1498	TWO
Auderset-2023-209-159	159	three	tres	492	THREE
Auderset-2023-209-160	160	four	cuatro	1500	FOUR
Auderset-2023-209-161	161	five	cinco	493	FIVE
Auderset-2023-209-162	162	six	seis	1703	SIX
Auderset-2023-209-163	163	seven	siete	1704	SEVEN
Auderset-2023-209-164	164	eight	ocho	1705	EIGHT
