ID	NUMBER	NUMBER_IN_TABLE	ENGLISH	POS	SEMANTIC_GROUP	EXPERIMENT	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huttenlocher-1979-225-72	72	3	horse	noun	animals	2.A	148	615	HORSE
Huttenlocher-1979-225-73	73	4	sand	noun	earth	2.A	148	671	SAND
Huttenlocher-1979-225-74	74	5	mud	noun	earth	2.A	148	640	MUD
Huttenlocher-1979-225-75	75	6	dirt	noun	earth	2.A	148	25	DIRT
Huttenlocher-1979-225-76	76	7	arm	noun	body parts	2.A	148	1673	ARM
Huttenlocher-1979-225-77	77	8	leg	noun	body parts	2.A	148	1297	LEG
Huttenlocher-1979-225-78	78	9	neck	noun	body parts	2.A	148	1333	NECK
Huttenlocher-1979-225-79	79	10	car	noun	vehicles	2.A	148	1111	CAR
Huttenlocher-1979-225-80	80	11	bus	noun	vehicles	2.A	148	1070	BUS
Huttenlocher-1979-225-81	81	12	train	noun	vehicles	2.A	148	900	TRAIN
Huttenlocher-1979-225-82	82	13	room	noun	random A	2.A	148	1450	ROOM
Huttenlocher-1979-225-83	83	14	boy	noun	random A	2.A	148	1366	BOY
Huttenlocher-1979-225-84	84	15	hat	noun	random A	2.A	148	771	HAT
Huttenlocher-1979-225-85	85	16	box	noun	random B	2.A	148	1465	BOX
Huttenlocher-1979-225-86	86	17	song	noun	random B	2.A	148	1096	SONG
Huttenlocher-1979-225-87	87	18	rope	noun	random B	2.A	148	1218	ROPE
Huttenlocher-1979-225-88	88	19	wood	noun	random C	2.A	148	1803	WOOD
Huttenlocher-1979-225-89	89	20	game	noun	random C	2.A	148	2467	GAME
Huttenlocher-1979-225-90	90	21	corn	noun	random C	2.A	148	506	MAIZE
Huttenlocher-1979-225-91	91	22	tree	noun	random D	2.A	148	906	TREE
Huttenlocher-1979-225-92	92	23	snow	noun	random D	2.A	148	784	SNOW
Huttenlocher-1979-225-93	93	24	oil	noun	random D	2.A	148	1484	OIL (ORGANIC SUBSTANCE)
Huttenlocher-1979-225-94	94	1	hit	noun	beat	2.B	148	353	STRIKE
Huttenlocher-1979-225-95	95	2	kick	noun	beat	2.B	148	1135	KICK
Huttenlocher-1979-225-96	96	3	push	noun	beat	2.B	148	1452	PUSH
Huttenlocher-1979-225-97	97	4	sleep	noun	rest	2.B	148	1585	SLEEP
Huttenlocher-1979-225-98	98	5	rest	noun	rest	2.B	148	168	REST
Huttenlocher-1979-225-99	99	6	sit	noun	rest	2.B	148	1416	SIT
Huttenlocher-1979-225-100	100	7	run	noun	walk	2.B	148	1519	RUN
Huttenlocher-1979-225-101	101	8	walk	noun	walk	2.B	148	1443	WALK
Huttenlocher-1979-225-102	102	9	jump	noun	walk	2.B	148	1829	JUMP
Huttenlocher-1979-225-103	103	10	say	noun	say	2.B	148	1458	SAY
Huttenlocher-1979-225-104	104	11	talk	noun	say	2.B	148	2708	TALK
Huttenlocher-1979-225-105	105	12	call	noun	say	2.B	148	1084	CALL
Huttenlocher-1979-225-106	106	13	cut	noun	random A	2.B	148	1432	CUT
Huttenlocher-1979-225-107	107	14	move	noun	random A	2.B	148	765	MOVE
Huttenlocher-1979-225-108	108	15	look	noun	random A	2.B	148	1819	LOOK
Huttenlocher-1979-225-109	109	16	eat	noun	random B	2.B	148	1336	EAT
Huttenlocher-1979-225-110	110	17	cry	noun	random B	2.B	148	1839	CRY
Huttenlocher-1979-225-111	111	18	grow	noun	random B	2.B	148	479	GROW
Huttenlocher-1979-225-112	112	19	play	noun	random C	2.B	148	1413	PLAY
Huttenlocher-1979-225-113	113	20	read	noun	random C	2.B	148	724	READ
Huttenlocher-1979-225-114	114	21	fix	noun	random C	2.B	148	3074	FIX
Huttenlocher-1979-225-115	115	22	find	noun	random D	2.B	148	719	FIND
Huttenlocher-1979-225-116	116	23	need	noun	random D	2.B	148	2339	NEED (SOMETHING)
Huttenlocher-1979-225-117	117	24	give	noun	random D	2.B	148	1447	GIVE
Huttenlocher-1979-225-118	118	1	arm	noun	body parts	3.A	151	1673	ARM
Huttenlocher-1979-225-119	119	2	leg	noun	body parts	3.A	151	1297	LEG
Huttenlocher-1979-225-120	120	3	neck	noun	body parts	3.A	151	1333	NECK
Huttenlocher-1979-225-121	121	4	ball	noun	tools	3.A	151	1845	BALL
Huttenlocher-1979-225-122	122	5	block	noun	tools	3.A	151		
Huttenlocher-1979-225-123	123	6	doll	noun	tools	3.A	151	1659	DOLL
Huttenlocher-1979-225-124	124	7	pie	noun	food	3.A	151		
Huttenlocher-1979-225-125	125	8	bread	noun	food	3.A	151	1368	BREAD
Huttenlocher-1979-225-126	126	9	cake	noun	food	3.A	151	2408	CAKE
Huttenlocher-1979-225-127	127	10	pig	noun	animals	3.A	151	1337	PIG
Huttenlocher-1979-225-128	128	11	cow	noun	animals	3.A	151	1007	COW
Huttenlocher-1979-225-129	129	12	horse	noun	animals	3.A	151	615	HORSE
Huttenlocher-1979-225-130	130	13	drum	noun	music instruments	3.A	151	908	DRUM
Huttenlocher-1979-225-131	131	14	bell	noun	music instruments	3.A	151	2246	BELL
Huttenlocher-1979-225-132	132	15	horn	noun	music instruments	3.A	151	939	HORN (INSTRUMENT)
Huttenlocher-1979-225-133	133	16	shoe	noun	clothing	3.A	151	1381	SHOE
Huttenlocher-1979-225-134	134	17	boot	noun	clothing	3.A	151	585	BOOT
Huttenlocher-1979-225-135	135	18	sock	noun	clothing	3.A	151	1522	SOCK
Huttenlocher-1979-225-136	136	19	sand	noun	earth	3.A	151	671	SAND
Huttenlocher-1979-225-137	137	20	mud	noun	earth	3.A	151	640	MUD
Huttenlocher-1979-225-138	138	21	dirt	noun	earth	3.A	151	25	DIRT
Huttenlocher-1979-225-139	139	22	star	noun	celestial objects	3.A	151	1430	STAR
Huttenlocher-1979-225-140	140	23	sun	noun	celestial objects	3.A	151	1343	SUN
Huttenlocher-1979-225-141	141	24	moon	noun	celestial objects	3.A	151	1313	MOON
Huttenlocher-1979-225-142	142	25	car	noun	vehicles	3.A	151	1111	CAR
Huttenlocher-1979-225-143	143	26	bus	noun	vehicles	3.A	151	1070	BUS
Huttenlocher-1979-225-144	144	27	train	noun	vehicles	3.A	151	900	TRAIN
Huttenlocher-1979-225-145	145	28	room	noun	random A	3.A	151	1450	ROOM
Huttenlocher-1979-225-146	146	29	grape	noun	random A	3.A	151	920	GRAPE
Huttenlocher-1979-225-147	147	30	hat	noun	random A	3.A	151	771	HAT
Huttenlocher-1979-225-148	148	31	wood	noun	random B	3.A	151	1803	WOOD
Huttenlocher-1979-225-149	149	32	game	noun	random B	3.A	151	2467	GAME
Huttenlocher-1979-225-150	150	33	corn	noun	random B	3.A	151	506	MAIZE
Huttenlocher-1979-225-151	151	34	boy	noun	random C	3.A	151	1366	BOY
Huttenlocher-1979-225-152	152	35	glass	noun	random C	3.A	151	604	GLASS
Huttenlocher-1979-225-153	153	36	box	noun	random C	3.A	151	1465	BOX
Huttenlocher-1979-225-154	154	37	nail	noun	random D	3.A	151	502	NAIL (TOOL)
Huttenlocher-1979-225-155	155	38	milk	noun	random D	3.A	151	635	MILK
Huttenlocher-1979-225-156	156	39	door	noun	random D	3.A	151	1567	DOOR
Huttenlocher-1979-225-157	157	40	fire	noun	random E	3.A	151	221	FIRE
Huttenlocher-1979-225-158	158	41	dish	noun	random E	3.A	151	481	DISH
Huttenlocher-1979-225-159	159	42	hill	noun	random E	3.A	151	614	HILL
Huttenlocher-1979-225-160	160	43	soap	noun	random F	3.A	151	788	SOAP
Huttenlocher-1979-225-161	161	44	bead	noun	random F	3.A	151	1860	BEAD
Huttenlocher-1979-225-162	162	45	school	noun	random F	3.A	151	673	SCHOOL
Huttenlocher-1979-225-163	163	46	stove	noun	random G	3.A	151	859	STOVE
Huttenlocher-1979-225-164	164	47	rope	noun	random G	3.A	151	1218	ROPE
Huttenlocher-1979-225-165	165	48	song	noun	random G	3.A	151	1096	SONG
Huttenlocher-1979-225-166	166	49	tree	noun	random H	3.A	151	906	TREE
Huttenlocher-1979-225-167	167	50	fur	noun	random H	3.A	151	580	FUR
Huttenlocher-1979-225-168	168	51	oil	noun	random H	3.A	151	1484	OIL (ORGANIC SUBSTANCE)
Huttenlocher-1979-225-169	169	52	street	noun	random I	3.A	151	1362	STREET
Huttenlocher-1979-225-170	170	53	bag	noun	random I	3.A	151	2468	BAG
Huttenlocher-1979-225-171	171	54	chair	noun	random I	3.A	151	1476	CHAIR
Huttenlocher-1979-225-172	172	1	hit	verb	beat	3.B	151	353	STRIKE
Huttenlocher-1979-225-173	173	2	kick	verb	beat	3.B	151	1135	KICK
Huttenlocher-1979-225-174	174	3	push	verb	beat	3.B	151	1452	PUSH
Huttenlocher-1979-225-175	175	4	run	verb	walk	3.B	151	1519	RUN
Huttenlocher-1979-225-176	176	5	walk	verb	walk	3.B	151	1443	WALK
Huttenlocher-1979-225-177	177	6	jump	verb	walk	3.B	151	1829	JUMP
Huttenlocher-1979-225-178	178	7	draw	verb	paint	3.B	151	2001	PAINTING
Huttenlocher-1979-225-179	179	8	paint	verb	paint	3.B	151	3122	PAINT (SOMETHING)
Huttenlocher-1979-225-180	180	9	write	verb	paint	3.B	151	1672	WRITE
Huttenlocher-1979-225-181	181	10	say	verb	speak	3.B	151	1458	SAY
Huttenlocher-1979-225-182	182	11	talk	verb	speak	3.B	151	2708	TALK
Huttenlocher-1979-225-183	183	12	call	verb	speak	3.B	151	1084	CALL
Huttenlocher-1979-225-184	184	13	eat	verb	consume food	3.B	151	1336	EAT
Huttenlocher-1979-225-185	185	14	bite	verb	consume food	3.B	151	1403	BITE
Huttenlocher-1979-225-186	186	15	chew	verb	consume food	3.B	151	321	CHEW
Huttenlocher-1979-225-187	187	16	swim	verb	move on water	3.B	151	1439	SWIM
Huttenlocher-1979-225-188	188	17	dive	verb	move on water	3.B	151	119	DIVE
Huttenlocher-1979-225-189	189	18	float	verb	move on water	3.B	151	1574	FLOAT
Huttenlocher-1979-225-190	190	19	bring	verb	hold in arm	3.B	151	692	BRING
Huttenlocher-1979-225-191	191	20	take	verb	hold in arm	3.B	151	1749	TAKE
Huttenlocher-1979-225-192	192	21	carry	verb	hold in arm	3.B	151	700	CARRY
Huttenlocher-1979-225-193	193	22	sleep	verb	sleep	3.B	151	1585	SLEEP
Huttenlocher-1979-225-194	194	23	rest	verb	sleep	3.B	151	168	REST
Huttenlocher-1979-225-195	195	24	wait	verb	sleep	3.B	151	1590	WAIT (FOR)
Huttenlocher-1979-225-196	196	25	touch	verb	touch	3.B	151	1892	TOUCH
Huttenlocher-1979-225-197	197	26	feel	verb	touch	3.B	151	1079	FEEL
Huttenlocher-1979-225-198	198	27	pat	verb	touch	3.B	151		
Huttenlocher-1979-225-199	199	28	throw	verb	random A	3.B	151	1456	THROW
