ID	NUMBER	GLOSS	OMEGAWIKI
Dixon-1919-173-144	144	that (2)	1149393
Dixon-1919-173-145	145	that (3)	1149393
Dixon-1919-173-146	146	who	5490
Dixon-1919-173-147	147	what	5491
Dixon-1919-173-148	148	up (1)	6531
Dixon-1919-173-149	149	up (2)	6531
Dixon-1919-173-150	150	down	5797
Dixon-1919-173-151	151	tomorrow (1)	5808
Dixon-1919-173-152	152	tomorrow (2)	5808
Dixon-1919-173-153	153	one	6244
Dixon-1919-173-154	154	two (1)	6248
Dixon-1919-173-155	155	two (2)	6248
Dixon-1919-173-156	156	three	156096
Dixon-1919-173-157	157	five (1)	156104
Dixon-1919-173-158	158	five (2)	156104
Dixon-1919-173-159	159	eat (1)	5827
Dixon-1919-173-160	160	eat (2)	5827
Dixon-1919-173-161	161	drink	5991
Dixon-1919-173-162	162	dance (1)	8136
Dixon-1919-173-163	163	run	6323
Dixon-1919-173-164	164	dance (1)	8136
Dixon-1919-173-165	165	dance (2)	8136
Dixon-1919-173-166	166	sing	5540
Dixon-1919-173-167	167	sleep (1)	6519
Dixon-1919-173-168	168	sleep (2)	6519
Dixon-1919-173-169	169	see	6003
Dixon-1919-173-170	170	kill	6023
Dixon-1919-173-171	171	give	6059
Dixon-1919-173-172	172	laugh	5876
Dixon-1919-173-173	173	cry, mourn	7709
