ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Rowe-1954-232-1	1	lengua	tongue	1205	TONGUE
Rowe-1954-232-2	2	boca	mouth	674	MOUTH
Rowe-1954-232-3	3	labio	lip	478	LIP
Rowe-1954-232-4	4	diente	tooth	1380	TOOTH
Rowe-1954-232-5	5	nariz	nose	1221	NOSE
Rowe-1954-232-6	6	ojo	eye	1248	EYE
Rowe-1954-232-7	7	oreja	ear	1247	EAR
Rowe-1954-232-8	8	cabeza	head	1256	HEAD
Rowe-1954-232-9	9	frente	forehead	123	FOREHEAD
Rowe-1954-232-10	10	cabello, pelo	hair	2648	HAIR (HEAD)
Rowe-1954-232-11	11	mandíbula, barbilla	chin	1510	CHIN
Rowe-1954-232-12	12	barba	beard	678	BEARD
Rowe-1954-232-13	13	cuello	neck	1333	NECK
Rowe-1954-232-14	14	pecho	chest	1592	CHEST
Rowe-1954-232-15	15	teta	woman’s breast	1402	BREAST
Rowe-1954-232-16	16	vientre, barriga	abdomen	1251	BELLY
Rowe-1954-232-17	17	espalda	back	1291	BACK
Rowe-1954-232-18	18	hombro	shoulder	1482	SHOULDER
Rowe-1954-232-19	19	brazo	arm	1673	ARM
Rowe-1954-232-20	20	brazo superior	upper arm	431	UPPER ARM
Rowe-1954-232-21	21	codo	elbow	981	ELBOW
Rowe-1954-232-22	22	mano	hand	1277	HAND
Rowe-1954-232-23	23	dedo de la mano	finger	1303	FINGER
Rowe-1954-232-24	24	uña	fingernail	1258	FINGERNAIL
Rowe-1954-232-25	25	pierna	leg	1297	LEG
Rowe-1954-232-26	26	muslo	thigh	471	UPPER LEG (THIGH)
Rowe-1954-232-27	27	rodilla	knee	1371	KNEE
Rowe-1954-232-28	28	espinilla	shin	186	SHIN
Rowe-1954-232-29	29	pie	foot	1301	FOOT
Rowe-1954-232-30	30	dedo del pie	toe	1389	TOE
Rowe-1954-232-31	31	piel	skin	763	SKIN
Rowe-1954-232-32	32	hueso	bone	1394	BONE
Rowe-1954-232-33	33	sangre	blood	946	BLOOD
Rowe-1954-232-34	34	corazón	heart	1223	HEART
Rowe-1954-232-35	35	pulmones	lungs	688	LUNG
Rowe-1954-232-36	36	pene	penis	1222	PENIS
Rowe-1954-232-37	37	vulva	vulva	1837	VULVA
Rowe-1954-232-38	38	hombre	man	1554	MAN
Rowe-1954-232-39	39	varón, macho	man	2106	MALE PERSON
Rowe-1954-232-40	40	mujer	woman	962	WOMAN
Rowe-1954-232-41	41	gente	people	789	PEOPLE
Rowe-1954-232-42	42	marido	husband	1200	HUSBAND
Rowe-1954-232-43	43	esposa	wife	1199	WIFE
Rowe-1954-232-44	44	papá	father	1217	FATHER
Rowe-1954-232-45	45	mamá	mother	1216	MOTHER
Rowe-1954-232-46	46	criatura	baby; infant	1289	BABY
Rowe-1954-232-47	47	viejo	old man	406	OLD MAN
Rowe-1954-232-48	48	agua	water	948	WATER
Rowe-1954-232-49	49	río	river	666	RIVER
Rowe-1954-232-50	50	isla	island	622	ISLAND
Rowe-1954-232-51	51	lago	lake	624	LAKE
Rowe-1954-232-52	52	pantano	swamp	1145	SWAMP
Rowe-1954-232-53	53	fuente; ojo de agua, manantial	spring of water	849	SPRING (OF WATER)
Rowe-1954-232-54	54	caída de agua, catarata	waterfall	943	WATERFALL
Rowe-1954-232-55	55	rabión, raudal	rapids	1670	RAPIDS
Rowe-1954-232-56	56	candela, fuego	fire	221	FIRE
Rowe-1954-232-57	57	ceniza	ash	646	ASH
Rowe-1954-232-58	58	carbón	charcoal	1188	CHARCOAL
Rowe-1954-232-59	59	humo	smoke	778	SMOKE (EXHAUST)
Rowe-1954-232-60	60	leña	firewood	10	FIREWOOD
Rowe-1954-232-61	61	cielo	sky	1732	SKY
Rowe-1954-232-62	62	lluvia	rain	658	RAIN (PRECIPITATION)
Rowe-1954-232-63	63	viento	wind	960	WIND
Rowe-1954-232-64	64	sol	sun	1343	SUN
Rowe-1954-232-65	65	luna	moon	1313	MOON
Rowe-1954-232-66	66	estrella	star	1430	STAR
Rowe-1954-232-67	67	día	day	1225	DAY (NOT NIGHT)
Rowe-1954-232-68	68	noche	night	1233	NIGHT
Rowe-1954-232-69	69	trueno	thunder	1150	THUNDER
Rowe-1954-232-70	70	relámpago	lightning	1654	LIGHTNING
Rowe-1954-232-71	71	arco iris	rainbow	1733	RAINBOW
Rowe-1954-232-72	72	tierra	earth	1228	EARTH (SOIL)
Rowe-1954-232-73	73	piedra	stone	857	STONE
Rowe-1954-232-74	74	arena	sand	671	SAND
Rowe-1954-232-75	75	casa	house	1252	HOUSE
Rowe-1954-232-76	76	techo	roof	769	ROOF
Rowe-1954-232-77	77	puerta	doorway	1567	DOOR
Rowe-1954-232-78	78	banco	seat, stool	2058	STOOL
Rowe-1954-232-79	79	estera	mat	195	MAT
Rowe-1954-232-80	80	hamaca, chinchorro	hammock	2019	HAMMOCK
Rowe-1954-232-81	81	catre, cama de barbacoa	bed	1663	BED
Rowe-1954-232-82	82	olla, paila	cooking pot	3653	COOKING POT
Rowe-1954-232-83	83	roza, chacra, conuco	cultivated clearing	212	FIELD
Rowe-1954-232-84	84	caserío	village	930	VILLAGE
Rowe-1954-232-85	85	camino, sendero	path, trail	2457	PATH OR ROAD
Rowe-1954-232-86	86	red de pescar, chinchorro	fish net	388	FISHNET
Rowe-1954-232-87	87	anzuelo	fishhook	1074	FISHHOOK
Rowe-1954-232-88	88	hacha	axe	677	AXE
Rowe-1954-232-89	89	cuchillo	knife	1352	KNIFE
Rowe-1954-232-90	90	canoa, curiara	canoe	1970	CANOE
Rowe-1954-232-91	91	remo	paddle	3137	OAR
Rowe-1954-232-92	92	porra, macana	club	1763	CLUB
Rowe-1954-232-93	93	lanza	spear	945	SPEAR
Rowe-1954-232-94	94	arco	bow	994	BOW
Rowe-1954-232-95	95	flecha	arrow	977	ARROW
Rowe-1954-232-96	96	cerbatana	blowgun	432	BLOWGUN
Rowe-1954-232-97	97	danta, sachavaca	tapir	312	TAPIR
Rowe-1954-232-98	98	tigre	jaguar	1250	JAGUAR
Rowe-1954-232-99	99	león, puma	puma	1891	PUMA
Rowe-1954-232-100	100	venado, matacán	deer	1936	DEER
Rowe-1954-232-101	101	perro	dog	2009	DOG
Rowe-1954-232-102	102	armadillo, quirquincho, carachupa, cachicamo	armadillo	1885	ARMADILLO
Rowe-1954-232-103	103	murciélago	bat	1793	BAT
Rowe-1954-232-104	104	nutria	otter	15	OTTER
Rowe-1954-232-105	105	capuchin, machín	cebus monkey	439	CEBUS MONKEY
Rowe-1954-232-106	106	mono aullador, coto, araguato	howler monkey	433	HOWLER MONKEY
Rowe-1954-232-107	107	marimonda, maquisapa	spider monkey	434	SPIDER MONKEY
Rowe-1954-232-108	108	ronsoco, carpincho, chigüire	capybara	314	CAPYBARA
Rowe-1954-232-109	109	oso hormiguero, melero, palmero	anteater	181	ANTEATER
Rowe-1954-232-110	110	paca, guagua, majás, lapa	paca	316	PACA
Rowe-1954-232-111	111	caimán, lagarto	crocodile	1857	CROCODILE
Rowe-1954-232-112	112	iguana	iguana	1578	IGUANA
Rowe-1954-232-113	113	tortuga de tierra, morrocoy	boxturtle	895	TORTOISE
Rowe-1954-232-114	114	tortuga de agua, galápago, motelo	river turtle	112	TURTLE
Rowe-1954-232-115	115	saino, sajino, báquiro de collar, chácharo	collared peccary	435	COLLARED PECCARY
Rowe-1954-232-116	116	jabalí mayor, guangana, báquiro	white-lipped peccary	436	WHITE-LIPPED PECCARY
Rowe-1954-232-117	117	agutí, acure	agouti	313	AGOUTI
Rowe-1954-232-118	118	gato	cat	1208	CAT
Rowe-1954-232-119	119	rata	rat	1490	RAT
Rowe-1954-232-120	120	ratón	mouse	1491	MOUSE
Rowe-1954-232-121	121	cola, rabo	tail	1220	TAIL
Rowe-1954-232-122	122	serpiente, culebra	snake	730	SNAKE
Rowe-1954-232-123	123	anaconda, culebra de agua	anaconda, water boa	896	ANACONDA (WATER BOA)
Rowe-1954-232-124	124	cascabel	rattlesnake	871	RATTLESNAKE
Rowe-1954-232-125	125	coral	coral snake	2240	CORAL SNAKE
Rowe-1954-232-126	126	sapo	toad	894	TOAD
Rowe-1954-232-127	127	pájaro	bird	937	BIRD
Rowe-1954-232-128	128	picaflor, colibrí, tucusito	humming bird	1589	HUMMINGBIRD
Rowe-1954-232-129	129	guacamayo	macaw	1630	MACAW
Rowe-1954-232-130	130	tucán, pinsha	toucan	308	TOUCAN
Rowe-1954-232-131	131	loro	parrot	882	PARROT
Rowe-1954-232-132	132	perico, pihuicho	parakeet	886	PARAKEET
Rowe-1954-232-133	133	gallinazo, zamuro	buzzard	1865	BUZZARD
Rowe-1954-232-134	134	pavo, guaco, paují	curassow	315	CURASSOW
Rowe-1954-232-135	135	lechuza	owl	735	OWL
Rowe-1954-232-136	136	pava de monte	guan	437	GUAN
Rowe-1954-232-137	137	gallina	hen	1514	HEN
Rowe-1954-232-138	138	pescado	fish	227	FISH
Rowe-1954-232-139	139	caribe, palometa	piranha	317	PIRANHA
Rowe-1954-232-140	140	abeja	bee	665	BEE
Rowe-1954-232-141	141	mosca	fly	1504	FLY (INSECT)
Rowe-1954-232-142	142	pulga	flea	232	FLEA
Rowe-1954-232-143	143	piojo	louse	1392	LOUSE
Rowe-1954-232-144	144	zancudo	mosquito	1509	MOSQUITO
Rowe-1954-232-145	145	comején, hormiga blanca	termite	883	TERMITE
Rowe-1954-232-146	146	hormiga	ant	587	ANT
Rowe-1954-232-147	147	araña	spider	843	SPIDER
Rowe-1954-232-148	148	nigua, pique	chigger	438	CHIGGOE (JIGGER FLEA)
Rowe-1954-232-149	149	monte	brush	1821	BRUSH
Rowe-1954-232-150	150	pajonal, sabana	open grassland	260	SAVANNA
Rowe-1954-232-151	151	cerro, loma	hill	614	HILL
Rowe-1954-232-152	152	árbol	tree	906	TREE
Rowe-1954-232-153	153	hoja	leaf	628	LEAF
Rowe-1954-232-154	154	hoja de árbol	tree leaf		
Rowe-1954-232-155	155	flor	flower	239	FLOWER
Rowe-1954-232-156	156	fruto	fruit	1507	FRUIT
Rowe-1954-232-157	157	savia	sap	345	SAP
Rowe-1954-232-158	158	raíz	root	670	ROOT
Rowe-1954-232-159	159	semilla	seed	714	SEED
Rowe-1954-232-160	160	palo	stick	1295	STICK
Rowe-1954-232-161	161	hierba	grass	606	GRASS
Rowe-1954-232-162	162	maíz	corn, maize	506	MAIZE
Rowe-1954-232-163	163	yuca	manioc	925	CASSAVA
Rowe-1954-232-164	164	harina de yuca	manioc flour	324	MANIOC FLOUR
Rowe-1954-232-165	165	tabaco	tobacco	974	TOBACCO
Rowe-1954-232-166	166	algodón	cotton	1850	COTTON
Rowe-1954-232-167	167	calabaza, poro, tapara, totuma	gourd	411	GOURD
Rowe-1954-232-168	168	ñame	yam	410	YAM
Rowe-1954-232-169	169	camote, boniato, batata	sweet potato	159	SWEET POTATO
Rowe-1954-232-170	170	achiote, bija, onoto	achiote, bija	349	ACHIOTE
Rowe-1954-232-171	171	ají	chili pepper	919	CHILI PEPPER
Rowe-1954-232-172	172	coca	coca	137	COCA
