ID	NUMBER	ENGLISH	MANN_2004_500	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-209a-51	51	fire	150	fire	fire	221	FIRE
Mann-2004-209a-52	52	fish	152	fish	fish	227	FISH
Mann-2004-209a-53	53	five	153		five	493	FIVE
Mann-2004-209a-54	54	flesh/meat	154	flesh	meat	2615	FLESH OR MEAT
Mann-2004-209a-55	55	float	155		float	1574	FLOAT
Mann-2004-209a-56	56	flow	156		flow	2003	FLOW
Mann-2004-209a-57	57	flower	157		flower	239	FLOWER
Mann-2004-209a-58	58	fly	158	fly	fly	1441	FLY (MOVE THROUGH AIR)
Mann-2004-209a-59	59	fog	160		fog	249	FOG
Mann-2004-209a-60	60	foot	161	foot	foot	1301	FOOT
Mann-2004-209a-61	61	four	164		four	1500	FOUR
Mann-2004-209a-62	62	freeze	166		freeze	1431	FREEZE
Mann-2004-209a-63	63	fruit	169		fruit	1507	FRUIT
Mann-2004-209a-64	64	full	170	full		1429	FULL
Mann-2004-209a-65	65	give	176	give	give	1447	GIVE
Mann-2004-209a-66	66	good	179	good	good	1035	GOOD
Mann-2004-209a-67	67	grass	181		grass	606	GRASS
Mann-2004-209a-68	68	grease	182	grease		323	FAT (ORGANIC SUBSTANCE)
Mann-2004-209a-69	69	green	183	green	green	1425	GREEN
Mann-2004-209a-70	70	hair	186	hair	hair	1040	HAIR
Mann-2004-209a-71	71	hand	189	hand	hand	1277	HAND
Mann-2004-209a-72	72	he	192		he	1211	HE
Mann-2004-209a-73	73	head	193	head	head	1256	HEAD
Mann-2004-209a-74	74	hear	194	hear	hear	1408	HEAR
Mann-2004-209a-75	75	heart	195	heart	heart	1223	HEART
Mann-2004-209a-76	76	heavy	196		heavy	1210	HEAVY
Mann-2004-209a-77	77	here	198		here	136	HERE
Mann-2004-209a-78	78	hit	200		hit	1433	HIT
Mann-2004-209a-79	79	hold	201		hold	1448	HOLD
Mann-2004-209a-80	80	horn	202	horn		1393	HORN (ANATOMY)
Mann-2004-209a-81	81	hot	204	hot		1286	HOT
Mann-2004-209a-82	82	how	206		how	1239	HOW
Mann-2004-209a-83	83	hunt	209		hunt	1435	HUNT
Mann-2004-209a-84	84	husband	211		husband	1200	HUSBAND
Mann-2004-209a-85	85	I (1sg.)	212	I	I	1209	I
Mann-2004-209a-86	86	ice	213		ice	617	ICE
Mann-2004-209a-87	87	if	214		if	1459	IF
Mann-2004-209a-88	88	in	216		in	1460	IN
Mann-2004-209a-89	89	intestine	218		guts	1991	INTESTINES
Mann-2004-209a-90	90	kill	226	kill	kill	1417	KILL
Mann-2004-209a-91	91	knee	227	knee		1371	KNEE
Mann-2004-209a-92	92	know	230	know	know	1410	KNOW (SOMETHING)
Mann-2004-209a-93	93	lake	232		lake	624	LAKE
Mann-2004-209a-94	94	laugh	233		laugh	1355	LAUGH
Mann-2004-209a-95	95	leaf	235	leaf	leaf	628	LEAF
Mann-2004-209a-96	96	left (hand)	237		left (hand)	244	LEFT
Mann-2004-209a-97	97	leg	238		leg	1297	LEG
Mann-2004-209a-98	98	lie on side	240	lie on side	lie (on side)	1411	LIE (REST)
Mann-2004-209a-99	99	live	247		live	1422	BE ALIVE
Mann-2004-209a-100	100	liver	248	liver	liver	1224	LIVER
Mann-2004-209a-101	101	long	250	long	long	1203	LONG
Mann-2004-209a-102	102	louse	252	louse	louse	1392	LOUSE
Mann-2004-209a-103	103	man	255	man (male)	man (male)	1554	MAN
Mann-2004-209a-104	104	many	257	many	many	1198	MANY
Mann-2004-209a-105	105	moon	263	moon		1313	MOON
Mann-2004-209a-106	106	mother	267		mother	1216	MOTHER
Mann-2004-209a-107	107	mountain	268	mountain	mountain	639	MOUNTAIN
Mann-2004-209a-108	108	mouth	269	mouth	mouth	674	MOUTH
Mann-2004-209a-109	109	name	273	name	name	1405	NAME
Mann-2004-209a-110	110	narrow	274		narrow	1267	NARROW
Mann-2004-209a-111	111	near	277		near	1942	NEAR
Mann-2004-209a-112	112	neck	278	neck	neck	1333	NECK
Mann-2004-209a-113	113	new	280	new	new	1231	NEW
Mann-2004-209a-114	114	night	281	night	night	1233	NIGHT
Mann-2004-209a-115	115	nose	285	nose	nose	1221	NOSE
Mann-2004-209a-116	116	not	286	not	not	1240	NOT
Mann-2004-209a-117	117	old	287		old	1229	OLD
Mann-2004-209a-118	118	one	288	one	one	1493	ONE
Mann-2004-209a-119	119	other	290		other	197	OTHER
Mann-2004-209a-120	120	person	300	person	person	683	PERSON
Mann-2004-209a-121	121	play	308		play	1413	PLAY
Mann-2004-209a-122	122	pull	313		pull	1455	PULL
Mann-2004-209a-123	123	push	315		push	1452	PUSH
Mann-2004-209a-124	124	rain	318	rain	rain	2108	RAINING OR RAIN
Mann-2004-209a-125	125	red	321	red	red	156	RED
Mann-2004-209a-126	126	right(hand)	329		right (hand)	1019	RIGHT
Mann-2004-209a-127	127	river	332		river	666	RIVER
Mann-2004-209a-128	128	road (path)	333	road	road	667	ROAD
Mann-2004-209a-129	129	root	335	root	root	670	ROOT
Mann-2004-209a-130	130	rope	336		rope	1218	ROPE
Mann-2004-209a-131	131	rotten	337		rotten	1728	ROTTEN
Mann-2004-209a-132	132	round	338	round		1395	ROUND
Mann-2004-209a-133	133	rub	339		rub	1449	RUB
Mann-2004-209a-134	134	salt	342		salt	1274	SALT
Mann-2004-209a-135	135	sand	344	sand	sand	671	SAND
Mann-2004-209a-136	136	scratch	347		scratch	1436	SCRATCH
Mann-2004-209a-137	137	sea	348		sea	1474	SEA
Mann-2004-209a-138	138	see	349	see	see	1409	SEE
Mann-2004-209a-139	139	seed	350	seed	seed	714	SEED
Mann-2004-209a-140	140	sew	353		sew	1457	SEW
Mann-2004-209a-141	141	sharp	356		sharp	1396	SHARP
Mann-2004-209a-142	142	short (height)	361		short	2191	LOW (HEIGHT)
Mann-2004-209a-143	143	sing	365		sing	1261	SING
Mann-2004-209a-144	144	sit	371	sit	sit	1416	SIT
Mann-2004-209a-145	145	skin	373	skin	skin	763	SKIN
Mann-2004-209a-146	146	sky	375		sky	1732	SKY
Mann-2004-209a-147	147	sleep	376	sleep	sleep	1585	SLEEP
Mann-2004-209a-148	148	small	379	small	small	1246	SMALL
Mann-2004-209a-149	149	smell	380		smell	2124	SMELL
Mann-2004-209a-150	150	smoke	382	smoke	smoke	778	SMOKE (EXHAUST)
Mann-2004-209a-151	151	smooth	383		smooth	1234	SMOOTH
Mann-2004-209a-152	152	snake	385		snake	730	SNAKE
Mann-2004-209a-153	153	snow	389		snow	784	SNOW
Mann-2004-209a-154	154	some	391		some	1241	SOME
Mann-2004-209a-155	155	speak	395	say	say	1623	SPEAK
Mann-2004-209a-156	156	spit	400		spit	1440	SPIT
Mann-2004-209a-157	157	split	401		split	1437	SPLIT
Mann-2004-209a-158	158	squeeze	404		squeeze	1414	SQUEEZE
Mann-2004-209a-159	159	stab	405		stab	1434	STAB
Mann-2004-209a-160	160	stand	406	stand	stand	1442	STAND
Mann-2004-209a-161	161	star	407	star	star	1430	STAR
Mann-2004-209a-162	162	stick	409		stick	1295	STICK
Mann-2004-209a-163	163	stone	410	stone	stone	857	STONE
Mann-2004-209a-164	164	straight	411		straight	1404	STRAIGHT
Mann-2004-209a-165	165	suck	414		suck	1421	SUCK
Mann-2004-209a-166	166	sun	416	sun		1343	SUN
Mann-2004-209a-167	167	swell	420		swell	1573	SWELL
Mann-2004-209a-168	168	swim	422	swim	swim	1439	SWIM
Mann-2004-209a-169	169	tail	423	tail	tail	1220	TAIL
Mann-2004-209a-170	170	that	429	that	that	78	THAT
Mann-2004-209a-171	171	there	430		there	1937	THERE
Mann-2004-209a-172	172	they	431		they	817	THEY
Mann-2004-209a-173	173	thick	432		thick	1244	THICK
Mann-2004-209a-174	174	thin	434		thin	2308	THIN
Mann-2004-209a-175	175	think	435		think	2271	THINK
Mann-2004-209a-176	176	this	437	this	this	1214	THIS
Mann-2004-209a-177	177	three	441		three	492	THREE
Mann-2004-209a-178	178	throw	442		throw	1456	THROW
Mann-2004-209a-179	179	tie	444		tie	1917	TIE
Mann-2004-209a-180	180	tongue	448	tongue	tongue	1205	TONGUE
Mann-2004-209a-181	181	tooth	449	tooth	tooth	1380	TOOTH
Mann-2004-209a-182	182	tree	450	tree	tree	906	TREE
Mann-2004-209a-183	183	turn	452		turn	1588	TURN
Mann-2004-209a-184	184	two	456	two	two	1498	TWO
Mann-2004-209a-185	185	vomit	459		vomit	1278	VOMIT
Mann-2004-209a-186	186	walk	461	walk	walk	1443	WALK
Mann-2004-209a-187	187	warm	463		warm	1232	WARM
Mann-2004-209a-188	188	wash	464		wash	1453	WASH
Mann-2004-209a-189	189	water	465	water	water	948	WATER
Mann-2004-209a-190	190	we	467	we	we	1212	WE
Mann-2004-209a-191	191	wet	472		wet	1726	WET
Mann-2004-209a-192	192	what	473	what	what	1236	WHAT
Mann-2004-209a-193	193	when (past)	475		when	1238	WHEN
Mann-2004-209a-194	194	where	476		where	1237	WHERE
Mann-2004-209a-195	195	white	478	white	white	1335	WHITE
Mann-2004-209a-196	196	who	479	who	who	1235	WHO
Mann-2004-209a-197	197	wide	480		wide	1243	WIDE
Mann-2004-209a-198	198	wife	482		wife	1199	WIFE
Mann-2004-209a-199	199	wind	483		wind	960	WIND
Mann-2004-209a-200	200	wing	485		wing	1257	WING
Mann-2004-209a-201	201	wipe	488		wipe	1454	WIPE
Mann-2004-209a-202	202	with	489		with	1340	WITH
Mann-2004-209a-203	203	woman	490	woman	woman	962	WOMAN
Mann-2004-209a-204	204	woods	491		woods	420	FOREST
Mann-2004-209a-205	205	worm	493		worm	1219	WORM
Mann-2004-209a-206	206	year	496		year	1226	YEAR
Mann-2004-209a-207	207	yellow	497	yellow	yellow	1424	YELLOW
Mann-2004-209a-208	208	you (2s.)	499		thou	1215	THOU
Mann-2004-209a-209	209	you (2pl.)	500	you	you	1213	YOU
