ID	NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-471-1	1	242	sky	天	1732	SKY
Wang-2004-471-2	2	242	sun	太阳	1343	SUN
Wang-2004-471-3	4	242	moon	月亮	1313	MOON
Wang-2004-471-4	5	242	star	星星	1430	STAR
Wang-2004-471-5	7	242	cloud	云	1489	CLOUD
Wang-2004-471-6	8	242	thunder	雷	1150	THUNDER
Wang-2004-471-7	9	242	wind	风	960	WIND
Wang-2004-471-8	12	242	snow	雪	784	SNOW
Wang-2004-471-9	14	242	frost	霜	2034	FROST
Wang-2004-471-10	17	242	ice	冰	617	ICE
Wang-2004-471-11	18	242	fire	火	221	FIRE
Wang-2004-471-12	19	242	smoke	烟	778	SMOKE (EXHAUST)
Wang-2004-471-13	20	242	air; breath	气	27	AIR
Wang-2004-471-14	22	242	earth	土地	1228	EARTH (SOIL)
Wang-2004-471-15	23	242	mountain	山	639	MOUNTAIN
Wang-2004-471-16	24	242	hillside; mountain slope	山坡	3297	PRECIPICE OR SLOPE
Wang-2004-471-17	30	242	river	河	666	RIVER
Wang-2004-471-18	31	242	lake	湖	624	LAKE
Wang-2004-471-19	32	242	sea	海	1474	SEA
Wang-2004-471-20	38	242	path; road	路	2457	PATH OR ROAD
Wang-2004-471-21	40	242	soil; earth	土	2158	EARTH (WET SUBSTANCE)
Wang-2004-471-22	42	242	paddy fields	水田	140	PADDY FIELD
Wang-2004-471-23	43	242	stone	石头	857	STONE
Wang-2004-471-24	44	242	sand	沙子	671	SAND
Wang-2004-471-25	46	242	mud	泥巴	640	MUD
Wang-2004-471-26	47	242	water	水	948	WATER
Wang-2004-471-27	50	242	forest	森林	420	FOREST
Wang-2004-471-28	51	243	gold	金子	1369	GOLD
Wang-2004-471-29	52	243	silver	银子	759	SILVER
Wang-2004-471-30	53	243	copper, bronze	铜	3192	BRONZE OR COPPER
Wang-2004-471-31	54	243	iron	铁	621	IRON
Wang-2004-471-32	61	243	salt	盐	1274	SALT
Wang-2004-471-33	66	243	village	村子	930	VILLAGE
Wang-2004-471-34	70	243	bridge	桥	1011	BRIDGE
Wang-2004-471-35	74	243	head	头	1256	HEAD
Wang-2004-471-36	75	243	hair	头发	2648	HAIR (HEAD)
Wang-2004-471-37	79	243	eye	眼睛	1248	EYE
Wang-2004-471-38	94	243	breasts	乳房	1402	BREAST
Wang-2004-471-39	96	243	belly	肚子	1251	BELLY
Wang-2004-471-40	103	243	foot	脚	1301	FOOT
Wang-2004-471-41	107	243	hand	手	1277	HAND
Wang-2004-471-42	109	243	finger	手指	1303	FINGER
Wang-2004-471-43	113	243	nail	指甲	1258	FINGERNAIL
Wang-2004-471-44	118	243	female genitals	女生殖器		VAGINA
Wang-2004-471-45	120	243	skin	皮肤	763	SKIN
Wang-2004-471-46	125	243	scar	疤	497	SCAR
Wang-2004-471-47	129	243	blood	血	946	BLOOD
Wang-2004-471-48	130	243	tendon; sinew	筋	1137	TENDON
Wang-2004-471-49	132	243	brains	脑髓	1583	BRAIN
Wang-2004-471-50	133	243	bone	骨头	1394	BONE
Wang-2004-471-51	139	243	tongue	舌头	1205	TONGUE
Wang-2004-471-52	143	243	lung	肺	688	LUNG
Wang-2004-471-53	144	243	heart	心脏	1223	HEART
Wang-2004-471-54	145	243	liver	肝	1224	LIVER
Wang-2004-471-55	148	243	stomach	胃	819	STOMACH
Wang-2004-471-56	149	243	intestine; guts	肠子	1991	INTESTINES
Wang-2004-471-57	150	243	bladder	膀胱	1746	BLADDER
Wang-2004-471-58	151	243	excrement	屎	675	FAECES (EXCREMENT)
Wang-2004-471-59	153	243	fart	屁	1159	FART
Wang-2004-471-60	154	243	sweat	汗	125	SWEAT (SUBSTANCE)
Wang-2004-471-61	159	243	pus	脓	1808	PUS
Wang-2004-471-62	161	243	sound	声音	1811	SOUND OR NOISE
Wang-2004-471-63	162	243	corpse	尸体	767	CORPSE
Wang-2004-471-64	165	243	Han Chinese	汉族	3373	HAN CHINESE
Wang-2004-471-65	167	243	person	人	683	PERSON
Wang-2004-471-66	172	243	old lady	老太太	907	OLD WOMAN
Wang-2004-471-67	173	243	man	男人	1554	MAN
Wang-2004-471-68	174	243	woman	妇女	962	WOMAN
Wang-2004-471-69	179	243	soldier	士兵	1941	SOLDIER
Wang-2004-471-70	194	243	thief	贼	1160	THIEF
Wang-2004-471-71	201	244	friend	朋友	1325	FRIEND
Wang-2004-471-72	213	244	guest	客人	1782	GUEST
Wang-2004-471-73	218	244	father	父亲	1217	FATHER
Wang-2004-471-74	219	244	mother	母亲	1216	MOTHER
Wang-2004-471-75	220	244	son	儿子	1620	SON
Wang-2004-471-76	222	244	daughter	女儿	1357	DAUGHTER
Wang-2004-471-77	224	244	grandson	孙子	1618	GRANDSON
Wang-2004-471-78	228	244	younger brother	弟弟	1760	YOUNGER BROTHER
Wang-2004-471-79	229	244	younger sister	妹妹	1761	YOUNGER SISTER
Wang-2004-471-80	234	244	nephew	侄子	1063	NEPHEW
Wang-2004-471-81	235	244	brothers	兄弟	1262	BROTHER
Wang-2004-471-82	238	244	uncle (mother's brother)	舅父	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
