ID	NUMBER	SPANISH	GLOSS	SWADESH_ROWE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mountain-1978-267-64	64	relámpago	lightning	70	1654	LIGHTNING
Mountain-1978-267-65	65	arco iris	rainbow	71	1733	RAINBOW
Mountain-1978-267-66	66	tierra	earth	72	1228	EARTH (SOIL)
Mountain-1978-267-67	67	piedra	stone	73	857	STONE
Mountain-1978-267-68	68	arena	sand	74	671	SAND
Mountain-1978-267-69	69	casa	house	75	1252	HOUSE
Mountain-1978-267-70	70	techo	roof	76	769	ROOF
Mountain-1978-267-71	71	puerta	doorway	77	1567	DOOR
Mountain-1978-267-72	72	banco	seat, stool	78	2058	STOOL
Mountain-1978-267-73	73	hamaca	hammock	80	2019	HAMMOCK
Mountain-1978-267-74	74	catre, cama de barbacoa	bed	81	1663	BED
Mountain-1978-267-75	75	olla	cooking pot	82	3653	COOKING POT
Mountain-1978-267-76	76	caserio	village	84	930	VILLAGE
Mountain-1978-267-77	77	camino, sendero, trocha	path, trail	85	2457	PATH OR ROAD
Mountain-1978-267-78	78	red	fish net	86	388	FISHNET
Mountain-1978-267-79	79	anzuelo	fish hook	87	1074	FISHHOOK
Mountain-1978-267-80	80	hacha	axe	88	677	AXE
Mountain-1978-267-81	81	cuchillo	knife	89	1352	KNIFE
Mountain-1978-267-82	82	canoa	canoe	90	1970	CANOE
Mountain-1978-267-83	83	remo	paddle	91	234	PADDLE
Mountain-1978-267-84	84	lanza	spear	93	945	SPEAR
Mountain-1978-267-85	85	arco	bow	94	994	BOW
Mountain-1978-267-86	86	flecha	arrow	95	977	ARROW
Mountain-1978-267-87	87	cerbatana	blowgun	96	432	BLOWGUN
Mountain-1978-267-88	88	danta	tapir	97	312	TAPIR
Mountain-1978-267-89	89	tigre	jaguar	98	1250	JAGUAR
Mountain-1978-267-90	90	león, puma	puma	99	1891	PUMA
Mountain-1978-267-91	91	armadillo, quirquincho, carachupa	armadillo	100	1885	ARMADILLO
Mountain-1978-267-92	92	perro	dog	101	2009	DOG
Mountain-1978-267-93	93	venado	deer	102	1936	DEER
Mountain-1978-267-94	94	murciélago	bat	103	1793	BAT
Mountain-1978-267-95	95	nutria	otter	104	15	OTTER
Mountain-1978-267-96	96	capuchín, machín	cebus monkey	105	439	CEBUS MONKEY
Mountain-1978-267-97	97	mono aullador	howler monkey	106	433	HOWLER MONKEY
Mountain-1978-267-98	98	marimonda, maquisapa	spider monkey	107	434	SPIDER MONKEY
Mountain-1978-267-99	99	chigüiro, ronsoco	capybara	108	314	CAPYBARA
Mountain-1978-267-100	100	oso hormiguero	anteater	109	181	ANTEATER
Mountain-1978-267-101	101	paca, gua-gua, majas	paca	110	316	PACA
Mountain-1978-267-102	102	caimán	crocodile	111	2438	CAIMAN
Mountain-1978-267-103	103	iguana	iguana	112	1578	IGUANA
Mountain-1978-267-104	104	tortuga	tortoise	113	895	TORTOISE
Mountain-1978-267-105	105	saíno	collared peccary	115	435	COLLARED PECCARY
Mountain-1978-267-106	106	agutí	agouti	117	313	AGOUTI
Mountain-1978-267-107	107	rata	rat	118	1490	RAT
Mountain-1978-267-108	108	gato	cat	119	1208	CAT
Mountain-1978-267-109	109	cola	tail	121	1220	TAIL
Mountain-1978-267-110	110	serpiente, culebra	snake	122	730	SNAKE
Mountain-1978-267-111	111	anaconda	anaconda, water boa	123	896	ANACONDA (WATER BOA)
Mountain-1978-267-112	112	sapo	toad	126	894	TOAD
Mountain-1978-267-113	113	pájaro	bird	127	937	BIRD
Mountain-1978-267-114	114	picaflor	hummingbird	128	1589	HUMMINGBIRD
Mountain-1978-267-115	115	guacamayo	macaw	129	1630	MACAW
Mountain-1978-267-116	116	tucán, pinsha	toucan	130	308	TOUCAN
Mountain-1978-267-117	117	loro	parrot	131	882	PARROT
Mountain-1978-267-118	118	perico, pihuicho	parakeet	132	886	PARAKEET
Mountain-1978-267-119	119	gallinazo	buzzard	133	1865	BUZZARD
Mountain-1978-267-120	120	pavo	curassow	134	315	CURASSOW
Mountain-1978-267-121	121	lechuza	owl	135	735	OWL
Mountain-1978-267-122	122	pava de monte	guan	136	437	GUAN
Mountain-1978-267-123	123	gallina	hen	137	1514	HEN
Mountain-1978-267-124	124	pescado	fish	138	227	FISH
Mountain-1978-267-125	125	caribe	piranha	139	317	PIRANHA
Mountain-1978-267-126	126	abeja	bee	140	665	BEE
Mountain-1978-267-127	127	mosca	fly	141	1504	FLY (INSECT)
Mountain-1978-267-128	128	pulga	flea	142	232	FLEA
Mountain-1978-267-129	129	piojo	louse	143	1392	LOUSE
Mountain-1978-267-130	130	zancudo	mosquito	144	1509	MOSQUITO
Mountain-1978-267-131	131	comején, hormiga blanca	termite	145	883	TERMITE
Mountain-1978-267-132	132	hormiga	ant	146	587	ANT
Mountain-1978-267-133	133	araña	spider	147	843	SPIDER
Mountain-1978-267-134	134	nigua pique	chigger	148	438	CHIGGOE (JIGGER FLEA)
Mountain-1978-267-135	135	monte	bush	149	1683	BUSH
Mountain-1978-267-136	136	pajonal, sabana	open grassland	150	260	SAVANNA
Mountain-1978-267-137	137	cerro, loma	hill	151	614	HILL
Mountain-1978-267-138	138	árbol	tree	152	906	TREE
Mountain-1978-267-139	139	hoja	leaf	153	628	LEAF
Mountain-1978-267-140	140	flor	flower	155	239	FLOWER
Mountain-1978-267-141	141	fruta	fruit	156	1507	FRUIT
Mountain-1978-267-142	142	savia	sap	157	345	SAP
Mountain-1978-267-143	143	raíz	root	158	670	ROOT
Mountain-1978-267-144	144	hierba	grass	161	606	GRASS
Mountain-1978-267-145	145	maíz	corn, maize	162	506	MAIZE
Mountain-1978-267-146	146	yuca	manioc	163	925	CASSAVA
Mountain-1978-267-147	147	harina de yuca	manioc flour	164	324	MANIOC FLOUR
Mountain-1978-267-148	148	tabaco	tobacco	165	974	TOBACCO
Mountain-1978-267-149	149	algodón	cotton	166	1850	COTTON
Mountain-1978-267-150	150	calabazo poro	gourd	167	411	GOURD
Mountain-1978-267-151	151	ñame	yam	168	410	YAM
Mountain-1978-267-152	152	camote	sweet potato	169	159	SWEET POTATO
Mountain-1978-267-153	153	ají	chili pepper	171	919	CHILI PEPPER
Mountain-1978-267-154	154	coca	coca	172	137	COCA
Mountain-1978-267-155	155	ayahuasca, yajé	Banisterium	173	276	BANISTERIUM
Mountain-1978-267-156	156	plátano	plantain	174	399	PLANTAIN
Mountain-1978-267-157	157	chonta	chonta palm	175	440	CHONTA PALM
Mountain-1978-267-158	158	palma mirití	miriti palm	177		
Mountain-1978-267-159	159	caña brava	cane	178	659	REED
Mountain-1978-267-160	160	sal	salt	179	1274	SALT
Mountain-1978-267-161	161	chicha, masato	chicha	180	441	CHICHA
Mountain-1978-267-162	162	uno	one	181	1493	ONE
Mountain-1978-267-163	163	dos	two	182	1498	TWO
Mountain-1978-267-164	164	sonajero, maraca	rattle	193	300	RATTLE
Mountain-1978-267-165	165	tambor	drum	194	908	DRUM
Mountain-1978-267-166	166	orejeras, aretes	ear ornament	196		
Mountain-1978-267-167	167	yo	I	200	1209	I
Mountain-1978-267-168	168	tú	thou	201	1215	THOU
Mountain-1978-267-169	169	nosotros	we	205	1212	WE
Mountain-1978-267-170	170	grande	big	220	1202	BIG
Mountain-1978-267-171	171	frío	cold	222	1287	COLD
Mountain-1978-267-172	172	caliente	hot	223	1286	HOT
Mountain-1978-267-173	173	bueno	good	224	1035	GOOD
Mountain-1978-267-174	174	blanco	white	226	1335	WHITE
Mountain-1978-267-175	175	negro	black	227	163	BLACK
Mountain-1978-267-176	176	¡vaya!, ¡ve!	Go!	228		
Mountain-1978-267-177	177	¡ven!	Come!	229		
Mountain-1978-267-178	178	¡come!	Eat!	230		
Mountain-1978-267-179	179	¡bebe!	Drink!	231		
Mountain-1978-267-180	180	¡duerme!	Sleep!	232		
Mountain-1978-267-181	181	punta de la lengua	tip of tongue	235	443	TIP (OF TONGUE)
Mountain-1978-267-182	182	pelo largo	long hair	236	444	LONG HAIR
Mountain-1978-267-183	183	toda la garganta y cuello	around the neck	237		
Mountain-1978-267-184	184	antebrazo	lower arm	240	446	LOWER ARM
Mountain-1978-267-185	185	la pierna inferior	lower leg	242	447	LOWER LEG
Mountain-1978-267-186	186	intestinas	intestines	245	1991	INTESTINES
Mountain-1978-267-187	187	nubes quietas	clouds at rest	247	1489	CLOUD
Mountain-1978-267-188	188	nubes de tormenta	storm clouds	248	448	STORM CLOUDS
Mountain-1978-267-189	189	chagra	field	249	212	FIELD
Mountain-1978-267-190	190	quebrada	stream	250	947	STREAM
Mountain-1978-267-191	191	piedrecillas	pebbles	251	961	PEBBLES
Mountain-1978-267-192	192	rocas	huge rocks	252		
Mountain-1978-267-193	193	tambo	shelter	255		
Mountain-1978-267-194	194	este	this	256	1214	THIS
Mountain-1978-267-195	195	aquel	that	257	78	THAT
Mountain-1978-267-196	196	quien	who	258	1235	WHO
Mountain-1978-267-197	197	que	what	259	1236	WHAT
Mountain-1978-267-198	198	no	not	260	1240	NOT
Mountain-1978-267-199	199	todos	all	261	98	ALL
Mountain-1978-267-200	200	muchos	many	262	1198	MANY
Mountain-1978-267-201	201	largo	long	263	1203	LONG
Mountain-1978-267-202	202	corteza	bark	264	1204	BARK
Mountain-1978-267-203	203	carne	flesh	265	2615	FLESH OR MEAT
Mountain-1978-267-204	204	grasa	grease	267	1282	FAT (FROM ANIMALS)
Mountain-1978-267-205	205	huevo	egg	268	744	EGG
Mountain-1978-267-206	206	cuerno	horn	269	1393	HORN (ANATOMY)
Mountain-1978-267-207	207	pluma	feather	270	1201	FEATHER
Mountain-1978-267-208	208	uña	claw	271	72	CLAW
Mountain-1978-267-209	209	barriga	belly	272	1251	BELLY
Mountain-1978-267-210	210	hígado	liver	273	1224	LIVER
Mountain-1978-267-211	211	beber	to drink	274	1401	DRINK
Mountain-1978-267-212	212	comer	to eat	275	1336	EAT
Mountain-1978-267-213	213	morder	to bite	276	1403	BITE
Mountain-1978-267-214	214	ver	to see	277	1409	SEE
Mountain-1978-267-215	215	oír	to hear	278	1408	HEAR
Mountain-1978-267-216	216	saber	to know	279	1410	KNOW (SOMETHING)
Mountain-1978-267-217	217	dormir	to sleep	280	1585	SLEEP
Mountain-1978-267-218	218	morir	to die	281	1494	DIE
Mountain-1978-267-219	219	matar	to kill	282	1417	KILL
Mountain-1978-267-220	220	nadar	to swim	283	1439	SWIM
Mountain-1978-267-221	221	volar	to fly	284	1441	FLY (MOVE THROUGH AIR)
Mountain-1978-267-222	222	andar	to walk	285	1443	WALK
Mountain-1978-267-223	223	venir	to come	286	1446	COME
Mountain-1978-267-224	224	acostarse (acostado)	to lie	287	1411	LIE (REST)
Mountain-1978-267-225	225	sentarse (sentado)	to sit	288	1416	SIT
Mountain-1978-267-226	226	ponerse en pie (ponerse de pie)	to stand	289	570	STAND UP
Mountain-1978-267-227	227	dar	to give	290	1447	GIVE
Mountain-1978-267-228	228	decir	to say	291	1458	SAY
Mountain-1978-267-229	229	arder	to burn	292	1428	BURNING
Mountain-1978-267-230	230	montaña	mountain	293	639	MOUNTAIN
Mountain-1978-267-231	231	rojo	red	294	156	RED
Mountain-1978-267-232	232	verde	green	295	1425	GREEN
Mountain-1978-267-233	233	amarillo	yellow	296	1424	YELLOW
Mountain-1978-267-234	234	lleno	full	297	1429	FULL
Mountain-1978-267-235	235	nuevo	new	298	1231	NEW
Mountain-1978-267-236	236	seco	dry	300	1398	DRY
Mountain-1978-267-237	237	nombre	name	301	1405	NAME
Mountain-1978-267-238	238	mar	sea	311	1474	SEA
Mountain-1978-267-239	239	lavar	to wash	313	1453	WASH
Mountain-1978-267-240	240	gusano	worm	314	1219	WORM
Mountain-1978-267-241	241	ala	wing	315	1257	WING
Mountain-1978-267-242	242	piel peluda	fur	316	580	FUR
Mountain-1978-267-243	243	ombligo	navel	317	1838	NAVEL
Mountain-1978-267-244	244	saliva	saliva	318	1503	SALIVA
Mountain-1978-267-245	245	leche	milk	319	635	MILK
Mountain-1978-267-246	246	frotar	to rub	348	1449	RUB
Mountain-1978-267-247	247	jalar, halar	to pull	349	1455	PULL
Mountain-1978-267-248	248	empujar	to push	350	1452	PUSH
Mountain-1978-267-249	249	echar	to throw	351	1456	THROW
Mountain-1978-267-250	250	golpear	to hit	352	353	STRIKE
Mountain-1978-267-251	251	hender	to split	353	1437	SPLIT
Mountain-1978-267-252	252	punzar	to pierce	354	398	PIERCE
Mountain-1978-267-253	253	cavar	to dig	355	1418	DIG
Mountain-1978-267-254	254	atar	to tie	356	1917	TIE
Mountain-1978-267-255	255	coser	to sew	357	1457	SEW
Mountain-1978-267-256	256	caer	to fall	358	1280	FALL
Mountain-1978-267-257	257	hinchar	to swell	359	1573	SWELL
Mountain-1978-267-258	258	pensar	to think	360	2271	THINK
Mountain-1978-267-259	259	cantar	to sing	361	1261	SING
Mountain-1978-267-260	260	oler	to smell	362	1586	SMELL (PERCEIVE)
Mountain-1978-267-261	261	vomitar	to puke	363	1278	VOMIT
Mountain-1978-267-262	262	chupar	to suck	364	1421	SUCK
Mountain-1978-267-263	263	soplar	to blow	365	175	BLOW (OF WIND)
Mountain-1978-267-264	264	temer	to fear	366	1419	FEAR (BE AFRAID)
Mountain-1978-267-265	265	apretar, exprimir	to squeeze	367	1414	SQUEEZE
Mountain-1978-267-266	266	cuerda	rope	374	1218	ROPE
Mountain-1978-267-267	267	año	year	375	1226	YEAR
