ID	NUMBER	SPANISH	GLOSS	SWADESH_ROWE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mountain-1978-267-1	1	lengua	tongue	1	1205	TONGUE
Mountain-1978-267-2	2	boca	mouth	2	674	MOUTH
Mountain-1978-267-3	3	labio	lip	3	478	LIP
Mountain-1978-267-4	4	diente	tooth	4	1380	TOOTH
Mountain-1978-267-5	5	nariz	nose	5	1221	NOSE
Mountain-1978-267-6	6	ojo	eye	6	1248	EYE
Mountain-1978-267-7	7	oreja	ear	7	1247	EAR
Mountain-1978-267-8	8	cabeza	head	8	1256	HEAD
Mountain-1978-267-9	9	frente	forehead	9	123	FOREHEAD
Mountain-1978-267-10	10	cabello	hair	10	2648	HAIR (HEAD)
Mountain-1978-267-11	11	mentón	chin	11	1510	CHIN
Mountain-1978-267-12	12	barba	beard	12	678	BEARD
Mountain-1978-267-13	13	cuello	neck	13	1333	NECK
Mountain-1978-267-14	14	teta, seno, pecho	woman’s breast	15	1402	BREAST
Mountain-1978-267-15	15	espalda	back	17	1291	BACK
Mountain-1978-267-16	16	hombro	shoulder	18	1482	SHOULDER
Mountain-1978-267-17	17	brazo	arm	19	1673	ARM
Mountain-1978-267-18	18	brazo superior	upper arm	20	431	UPPER ARM
Mountain-1978-267-19	19	codo	elbow	21	981	ELBOW
Mountain-1978-267-20	20	mano	hand	22	1277	HAND
Mountain-1978-267-21	21	dedo de la mano	finger	23	1303	FINGER
Mountain-1978-267-22	22	uña	fingernail	24	1258	FINGERNAIL
Mountain-1978-267-23	23	pierna	leg	25	1297	LEG
Mountain-1978-267-24	24	muslo	thigh	26	800	THIGH
Mountain-1978-267-25	25	rodilla	knee	27	1371	KNEE
Mountain-1978-267-26	26	espinilla	shin	28	186	SHIN
Mountain-1978-267-27	27	pie	foot	29	1301	FOOT
Mountain-1978-267-28	28	dedo del pie	toe	30	1389	TOE
Mountain-1978-267-29	29	piel	skin	31	763	SKIN
Mountain-1978-267-30	30	hueso	bone	32	1394	BONE
Mountain-1978-267-31	31	sangre	blood	33	946	BLOOD
Mountain-1978-267-32	32	corazón	heart	34	1223	HEART
Mountain-1978-267-33	33	pene	penis	36	1222	PENIS
Mountain-1978-267-34	34	hombre	man	38	1554	MAN
Mountain-1978-267-35	35	varón	man	39	2106	MALE PERSON
Mountain-1978-267-36	36	mujer	woman	40	962	WOMAN
Mountain-1978-267-37	37	gente	people	41	789	PEOPLE
Mountain-1978-267-38	38	marido	husband	42	1200	HUSBAND
Mountain-1978-267-39	39	esposa	wife	43	1199	WIFE
Mountain-1978-267-40	40	papá	father	44	1217	FATHER
Mountain-1978-267-41	41	mamá	mother	45	1216	MOTHER
Mountain-1978-267-42	42	agua	water	48	948	WATER
Mountain-1978-267-43	43	río	river	49	666	RIVER
Mountain-1978-267-44	44	isla	island	50	622	ISLAND
Mountain-1978-267-45	45	lago	lake	51	624	LAKE
Mountain-1978-267-46	46	pantano	swamp	52	1145	SWAMP
Mountain-1978-267-47	47	fuente, ojo de agua	spring of water	53	849	SPRING (OF WATER)
Mountain-1978-267-48	48	caída de agua	waterfall	54	943	WATERFALL
Mountain-1978-267-49	49	catarata, raudal	rapids	55	1670	RAPIDS
Mountain-1978-267-50	50	candela, fuego	fire	56	221	FIRE
Mountain-1978-267-51	51	ceniza	ash	57	646	ASH
Mountain-1978-267-52	52	carbón	charcoal	58	1188	CHARCOAL
Mountain-1978-267-53	53	humo	smoke	59	778	SMOKE (EXHAUST)
Mountain-1978-267-54	54	leña	firewood	60	10	FIREWOOD
Mountain-1978-267-55	55	cielo	sky	61	1732	SKY
Mountain-1978-267-56	56	lluvia	rain	62	658	RAIN (PRECIPITATION)
Mountain-1978-267-57	57	viento	wind	63	960	WIND
Mountain-1978-267-58	58	sol	sun	64	1343	SUN
Mountain-1978-267-59	59	luna	moon	65	1313	MOON
Mountain-1978-267-60	60	estrella	star	66	1430	STAR
Mountain-1978-267-61	61	día	day	67	1225	DAY (NOT NIGHT)
Mountain-1978-267-62	62	noche	night	68	1233	NIGHT
Mountain-1978-267-63	63	trueno	thunder	69	1150	THUNDER
