ID	NUMBER	ENGLISH	RANK	STABILITY_SCORE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pozdniakov-2014-100b-91	91	mountain	91	0.15	639	MOUNTAIN
Pozdniakov-2014-100b-92	92	say	92	0.15	1458	SAY
Pozdniakov-2014-100b-93	93	ashes	93	0.12	646	ASH
Pozdniakov-2014-100b-94	94	big	94	0.12	1202	BIG
Pozdniakov-2014-100b-95	95	heart	95	0.12	1223	HEART
Pozdniakov-2014-100b-96	96	long	96	0.12	1203	LONG
Pozdniakov-2014-100b-97	97	name	97	0.12	1405	NAME
Pozdniakov-2014-100b-98	98	that	98	0.12	78	THAT
Pozdniakov-2014-100b-99	99	no	99	0.10	1269	NO
Pozdniakov-2014-100b-100	100	round	100	0.07	1395	ROUND
