ID	NUMBER	ENGLISH	LEXIBANK_GLOSS_ENGLISH	LEXIBANK_GLOSS_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gravina-2014-717-1	1	abandon	abandon	abandonner	1097	ABANDON
Gravina-2014-717-2	2	accompany	accompany	accompager // accompagner	1542	ACCOMPANY
Gravina-2014-717-3	3	accuse	accuse	accuser	1814	ACCUSE
Gravina-2014-717-4	4	add	add	ajouter	2882	ADD
Gravina-2014-717-5	5	adult	adult	adulte	3635	ADULT
Gravina-2014-717-6	6	after	after	après // faire du progrès	1685	AFTER
Gravina-2014-717-7	7	afternoon	afternoon	après-midi // soirée	1807	AFTERNOON
Gravina-2014-717-8	8	again	again	de nouveau // encore	204	AGAIN
Gravina-2014-717-9	9	agree	agree	(être) d'accord // se mettre d'accord	3643	AGREE
Gravina-2014-717-10	10	all	all	tous // tout // tout, tous // tout; tous	98	ALL
Gravina-2014-717-11	11	(be) alone	(be) alone	(être) seul, solitaire	1964	ALONE
Gravina-2014-717-12	12	always	always	toujours	1676	ALWAYS
Gravina-2014-717-13	13	ancestor	ancestor	ancêtre	1669	ANCESTORS
Gravina-2014-717-14	14	and	and	avec, et // et // et ; avec	1577	AND
Gravina-2014-717-15	15	animal	animal	animal	619	ANIMAL
Gravina-2014-717-16	16	ankle	ankle	cheville // cheville ; os de cheville // cheville de pied	803	ANKLE
Gravina-2014-717-17	17	answer, reply (v)	answer, reply (v)	répondre	1275	ANSWER
Gravina-2014-717-18	18	ant	ant	fourmi // fourmi très piquante // fourmis // petite fourmi	587	ANT
Gravina-2014-717-19	19	antelope	antelope	antelope // antilope	3674	ANTELOPE
Gravina-2014-717-20	20	anus	anus	anus // anus_extérieur // anus_intérieur	1935	ANUS
Gravina-2014-717-21	21	arm	arm	bras // |uc{main, bras} - de l'épaule jusqu'au bout des doigts	1673	ARM
Gravina-2014-717-22	22	armpit	armpit	aisselle	1886	ARMPIT
Gravina-2014-717-23	23	arrange	arrange	arranger // arranger ; régler // arranger, mettre en ordre	1568	ARRANGE
Gravina-2014-717-24	24	arrive	arrive	arriver	1387	ARRIVE
Gravina-2014-717-25	25	arrow	arrow	flèche	977	ARROW
Gravina-2014-717-26	26	ashes	ashes	ceindre // cendres	646	ASH
Gravina-2014-717-27	27	ask, request	ask, request	ask for help // demander	1828	ASK (REQUEST)
Gravina-2014-717-28	28	egg-plant	egg-plant	aubergine	1146	AUBERGINE
Gravina-2014-717-29	29	axe	axe	hache	677	AXE
Gravina-2014-717-30	30	baboon	baboon	babouin // babouin ; cynocéphale	1197	BABOON
Gravina-2014-717-31	31	baby	baby	bébé // bébé, nourrisson	1289	BABY
Gravina-2014-717-32	32	back	back	dos	1291	BACK
Gravina-2014-717-33	33	bag	bag	sac // sac; poche // sac; quelque chose de tressé qui peut être utilisé soit pour une porte-monnaie, soit pour taper le mil pendant sa murissage // sacoche	2468	BAG
Gravina-2014-717-34	34	baobab tree	baobab tree	baobab	997	BAOBAB TREE
Gravina-2014-717-35	35	bark (of tree)	bark (of tree)	écorce (d'arbre)	1204	BARK
Gravina-2014-717-36	36	basket	basket	corbeille // panier // panier (sans trous) // panier à récolte // panier à récolte; panier à récolte fait de morceaux de bois, pour porter les épis de mil // panier(avec_trous) // panier, corbeille // panier; petit panier rond en écorce de fv:tselew; panier fait des tiges de mil	1539	BASKET
Gravina-2014-717-37	37	bat	bat	chauve-souris // chauve-souris ; anomalure // chauve-souris(gros) // grande chauve-souris // roussette (grande chauve-souris)	1793	BAT
Gravina-2014-717-38	38	(be) angry	(be) angry	(être) furieux // (être) fâché // (être) fâché, en colère	2223	BE ANGRY
Gravina-2014-717-39	39	suffering	suffering	naître	1090	BE BORN
Gravina-2014-717-40	40	bean	bean	haricot // haricot sauvage	832	BEAN
Gravina-2014-717-41	41	beard	beard	barbe	678	BEARD
Gravina-2014-717-42	42	(be) beautiful	(be) beautiful	(être) beau	1427	BEAUTIFUL
Gravina-2014-717-43	43	because	because	parce que // parce que (pourque) // parce_que // parce_que ; car // à cause de	1157	BECAUSE
Gravina-2014-717-44	44	bed	bed	lit // lit traditionnel fait d´un morceau du tronc d´arbre	1663	BED
Gravina-2014-717-45	45	bedroom	bedroom	chambre (à dormir)	2505	BEDROOM
Gravina-2014-717-46	46	bee	bee	abeille	665	BEE
Gravina-2014-717-47	47	beer	beer	bière // bière_blonde	1639	BEER
Gravina-2014-717-48	48	before	before	avant // avant (de) // avant que // avant, // avant; temporal	1882	BEFORE
Gravina-2014-717-49	49	beggar	beggar	mendiant	1934	BEGGAR
Gravina-2014-717-50	50	begin	begin	commencer // se mettre	1806	BEGIN
Gravina-2014-717-51	51	beginning	beginning	commencement, début // début	1557	BEGINNING
Gravina-2014-717-52	52	behind	behind	derrière	1686	BEHIND
Gravina-2014-717-53	53	belch	belch	roter // roti; l'action de faire renvoi // rôter; éructer // éructation // éructer // éructer, rôter	2245	BELCH
Gravina-2014-717-54	54	believe	believe	croire	1890	BELIEVE
Gravina-2014-717-55	55	abdomen (external)	abdomen (external)	estomac // estomac, abdomen (externe)	1251	BELLY
Gravina-2014-717-56	56	beside	beside	côté de // à côté de // à_côté_de; côté	1816	BESIDE
Gravina-2014-717-57	57	between	between	entre	689	BETWEEN
Gravina-2014-717-58	58	big	(be) big // big	(être) grand, gros // grand // grande // gros // gros et partout // géant // tombant // très_grand // un grand	1202	BIG
Gravina-2014-717-59	59	bile, gall	bile, gall	bile	1780	BILE
Gravina-2014-717-60	60	bird	bird	(oiseau) // oiseau // oiseau (esp.)	937	BIRD
Gravina-2014-717-61	61	bite (v)	bite (v)	mordre	1403	BITE
Gravina-2014-717-62	62	bitter	bitter	amer // amère // être amer	887	BITTER
Gravina-2014-717-63	63	(be) black	(be) black // black	(être) noir // noir	163	BLACK
Gravina-2014-717-64	64	blacksmith	blacksmith	forgeron	1001	BLACKSMITH
Gravina-2014-717-65	65	bladder	bladder	vessie	1746	BLADDER
Gravina-2014-717-66	66	blind person	blind person	(un) aveugle // aveugle	457	BLIND PERSON
Gravina-2014-717-67	67	blink	blink	cligner (des yeux)	1655	BLINK
Gravina-2014-717-68	68	blood	blood	sang	946	BLOOD
Gravina-2014-717-69	69	blow	blow	souffler // souffler dans // souffler_(du vent)	175	BLOW (OF WIND)
Gravina-2014-717-70	70	blow nose	blow nose	se moucher	2679	BLOW (WITH NOSE)
Gravina-2014-717-71	71	body	body	corps	1480	BODY
Gravina-2014-717-72	72	bone	bone	os	1394	BONE
Gravina-2014-717-73	73	bottle	bottle	bouteille	1321	BOTTLE
Gravina-2014-717-74	74	bottom	bottom	fond // fond ; base ; bas	690	BOTTOM
Gravina-2014-717-75	75	bow (hunting)	bow (hunting)	arc (de chasse)	994	BOW
Gravina-2014-717-76	76	bowl	bowl	basin // bol // bol, assiette creuse	1530	BOWL
Gravina-2014-717-77	77	boy	boy	garçon	1366	BOY
Gravina-2014-717-78	78	bracelet	bracelet	bracelet // bracelet; bracelet au dessus du coude	1754	BRACELET
Gravina-2014-717-79	79	brain	brain	cerveau	1583	BRAIN
Gravina-2014-717-80	80	bread	bread	pain	1368	BREAD
Gravina-2014-717-81	81	breast	breast	mamelle; sein // sein // sein (mamelle)	1402	BREAST
Gravina-2014-717-82	82	breath	breath	souffle // souffle, haleine	870	BREATH
Gravina-2014-717-83	83	breathe	breathe	respirer	1407	BREATHE
Gravina-2014-717-84	84	bride	bride	mariée	1266	BRIDE
Gravina-2014-717-85	85	bring	bring	amener // apporter // apporter, amener	692	BRING
Gravina-2014-717-86	86	broom	broom	balai	245	BROOM
Gravina-2014-717-87	87	brother	brother	frère	1262	BROTHER
Gravina-2014-717-88	88	buffalo	buffalo	buffle	934	BUFFALO
Gravina-2014-717-89	89	build	build	construire // construire ; bâtir une case // construire, bâtir	1840	BUILD
Gravina-2014-717-90	90	bull	bull	taureau	1008	BULL
Gravina-2014-717-91	91	burn	burn	brûler // brûler plusieurs fois // calciner // se brûler	2102	BURN
Gravina-2014-717-92	92	bury	bury	enterrer // enterrer, ensevelir	1719	BURY
Gravina-2014-717-93	93	bush	bush	(arbuste) // (buisson) // arbuste, buisson // brousse // brousse non-cultivée // buisson	1683	BUSH
Gravina-2014-717-94	94	butterfly	butterfly	papillon	1791	BUTTERFLY
Gravina-2014-717-95	95	buttock	buttock	fesse	834	BUTTOCKS
Gravina-2014-717-96	96	buy	buy	acheter	1869	BUY
Gravina-2014-717-97	97	calabash	calabash	calabasse // calebasse // calebasse, louche; calebasse à manche longue, comme une cuillère // flacon	3918	CALABASH
Gravina-2014-717-98	98	calf	calf	mollet // veau	1989	CALF
Gravina-2014-717-99	99	camel	camel	chameau	1871	CAMEL
Gravina-2014-717-100	100	canoe	canoe	pirogue // pirogue, canoë	1970	CANOE
Gravina-2014-717-101	101	cassava	cassava	manioc	925	CASSAVA
Gravina-2014-717-102	102	cat	cat	chat	1208	CAT
