ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-61	61	ernst	serious			50.072	4.583	4.083	5.25	5.333	4.333	5.292	4.813	4.667	5.333	4.417	4.667	5	4.542	4.771	5.417	5.167	4.333	5	5.292	4.667	4.979	4.583	4.917	5.25	4	4.75	4.625	4.688	4.833	4.75	4.667	4.917	4.792	4.792	4.792	4.083	3.917	3.833	4.083	4	3.958	3.979	4.625	4.625	1.917
Gruehn-2008-200-62	62	erschoepft	exhausted			10.781	3.917	3.75	2.833	2.833	3.833	2.833	3.333	3.75	2.75	3.417	2.833	3.25	3.125	3.188	2.5	2	3.273	2.75	2.25	3	2.617	4.583	5.167	5.083	5.75	4.875	5.417	5.146	4	3.25	2.667	2.75	3.625	2.708	3.167	4.25	4	4.083	3.667	4.125	3.875	4	2.625	3.25	2
Gruehn-2008-200-63	63	erstaunt	astonished	1572	SURPRISED	10.944	4.75	4.583	4.5	4.083	4.667	4.292	4.479	4	4.417	4	4.75	4.208	4.375	4.292	3.25	2.667	3.25	3.5	2.958	3.375	3.167	5.083	6	4.667	5.25	5.542	4.958	5.25	3.917	3.417	4.5	3.5	3.667	4	3.833	3.25	3.167	2.5	2.583	3.208	2.542	2.875	4.813	4.75	1.917
Gruehn-2008-200-64	64	feige	cowardly	3812	COWARDLY	2.852	1.833	1.833	2.083	1.917	1.833	2	1.917	5.167	5.5	4.667	4.083	5.333	4.375	4.854	2.417	1.667	2.917	3.167	2.042	3.042	2.542	3.667	4.417	4.417	4.5	4.042	4.458	4.25	2.917	2.333	2	2.083	2.625	2.042	2.333	2.75	2.667	2.583	3	2.708	2.792	2.75	1.75	2.125	1.458
Gruehn-2008-200-65	65	feindselig	hostile			1.011	1.333	1.75	1.417	1.5	1.542	1.458	1.5	6.5	6.167	6.333	6.417	6.333	6.375	6.354	3.083	4.25	4.75	3.333	3.667	4.042	3.854	3.833	4.667	4.583	5.333	4.25	4.958	4.604	1.583	2.5	1.333	1.5	2.042	1.417	1.729	2.833	3.333	3.083	2.75	3.083	2.917	3	1.688	1.188	1.083
Gruehn-2008-200-66	66	fies	nasty			632	1.167	1.75	1.25	1.417	1.458	1.333	1.396	5.917	5.5	6.417	5.25	5.708	5.833	5.771	4.5	4.273	4	3.417	4.391	3.708	4.043	4.75	5.917	4.583	5.5	5.333	5.042	5.188	2.25	3.25	1.583	1.583	2.75	1.583	2.167	2.583	2.417	2.917	3.167	2.5	3.042	2.771	1.688	1.188	1
Gruehn-2008-200-67	67	flexibel	flexible			08.04	5.75	5	6.083	5.333	5.375	5.708	5.542	2.75	3.083	3.25	3.917	2.917	3.583	3.25	6.083	5.583	4.333	5.417	5.833	4.875	5.354	2.727	2.583	4.083	3.5	2.652	3.792	3.234	5.5	5.5	6.167	5.667	5.5	5.917	5.708	1.75	1.417	2.25	2.75	1.583	2.5	2.042	5.938	5.875	1.667
Gruehn-2008-200-68	68	frech	impudent			4.976	3.917	3.583	2.333	2	3.75	2.167	2.958	4.083	4.583	5.083	5.083	4.333	5.083	4.708	5.083	4.417	5.083	3.333	4.75	4.208	4.479	5.083	6.333	5.333	5.75	5.708	5.542	5.625	4.667	4.75	3	2.583	4.708	2.792	3.75	1.917	1.833	1.833	1.917	1.875	1.875	1.875	4.75	4.375	1.125
Gruehn-2008-200-69	69	friedlich	peaceful			12.432	6.583	6.083	5.833	5.833	6.333	5.833	6.083	1.833	1.833	1.75	2.667	1.833	2.208	2.021	5	4.833	3.917	4.417	4.917	4.167	4.542	4.75	5.333	4.75	5.25	5.042	5	5.021	6.167	6.083	5.917	5.667	6.125	5.792	5.958	3.667	4.25	3.833	4	3.958	3.917	3.938	5.938	5.938	1.333
Gruehn-2008-200-70	70	froehlich	cheerful	1976	MERRY	11.241	6.583	6.417	6.417	6.25	6.5	6.333	6.417	2	2.25	2	2.455	2.125	2.217	2.17	5.727	4.5	5.25	4.833	5.087	5.042	5.064	6.083	6.083	6.25	6.417	6.083	6.333	6.208	5.917	5.583	5.25	5	5.75	5.125	5.438	2.417	2.5	2.667	2.917	2.458	2.792	2.625	6.688	6.5	1.708
Gruehn-2008-200-71	71	frustriert	frustated			4.47	1.833	1.75	2.333	2.25	1.792	2.292	2.042	6.25	5.75	6	5.333	6	5.667	5.833	1.833	2.167	3.167	2.333	2	2.75	2.375	3.75	4.667	3.75	4.5	4.208	4.125	4.167	3	2.917	1.75	2.667	2.958	2.208	2.583	3.25	2.75	2.917	3	3	2.958	2.979	1.375	2.063	1.958
Gruehn-2008-200-72	72	furchtlos	fearless			.8	5.083	5.083	5.25	5.25	5.083	5.25	5.167	2.917	3.25	3.833	4.417	3.083	4.125	3.604	5.167	5.25	4.727	5.5	5.208	5.13	5.17	3.917	5.417	5	4.5	4.667	4.75	4.708	3.333	4.5	5.417	4.333	3.917	4.875	4.396	2.333	2	2.167	2.167	2.167	2.167	2.167	5.125	4.813	1.75
Gruehn-2008-200-73	73	furchtsam	frightened			23.6	2.5	2.5	3.167	2.583	2.5	2.875	2.688	5.417	5.667	6	3.727	5.542	4.913	5.234	2.083	2.167	3	2.75	2.125	2.875	2.5	3.75	5.083	4.364	5.667	4.417	5.043	4.723	3	2.917	2.667	3	2.958	2.833	2.896	3.583	3.5	4	3.417	3.542	3.708	3.625	2.313	2.75	1.917
Gruehn-2008-200-74	74	gebildet	educated			20.458	6.583	6.167	6.5	6.333	6.375	6.417	6.396	3	2.917	3.083	3.75	2.958	3.417	3.188	6	5.833	5.417	5.5	5.917	5.458	5.688	3.083	5.091	4.25	4.417	4.043	4.333	4.191	5.583	5.583	5.167	5.417	5.583	5.292	5.438	3.083	3.167	3.5	3.333	3.125	3.417	3.271	6.5	6.188	1.833
Gruehn-2008-200-75	75	geduldig	patient	3884	PATIENT	5.869	5.583	5.583	6.167	5.583	5.583	5.875	5.729	2.5	2.417	2.5	2	2.458	2.25	2.354	5.417	5.333	4.417	4.583	5.375	4.5	4.938	3.5	3.333	4	3.667	3.417	3.826	3.617	4.417	4.167	5.5	4.833	4.292	5.167	4.729	3.583	4	3.667	4	3.792	3.833	3.813	6.25	6.438	1.375
Gruehn-2008-200-76	76	gehemmt	inhibited			1.535	2.364	2.083	2.667	2.583	2.217	2.625	2.426	5.5	5.833	4.667	4.167	5.667	4.417	5.042	2.583	1.667	2.182	2.583	2.125	2.391	2.255	3.25	3.333	4	3.917	3.292	3.957	3.617	2.083	2.75	2.333	2.583	2.417	2.458	2.438	3.417	3.083	3.083	3.333	3.25	3.208	3.229	2.063	2.313	1.792
Gruehn-2008-200-77	77	gehorsam	obedient			1.161	2.75	2.75	5	4.5	2.75	4.75	3.75	5.833	4.833	3.75	4.333	5.333	4.042	4.688	3.333	2.833	5.25	3.417	3.083	4.333	3.708	4.167	5.5	4.333	4.167	4.833	4.25	4.542	3.333	2.833	3.583	3.083	3.083	3.333	3.208	3.5	3.417	3.667	3.167	3.458	3.417	3.438	3.313	3.063	1.167
Gruehn-2008-200-78	78	geizig	stingy	1774	STINGY	831	1.667	1.917	2	1.667	1.792	1.833	1.813	5.417	6	4.917	4.364	5.708	4.652	5.191	4.583	4.583	3.833	3.583	4.583	3.708	4.146	4.364	6.083	4.25	4.5	5.261	4.375	4.809	2.167	2.333	1.917	1.833	2.25	1.875	2.063	3.083	2.917	3.833	3.5	3	3.667	3.333	2.313	1.688	1.333
Gruehn-2008-200-79	79	gelangweilt	bored			3.126	2.25	2.75	2.75	2.333	2.5	2.542	2.521	2.75	3	2.667	2.333	2.87	2.5	2.681	2.917	2.5	2.917	2.917	2.708	2.917	2.813	4.167	5.917	3.667	3.917	5.042	3.792	4.417	2.583	2.833	2.083	2.917	2.708	2.5	2.604	3	2	1.917	2.583	2.5	2.25	2.375	1.813	1.938	1.75
Gruehn-2008-200-80	80	gelassen	at ease			42.879	6	6	5.917	5.333	6	5.625	5.813	1.5	1.667	1.75	2.333	1.583	2.042	1.813	4.75	4.667	4.083	3.417	4.708	3.75	4.229	3.25	4	4.818	2.636	3.625	3.727	3.674	4.417	5.25	5.333	5.333	4.833	5.333	5.083	3.25	3.667	3.636	3.917	3.458	3.783	3.617	6.063	5.625	1.917
Gruehn-2008-200-81	81	gemuetlich	comfortable			6.503	5.917	6.083	5.833	5.5	6	5.667	5.833	1.25	1.5	1.5	1.5	1.375	1.5	1.438	3.917	4.083	3.917	3.667	4	3.792	3.896	5.667	5.667	5	5.25	5.667	5.125	5.396	5	4.917	5.25	5.083	4.958	5.167	5.063	4.25	3.917	4.5	3.75	4.083	4.125	4.104	5.688	5.625	1.625
Gruehn-2008-200-82	82	genuegsam	modest			519	4.083	4.167	4.417	4.167	4.125	4.292	4.208	2.833	3	3.083	3	2.917	3.042	2.979	4.083	4.667	4.333	3.917	4.375	4.125	4.25	2.583	3.333	4.75	3.25	2.958	4	3.479	4	4.667	5.917	5	4.333	5.458	4.896	4.083	3.833	3.917	3.917	3.958	3.917	3.938	4.813	5.313	1.542
Gruehn-2008-200-83	83	gerecht	just			22.117	6.167	6	6.583	6.583	6.083	6.583	6.333	2.75	2.75	2.333	3.583	2.75	2.958	2.854	5.417	5.5	5.417	5.917	5.458	5.667	5.563	4.333	4.583	3.583	2.417	4.458	3	3.729	6.167	5.25	6.083	5.667	5.708	5.875	5.792	3.167	3.417	3.333	3.333	3.292	3.333	3.313	6.188	6.438	1.208
Gruehn-2008-200-84	84	gereizt	irritated			5.102	1.583	1.5	1.833	1.75	1.542	1.792	1.667	6.333	6.5	6.167	5.917	6.417	6.042	6.229	3	2.667	3.083	3	2.833	3.042	2.938	4.083	4.5	5.583	5.333	4.292	5.458	4.875	2.833	2.667	2.364	2.75	2.75	2.565	2.66	2.917	2.833	3.5	3.167	2.875	3.333	3.104	1.875	2.063	1.333
Gruehn-2008-200-85	85	geschickt	skilful	1824	DEXTEROUS	42.038	5.75	5.583	5.917	6.5	5.667	6.208	5.938	3.167	3.5	3	3.25	3.333	3.125	3.229	5.75	5.5	4.667	5.25	5.625	4.958	5.292	4	3.917	4.75	4.25	3.957	4.5	4.234	5.25	4.667	6.167	4.333	4.958	5.25	5.104	2.417	2.25	2.75	2.455	2.333	2.609	2.468	5.813	5.25	2
Gruehn-2008-200-86	86	geschwaetzig	gossipy			422	3.583	3.583	1.667	1.917	3.583	1.792	2.688	3.167	4.167	4.833	4	3.667	4.435	4.043	3.417	3.833	4.167	2.583	3.625	3.375	3.5	4.5	5.333	5.167	5.333	4.917	5.25	5.083	4.5	4.167	2.5	2.167	4.333	2.333	3.333	3.583	3.333	3.167	3.25	3.458	3.208	3.333	3.688	3.438	1
Gruehn-2008-200-87	87	gesellig	sociable			494	5.417	5.917	5.833	5.25	5.667	5.542	5.604	2.583	2.083	2.75	3.083	2.333	2.917	2.625	4.917	4.833	5.083	4.833	4.875	4.958	4.917	5.333	5.583	5.5	5.75	5.458	5.625	5.542	5.75	5.25	5.667	4.75	5.5	5.208	5.354	2.25	2.833	2.75	3.083	2.542	2.917	2.729	6.125	6	1.083
Gruehn-2008-200-88	88	gespraechig	talkative			587	5.333	5.083	5.167	4.667	5.208	4.917	5.063	2.917	2.667	3.75	3.667	2.792	3.708	3.25	5	4.167	5	4.333	4.583	4.667	4.625	4.667	4.417	5.25	4.5	4.542	4.875	4.708	5.417	5.25	5.417	4.75	5.333	5.083	5.208	3.167	3.417	2.333	3.25	3.292	2.792	3.042	5.313	5.625	1.083
Gruehn-2008-200-89	89	gesund	healthy	1364	HEALTHY	15.579	6.917	6.083	6.75	6.333	6.5	6.542	6.521	2.167	2	2.167	3	2.083	2.583	2.333	5.5	5.917	4.083	4.5	5.708	4.292	5	6	4.917	4.667	5.25	5.458	4.958	5.208	5.917	5.917	4.917	4.5	5.917	4.708	5.313	1.5	1.667	1.917	2.167	1.583	2.042	1.813	6.875	6	2
Gruehn-2008-200-90	90	gewissenhaft	conscientious			1.924	5.333	4.833	6.5	6.25	5.083	6.375	5.729	4.583	4.75	3.667	4.333	4.667	4	4.333	5.583	5.583	5.5	6	5.583	5.739	5.66	2.917	2.833	4.167	3.583	2.875	3.875	3.375	6	4.667	6.167	5.833	5.333	6	5.667	3.583	3.833	3.833	4	3.708	3.917	3.813	5.938	5.938	1.75
Gruehn-2008-200-91	91	gierig	greedy	2018	GREEDY	1.732	2.167	1.917	1.583	1.583	2.042	1.583	1.813	6.083	6.25	6.083	6.167	6.167	6.125	6.146	2.833	2.909	4.583	3	2.87	3.792	3.34	4.917	6	4.417	5.167	5.458	4.792	5.125	2.583	3.333	1.417	1.583	2.958	1.5	2.229	2.417	2.083	2	2.333	2.25	2.167	2.208	2.25	1.813	1.25
Gruehn-2008-200-92	92	gluecklich	happy	1495	HAPPY	40.126	6.917	6.75	6.917	6.583	6.833	6.75	6.792	2.333	1.667	1.417	2.167	2	1.792	1.896	5.25	4.667	3.667	4.583	4.958	4.125	4.542	6.167	5.583	6.364	5.364	5.875	5.864	5.87	6	5.667	5.25	5.75	5.833	5.5	5.667	2.917	3	2.833	3.25	2.958	3.042	3	6.938	6.688	2
Gruehn-2008-200-93	93	grausam	cruel	500	CRUEL	5.978	1	1.167	1	1.25	1.083	1.125	1.104	6.333	6.5	6.833	6.583	6.417	6.708	6.563	3.833	4.25	4.667	3.5	4.042	4.083	4.063	5.75	6.167	5.583	6	5.958	5.792	5.875	1	2	1.091	1.417	1.5	1.261	1.383	2.917	2.75	2.75	2.75	2.833	2.75	2.792	1.313	1.063	1.083
Gruehn-2008-200-94	94	gruendlich	thorough			15.635	4.75	4.667	6.417	6.083	4.708	6.25	5.479	4.417	4.75	3.917	3.583	4.583	3.75	4.167	5.583	5.667	5.333	5.333	5.625	5.333	5.479	3.5	4.417	4.417	3.667	3.958	4.042	4	5.417	4.583	6.083	6	5	6.042	5.521	3.667	3.5	3.333	3.917	3.583	3.625	3.604	5.813	5.375	1.917
Gruehn-2008-200-95	95	guetig	kind	3299	KIND	1.511	6.25	5.75	6.833	6.083	6	6.458	6.229	1.917	2.167	2.25	2.273	2.042	2.261	2.149	5.25	5.5	4.833	4	5.375	4.417	4.896	3.833	3.583	5.25	4.182	3.708	4.739	4.213	5.083	4.583	5.667	5.083	4.833	5.375	5.104	4.083	3.833	3.833	4.091	3.958	3.957	3.957	5.813	5.938	1.083
Gruehn-2008-200-96	96	harmlos	harmless			7.908	4.417	4.417	4.667	4.333	4.417	4.5	4.458	1.917	1.667	3	2.167	1.792	2.583	2.188	3.75	3.333	3.417	2.75	3.542	3.083	3.313	3.333	3.583	4	2.273	3.458	3.174	3.319	4.75	4.083	4	3.083	4.417	3.542	3.979	3.5	3.75	3.333	3.833	3.625	3.583	3.604	4.125	4.5	1.167
Gruehn-2008-200-97	97	haesslich	ugly	1548	UGLY	3.174	1.75	2	2.333	2.25	1.875	2.292	2.083	4.25	4.1	4.417	4.5	4.625	4.458	4.542	3.25	2.75	2.917	3	3	2.957	2.979	6.333	6.75	5.417	6.833	6.542	6.125	6.333	2.083	1.75	2.417	2.833	1.917	2.625	2.271	3.25	3.167	3.083	3.667	3.208	3.375	3.292	2	3.188	1.708
Gruehn-2008-200-98	98	heiter	bright			9.268	6.083	5.917	6.167	6.083	6	6.125	6.063	2.667	2.833	3	3.182	2.75	3.087	2.915	5.167	4.417	4.167	4.25	4.792	4.208	4.5	5.583	5.583	5.917	5.333	5.583	5.625	5.604	6	5.583	5.417	5.167	5.792	5.292	5.542	2.917	2.75	2.833	2.667	2.833	2.75	2.792	6.125	5.875	2
Gruehn-2008-200-99	99	hektisch	hectic			3.988	2.5	2.417	1.75	2.25	2.458	2	2.229	6.583	6.25	6.25	5.917	6.417	6.083	6.25	2.833	2.667	3.917	1.917	2.75	2.917	2.833	5.5	6	5.083	5	5.75	5.043	5.404	4	3.25	2.667	2.75	3.625	2.708	3.167	2	1.833	2	1.727	1.917	1.87	1.894	2.688	2.875	1.417
Gruehn-2008-200-100	100	hemmungslos	unrestrained			2.659	3.667	4.167	1.5	1.833	3.917	1.667	2.792	3.083	3.167	5.417	5.333	3.125	5.375	4.25	3.167	3.167	2.75	2.167	3.167	2.458	2.813	3.833	5.417	5.909	4.75	4.625	5.304	4.957	3.333	4.25	1.333	1.417	3.792	1.375	2.583	2.167	1.833	2.083	2.364	2	2.217	2.106	3.875	3.75	1.333
Gruehn-2008-200-101	101	hilflos	helpless			9.555	2.583	2.417	2.25	2.667	2.5	2.458	2.479	5.667	5.5	5.818	4.833	5.583	5.304	5.447	1.333	1.083	1.818	2	1.208	1.913	1.553	4.167	4.917	4.667	4.917	4.542	4.792	4.667	2.25	2	2.083	1.75	2.125	1.917	2.021	4.25	4	3.75	3.833	4.125	3.792	3.958	1.563	2.5	1.75
Gruehn-2008-200-102	102	hoeflich	polite	3300	POLITE	7.069	5.667	5.75	6.417	5.917	5.708	6.167	5.938	3.583	3.083	2.917	2.75	3.333	2.833	3.083	4.917	5.083	4.583	4.917	5	4.75	4.875	4.182	5.083	5.417	4.333	4.652	4.875	4.766	6.083	5.75	5.917	5.75	5.917	5.833	5.875	3.25	3.667	3.75	3.583	3.458	3.667	3.563	5.688	5.75	1
Gruehn-2008-200-103	103	impulsiv	impulsive			543	5.417	5.083	5.25	5.182	5.25	5.217	5.234	4.75	5.25	4.917	5.667	5	5.292	5.146	4.25	2.917	4.25	3.75	3.583	4	3.792	4.417	3.917	5.25	4.75	4.167	5	4.583	5.167	4	6.25	4	4.583	5.125	4.854	1.917	1.833	2	1.833	1.875	1.917	1.896	4.313	4.438	1.625
Gruehn-2008-200-104	104	intelligent	intelligent	2530	SMART	4.418	6.583	6.25	6.667	6.417	6.417	6.542	6.479	2.667	3.5	3.667	4.167	3.083	3.917	3.5	6.167	6.083	4.75	5.167	6.125	4.958	5.542	4.167	4.583	4.75	2.917	4.375	3.833	4.104	5.917	5.667	5.167	5.75	5.792	5.458	5.625	3	2.417	3	2.75	2.708	2.875	2.792	6.625	6.438	1.917
Gruehn-2008-200-105	105	interessiert	interested			55.203	6	5.917	6.417	6.083	5.958	6.25	6.104	4.75	3.917	5.083	5.167	4.333	5.125	4.729	6.083	5.917	5.75	6	6	5.875	5.938	4	4.333	4.818	3.75	4.174	4.261	4.217	6.25	6.083	6.25	5.833	6.167	6.042	6.104	2.583	2.083	2.25	2.667	2.333	2.458	2.396	6.563	6.688	1.458
Gruehn-2008-200-106	106	ironisch	ironic			6.9	4.333	4.583	2.583	4	4.458	3.292	3.875	4.25	4.167	5.273	4.333	4.208	4.783	4.489	4.583	5.333	4.167	4.5	4.958	4.333	4.646	3.417	2.75	4.417	3.917	3.083	4.167	3.625	4.667	6	3.5	4.364	5.333	3.913	4.638	2.083	2.25	3.25	3.5	2.167	3.375	2.771	5.313	5.438	1.333
Gruehn-2008-200-107	107	irritiert	confused	3858	CONFUSED	6.722	3	2.917	3.417	2.75	2.958	3.083	3.021	5	4.833	5.25	4.5	4.917	4.875	4.896	3.333	2.25	3.167	2.667	2.792	2.917	2.854	4.25	4.167	4.083	3.75	4.208	3.917	4.063	2.583	2.083	2.25	2.75	2.333	2.5	2.417	3.167	3.583	3.333	3.333	3.375	3.333	3.354	2.563	3.063	1.75
Gruehn-2008-200-108	108	jung	young	1207	YOUNG	19.92	6.333	6	5.667	5.417	6.167	5.542	5.854	3.333	3.417	3.5	3.917	3.375	3.708	3.542	5.083	4.917	3.917	4.417	5	4.167	4.583	6.083	6.417	6.333	6	6.25	6.174	6.213	6.333	6.333	1.417	2.25	6.333	1.833	4.083	1.167	31.12	1.333	1.5	1.083	1.417	1.25	4.813	4.313	1.917
Gruehn-2008-200-109	109	kaempferisch	belligerent			3.782	4.417	4.667	5.083	5.167	4.542	5.125	4.833	6.667	6.25	6.333	6.5	6.458	6.417	6.438	6	5.583	6.25	5.333	5.792	5.792	5.792	5.75	6.167	6.167	5.583	5.958	5.875	5.917	5.167	4	5.25	4.917	4.583	5.083	4.833	1.833	1.75	2	1.917	1.792	1.958	1.875	5.438	4.688	1.708
Gruehn-2008-200-110	110	kontrolliert	controlled			21.656	3.083	3.417	4.75	5	3.25	4.875	4.063	5.083	5.583	4.75	4.917	5.333	4.833	5.083	5.667	4.333	5.583	4.667	5	5.125	5.063	3.167	3.083	4	3.5	3.125	3.75	3.438	4.5	4.167	5.5	5.167	4.333	5.333	4.833	3	3.75	3.667	3.75	3.375	3.708	3.542	4.625	4.5	1.667
Gruehn-2008-200-111	111	konzentriert	concentrating			23.716	5.25	5.167	6.167	5.917	5.208	6.042	5.625	5.083	5.333	4.75	5.083	5.208	4.917	5.063	6.333	6.417	6.25	5.833	6.375	6.042	6.208	4.5	4.917	4.364	3.583	4.708	3.957	4.34	5.25	5.333	6.083	5.667	5.292	5.875	5.583	2.25	2.667	2.833	2.75	2.458	2.792	2.625	6.313	5.75	2
Gruehn-2008-200-112	112	kraftvoll	powerful	3001	POWERFUL	2.579	5.667	5.25	5.833	5.833	5.458	5.833	5.646	5.417	5.25	5	5.083	5.333	5.042	5.188	5.5	5.667	5.083	5.167	5.583	5.125	5.354	5.5	5.25	5.75	5.167	5.375	5.458	5.417	5.083	4.833	4.167	4.75	4.958	4.458	4.708	1.75	1.667	1.917	1.667	1.708	1.792	1.75	5.938	6.063	2
Gruehn-2008-200-113	113	krank	ill	1847	SICK	21.402	2.167	1.833	1.917	2.417	2	2.167	2.083	4.667	4.75	4.667	4.417	4.708	4.542	4.625	1.917	1.5	3.25	3.333	1.708	3.292	2.5	6.25	6.333	5.167	6	6.292	5.583	5.938	2.167	1.75	2.667	3.167	1.958	2.917	2.438	4.5	4.333	4.167	4.333	4.417	4.25	4.333	1.563	2.563	1.958
Gruehn-2008-200-114	114	kreativ	creative			4.052	6.25	5.917	6.417	6.167	6.083	6.292	6.188	2.917	2.583	3.083	4.25	2.75	3.667	3.208	5.167	4.5	5.167	5.417	4.833	5.292	5.063	5.667	5.083	5.917	4.667	5.375	5.292	5.333	5.167	5.5	5.667	4.818	5.333	5.261	5.298	2.167	1.833	2.5	2.182	2	2.348	2.17	6.313	6.188	1.75
Gruehn-2008-200-115	115	kritisch	critical			20.751	4.25	4.417	5.25	5.5	4.333	5.375	4.854	5.333	5.083	5	5.167	5.208	5.083	5.146	5.75	5.083	5.25	5.667	5.417	5.458	5.438	2.917	3.25	3.75	3.417	3.083	3.583	3.333	5.667	5.417	6	5.5	5.542	5.75	5.646	2.75	2.833	3.25	3.636	2.792	3.435	3.106	5.625	5.438	1.5
Gruehn-2008-200-116	116	lahm	lame	320	LAME	4.55	2.083	2.417	2.417	2.167	2.25	2.292	2.271	3	3	2.75	2.75	3	2.75	2.875	2.833	2.083	2.167	2.083	2.458	2.125	2.292	4.75	4.545	4.833	5.417	4.652	5.125	4.894	1.5	2.5	1.917	1.833	2	1.875	1.938	3.667	4.167	3.667	3.917	3.917	3.792	3.854	1.75	1.875	1.75
Gruehn-2008-200-117	117	langsam	slowly	701	SLOW	62.801	3	3.25	2.917	3	3.125	2.958	3.042	2.417	2.833	2.333	2.583	2.625	2.458	2.542	3.833	3.5	3.167	3.583	3.667	3.375	3.521	5.167	5.083	5.583	4.417	5.125	5	5.063	2.167	3.25	2.583	2.417	2.708	2.5	2.604	4.25	4.333	3.917	3.917	4.292	3.917	4.104	2.5	2.375	1.833
Gruehn-2008-200-118	118	launisch	moody			628	2.083	2.083	1.583	1.917	2.083	1.75	1.917	5.5	5.167	5.5	5.083	5.333	5.292	5.313	2.583	2.25	3.417	2.333	2.417	2.875	2.646	4.417	3.25	4.455	3.727	3.833	4.091	3.957	3.25	3.417	1.75	2.5	3.333	2.125	2.729	2.917	3	2.917	3.667	2.958	3.292	3.125	1.875	1.75	1.208
Gruehn-2008-200-119	119	lebhaft	lively			5.408	6.083	5.917	6.083	5.5	6	5.792	5.896	3.917	3.833	5.083	4.818	3.875	4.957	4.404	4.833	5.083	4.5	4.083	4.958	4.292	4.625	5.5	5.333	5.583	5.583	5.417	5.583	5.5	5.917	5.667	6	4.333	5.792	5.167	5.479	1.75	1.364	1.917	1.833	1.565	1.875	1.723	5.938	5.625	1.667
Gruehn-2008-200-120	120	liberal	liberal			2.883	5.333	4.417	6.25	5.167	4.875	5.708	5.292	2.667	2.75	2.667	3.25	2.708	2.958	2.833	4.25	4.25	4	4.667	4.25	4.333	4.292	2.167	2.333	3.25	2.417	2.25	2.833	2.542	4.667	4.25	5.417	5.083	4.458	5.25	4.854	2.833	2.667	3.417	3.417	2.75	3.417	3.083	5.5	5.5	1.292
Gruehn-2008-200-121	121	listig	wily			1.397	3	2.833	3.167	2.5	2.917	2.833	2.875	5	5.167	5.417	5.273	5.083	5.348	5.213	6	5.583	5.167	5.583	5.792	5.375	5.583	4	5.083	3.917	4	4.542	3.958	4.25	3	3.333	1.333	2	3.167	1.667	2.417	2.917	2.417	3.083	3.083	2.667	3.083	2.875	3.625	2.625	1.25
Gruehn-2008-200-122	122	lustig	jovial			17.447	6.417	6.5	6	5.917	6.458	5.958	6.208	2.583	2.083	2.5	3.083	2.333	2.792	2.563	4.667	4.25	3.667	4.333	4.458	4	4.229	6.167	6.25	6.167	5.364	6.208	5.783	6	5.667	5.833	5.25	4.833	5.75	5.042	5.396	2.667	2.333	2.5	2.25	2.5	2.375	2.438	6.063	6.063	1.708
