ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-31	31	bescheiden	modest			15.151	4.75	5.167	4.5	5.333	4.958	4.917	4.938	3.091	2.667	2.667	2.75	2.87	2.708	2.787	3.917	4.5	4.833	4.833	4.208	4.833	4.521	2.25	2.75	4.167	3.417	2.5	3.792	3.146	4.167	4.333	4.833	4	4.25	4.417	4.333	3.75	4	3.75	3.833	3.875	3.792	3.833	4.938	5.25	1.792
Gruehn-2008-200-32	32	besonnen	level-headed			2.232	5.083	5.25	6.083	6.25	5.167	6.167	5.667	2.5	2.417	1.917	3	2.458	2.458	2.458	4.917	5.25	5.25	5.583	5.083	5.417	5.25	3.25	3.25	4	3.5	3.25	3.75	3.5	4.333	4.417	5.667	5.833	4.375	5.75	5.063	3.583	3.75	3.917	3.917	3.667	3.917	3.792	5.75	5.625	2
Gruehn-2008-200-33	33	besorgt	worried			19.631	2.75	3.25	4.333	4	3	4.167	3.583	5.583	5.25	5.083	5.167	5.417	5.125	5.271	3.818	3.083	4.083	5	3.435	4.542	4	5.25	5.417	4.333	3.727	5.333	4.043	4.702	4.833	4.25	5	4.917	4.542	4.958	4.75	3.5	3.917	3.818	4.083	3.708	3.957	3.83	3.25	4.25	1.667
Gruehn-2008-200-34	34	bestimmend	decisive			.86	2.583	3.167	3.667	3.833	2.875	3.75	3.313	5.417	5.25	5.833	5.25	5.333	5.542	5.438	6.083	6.25	5	5.333	6.167	5.167	5.667	3.417	4.667	4.667	4.75	4.042	4.708	4.375	4.167	4.083	4.333	4.083	4.125	4.208	4.167	3	3.25	3.833	3.083	3.125	3.458	3.292	4.125	2.688	1
Gruehn-2008-200-35	35	boshaft	malicious			1.008	1.25	1.833	1.333	1.5	1.542	1.417	1.479	6.333	5.917	6	5.75	6.125	5.875	6	4.167	4.333	4.417	3.833	4.25	4.125	4.188	5	5.417	4.917	4.417	5.208	4.667	4.938	1.417	2	1.583	1.833	1.708	1.708	1.708	2.833	2.833	3.25	2.917	2.833	3.083	2.958	1.5	1.063	1
Gruehn-2008-200-36	36	brutal	brutal			9.161	1	1.167	1	1.167	1.083	1.083	1.083	6.833	6.417	6.833	6.583	6.625	6.708	6.667	3.1	4	3.5	3	4	3.25	3.625	6.417	6.667	5.25	5.833	6.542	5.542	6.042	1	2	31.12	1.333	1.5	1.167	1.333	2.636	2.167	2.333	2	2.391	2.167	2.277	1.125	1	1
Gruehn-2008-200-37	37	defensiv	defensive			2.013	2.417	2.583	2.25	3.75	2.5	3	2.75	4.333	4.083	3.583	4.091	4.208	3.826	4.021	2.333	2.833	3.167	3.167	2.583	3.167	2.875	3.417	4	4	3.333	3.708	3.667	3.688	3.083	3.5	2.5	3.917	3.292	3.208	3.25	3.5	3	3.25	3.583	3.25	3.417	3.333	2.875	3.125	1.625
Gruehn-2008-200-38	38	depressiv	depressive			1.54	1.667	1.25	1.083	1.833	1.458	1.458	1.458	5.083	5.333	5	4	5.208	4.522	4.872	1.833	1.5	2.167	1.917	1.667	2.042	1.854	4.583	4.167	5	5.083	4.375	5.042	4.708	2.5	3.333	3.333	2.75	2.917	3.042	2.979	3.583	3.167	3.667	3.583	3.375	3.625	3.5	1.188	1.5	2
Gruehn-2008-200-39	39	deprimiert	depressed	3973	DEPRESSED	1.529	1.917	2.167	1.75	2.333	2.042	2.042	2.042	4.583	4.917	4.833	4.167	4.75	4.5	4.625	1.833	1.917	2.333	1.833	1.875	2.083	1.979	4.583	5.5	4.583	5.083	5.042	4.833	4.938	2.417	3.167	2	2	2.792	2	2.396	3.417	3	3.333	3.75	3.208	3.542	3.375	1.938	2.063	2
Gruehn-2008-200-40	40	direkt	direct			100.106	5	4.75	4.667	4.583	4.875	4.625	4.75	3.833	4.667	4	4.417	4.25	4.208	4.229	4.75	5.083	5.333	4.25	4.917	4.792	4.854	2.5	3.083	4.333	3.7	2.792	4.045	3.391	4.75	4.167	5.417	5.417	4.458	5.417	4.938	2.083	2.75	2.333	2.091	2.417	2.217	2.319	4.938	5.125	1
