ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	GLOSS
Starostin-2007-110-97	1411	LIE (REST)	97	лежать	lie
Starostin-2007-110-98	1425	GREEN	98	зеленый	green
Starostin-2007-110-99	1489	CLOUD	99	облако	cloud
Starostin-2007-110-100	1406	FAR	100	далекий	far
Starostin-2007-110-101	1202	BIG	101	большой	big
Starostin-2007-110-102	1204	BARK	102	кора	bark
Starostin-2007-110-103	671	SAND	103	песок	sand
Starostin-2007-110-104	1645	SHORT	104	короткий	short
Starostin-2007-110-105	1035	GOOD	105	хороший	good
Starostin-2007-110-106	1198	MANY	106	много	many
Starostin-2007-110-107	639	MOUNTAIN	107	гора	mountain
Starostin-2007-110-108	960	WIND	108	ветер	wind
Starostin-2007-110-109	1251	BELLY	109	живот	belly
Starostin-2007-110-110	1246	SMALL	110	маленький	small
