ID	NUMBER	ENGLISH	TRANSITIVITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Thwaites-2020-98-1	1	abduct	transitive		
Thwaites-2020-98-2	2	acquire	transitive	3892	ACQUIRE (SOMETHING)
Thwaites-2020-98-3	3	afford	transitive	3893	AFFORD
Thwaites-2020-98-4	4	attach	transitive	3894	ATTACH
Thwaites-2020-98-5	5	avoid	transitive	3639	AVOID
Thwaites-2020-98-6	6	baffle	transitive		
Thwaites-2020-98-7	7	bury	transitive	1719	BURY
Thwaites-2020-98-8	8	carry	transitive	700	CARRY
Thwaites-2020-98-9	9	chuck	transitive		
Thwaites-2020-98-10	10	crush	transitive	1520	CRUSH
Thwaites-2020-98-11	11	deduct	transitive		
Thwaites-2020-98-12	12	defy	transitive		
Thwaites-2020-98-13	13	detect	transitive	3895	DETECT
Thwaites-2020-98-14	14	devour	transitive		
Thwaites-2020-98-15	15	dilute	transitive	550	DILUTE
Thwaites-2020-98-16	16	dissect	transitive		
Thwaites-2020-98-17	17	eject	transitive		
Thwaites-2020-98-18	18	eliminate	transitive		
Thwaites-2020-98-19	19	enhance	transitive	2872	IMPROVE (SOMETHING)
Thwaites-2020-98-20	20	expedite	transitive		
Thwaites-2020-98-21	21	expel	transitive		
Thwaites-2020-98-22	22	extinguish	transitive	127	EXTINGUISH
Thwaites-2020-98-23	23	furnish	transitive		
Thwaites-2020-98-24	24	gratify	transitive	1271	DELIGHT
Thwaites-2020-98-25	25	illuminate	transitive		
Thwaites-2020-98-26	26	inject	transitive		
Thwaites-2020-98-27	27	injure	transitive	44	INJURE
Thwaites-2020-98-28	28	irrigate	transitive	3078	IRRIGATE
Thwaites-2020-98-29	29	knead	transitive	274	KNEAD
Thwaites-2020-98-30	30	lick	transitive	319	LICK
Thwaites-2020-98-31	31	nourish	transitive		
Thwaites-2020-98-32	32	pacify	transitive		
Thwaites-2020-98-33	33	pollinate	transitive		
Thwaites-2020-98-34	34	promote	transitive		
Thwaites-2020-98-35	35	propel	transitive		
Thwaites-2020-98-36	36	raise	transitive	1317	RAISE
Thwaites-2020-98-37	37	relieve	transitive		
Thwaites-2020-98-38	38	rescue	transitive	2008	RESCUE
Thwaites-2020-98-39	39	retrieve	transitive		
Thwaites-2020-98-40	40	scold	transitive	299	SCOLD
Thwaites-2020-98-41	41	sprinkle	transitive		
Thwaites-2020-98-42	42	stitch	transitive		
Thwaites-2020-98-43	43	stow	transitive		
Thwaites-2020-98-44	44	strangle	transitive		
Thwaites-2020-98-45	45	terrify	transitive		
Thwaites-2020-98-46	46	trounce	transitive		
Thwaites-2020-98-47	47	underline	transitive		
Thwaites-2020-98-48	48	vanquish	transitive		
Thwaites-2020-98-49	49	whack	transitive	353	STRIKE
Thwaites-2020-98-50	50	ache	intransitive	1815	ACHE
Thwaites-2020-98-51	51	appear	intransitive		
Thwaites-2020-98-52	52	bark	intransitive	1206	BARKING
Thwaites-2020-98-53	53	bicker	intransitive		
Thwaites-2020-98-54	54	blush	intransitive		
Thwaites-2020-98-55	55	cough	intransitive	879	COUGH
Thwaites-2020-98-56	56	dawdle	intransitive		
Thwaites-2020-98-57	57	depart	intransitive	1752	LEAVE
Thwaites-2020-98-58	58	dwindle	intransitive		
Thwaites-2020-98-59	59	emerge	intransitive	1076	EMERGE (APPEAR)
Thwaites-2020-98-60	60	erupt	intransitive	3112	ERUPT
Thwaites-2020-98-61	61	exist	intransitive	1579	BE
Thwaites-2020-98-62	62	expire	intransitive		
Thwaites-2020-98-63	63	fall	intransitive	1280	FALL
Thwaites-2020-98-64	64	fidget	intransitive		
Thwaites-2020-98-65	65	flinch	intransitive		
Thwaites-2020-98-66	66	flow	intransitive	2003	FLOW
Thwaites-2020-98-67	67	glisten	intransitive		
Thwaites-2020-98-68	68	glow	intransitive		
Thwaites-2020-98-69	69	grovel	intransitive		
Thwaites-2020-98-70	70	grumble	intransitive		
Thwaites-2020-98-71	71	happen	intransitive	248	HAPPEN
Thwaites-2020-98-72	72	hesitate	intransitive	3629	HESITATE
Thwaites-2020-98-73	73	hibernate	intransitive		
Thwaites-2020-98-74	74	inquire	intransitive	1309	ASK (INQUIRE)
Thwaites-2020-98-75	75	kneel	intransitive	66	KNEEL
Thwaites-2020-98-76	76	limp	intransitive	366	LIMP
Thwaites-2020-98-77	77	meditate	intransitive		
Thwaites-2020-98-78	78	migrate	intransitive	229	MOVE AWAY
Thwaites-2020-98-79	79	occur	intransitive		
Thwaites-2020-98-80	80	oscillate	intransitive		
Thwaites-2020-98-81	81	purr	intransitive		
Thwaites-2020-98-82	82	recede	intransitive		
Thwaites-2020-98-83	83	remain	intransitive	987	REMAIN
Thwaites-2020-98-84	84	rise	intransitive	3207	GO UP OR RISE (ONESELF)
Thwaites-2020-98-85	85	roar	intransitive	3896	ROAR
Thwaites-2020-98-86	86	seethe	intransitive		
Thwaites-2020-98-87	87	shiver	intransitive	52	SHIVER
Thwaites-2020-98-88	88	snooze	intransitive		
Thwaites-2020-98-89	89	sparkle	intransitive	2889	TWINKLE
Thwaites-2020-98-90	90	subside	intransitive		
Thwaites-2020-98-91	91	surge	intransitive		
Thwaites-2020-98-92	92	swoon	intransitive		
Thwaites-2020-98-93	93	swoop	intransitive		
Thwaites-2020-98-94	94	thrive	intransitive		
Thwaites-2020-98-95	95	tremble	intransitive		
Thwaites-2020-98-96	96	triumph	intransitive		
Thwaites-2020-98-97	97	waddle	intransitive		
Thwaites-2020-98-98	98	wince	intransitive		
