ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ARABIC	AZERBAIJANI	CHINESE	DUTCH	ESTONIAN	FINNISH	FRENCH	GERMAN	GEORGIAN	GREEK	HEBREW	PERSIAN	ITALIAN	LITHUANIAN	NORWEGIAN	POLISH	RUSSIAN	SERBIAN	SPANISH	SWEDISH	UKRAINIAN
Jonauskaite-2020-12-1	1	Black	163	BLACK	اسود	Qara	黑色	Zwart	Must	Musta	Noir	Schwarz	შავი	Μαύρο	שחור	سیاه	Nero	Juoda	Svart	Czarny	Чёрный	Crna	Negro	Svart	Чорний
Jonauskaite-2020-12-2	2	Blue	837	BLUE	ازرق	Göy	蓝色	Blauw	Sinine	Sininen	Bleu	Blau	ცისფერი	Μπλέ	תכלת	آبی	Blu	Mėlyna	Blå	Niebieski	Синий	Plava	Azul	Blå	Синій
Jonauskaite-2020-12-3	3	Brown	2409	BROWN	بني	Qəhvəyi	棕色	Bruin	Pruun	Ruskea	Brun	Braun	ყავისფერი	Καφέ	חום	قهوه ای	Marrone	Ruda	Brun	Brązowy	Коричневый	Smedja	Marron	Brun	Коричневий
Jonauskaite-2020-12-4	4	Green	1425	GREEN	اخضر	Yaşıl	绿色	Groen	Roheline	Vihreä	Vert	Grün	მწვანე	Πράσινο	ירוק	سبز	Verde	Žalia	Grøn	Zielony	Зелёный	Zelena	Verde	Grön	Зелений
Jonauskaite-2020-12-5	5	Grey	153	GREY	رمادي	Boz	灰色	Grijs	Hall	Harmaa	Gris	Grau	ნაცრისფერი	Γκρι	אפור	خاکستری	Grigio	Pilka	Grå	Szary	Серый	Siva	Gris	Grå	Сірий
Jonauskaite-2020-12-6	6	Orange	3328	ORANGE (COLOR)	برتقالي	Narıncı	桔色	Oranje	Oranž	Oranssi	Orange	Orange	ნარინჯისფერი	Πορτοκαλί	כתום	نارنجی	Arancione	Oranžinė	Oransje	Pomarańczowy	Оранжевый	Narandzasta	Naranja	Orange	Померанчевий
Jonauskaite-2020-12-7	7	Pink	3446	PINK	زهري	Çəhrayı	粉色	Roze	Roosa	Pinkki	Rose	Rosa	ვარდისფერი	Ροζ	ורוד	صورتی	Rosa	Rožinė	Rosa	Różowy	Розовый	Roza	Rosa	Rosa	Рожевий
Jonauskaite-2020-12-8	8	Purple	2452	PURPLE	بنفسجي	Bənövşəyi	紫色	Paars	Lilla	Violetti	Violet	Lila	იასამნისფერი	Μωβ	סגול	بنفش	Viola	Violetinė	Lilla	Fioletowy	Фиолетовый	Ljubicasta	Violeta	Lila	Фіолетовий
Jonauskaite-2020-12-9	9	Red	156	RED	احمر	Qırmızı	红色	Rood	Punane	Punainen	Rouge	Rot	წითელი	Κόκκινο	אדום	قرمز	Rosso	Raudona	Rød	Czerwony	Красный	Crvena	Rojo	Röd	Червоний
Jonauskaite-2020-12-10	10	Turquoise	3914	TURQUOISE	ازرق سماوي	Mavi	青色	Turquoise	Türkiis	Turkoosi	Turquoise	Türkis	ლურჯი	Γαλάζιο	כחול	فیروزه ای	Turchese	Žydra/Turkio	Turkis	Turkusowy	Голубой	Tirkizna	Turquesa	Turkos	Блакитний
Jonauskaite-2020-12-11	11	White	1335	WHITE	ابيض	Ağ	白色	Wit	Valge	Valkoinen	Blanc	Weiß	თეთრი	Λευκό	לבן	سفید	Bianco	Balta	Hvit	Biały	Белый	Bela	Blanco	Vit	Білий
Jonauskaite-2020-12-12	12	Yellow	1424	YELLOW	اصفر	Sarı	黄色	Geel	Kollane	Keltainen	Jaune	Gelb	ყვითელი	Κίτρινο	צהוב	زرد	Giallo	Geltona	Gul	Żółty	Жёлтый	Zuta	Amarillo	Gul	Жовтий
