ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Koelle-1854-280-1	1	One	One	1493	ONE
Koelle-1854-280-2	2	Two	Two	1498	TWO
Koelle-1854-280-3	3	Three	Three	492	THREE
Koelle-1854-280-4	4	Four	Four	1500	FOUR
Koelle-1854-280-5	5	Five	Five	493	FIVE
Koelle-1854-280-6	6	Six	Six	1703	SIX
Koelle-1854-280-7	7	Seven	Seven	1704	SEVEN
Koelle-1854-280-8	8	Eight	Eight	1705	EIGHT
Koelle-1854-280-9	9	Nine	Nine	1483	NINE
Koelle-1854-280-10	10	Ten	Ten	1515	TEN
Koelle-1854-280-11	11	Eleven	Eleven	1706	ELEVEN
Koelle-1854-280-12	12	Twelve	Twelve	1707	TWELVE
Koelle-1854-280-13	13	Thirteen	Thirteen	1708	THIRTEEN
Koelle-1854-280-14	14	Fourteen	Fourteen	2451	FOURTEEN
Koelle-1854-280-15	15	Fifteen	Fifteen	1709	FIFTEEN
Koelle-1854-280-16	16	Sixteen	Sixteen	2454	SIXTEEN
Koelle-1854-280-17	17	Seventeen	Seventeen	2453	SEVENTEEN
Koelle-1854-280-18	18	Eighteen	Eighteen	1713	EIGHTEEN
Koelle-1854-280-19	19	Nineteen	Nineteen	1714	NINETEEN
Koelle-1854-280-20	20	Twenty	Twenty	1710	TWENTY
Koelle-1854-280-21	21	Man	Man	1554	MAN
Koelle-1854-280-22	22	Woman	Woman	962	WOMAN
Koelle-1854-280-23	23	Boy	Boy	1366	BOY
Koelle-1854-280-24	24	Girl	Girl	1646	GIRL
Koelle-1854-280-25	25	Father (My Father, Thy Father)	Father (My Father, Thy Father)	1217	FATHER
Koelle-1854-280-26	26	Mother (My Mother, Thy Mother)	Mother (My Mother, Thy Mother)	1216	MOTHER
Koelle-1854-280-27	27	Grandfather	Grandfather	1383	GRANDFATHER
Koelle-1854-280-28	28	Grandmother	Grandmother	1496	GRANDMOTHER
Koelle-1854-280-29	29	Son	Son	1620	SON
Koelle-1854-280-29a	29a	my son	my younger son		
Koelle-1854-280-30	30	Daughter	Daughter (My, Thy)	1357	DAUGHTER
Koelle-1854-280-31	31	Elder brother	Elder Brother (My, Thy)	1759	OLDER BROTHER
Koelle-1854-280-32	32	Younger Brother	Younger Brother (My, Thy)	1760	YOUNGER BROTHER
Koelle-1854-280-33	33	Elder Sister	Elder Sister	1758	OLDER SISTER
Koelle-1854-280-34	34	Younger Sister	Younger Sister	1761	YOUNGER SISTER
Koelle-1854-280-35	35	Friend	Friend (My, Thy)	1325	FRIEND
Koelle-1854-280-36	36	Stranger	Stranger	791	STRANGER
Koelle-1854-280-37	37	King	King	1508	KING
Koelle-1854-280-38	38	Man Slave	Man Slave//Male Slave		
Koelle-1854-280-39	39	Female Slave	Female Slave		
Koelle-1854-280-40	40	Doctor	Doctor	597	PHYSICIAN
Koelle-1854-280-41	41	Medicine	Medicine	1372	MEDICINE
Koelle-1854-280-42	42	Head	Head	1256	HEAD
Koelle-1854-280-43	43	Hair	Hair	1040	HAIR
Koelle-1854-280-44	44	Face	Face	1560	FACE
Koelle-1854-280-45	45	Forehead	Forehead	123	FOREHEAD
Koelle-1854-280-46	46	Nose	Nose	1221	NOSE
Koelle-1854-280-47	47	Eye	Eye	1248	EYE
Koelle-1854-280-48	48	Ear		1247	EAR
Koelle-1854-280-49	49	Mouth	Mouth	674	MOUTH
Koelle-1854-280-50	50	Tooth	Tooth	1380	TOOTH
Koelle-1854-280-51	51	Tongue	Tongue	1205	TONGUE
Koelle-1854-280-52	52	Throat	Throat	1346	THROAT
Koelle-1854-280-53	53	Gullet	Gullet		
Koelle-1854-280-54	54	Neck	Neck	1333	NECK
Koelle-1854-280-55	55	Shoulder	Shoulder	1482	SHOULDER
Koelle-1854-280-56	56	Arm	Arm	1673	ARM
Koelle-1854-280-57	57	Arm between Shoulder and Elbow	Arm Between Shoulder and Elbow	431	UPPER ARM
Koelle-1854-280-58	58	Arm between Elbow and Wrist	Arm Between Elbow and Wrist	446	LOWER ARM
Koelle-1854-280-59	59	Leg	Leg	1297	LEG
Koelle-1854-280-60	60	Outer Hand, or Hand	Outer Hand, or Hand	1277	HAND
Koelle-1854-280-61	61	Inner Hand	Inner Hand	1183	PALM OF HAND
Koelle-1854-280-62	62	Foot, or Instep of the Foot	Foot, or Instep of the Foot	1301	FOOT
Koelle-1854-280-63	63	Foot-sole	Foot-Sole	2666	SOLE (FOOT)
Koelle-1854-280-64	64	Finger	Finger	1303	FINGER
Koelle-1854-280-64a	64a	thumb	Finger (thumb)	1781	THUMB
Koelle-1854-280-65	65	Toe	Toe	1389	TOE
Koelle-1854-280-65a	65a	the big one [big toe]	Toe (the big one)		
Koelle-1854-280-66	66	Elbow	Elbow	981	ELBOW
Koelle-1854-280-67	67	Rib	Rib	801	RIB
Koelle-1854-280-68	68	Chest	Chest	1592	CHEST
Koelle-1854-280-69	69	Female Breast	Female Breast	1402	BREAST
Koelle-1854-280-70	70	Belly	Belly	1251	BELLY
Koelle-1854-280-71	71	Navel	Navel	1838	NAVEL
Koelle-1854-280-72	72	Thigh	Thigh	471	UPPER LEG (THIGH)
Koelle-1854-280-73	73	Knee	Knee	1371	KNEE
Koelle-1854-280-74	74	Heel	Heel	980	HEEL
Koelle-1854-280-75	75	Nail (of finger & toe)	Nail (of Finger and Toe)	1896	FINGERNAIL OR TOENAIL
Koelle-1854-280-75a	75a	Nail (of fingers)	Nail (of Finger)	1258	FINGERNAIL
Koelle-1854-280-76	76	Skin		763	SKIN
Koelle-1854-280-76b	76b	Skin (body)	body		
Koelle-1854-280-77	77	Bone	Bone	1394	BONE
Koelle-1854-280-78	78	Vein	Vein	1924	VEIN
Koelle-1854-280-78a	78a	rope	Vein (rope)	1218	ROPE
Koelle-1854-280-79	79	Blood	Blood	946	BLOOD
Koelle-1854-280-80	80	Itch	Itch	148	ITCH
Koelle-1854-280-81	81	Small-pox	Small-Pox	1054	SMALLPOX
Koelle-1854-280-82	82	Hat	Hat	771	HAT
Koelle-1854-280-83	83	Cap	Cap	1288	CAP
Koelle-1854-280-84	84	Shoe	Shoe	1381	SHOE
Koelle-1854-280-85	85	Shirt	Shirt	1622	SHIRT
Koelle-1854-280-86	86	Trousers	Trousers	809	TROUSERS
Koelle-1854-280-87	87	Waist-cloth	Waist-cloth		
Koelle-1854-280-88	88	Town (village)	a walled town//Village//Town (Village)//town (walled)//town	1391	TOWN
Koelle-1854-280-89	89	Market		633	MARKET
Koelle-1854-280-90	90	House		1252	HOUSE
Koelle-1854-280-91	91	Door	Door (of grass)//Door (of wood)	1567	DOOR
Koelle-1854-280-92	92	Door-way			
Koelle-1854-280-93	93	bed	Bed	1663	BED
Koelle-1854-280-94	94	mat	Mat	195	MAT
Koelle-1854-280-95	95	Knife	Knife	1352	KNIFE
Koelle-1854-280-96	96	Spoon		1378	SPOON
Koelle-1854-280-96a	96a	Spoon (of wood)	Spoon (of wood)		
Koelle-1854-280-97	97	Ear-ring	Ear-Ring	770	EARRING
Koelle-1854-280-97a	97a	nose-ring	Nose-Ring		
Koelle-1854-280-98	98	Armlet or Bracelet	Armlet or Bracelet		
Koelle-1854-280-98a	98a	Armlet or Bracelet (of brass)			
Koelle-1854-280-99	99	Pot		1462	POT
Koelle-1854-280-100	100	Calabash	Calabash	411	GOURD
Koelle-1854-280-101	101	Gun	Gun	1566	GUN
Koelle-1854-280-102	102	Powder	Powder	1798	GUNPOWDER
Koelle-1854-280-103	103	Sword	Sword	1535	SWORD
Koelle-1854-280-104	104	Spear	Spear	945	SPEAR
Koelle-1854-280-105	105	Bow	Bow	994	BOW
Koelle-1854-280-105a	105a	cross-bow	cross-bow	3193	CROSSBOW
Koelle-1854-280-106	106	Arrow	Arrow	977	ARROW
Koelle-1854-280-107	107	Quiver	Quiver	995	QUIVER (FOR ARROWS)
Koelle-1854-280-108	108	War	War	935	WAR
Koelle-1854-280-109	109	God	God	1944	GOD
Koelle-1854-280-110	110	Devil	Devil	1973	DEMON
Koelle-1854-280-111	111	Idol	Idol	1945	IDOL
Koelle-1854-280-112	112	Greegree	Greegree		
Koelle-1854-280-113	113	Sacrifice	Sacrifice	1103	SACRIFICE
Koelle-1854-280-114	114	Heaven (sky)	Heaven (sky)	1565	HEAVEN
Koelle-1854-280-115	115	Hell	Hell	878	HELL
Koelle-1854-280-116	116	Fire	Fire	221	FIRE
Koelle-1854-280-117	117	Water	Water//Water (fresh)	948	WATER
Koelle-1854-280-118	118	Soup	Soup	1547	SOUP
Koelle-1854-280-119	119	Meat (often Animal)	Meat (often Animal)	2615	FLESH OR MEAT
Koelle-1854-280-120	120	Salt	Salt	1274	SALT
Koelle-1854-280-121	121	Gold	Gold	1369	GOLD
