ID	NUMBER	CONCEPT	ENGLISH	NOTE	CONCEPTICON_ID	CONCEPTICON_GLOSS	REFLEX_GLOSSES	PROTO_ID
Oliveira-2014-517-1	1	fazer, matar	to make, to kill				MAKE//KILL	§1
Oliveira-2014-517-2	2	macaxeira, mandioca	manioc, cassava		925	CASSAVA	CASSAVA//MANIOC	§2
Oliveira-2014-517-3	3	capivara	cabybara		314	CAPYBARA		§3
Oliveira-2014-517-4	4	grande	big		1202	BIG		§4
Oliveira-2014-517-5	5	paca (Cuniculus paca)	paca		316	PACA		§5
Oliveira-2014-517-6	6	sufixo de concordância do intransitivo	intransitive suffix of concordance					§6
Oliveira-2014-517-7	7	tipo de veneno	type of venom					§7
Oliveira-2014-517-8	8	anta (Tapirus terrestris)	tapir		312	TAPIR		§8
Oliveira-2014-517-9	9	mulher, esposa	woman, wife					§9
Oliveira-2014-517-10	10	mulher, esposa	woman, wife				WOMAN//WIFE	§9a
Oliveira-2014-517-11	11	tragar	to devour				WOMAN//WIFE	§10
Oliveira-2014-517-12	12	yo	I		1209	I		§11
Oliveira-2014-517-13	13	grande	big		1202	BIG		§12
Oliveira-2014-517-14	14	piolho	louse		1392	LOUSE		§13
Oliveira-2014-517-15	15	lago	lake		624	LAKE		§14
Oliveira-2014-517-16	16	dono	owner		1036	OWNER		§15
Oliveira-2014-517-17	17	esp. de pásaro	species of bird					§16
Oliveira-2014-517-18	18	quente, calor	hot, heat				HOT//HEAT	§17
Oliveira-2014-517-19	19	abraçar, segurar nos braços	embrace, hold in arms		928	EMBRACE		§18
Oliveira-2014-517-20	20	seguir llevando en los brazos	keep holding in arms	 provavelmente uma reduplicação do verbo em 18				§18a
Oliveira-2014-517-21	21	subir	to go up		705	GO UP (ASCEND)		§18b
Oliveira-2014-517-22	22	criação, animal doméstico	breeding, domestic animal					§19
Oliveira-2014-517-23	23	dar	to give		1447	GIVE		§20
Oliveira-2014-517-24	24	esp. de onça	species of jaguar					§21
Oliveira-2014-517-25	25	esp. de peixe (esp. da fam. Loricariidae)	species of fish (Loricariidae)					§22
Oliveira-2014-517-26	26	dor, doer	pain, to hurt				PAIN//HURT (SENSE PAIN)	§23
Oliveira-2014-517-27	27	japu (esp. de pássaro da fam. Icteridae)	japu (bird of fam. Icteridae)					§24
Oliveira-2014-517-28	28	macaco preto (esp. de macaco da fam Atelidae)	black monkey					§25
Oliveira-2014-517-29	29	correr	to run		1519	RUN		§26
Oliveira-2014-517-30	30	muito	many		1198	MANY		§27
Oliveira-2014-517-31	31	urubu rei	urubu rei					§28
Oliveira-2014-517-32	32	pesado	heavy		1210	HEAVY		§29
Oliveira-2014-517-33	33	arraia	stingray		1910	STINGRAY		§30
